"brand","product","url","description","imgSrc","imgAlt","name","specific"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","100 for very fair skin with neutral undertones","/productimages/sku/s2413342+sw.jpg","100 0.32 oz/ 9.1 g","","100"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","105 for very fair skin with warm yellow undertones","/productimages/sku/s2413359+sw.jpg","105 0.32 oz/ 9.1 g","","105"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","110 for very fair skin with cool pink undertones","/productimages/sku/s2413367+sw.jpg","110 0.32 oz/ 9.1 g","","110"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","120 for fair skin with neutral undertones","/productimages/sku/s2413375+sw.jpg","120 0.32 oz/ 9.1 g","","120"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","130 for fair skin with warm olive undertones","/productimages/sku/s2413383+sw.jpg","130 0.32 oz/ 9.1 g","","130"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","140 for light skin with warm yellow undertones","/productimages/sku/s2413391+sw.jpg","140 0.32 oz/ 9.1 g","","140"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","145 for light skin  with warm olive undertones","/productimages/sku/s2413409+sw.jpg","145 0.32 oz/ 9.1 g","","145"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","150 for light skin with neutral undertones","/productimages/sku/s2413417+sw.jpg","150 0.32 oz/ 9.1 g","","150"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","160 for light skin with cool peach undertones","/productimages/sku/s2413425+sw.jpg","160 0.32 oz/ 9.1 g","","160"
"FENTY BEAUTY by Rihanna","Pro Filt'r Soft Matte Powder Foundation","https://www.sephora.com/product/fenty-beauty-rihanna-pro-filt-r-soft-matte-powder-foundation-P466829?icid2=products%20grid:p466829","170 for light skin with cool undertones","/productimages/sku/s2413433+sw.jpg","170 0.32 oz/ 9.1 g","","170"
