e,Country,City,Line,Start year,End year,RR?,Length,TunnelPer,Tunnel,Stations,Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Source2,Reference
7136,CA,Vancouver,Broadway,2020,2025,0,5.7,87.72%,5,6,Plan,"2,830",CAD,2018,0.84,2377.2,417.0526316,Media,https://www.translink.ca/Plans-and-Projects/Rapid-Transit-Projects/Broadway-Subway-Project.aspx
7137,CA,Toronto,Vaughan,2009,2017,0,8.6,100.00%,8.6,6,Media,"3,200",CAD,2013,0.81,2592,301.3953488,Media,https://www.thestar.com/news/gta/transportation/2017/12/15/trudeau-wynne-tory-on-hand-to-cut-ribbon-on-32-billion-subway-extension.html
7138,CA,Toronto,Scarborough,2020,2030,0,7.8,100.00%,7.8,3,Wiki,"5,500",CAD,2018,0.84,4620,592.3076923,Media,https://urbantoronto.ca/news/2020/03/metrolinxs-preliminary-business-case-scarborough-subway-extension-raises-questions
7139,CA,Toronto,Ontario,2020,2030,0,15.5,57.00%,8.8,15,Plan,"8,573",CAD,2019,0.84,7201.32,464.6012903,Plan,https://metrolinx.files.wordpress.com/2019/07/click-here-to-view-the-ontario-line-initial-business-case.pdf
7144,CA,Toronto,Yonge to Richmond Hill,2020,2030,0,7.4,100.00%,7.4,6,Plan,"5,600",CAD,2020,0.84,4704,635.6756757,Media,https://www.thestar.com/news/gta/2020/06/24/metrolinx-considering-a-route-for-the-yonge-subway-extension-to-richmond-hill-that-would-take-it-above-ground.html
7145,NL,Amsterdam,North-South,2003,2018,0,9.7,73.00%,7.1,8,Wiki,"3,100",EUR,2009,1.3,4030,415.4639175,Media,https://www.at5.nl/artikelen/184604/zaterdag-noordzuidlijn-eindelijk-open-de-opvallendste-feiten
7146,CA,Montreal,Blue Line extension,2020,2026,0,5.8,100.00%,5.8,5,Media,"4,500",CAD,2018,0.84,3780,651.7241379,Media,https://montrealgazette.com/news/local-news/montreal-metro-green-light-for-blue-line-extension
7147,US,Seattle,U-Link,2009,2016,0,5.1,100.00%,5.1,2,Media,"1,756",USD,2012,1,1756,344.3137255,Plan,https://www.soundtransit.org/sites/default/files/documents/2018-q3-link-light-rail_0.pdf
7152,US,Los Angeles,Purple Phase 3,2020,2027,0,4.2,100.00%,4.2,2,Media,"3,600",USD,2023,1,3600,857.1428571,Media,https://la.streetsblog.org/2020/03/24/metro-signs-1-3-billion-full-funding-grant-agreement-for-westside-subway-phase-3/
7153,US,Los Angeles,Purple Phase 2,2018,2026,0,4.2,100.00%,4.2,2,Trade,"2,400",USD,2021,1,2400,571.4285714,Trade,https://www.railjournal.com/in_depth/transit-projects-fly-in-the-city-of-angels
7154,US,Los Angeles,Purple Phase 1,2014,2023,0,6.3,100.00%,6.3,3,Media,"2,800",USD,2018,1,2800,444.4444444,Media,https://la.streetsblog.org/2018/04/25/metro-celebrates-purple-line-extension-1-tunnel-machines-set-to-start-in-august/
7155,US,Los Angeles,Regional Connector,2014,2022,0,3.1,100.00%,3.1,3,Plan,"1,756",USD,2018,1,1756,566.4516129,Plan,https://www.metro.net/projects/connector/
7160,US,San Francisco,Central Subway,2010,2021,0,2.7,100.00%,2.7,4,Media,"1,670",USD,2014,1,1670,618.5185185,Media,https://www.sfchronicle.com/bayarea/article/Central-Subway-tab-likely-to-grow-by-55M-as-14447857.php
7161,US,Boston,Green Line Extension,2012,2021,0,7.6,0.00%,0,7,Plan,"2,289",USD,2020,1,2289,301.1842105,Plan,https://www.ctps.org/data/pdf/plans/TIP/FFYs-2020-2024-Final-TIP-20190730.pdf
7162,CA,Ottawa,Confederation,2013,2019,0,12.5,20.00%,2.5,13,Trade,"2,100",CAD,2016,0.83,1743,139.44,Trade,https://www.aecom.com/projects/ottawa-light-rail/
7163,US,San Jose,BART,2022,2030,0,9.6,83.00%,8,4,Plan,"6,900",USD,2026,1,6900,718.75,Plan,https://www.mercurynews.com/2020/07/19/with-costs-rising-for-bart-extension-critics-question-500m-plan-for-redundant-santa-clara-segment/
7168,BG,Sofia,Line 1 northern,2009,2012,0,5.1,60.00%,3.1,4,Measured,407,BGN,2010,1.69,687.83,134.8686275,Media,https://www.novinite.com/articles/167648/Subway+Trains+to+Sofia+Airport+Start+Running+at+1+pm+on+April+2
7169,BG,Sofia,Line 1 southern,2013,2015,0,3,100.00%,3,3,Media,44,EUR,2014,3.32,146.08,48.69333333,Media,https://www.novinite.com/articles/168384/Subway+Extension+to+Business+Park+Sofia+Opens
7170,BG,Sofia,Line 2,2008,2012,0,17,90.00%,15.3,11,Trade,952,EUR,2010,3.32,3160.64,185.92,Trade,https://www.railway-technology.com/uncategorised/newsbulgaria-opens-sofia-metro-line-2/
7171,BG,Sofia,Line 2 extension,2012,2016,0,1.3,100.00%,1.3,1,Media,21,EUR,2014,3.32,69.72,53.63076923,Media,https://seenews.com/news/sofia-subway-launches-13-km-section-with-one-station-533330
7176,BG,Sofia,Line 3,2016,2021,0,12,100.00%,12,12,Plan,500,EUR,2018,3.32,1660,138.3333333,Plan,https://europa.eu/investeu/projects/sofia-metro-line-3_en
7177,BG,Sofia,Line 3 extension (Third Stage),2021,,0,3.1,100.00%,3.1,4,Plan,113,EUR,2021,3.32,373.5,120.483871,Trade,https://seenews.com/news/sofia-opens-1125-mln-euro-tender-for-subway-expansion-681553
7178,PL,Warsaw,Line 2,2010,2015,0,6.5,100.00%,6.5,7,Trade,"5,900",PLN,2012,0.557,3286.3,505.5846154,Trade,https://www.railwaygazette.com/news/single-view/view/warszawa-opens-second-metro-line.html
7179,PL,Warsaw,Line 2 extension to Trocka,2015,2019,0,3.1,100.00%,3.1,3,Trade,"1,070",PLN,2017,0.576,616.32,198.8129032,Trade,https://www.railjournal.com/passenger/metros/warsaw-metro-line-m2-reaches-targowek/
7184,PL,Warsaw,Line 2 extenision to KJ,2015,2020,0,3.4,100.00%,3.4,3,Trade,"1,148",PLN,2017,0.576,661.248,194.4847059,Trade,https://www.railwaygazette.com/metros/warszawa-metro-line-m2-goes-west/56191.article
7185,PL,Warsaw,Line 2 extension to Bródno,2018,2022,0,4,100.00%,4,3,Trade,"1,400",PLN,2020,0.571,799.4,199.85,Trade,https://www.railwaypro.com/wp/a-single-bidder-for-warsaw-metro-line-2-extension/
7186,RO,Bucharest,Line 5,2014,2019,0,6.9,100.00%,6.9,10,Plan,"3,122",RON,2016,0.596,1860.712,269.6684058,Plan,http://www.metrorex.ro/Resurse/RaportActivitate/Metrorex%20eng%202018.pdf
7187,RU,Moscow,Line 11,2017,2023,0,66.7,100.00%,66.7,31,Media,"501,000",RUB,2018,0.04,20040,300.4497751,Media,https://www.rbc.ru/politics/23/11/2017/5a16bd6a9a7947a6f487fe13
7193,RU,Nizhniy Novgorod,Line 2 extension,2015,2018,0,2.5,100.00%,2.5,1,Trade,"11,000",RUB,2016,0.041,451,180.4,Trade,https://www.metro-report.com/analysis/single-news/view/the-winners-and-losers-of-russian-metros.html
7194,RU,Saint Petersburg,Line 3 extension,2014,2018,0,5,100.00%,5,2,Trade,"37,000",RUB,2016,0.041,1517,303.4,Trade,https://www.metro-report.com/analysis/single-news/view/the-winners-and-losers-of-russian-metros.html
7195,RU,Saint Petersburg,Line 5 extension,2013,2019,0,6.4,97.00%,6.2,3,Measured,"44,600",RUB,2016,0.041,1828.6,285.71875,Media,http://krti.gov.spb.ru/press/news/52016/?category=17
7200,RU,Moscow,Line 1 extension,2016,2019,0,11.6,14.00%,1.6,3,Wiki,"41,033",RUB,2018,0.04,1641.31476,141.4926517,Plan,https://zakupki.gov.ru/epz/order/notice/oku44/view/supplier-results.html?regNumber=0173200001418000217
7201,CZ,Prague,Line A extension,2010,2015,0,6.1,100.00%,6.1,4,Wiki,"20,200",CZK,2012,0.0752,1519.04,249.0229508,Trade,https://www.railjournal.com/passenger/metros/prague-opens-metro-line-a-western-extension/
7202,HU,Budapest,Line 4,2006,2014,0,7.4,100.00%,7.4,10,Trade,"452,000",HUF,2010,0.00792,3579.84,483.7621622,Plan,https://www.europarl.europa.eu/doceo/document//P-8-2017-000299_EN.html
7203,FR,Toulouse,Line 3,2021,2025,0,27,60.00%,16.2,21,Plan,"2,670",EUR,2016,1.3,3471,128.5555556,Plan,https://www.toulousemetro3.fr/le-projet/3eme-ligne.html
7208,IT,Turin,Line 1 phases 1-3,2000,2011,0,13.2,100.00%,13.2,21,Wiki,"1,046",EUR,2005,1.25,1307.625,99.0625,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86
7209,IT,Turin,Line 1 south (phase 4),2012,2021,0,1.9,100.00%,1.9,2,Trade,194,EUR,2016,1.3,251.55,132.3947368,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86
7210,IT,Turin,Line 1 west (phase 5),2018,2024,0,3.4,100.00%,3.4,4,Media,304,EUR,2020,1.3,395.59,116.35,Plan,http://www.otipiemonte.it/Pagine/Completo.asp?ID=86
7211,FI,Helsinki,West Metro,2009,2017,0,13.5,100.00%,13.5,8,Measured,"1,186",EUR,2013,1.3,1541.8,114.2074074,Plan,https://www.lansimetro.fi/en/information-on-the-project/costs/
7216,FI,Helsinki,Ring Rail Line,2009,2015,1,18,44.00%,8,5,Plan,774,EUR,2012,1.3,1005.94,55.88555556,Plan,https://vayla.fi/web/en/projects/all-projects/ring-rail-line
7217,SE,Stockholm,Arenastaden,2020,2030,0,4.1,100.00%,4.1,2,Plan,"4,700",SEK,2025,0.115,540.5,131.8292683,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf
7218,SE,Stockholm,Nacka/Söderort,2020,2030,0,11.5,100.00%,11.5,6,Plan,"14,400",SEK,2025,0.115,1656,144,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf
7219,SE,Stockholm,Barkarby,2020,2026,0,3.3,100.00%,3.3,2,Plan,"3,300",SEK,2023,0.115,379.5,115,Plan,http://nyatunnelbanan.sll.se/sites/tunnelbanan/files/Faktablad_Upphandling_%20engelsk.pdf
7224,SE,Stockholm,Citybanan,2007,2017,1,7.4,81.00%,6,2,Plan,"16,800",SEK,2007,0.1125,1890,255.4054054,Plan,https://web.archive.org/web/20150402164159/http://www.trafikverket.se/en/startpage/Projects/Railway-construction-projects1/The-Stockholm-City-Line/
7225,SE,Malmo,Citytunneln,2005,2010,1,17,35.00%,6,3,Trade,"8,450",SEK,2001,0.106,895.7,52.68823529,Trade,http://www.tunnel-online.info/en/artikel/artikel_en_1204638.html
7226,UK,London,Northern Line Extension,2015,2021,0,3.2,100.00%,3.2,2,Media,"1,200",GBP,2017,1.47,1764,551.25,Media,http://www.cityam.com/257486/full-steam-ahead-tunnelling-12bn-northern-line-extension
7227,MX,Mexico City,Line 12,2008,2012,0,24.5,43.00%,10.5,20,Wiki,"47,906",MXN,2010,0.13,6227.78,254.195102,Media,http://www.elfinanciero.com.mx/nacional/linea-12-costara-mas-que-el-tren-mexico-queretaro
7232,TW,Taipei,Wanda Line Phase 2,2021,2028,0,13.3,21.05%,2.8,13,Media,"55,530",TWD,2018,0.068,3776.04,283.912782,Media,http://www.taipeitimes.com/News/taiwan/archives/2018/05/03/2003692436
7233,IT,Milan,Line 5 phase 1,2007,2013,0,6.1,100.00%,6.1,9,Media,557,EUR,2010,1.3,724.1,118.704918,Trade,http://www.expofairs.com/pianeta-costruzioni/001/pagina_017.pdf
7234,IT,Milan,Line 5 phase 2,2010,2015,0,6.5,100.00%,6.5,10,Plan,796,EUR,2012,1.3,1034.8,159.2,Plan,https://web.archive.org/web/20140508030702/http://cantieri.mit.gov.it/Lists/Scheda%20Tecnica/DispForm.aspx?ID=69&Source=http%3A%2F%2Fcantieri%2Emit%2Egov%2Eit%2FPagine%2FLombardia%2Easpx&ContentTypeId=0x01005F85B0B356E4DE4EBCF0C8A435933BF500F5F261BE3F32F347B9117D7DBB5780B0
7235,IT,Milan,Line 4,2015,2023,0,15.2,100.00%,15.2,21,Wiki,"1,697",EUR,2019,1.3,2205.71,145.1125,Plan,https://www.metro4milano.it/wordpress/wp-content/uploads/2020/04/Quadro-Economico-_-Atto-Integrativo-n.1-alla-Convenzione-di-concessione_-allegato-13.pdf
7240,FR,Paris,GPX,2017,2030,0,200,80.00%,160,68,Wiki,"35,080",EUR,2012,1.3,45604,228.02,Plan,https://www.scribd.com/document/369302347/Rapport-de-la-Cour-des-Comptes-Societe-Du-Grand-Paris
7241,IT,Milan,Passante Railway,1984,2008,1,13,60.00%,7.8,10,Wiki,915,EUR,1996,1.3,1189.5,91.5,Media,https://www.milanolife.it/la-quinta-linea-il-passante-ferroviario-di-milano/
7242,VN,Hanoi,Line 3,2010,2013,0,12.5,32.00%,4,12,Media,"36,000,000",VND,2016,0.000126,4536,362.88,Media,https://vnexpress.net/thoi-su/thanh-tra-chi-ra-nhieu-vi-pham-tai-du-an-metro-1-7-ty-usd-o-ha-noi-3777287.html
7243,VN,Hanoi,Line 2,2011,2020,0,11.5,74.00%,8.5,12,Media,"19,555,000",VND,2015,0.000126,2463.93,214.2547826,Media,http://saigondautu.com.vn/chu-diem-su-kien/5-du-an-doi-von-khung-61311.html
7248,KR,Seoul,Sinbundang,2005,2011,0,17.3,100.00%,17.3,6,Wiki,"1,169,000",KRW,2002,0.0013,1519.7,87.84393064,Trade,https://books.google.de/books?id=B3-SBgAAQBAJ&pg=PA44&lpg=PA44&dq=shinbundang+line+construction+cost+11690&source=bl&ots=_CTZGAt6MP&sig=ACfU3U0qGvuRqbqwA60o8fLQNSdXTt8BlQ&hl=en&sa=X&ved=2ahUKEwi847D6oPPqAhXLqqQKHf_ZB1MQ6AEwEHoECAsQAQ#v=onepage&q=shinbundang%20line%20construction%20cost%2011690&f=false
7249,KR,Seoul,Sinbundang phase 2,2011,2018,0,12.8,100.00%,12.8,7,Media,"1,025,500",KRW,2006,0.0013,1333.15,104.1523438,Plan,https://shinbundang.co.kr/eng/index.jsp?pageID=/eng/intro/intro2_6.jsp&open_main=4&open_sub1=1&open_sub2=6
7250,MX,Guadalajara,Line 3,2014,2020,0,21.5,25.00%,5.4,18,Trade,"31,500",MXN,2017,0.106,3339,155.3023256,Media,https://www.eleconomista.com.mx/estados/Linea-3-arriba-78-de-su-costo-20200121-0023.html
7251,DE,Leipzig,City Tunnel,2003,2013,1,3.6,100.00%,3.6,4,Wiki,960,EUR,2008,1.3,1248,346.6666667,Plan,http://dip21.bundestag.de/dip21/btd/17/029/1702939.pdf
7256,IT,Rome,Line B1 extension,2010,2015,0,3.9,100.00%,3.9,3,Plan,527,EUR,2012,1.3,685.49,175.7666667,Plan,https://www.comune.roma.it/PCR/resources/cms/documents/B1schedaillustrativaintervento.pdf
7257,IT,Rome,Line C - section T6a,2007,2013,0,2.8,100.00%,2.8,4,Plan,399,EUR,2010,1.3,518.7,185.25,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf
7258,IT,Rome,Line C - section T4-5,2007,2013,0,7.3,100.00%,7.3,9,Plan,"1,090",EUR,2010,1.3,1417,194.109589,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf
7259,IT,Rome,Line C - section T3,2013,2023,0,2.8,100.00%,2.8,2,Plan,735,EUR,2018,1.3,955.5,341.25,Plan,https://metrocspa.it/cms/wp-content/uploads/2016/12/2-Q.E.G.-12-set-2013.pdf
7264,DE,Berlin,U55,2004,2009,0,1.8,100.00%,1.8,3,Plan,320,EUR,2006,1.3,416,231.1111111,Plan,https://www.das-parlament.de/2019/31_32/kehrseite/652908-652908
7265,DE,Berlin,U5-U55 connection,2010,2020,0,2.2,100.00%,2.2,3,Plan,525,EUR,2015,1.3,682.5,310.2272727,Plan,https://www.projekt-u5.de/de/die-neue-u5/
7266,BE,Brussels,Line 3,2020,2028,0,4.4,100.00%,4.4,7,Plan,900,EUR,2024,1.3,1170,265.9090909,Plan,https://www.metro3.be/fr/faq
7267,DK,Copenhagen,City Circle Line,2009,2019,0,15.5,100.00%,15.5,17,Media,"25,300",DKK,2014,0.138,3491.4,225.2516129,Media,https://www.thelocal.dk/20190930/in-pictures-copenhagens-new-city-ring-metro-line
7272,NO,Oslo,Løren Line,2013,2016,0,1.6,100.00%,1.6,1,Trade,"1,330",NOK,2014,0.107,142.31,88.94375,Trade,https://www.railwaygazette.com/l%C3%B8renbanen-opens-in-oslo/42312.article
7273,NO,Oslo,Fornebu Line,2020,2027,0,8.2,100.00%,8.2,6,Plan,"16,000",NOK,2020,0.1,1600,195.1219512,Plan,https://www.oslo.kommune.no/slik-bygger-vi-oslo/fornebubanen/
7274,AU,Sydney,Metro City & SW,2017,2024,0,30,51.00%,15.3,7,Wiki,"15,500",AUD,2021,0.69,10695,356.5,Media,https://www.abc.net.au/news/2020-02-21/nsw-government-confirms-three-billion-metro-budget-blowout/11986968
7275,AU,Sydney,Metro NW,2013,2019,0,36,42.00%,15.1,13,Wiki,"7,800",AUD,2016,0.69,5382,149.5,Plan,https://www.transport.nsw.gov.au/news-and-events/media-releases/sydney-metro-northwest-under-budget
7280,AU,Melbourne,Metro Tunnel,2018,2025,0,9,100.00%,9,5,Plan,"11,000",AUD,2021,0.69,7590,843.3333333,Plan,https://metrotunnel.vic.gov.au/about-the-project/faq
7281,SG,Singapore,Downtown MRT Line,2008,2017,0,41.9,100.00%,41.9,34,Wiki,"21,000",SGD,2012,1.18,24780,591.4081146,Plan,https://www.todayonline.com/singapore/comparing-singapores-newest-and-oldest-mrt-lines
7282,SG,Singapore,Thomson MRT Line,2014,2024,0,43,100.00%,43,32,Media,"25,000",SGD,2019,1.13,28250,656.9767442,Media,https://www.straitstimes.com/singapore/transport/thomson-east-coast-line-6-more-stations-from-springleaf-to-caldecott-opening
7283,CA,Toronto,Eglinton Crosstown,2011,2022,0,19,53.00%,10,25,Plan,"5,300",CAD,2016,0.83,4399,231.5263158,Trade,https://www.railwayage.com/news/eglinton-crosstown-behind-schedule/
7288,IN,Mumbai,Monorail,2009,2019,0,20.2,0.00%,0,17,Plan,"30,000",INR,2014,0.054,1620,80.1980198,Media,https://indianexpress.com/article/cities/mumbai/indias-first-monorail-rolls-out-in-city/
7289,IN,Mumbai,Line 3,2016,2022,0,33.5,100.00%,33.5,27,Media,"320,000",INR,2019,0.047,15040,448.9552239,Trade,https://housing.com/news/mumbai-metro-line-3-everything-you-need-to-know/
7290,IN,Mumbai,Line 2A,2016,2021,0,18.6,0.00%,0,17,Media,"64,100",INR,2018,0.048,3076.8,165.4193548,Media,https://www.freepressjournal.in/mumbai/metro-line-2a-revised-deadline-is-may-2021
7291,IN,Mumbai,Line 2B,2018,2023,0,23.5,0.00%,0,22,Plan,"109,860",INR,2020,0.047,5163.42,219.72,Plan,https://mmrda.maharashtra.gov.in/metro-line-2b
7296,IN,Mumbai,Line 4,2018,2022,0,32.3,0.00%,0,32,Plan,"145,490",INR,2020,0.047,6838.03,211.7037152,Plan,https://mmrda.maharashtra.gov.in/metro-line-4#
7297,IN,Mumbai,Line 4A,2019,2022,0,2.7,0.00%,0,2,Plan,"7,860",INR,2017,0.048,377.28,139.7333333,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+4A/da25997a-6844-4c74-b4bd-9538285c9471
7298,IN,Mumbai,Line 5,2017,2024,0,24.9,0.00%,0,16,Plan,"84,165",INR,2020,0.047,3955.755,158.8656627,Plan,https://mmrda.maharashtra.gov.in/metro-line-5#
7299,IN,Mumbai,Line 6,2017,2022,0,14.5,0.00%,0,13,Wiki,"55,670",INR,2016,0.05,2783.5,191.9655172,Media,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+6/17c5ed14-e9fb-4920-9521-02eebb25c4a9
7304,IN,Mumbai,Line 7,2016,2021,0,16.5,0.00%,0,16,Wiki,"62,080",INR,2018,0.048,2979.84,180.5963636,Media,https://www.hindustantimes.com/mumbai-news/metro-lines-2a-7-to-be-delayed-by-3-months-mmrda-chief/story-UodpzX0AgmfV4e1OBrDxCK.html
7305,IN,Mumbai,Line 7A + 9,2019,2022,0,13.5,16.00%,2.2,11,Plan,"65,180",INR,2020,0.047,3063.46,226.922963,Plan,https://mmrda.maharashtra.gov.in/metro-line-9#
7306,IN,Mumbai,Line 10,2020,2024,0,9.2,8.00%,0.7,4,Plan,"38,210",INR,2018,0.048,1834.08,199.3565217,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+10/076595c3-c882-424c-b49d-f22399e9a096
7307,IN,Mumbai,Line 11,2020,2026,0,12.8,69.00%,8.8,10,Plan,"70,850",INR,2018,0.048,3400.8,265.6875,Plan,https://mmrda.maharashtra.gov.in/documents/10180/9283015/Metro+Line+11/8dc85106-19e2-48a5-875e-acdb289c357d
