judge_id,name_first,name_middle,name_last,name_suffix,birth_date,birthplace_city,birthplace_state,death_date,death_city,death_state,gender,race
3419,Ronnie,NA,Abrams,NA,1968,New York,NY,NA,NA,NA,F,White
1,Matthew,T.,Abruzzo,NA,1889,Brooklyn,NY,1971,Potomac,MD,M,White
2,Marcus,Wilson,Acheson,NA,1828,Washington,PA,1906,Pittsburgh,PA,M,White
3,William,Marsh,Acker,Jr.,1927,Birmingham,AL,NA,NA,NA,M,White
4,Harold,Arnold,Ackerman,NA,1928,Newark,NJ,2009,West Orange,NJ,M,White
5,James,Waldo,Ackerman,NA,1926,Jacksonville,FL,1984,Springfield,IL,M,White
6,Raymond,L.,Acosta,NA,1925,New York,NY,NA,NA,NA,M,Hispanic
7,J[ackson],Leroy,Adair,NA,1887,Clayton,IL,1956,NA,NA,M,White
8,Arlin,Marvin,Adams,NA,1921,Philadelphia,PA,NA,NA,NA,M,White
9,Elmer,Bragg,Adams,NA,1842,Pomfret,VT,1916,St. Louis,MO,M,White
10,George,NA,Adams,NA,1784,Lynchburg,VA,1844,Jackson,MS,M,White
11,George,Bethune,Adams,NA,1845,Philadelphia,PA,1911,NA,NA,M,White
12,Henry,Lee,Adams,Jr.,1945,Jacksonville,FL,NA,NA,NA,M,African American
2989,John,R.,Adams,NA,1955,Orrville,OH,NA,NA,NA,M,White
3295,William,Charles,Adamson,NA,1854,Bowdon,GA,1929,New York,NY,M,White
2717,Lynn,S.,Adelman,NA,1939,Milwaukee,WI,NA,NA,NA,M,White
13,Jesse,Corcoran,Adkins,NA,1879,Knoxville,TN,1955,Washington,DC,M,White
14,Simon,Louis,Adler,NA,1867,Seneca Falls,NY,1934,NA,NA,M,White
2927,Lance,M.,Africk,NA,1951,New York,NY,NA,NA,NA,M,White
3174,G.,Steven,Agee,NA,1952,Roanoke,VA,NA,NA,NA,M,White
15,Robert,Peter,Aguilar,NA,1931,Madera,CA,NA,NA,NA,M,Hispanic
2750,Ann,L.,Aiken,NA,1951,Salem,OR,NA,NA,NA,F,White
16,Robert,Andrew,Ainsworth,Jr.,1910,Gulfport,MS,1981,NA,NA,M,White
17,Alexander,NA,Akerman,NA,1869,Elberton,GA,1948,NA,NA,M,White
18,Anthony,A.,Alaimo,NA,1920,"Termini, Sicily",Italy,2009,Brunswick,GA,M,White
19,Arthur,Lawrence,Alarcon,NA,1925,Los Angeles,CA,NA,NA,NA,M,Hispanic
20,William,Harold,Albritton,III,1936,Andalusia,AL,NA,NA,NA,M,White
21,Ruggero,John,Aldisert,NA,1919,Carnegie,PA,NA,NA,NA,M,White
22,Ann,NA,Aldrich,NA,1927,Providence,RI,2010,Cleveland,OH,F,White
23,Bailey,NA,Aldrich,NA,1907,Boston,MA,2002,Cambridge,MA,M,White
24,Edgar,NA,Aldrich,NA,1848,Pittsburg,NH,1921,Littleton,NH,M,White
25,James,Henry,Alesia,NA,1934,Chicago,IL,2003,Chicago,IL,M,White
26,Samuel,A.,Alito,Jr.,1950,Trenton,NJ,NA,NA,NA,M,White
3373,Arenda,Lauretta Wright,Allen,NA,1960,Philadelphia,PA,NA,NA,NA,F,African American
27,Charles,Mengel,Allen,NA,1916,Louisville,KY,2000,Louisville,KY,M,White
28,Florence,Ellinwood,Allen,NA,1884,Salt Lake City,UT,1966,Cleveland,OH,F,White
29,William,Joshua,Allen,NA,1829,Wilson County,TN,1901,Hot Springs,AR,M,White
30,Wayne,Edward,Alley,NA,1932,Portland,OR,NA,NA,NA,M,White
31,Clarence,W.,Allgood,NA,1902,Birmingham,AL,1991,Birmingham,AL,M,White
32,James,V.,Allred,NA,1899,Bowie,TX,1959,Corpus Christi,TX,M,White
2705,James,Lindsay,Almond,Jr.,1898,Charlottesville,VA,1986,Richmond,VA,M,White
33,Samuel,NA,Alschuler,NA,1859,Chicago,IL,1939,NA,NA,M,White
34,Donald,Douglas,Alsop,NA,1927,Duluth,MN,NA,NA,NA,M,White
2827,William,Haskell,Alsup,NA,1945,Jackson,MS,NA,NA,NA,M,White
35,Frank,X.,Altimari,NA,1928,Queens,NY,1998,Old Westbury,NY,M,White
2997,Cecilia,M.,Altonaga,NA,1962,Baltimore,MD,NA,NA,NA,F,Hispanic
3080,Micaela,NA,Alvarez,NA,1958,Donna,TX,NA,NA,NA,F,Hispanic
