judge_id,court_name,court_type,president_name,president_party,nomination_date,predecessor_last_name,predecessor_first_name,senate_confirmation_date,commission_date,chief_judge_begin,chief_judge_end,retirement_from_active_service,termination_date,termination_reason
3419,"U. S. District Court, Southern District of New York",USDC,Barack Obama,Democratic,07/28/2011,Kaplan,Lewis A.,03/22/2012,03/23/2012,NA,NA,NA,NA,NA
1,"U. S. District Court, Eastern District of New York",USDC,Franklin D. Roosevelt,Democratic,02/03/1936,new,NA,02/12/1936,02/15/1936,NA,NA,02/15/1966,05/28/1971,Death
2,"U. S. District Court, Western District of Pennsylvania",USDC,Rutherford B. Hayes,Republican,01/06/1880,Ketcham,Winthrop,01/14/1880,01/14/1880,NA,NA,NA,02/09/1891,Appointment to Another Judicial Position
3,"U. S. District Court, Northern District of Alabama",USDC,Ronald Reagan,Republican,07/22/1982,McFadden,Frank H.,08/18/1982,08/18/1982,NA,NA,05/31/1996,NA,NA
4,"U. S. District Court, District of New Jersey",USDC,Jimmy Carter,Democratic,09/28/1979,Barlow,George H.,10/31/1979,11/02/1979,NA,NA,02/15/1994,12/02/2009,Death
5,"U. S. District Court, Southern District of Illinois",USDC,Gerald Ford,Republican,06/18/1976,Wood Jr.,Harlington,07/02/1976,07/02/1976,NA,NA,NA,03/31/1979,Reassignment
6,"U. S. District Court, District of Puerto Rico",USDC,Ronald Reagan,Republican,09/09/1982,Toledo,Jose V.,09/29/1982,09/30/1982,NA,NA,06/01/1994,NA,NA
7,"U. S. District Court, Southern District of Illinois",USDC,Franklin D. Roosevelt,Democratic,03/24/1937,Major,J. Earl,04/20/1937,04/27/1937,NA,NA,NA,01/19/1956,Death
8,U. S. Court of Appeals for the Third Circuit,USCA,Richard M. Nixon,Republican,09/22/1969,Kalodner,Harry Ellis,10/01/1969,10/02/1969,NA,NA,NA,01/02/1987,Retirement
9,"U. S. District Court, Eastern District of Missouri",USDC,Grover Cleveland,Democratic,12/04/1895,Priest,Henry S.,12/09/1895,12/09/1895,NA,NA,NA,05/29/1905,Appointment to Another Judicial Position
10,"U. S. District Court, District of Mississippi",USDC,Andrew Jackson,Democratic,01/12/1836,Ellis,Powhatan,01/20/1836,01/20/1836,NA,NA,NA,06/18/1838,Reassignment
11,"U. S. District Court, Southern District of New York",USDC,William McKinley,Republican,12/05/1901,Brown,Addison,12/17/1901,12/17/1901,NA,NA,NA,10/09/1911,Death
12,"U. S. District Court, Middle District of Florida",USDC,William J. Clinton,Democratic,10/29/1993,Black,Susan H.,11/20/1993,11/24/1993,NA,NA,04/08/2010,NA,NA
2989,"U. S. District Court, Northern District of Ohio",USDC,George W. Bush,Republican,01/07/2003,White,George Washington,02/10/2003,02/12/2003,NA,NA,NA,NA,NA
3295,U. S. Customs Court,U. S. Customs Court,Reassignment,Reassignment,NA,new,NA,NA,05/28/1926,NA,NA,NA,01/20/1928,Retirement
2717,"U. S. District Court, Eastern District of Wisconsin",USDC,William J. Clinton,Democratic,09/08/1997,Curran,Thomas J.,11/13/1997,12/23/1997,NA,NA,NA,NA,NA
13,U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],USDC,Herbert Hoover,Republican,06/06/1930,Wheat,Alfred A.,06/17/1930,06/17/1930,NA,NA,10/15/1946,03/29/1955,Death
14,"U. S. District Court, Western District of New York",USDC,Calvin Coolidge,Republican,12/06/1927,new,NA,01/16/1928,01/16/1928,NA,NA,NA,05/23/1934,Death
2927,"U. S. District Court, Eastern District of Louisiana",USDC,George W. Bush,Republican,01/23/2002,Clement,Edith Brown,04/17/2002,04/17/2002,NA,NA,NA,NA,NA
3174,U. S. Court of Appeals for the Fourth Circuit,USCA,George W. Bush,Republican,03/13/2008,Luttig,J. Michael,05/20/2008,07/01/2008,NA,NA,NA,NA,NA
15,"U. S. District Court, Northern District of California",USDC,Jimmy Carter,Democratic,04/03/1980,new,NA,06/18/1980,06/18/1980,NA,NA,04/15/1996,06/24/1996,Retirement
2750,"U. S. District Court, District of Oregon",USDC,William J. Clinton,Democratic,01/07/1997,Redden,James A.,01/28/1998,02/04/1998,NA,NA,NA,NA,NA
16,"U. S. District Court, Eastern District of Louisiana",USDC,John F. Kennedy,Democratic,09/14/1961,new,NA,09/21/1961,09/22/1961,NA,NA,NA,08/31/1966,Appointment to Another Judicial Position
17,"U. S. District Court, Southern District of Florida",USDC,Calvin Coolidge,Republican,01/19/1929,new,NA,02/15/1929,02/15/1929,NA,NA,10/08/1939,08/21/1948,Death
18,"U. S. District Court, Southern District of Georgia",USDC,Richard M. Nixon,Republican,11/29/1971,new,NA,12/02/1971,12/09/1971,NA,NA,07/01/1991,12/30/2009,Death
19,U. S. Court of Appeals for the Ninth Circuit,USCA,Jimmy Carter,Democratic,08/28/1979,new,NA,10/31/1979,11/02/1979,NA,NA,11/21/1992,NA,NA
20,"U. S. District Court, Middle District of Alabama",USDC,George H.W. Bush,Republican,03/11/1991,Dubina,Joel F.,05/09/1991,05/14/1991,NA,NA,05/17/2004,NA,NA
21,U. S. Court of Appeals for the Third Circuit,USCA,Lyndon B. Johnson,Democratic,07/17/1968,Staley,Austin Leander,07/29/1968,07/29/1968,NA,NA,12/31/1986,NA,NA
22,"U. S. District Court, Northern District of Ohio",USDC,Jimmy Carter,Democratic,03/28/1980,new,NA,05/21/1980,05/24/1980,NA,NA,05/12/1995,05/02/2010,Death
23,"U. S. District Court, District of Massachusetts",USDC,Dwight D. Eisenhower,Republican,04/01/1954,new,NA,04/23/1954,04/27/1954,NA,NA,NA,09/14/1959,Appointment to Another Judicial Position
24,"U. S. District Court, District of New Hampshire",USDC,Benjamin Harrison,Republican,02/16/1891,Clark,Daniel,02/20/1891,02/20/1891,NA,NA,NA,09/15/1921,Death
25,"U. S. District Court, Northern District of Illinois",USDC,Ronald Reagan,Republican,02/02/1987,Leighton,George N.,05/19/1987,05/20/1987,NA,NA,02/01/1998,07/24/2003,Death
26,U. S. Court of Appeals for the Third Circuit,USCA,George H.W. Bush,Republican,02/20/1990,Gibbons,John Joseph,04/27/1990,04/30/1990,NA,NA,NA,01/31/2006,Appointment to Another Judicial Position
3373,"U. S. District Court, Eastern District of Virginia",USDC,Barack Obama,Democratic,01/05/2011,Friedman,Jerome B.,05/11/2011,05/12/2011,NA,NA,NA,NA,NA
27,"U. S. District Court, Western District of Kentucky",USDC,Richard M. Nixon,Republican,11/17/1971,Brooks,Henry L.,11/23/1971,11/30/1971,NA,NA,10/01/1985,01/04/2000,Death
28,U. S. Court of Appeals for the Sixth Circuit,USCA,Franklin D. Roosevelt,Democratic,03/06/1934,Hickenlooper,Smith,03/15/1934,03/21/1934,NA,NA,10/05/1959,09/12/1966,Death
29,"U. S. District Court, Southern District of Illinois",USDC,Grover Cleveland,Democratic,12/20/1887,Treat,Samuel H.,01/19/1888,01/19/1888,NA,NA,NA,01/26/1901,Death
30,"U. S. District Court, Western District of Oklahoma",USDC,Ronald Reagan,Republican,05/29/1985,new,NA,07/10/1985,07/11/1985,NA,NA,05/16/1999,NA,NA
31,"U. S. District Court, Northern District of Alabama",USDC,John F. Kennedy,Democratic,01/15/1962,new,NA,02/05/1962,02/09/1962,NA,NA,01/09/1973,11/30/1991,Death
32,"U. S. District Court, Southern District of Texas",USDC,Franklin D. Roosevelt,Democratic,01/05/1939,new,NA,02/16/1939,02/23/1939,NA,NA,NA,05/15/1942,Resignation
2705,U. S. Court of Customs and Patent Appeals,U. S. Court of Customs and Patent Appeals,John F. Kennedy,Democratic,01/15/1963,O`Connell,Ambrose,06/28/1963,07/03/1963,NA,NA,03/01/1973,09/30/1982,Reassignment
33,U. S. Court of Appeals for the Seventh Circuit,USCA,Woodrow Wilson,Democratic,01/07/1916,Grosscup,Peter Stenger,01/18/1916,01/18/1916,NA,NA,05/15/1936,11/09/1939,Death
34,"U. S. District Court, District of Minnesota",USDC,Richard M. Nixon,Republican,08/08/1974,Neville,Philip,12/18/1974,12/20/1974,NA,NA,08/28/1992,NA,NA
2827,"U. S. District Court, Northern District of California",USDC,William J. Clinton,Democratic,03/24/1999,Henderson,Thelton Eugene,07/30/1999,08/17/1999,NA,NA,NA,NA,NA
35,"U. S. District Court, Eastern District of New York",USDC,Ronald Reagan,Republican,11/23/1982,Neaher,Edward R.,12/10/1982,12/10/1982,NA,NA,NA,12/23/1985,Appointment to Another Judicial Position
2997,"U. S. District Court, Southern District of Florida",USDC,George W. Bush,Republican,01/15/2003,Highsmith,Shelby,05/06/2003,05/07/2003,NA,NA,NA,NA,NA
3080,"U. S. District Court, Southern District of Texas",USDC,George W. Bush,Republican,06/16/2004,Hittner,David,11/20/2004,12/13/2004,NA,NA,NA,NA,NA
36,"U. S. Court of Appeals for the District of Columbia Circuit, Chief Justice",USCA,Grover Cleveland,Democratic,04/14/1893,new,NA,04/15/1893,04/15/1893,NA,NA,NA,01/01/1905,Retirement
2850,U. S. Court of Appeals for the Third Circuit,USCA,William J. Clinton,Democratic,09/28/1999,Stapleton,Walter K.,02/10/2000,02/16/2000,NA,NA,NA,NA,NA
37,"U. S. District Court, Western District of Pennsylvania",USDC,William J. Clinton,Democratic,10/25/1993,Weber,Gerald Joseph,11/20/1993,11/24/1993,NA,NA,11/05/2010,NA,NA
38,"U. S. District Court, District of North Dakota",USDC,Grover Cleveland,Democratic,12/08/1896,Thomas,Alfred D.,02/18/1897,02/18/1897,NA,NA,06/02/1928,12/26/1937,Death
39,"U. S. District Court, Eastern District of New York",USDC,George H.W. Bush,Republican,05/18/1990,Costantino,Mark A.,08/03/1990,08/07/1990,NA,NA,NA,NA,NA
40,"U. S. District Court, Northern District of Illinois",USDC,George H.W. Bush,Republican,07/24/1991,Roszkowski,Stanley,11/15/1991,11/18/1991,NA,NA,NA,07/31/2010,Retirement
41,"U. S. District Court, District of Indiana",USDC,Theodore Roosevelt,Republican,12/08/1902,Baker,John H.,12/08/1902,12/08/1902,NA,NA,NA,01/13/1925,Appointment to Another Judicial Position
42,"U. S. District Court, District of Utah",USDC,Richard M. Nixon,Republican,06/17/1971,Christensen,Albert Sherman,07/22/1971,07/22/1971,NA,NA,12/20/1984,03/24/1996,Death
43,"U. S. District Court, District of South Carolina",USDC,Jimmy Carter,Democratic,04/18/1980,Martin,James Robert,05/21/1980,05/23/1980,NA,NA,01/29/2009,NA,NA
44,U. S. Court of Appeals for the First Circuit,USCA,Woodrow Wilson,Democratic,10/01/1918,Dodge,Frederic,10/24/1918,10/24/1918,NA,NA,09/30/1931,02/14/1938,Death
45,"U. S. District Court, Western District of Tennessee",USDC,Calvin Coolidge,Republican,12/08/1925,Ross,J.W.,01/29/1926,01/29/1926,NA,NA,NA,04/09/1935,Death
46,"U. S. District Court, District of Idaho",USDC,Richard M. Nixon,Republican,12/01/1971,Taylor,Fred M.,12/04/1971,12/09/1971,NA,NA,NA,07/23/1976,Appointment to Another Judicial Position
47,"U. S. District Court, District of South Carolina",USDC,Ronald Reagan,Republican,09/26/1986,Simons,Charles E.,10/08/1986,10/14/1986,NA,NA,NA,NA,NA
2928,"U. S. District Court, Central District of California",USDC,George W. Bush,Republican,01/23/2002,Wardlaw,Kim McLane,04/25/2002,05/01/2002,NA,NA,NA,NA,NA
48,U. S. Court of Appeals for the Fifth Circuit,USCA,Jimmy Carter,Democratic,04/18/1979,new,NA,07/12/1979,07/13/1979,NA,NA,NA,10/01/1981,Reassignment
49,"U. S. District Court, District of Connecticut",USDC,Dwight D. Eisenhower,Republican,04/06/1954,Hincks,Carroll C.,04/23/1954,04/27/1954,NA,NA,NA,08/20/1964,Appointment to Another Judicial Position
3173,"U. S. District Court, Western District of Tennessee",USDC,George W. Bush,Republican,09/06/2007,Todd,James D.,04/10/2008,05/21/2008,NA,NA,NA,NA,NA
50,U. S. Court of Appeals for the Tenth Circuit,USCA,Ronald Reagan,Republican,07/23/1985,new,NA,10/16/1985,10/16/1985,NA,NA,01/01/2000,NA,NA
51,U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],USDC,William McKinley,Republican,12/05/1901,Cole,Charles C.,02/04/1902,02/06/1902,NA,NA,NA,10/01/1916,Death
2691,"U. S. District Court, Northern District of Georgia",USDC,Harry S Truman,Democratic,01/05/1950,new,NA,NA,NA,NA,NA,NA,10/31/1950,Recess Appointment-Not Confirmed
3402,"U. S. District Court, District of Delaware",USDC,Barack Obama,Democratic,05/11/2011,"Farnan, Jr.",Joseph James,11/03/2011,11/07/2011,NA,NA,NA,NA,NA
3188,"U. S. District Court, Southern District of California",USDC,George W. Bush,Republican,04/30/2008,Jones,Napoleon A.,09/26/2008,10/10/2008,NA,NA,NA,NA,NA
52,"U. S. District Court, Eastern District of Michigan",USDC,William H. Taft,Republican,02/25/1911,Swan,Henry Harrison,03/02/1911,03/02/1911,NA,NA,NA,06/01/1912,Resignation
2857,"U. S. District Court, Middle District of Florida",USDC,William J. Clinton,Democratic,02/09/2000,Sharp,G. Kendall,05/24/2000,05/31/2000,NA,NA,06/03/2013,NA,NA
3197,U. S. Court of International Trade,U. S. Court of International Trade,Ronald Reagan,Republican,02/25/1985,Landis,Frederick,04/03/1985,04/04/1985,NA,NA,12/10/2004,NA,NA
54,U. S. Court of Appeals for the Sixth Circuit,USCA,Franklin D. Roosevelt,Democratic,02/09/1939,new,NA,02/21/1939,03/04/1939,NA,NA,NA,01/14/1941,Death
55,"U. S. District Court, Western District of New York",USDC,Ronald Reagan,Republican,08/07/1987,Elfvin,John T.,02/19/1988,02/22/1988,NA,NA,NA,NA,NA
56,"U. S. District Court, Eastern District of Louisiana",USDC,Jimmy Carter,Democratic,06/12/1979,new,NA,09/25/1979,09/26/1979,NA,NA,NA,04/06/1993,Death
57,"U. S. District Court, Middle District of Pennsylvania",USDC,William McKinley,Republican,12/05/1901,new,NA,12/17/1901,12/17/1901,NA,NA,NA,02/01/1911,Appointment to Another Judicial Position
58,U. S. Court of Appeals for the Federal Circuit,USCA,Ronald Reagan,Republican,10/16/1985,Miller,Jack Richard,12/16/1985,12/17/1985,NA,NA,12/24/1997,07/27/2011,Death
3190,"U. S. District Court, District of Colorado",USDC,George W. Bush,Republican,07/10/2008,Miller,Walker D.,09/26/2008,10/21/2008,NA,NA,NA,NA,NA
2898,"U. S. District Court, District of New Mexico",USDC,George W. Bush,Republican,09/04/2001,new,NA,11/06/2001,11/12/2001,NA,NA,NA,NA,NA
59,"U. S. District Court, Northern District of California",USDC,George H.W. Bush,Republican,04/25/1991,Ingram,William A.,06/14/1991,06/18/1991,NA,NA,03/23/2012,NA,NA
60,"U. S. District Court, Western District of Arkansas",USDC,Ronald Reagan,Republican,10/23/1985,new,NA,12/16/1985,12/17/1985,NA,NA,NA,06/01/1992,Appointment to Another Judicial Position
61,"U. S. District Court, Eastern District of Arkansas",USDC,Jimmy Carter,Democratic,08/14/1978,Shell,Terry L.,09/20/1978,09/22/1978,NA,NA,NA,03/07/1980,Appointment to Another Judicial Position
62,U. S. Court of Appeals for the District of Columbia Circuit,USCA,Franklin D. Roosevelt,Democratic,02/11/1943,"Rutledge, Jr.",Wiley B.,03/09/1943,03/11/1943,NA,NA,NA,07/09/1945,Resignation
63,"U. S. District Court, Northern District of Florida",USDC,Lyndon B. Johnson,Democratic,11/29/1967,new,NA,12/07/1967,12/07/1967,NA,NA,03/14/1981,11/28/1994,Death
64,"U. S. District Court, Southern District of Florida",USDC,Gerald Ford,Republican,08/04/1976,Mehrtens,William O.,09/17/1976,09/21/1976,NA,NA,10/31/1988,01/08/1997,Death
65,"U. S. District Court, District of Colorado",USDC,Dwight D. Eisenhower,Republican,07/02/1957,Breitenstein,Jean S.,08/05/1957,08/06/1957,NA,NA,08/31/1976,10/23/1992,Death
66,"U. S. District Court, District of Connecticut",USDC,William J. Clinton,Democratic,01/23/1995,Cabranes,Jose A.,03/24/1995,03/24/1995,NA,NA,07/01/2014,NA,NA
67,"U. S. District Court, Northern District of Illinois",USDC,Jimmy Carter,Democratic,04/30/1979,new,NA,07/23/1979,07/24/1979,NA,NA,07/01/2002,NA,NA
68,"U. S. District Court, Southern District of Florida",USDC,Lyndon B. Johnson,Democratic,06/28/1966,new,NA,07/22/1966,07/22/1966,NA,NA,12/31/1982,03/11/1999,Death
3244,Court of Claims,Court of Claims,Theodore Roosevelt,Republican,12/05/1905,Weldon,Lawrence,01/16/1906,01/16/1906,NA,NA,NA,04/16/1916,Resignation
69,"U. S. District Court, Southern District of Texas",USDC,William J. Clinton,Democratic,04/04/1995,DeAnda,James,06/30/1995,06/30/1995,NA,NA,06/20/2014,NA,NA
70,"U. S. District Court, Northern District of Texas",USDC,Warren G. Harding,Republican,12/30/1922,new,NA,01/09/1923,01/09/1923,NA,NA,12/31/1954,12/22/1961,Death
71,"U. S. District Court, District of New Jersey",USDC,John F. Kennedy,Democratic,09/14/1961,new,NA,09/21/1961,09/22/1961,NA,NA,04/01/1972,08/31/1974,Resignation
72,"U. S. District Court, Northern District of Illinois",USDC,John F. Kennedy,Democratic,08/07/1961,LaBuy,Walter J.,08/15/1961,08/15/1961,NA,NA,10/10/1975,02/07/1977,Death
2949,"U. S. District Court, Eastern District of Missouri",USDC,George W. Bush,Republican,03/21/2002,Gunn,George F.,08/01/2002,08/02/2002,NA,NA,NA,NA,NA
73,"U. S. District Court, District of New Jersey",USDC,Herbert Hoover,Republican,09/09/1929,Bodine,Joseph L.,10/02/1929,10/02/1929,NA,NA,NA,01/21/1944,Death
3161,"U. S. District Court, Northern District of Mississippi",USDC,George W. Bush,Republican,03/19/2007,Davidson,Glen H.,10/04/2007,10/22/2007,NA,NA,NA,NA,NA
74,"U. S. District Court, District of Colorado",USDC,Ronald Reagan,Republican,06/23/1988,Kane,John L.,10/14/1988,10/17/1988,NA,NA,04/04/2008,NA,NA
3459,U. S. Court of Appeals for the Tenth Circuit,USCA,Barack Obama,Democratic,01/04/2013,Henry,Robert Harlan,02/25/2013,02/28/2013,NA,NA,NA,NA,NA
75,"U. S. District Court, Southern District of New York",USDC,William J. Clinton,Democratic,04/26/1994,Sweet,Robert W.,08/09/1994,08/10/1994,NA,NA,09/08/2004,05/27/2014,Death
3141,"U. S. District Court, Northern District of West Virginia",USDC,George W. Bush,Republican,01/09/2007,"Stamp, Jr.",Frederick P.,03/15/2007,03/19/2007,NA,NA,NA,NA,NA
76,U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],USDC,Woodrow Wilson,Democratic,05/16/1918,McCoy,Walter I.,05/22/1918,05/22/1918,NA,NA,11/01/1950,01/09/1963,Death
77,"U. S. District Court, Central District of California",USDC,George H.W. Bush,Republican,04/02/1992,new,NA,08/11/1992,08/12/1992,NA,NA,05/12/2004,04/15/2005,Retirement
78,U. S. Circuit Courts for the Seventh Circuit,USCC (1869),Theodore Roosevelt,Republican,12/11/1901,Woods,William Allen,01/21/1902,01/21/1902,NA,NA,NA,12/31/1911,Abolition of Court
79,"U. S. District Court, Eastern District of Illinois",USDC,Jimmy Carter,Democratic,08/09/1978,Wise,Henry S.,09/22/1978,09/23/1978,NA,NA,NA,03/31/1979,Reassignment
80,"U. S. District Court, District of Indiana",USDC,Benjamin Harrison,Republican,03/24/1892,Woods,William A.,03/29/1892,03/29/1892,NA,NA,NA,12/08/1902,Retirement
3427,"U. S. District Court, Eastern District of Arkansas",USDC,Barack Obama,Democratic,11/02/2011,Moody,James Maxwell,05/07/2012,05/08/2012,NA,NA,NA,NA,NA
81,"U. S. District Court, Northern District of West Virginia",USDC,Warren G. Harding,Republican,04/14/1921,Dayton,Alston B.,05/03/1921,05/03/1921,NA,NA,04/03/1954,06/04/1954,Death
82,"U. S. District Court, District of New Mexico",USDC,Ronald Reagan,Republican,05/02/1983,Mechem,Edwin L.,06/06/1983,06/07/1983,NA,NA,NA,01/24/1986,Appointment to Another Judicial Position
83,"U. S. District Court, District of Nevada",USDC,Abraham Lincoln,Republican,03/10/1865,new,NA,03/11/1865,03/11/1865,NA,NA,NA,11/14/1869,Death
84,Supreme Court of the United States,USSC,Andrew Jackson,Democratic,01/04/1830,Washington,Bushrod,01/06/1830,01/06/1830,NA,NA,NA,04/21/1844,Death
85,"U. S. District Court, District of Montana",USDC,Franklin D. Roosevelt,Democratic,05/20/1935,Bourquin,George M.,05/29/1935,06/04/1935,NA,NA,NA,10/26/1944,Death
86,U. S. Court of Customs and Patent Appeals,U. S. Court of Customs and Patent Appeals,Lyndon B. Johnson,Democratic,05/29/1968,Martin,Isaac Jack,07/25/1968,07/25/1968,NA,NA,NA,09/30/1982,Reassignment
87,"U. S. District Court, Western District of Kentucky",USDC,Jimmy Carter,Democratic,09/27/1977,Bratcher,C. Rhodes,10/12/1977,10/12/1977,NA,NA,11/29/1991,02/18/1992,Death
88,"U. S. District Court, District of Kentucky",USDC,Abraham Lincoln,Republican,12/09/1861,Monroe,Thomas,01/22/1862,01/22/1862,NA,NA,NA,07/29/1879,Death
89,"U. S. District Court, District of Indiana",USDC,Calvin Coolidge,Republican,01/02/1925,Anderson,Albert B.,01/13/1925,01/13/1925,NA,NA,NA,04/21/1928,Reassignment
90,"U. S. District Court, District of New Hampshire",USDC,George H.W. Bush,Republican,09/09/1992,Devine,Shane,10/08/1992,10/09/1992,NA,NA,NA,NA,NA
3329,"Associate Judge, U. S. Court of Customs Appeals (later Customs and Patent Appeals)",U. S. Court of Customs and Patent Appeals,William H. Taft,Republican,03/09/1910,new,NA,03/30/1910,03/30/1910,NA,NA,09/30/1928,03/28/1930,Death
2808,"U. S. District Court, Eastern District of Louisiana",USDC,William J. Clinton,Democratic,05/19/1998,Jones,Okla,09/28/1998,10/01/1998,NA,NA,NA,NA,NA
91,"U. S. District Court, Eastern District of Virginia",USDC,Andrew Jackson,Democratic,12/14/1830,Hay,George,12/16/1830,12/16/1830,NA,NA,NA,03/17/1836,Appointment to Another Judicial Position
92,"U. S. District Court, Southern District of Mississippi",USDC,Ronald Reagan,Republican,03/15/1983,Cox,William H.,04/21/1983,04/25/1983,NA,NA,02/04/2006,NA,NA
93,"U. S. District Court, Eastern District of Pennsylvania",USDC,Franklin D. Roosevelt,Democratic,04/04/1940,Dickinson,Oliver B.,04/24/1940,04/29/1940,NA,NA,NA,07/16/1952,Resignation
94,"U. S. District Court, Southern District of Indiana",USDC,Ronald Reagan,Republican,02/14/1984,Holder,Cale J.,03/13/1984,03/14/1984,NA,NA,06/30/2014,NA,NA
95,"U. S. District Court, Southern District of Florida",USDC,Franklin D. Roosevelt,Democratic,01/11/1940,Akerman,Alexander,02/01/1940,02/05/1940,NA,NA,04/30/1959,04/13/1968,Death
96,U. S. Court of Appeals for the Eleventh Circuit,USCA,William J. Clinton,Democratic,09/24/1993,Roney,Paul Hitch,04/14/1994,04/15/1994,NA,NA,NA,09/30/2013,Retirement
97,"U. S. District Court, Western District of Virginia",USDC,Franklin D. Roosevelt,Democratic,01/11/1940,Dobie,Armistead M.,02/01/1940,02/05/1940,NA,NA,08/01/1957,08/16/1972,Death
98,U. S. Court of Appeals for the Fifth Circuit,USCA,George H.W. Bush,Republican,11/17/1989,Rubin,Alvin B.,03/09/1990,03/12/1990,NA,NA,08/08/2009,NA,NA
99,"U. S. District Court, District of New Jersey",USDC,Richard M. Nixon,Republican,07/22/1969,Lane,Arthur S.,12/17/1969,12/18/1969,NA,NA,NA,03/04/1979,Death
100,U. S. District Court for the District of Columbia [Supreme Court of the District of Columbia],USDC,William McKinley,Republican,12/11/1899,Cox,Walter S.,12/19/1899,12/19/1899,NA,NA,NA,06/08/1914,Retirement
101,"U. S. District Court, District of Rhode Island",USDC,Thomas Jefferson,Jeffersonian Republican,01/06/1802,Bourne,Benjamin,01/26/1802,01/26/1802,NA,NA,NA,11/03/1812,Death
102,"U. S. District Court, Western District of Arkansas",USDC,William J. Clinton,Democratic,10/27/1993,Arnold,Morris Sheppard,11/20/1993,11/22/1993,NA,NA,11/01/2008,NA,NA
103,"U. S. District Court, Northern District of Illinois",USDC,Herbert Hoover,Republican,02/26/1931,new,NA,03/02/1931,03/04/1931,NA,NA,09/15/1957,12/31/1958,Resignation
104,U. S. Court of Appeals for the Ninth Circuit,USCA,Dwight D. Eisenhower,Republican,03/05/1956,Orr,William Edwin,03/20/1956,03/21/1956,NA,NA,10/31/1970,03/05/1990,Death
3478,U. S. Court of International Trade,U. S. Court of International Trade,Barack Obama,Democratic,01/04/2013,Barzilay,Judith Morganstern,05/23/2013,05/28/2013,NA,NA,NA,NA,NA
3235,Court of Claims,Court of Claims,Theodore Roosevelt,Republican,12/19/1905,Peelle,Stanton J.,12/20/1905,12/20/1905,NA,NA,NA,04/15/1919,Retirement
105,"U. S. District Court, District of Kentucky",USDC,Rutherford B. Hayes,Republican,04/09/1880,Hays,William H.,04/16/1880,04/16/1880,NA,NA,NA,02/21/1899,Retirement
106,U. S. Court of Appeals for the Tenth Circuit,USCA,Richard M. Nixon,Republican,03/25/1971,Hickey,John Joseph,04/21/1971,04/23/1971,NA,NA,04/08/1987,11/07/2011,Death
3110,"U. S. District Court, Southern District of Ohio",USDC,George W. Bush,Republican,12/16/2005,Rice,Walter Herbert,05/01/2006,05/05/2006,NA,NA,NA,NA,NA
107,"U. S. District Court, Southern District of Georgia",USDC,Warren G. Harding,Republican,06/14/1922,Evans,Beverly D.,06/22/1922,06/22/1922,NA,NA,NA,05/01/1941,Death
3540,U. S. Court of Appeals for the First Circuit,USCA,Barack Obama,Democratic,01/06/2014,Boudin,Michael,05/22/2014,05/23/2014,NA,NA,NA,NA,NA
108,"U. S. District Court, Northern District of Oklahoma",USDC,John F. Kennedy,Democratic,07/18/1962,Savage,Royce H.,08/01/1962,08/02/1962,NA,NA,NA,02/26/1979,Death
109,"U. S. District Court, District of New Jersey",USDC,Ronald Reagan,Republican,09/14/1983,Meanor,H. Curtis,10/06/1983,10/07/1983,NA,NA,NA,10/25/1999,Appointment to Another Judicial Position
110,"U. S. District Court, Eastern District of New York",USDC,Dwight D. Eisenhower,Republican,04/20/1959,Inch,Robert A.,07/28/1959,07/30/1959,NA,NA,12/31/1973,02/13/1997,Death
111,"U. S. District Court, Eastern District of Pennsylvania",USDC,George H.W. Bush,Republican,05/15/1991,"McGlynn, Jr.",Joseph L.,09/12/1991,09/16/1991,NA,NA,10/01/2011,NA,NA
112,"U. S. District Court, Western District of Missouri",USDC,Ronald Reagan,Republican,07/09/1981,Oliver,John W.,09/16/1981,09/19/1981,NA,NA,NA,01/21/2000,Death
3198,U. S. Court of International Trade,U. S. Court of International Trade,William J. Clinton,Democratic,01/27/1998,DiCarlo,Dominick L.,03/11/1998,03/11/1998,NA,NA,06/02/2011,NA,NA
3524,"U. S. District Court, Southern District of California",USDC,Barack Obama,Democratic,01/06/2014,Gonzalez,Irma Elsa,04/30/2014,05/08/2014,NA,NA,NA,NA,NA
113,U. S. Circuit Court for the Third Circuit,USCC (1801),John Adams,Federalist,02/18/1801,new,NA,02/20/1801,02/20/1801,NA,NA,NA,07/01/1802,Abolition of Court
114,"U. S. District Court, District of New Jersey",USDC,George H.W. Bush,Republican,06/14/1991,Brotman,Stanley S.,09/12/1991,09/16/1991,NA,NA,03/06/2005,08/31/2006,Retirement
3525,"U. S. District Court, Eastern District of Washington",USDC,Barack Obama,Democratic,01/06/2014,Shea,Edward F.,04/30/2014,05/01/2014,NA,NA,NA,NA,NA
115,U. S. District Court for the District of Columbia,USDC,Harry S Truman,Democratic,11/27/1950,Bailey,Thomas Jennings,12/14/1950,12/22/1950,NA,NA,NA,12/15/1954,Appointment to Another Judicial Position
2718,"U. S. District Court, District of Nebraska",USDC,William J. Clinton,Democratic,01/07/1997,Strom,Lyle E.,09/11/1997,09/18/1997,NA,NA,10/03/2014,NA,NA
116,"U. S. District Court, Northern District of Ohio",USDC,Ronald Reagan,Republican,02/28/1985,new,NA,04/03/1985,04/04/1985,NA,NA,NA,01/04/1992,Appointment to Another Judicial Position
