MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210713,AK,"240,644.16","468,985.84",0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,2
20210706,AK,"240,644.16","468,985.84",0.00,0.00,0.00,0.00,2021-07-06,2021-07-12,2
20210629,AK,"702,217.65","7,412.34",0.00,0.00,0.00,0.00,2021-06-29,2021-07-05,2
20210622,AK,"702,217.65","7,412.34",0.00,0.00,0.00,0.00,2021-06-22,2021-06-28,2
20210615,AK,"702,217.65","7,412.34",0.00,0.00,0.00,0.00,2021-06-15,2021-06-21,2
20210608,AK,"702,217.65","7,412.34",0.00,0.00,0.00,0.00,2021-06-08,2021-06-14,2
20210601,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-06-01,2021-06-07,2
20210525,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-05-25,2021-05-31,2
20210518,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-05-18,2021-05-24,2
20210511,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-05-11,2021-05-17,2
20210504,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-05-04,2021-05-10,2
20210427,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-04-27,2021-05-03,2
20210420,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-04-20,2021-04-26,2
20210413,AK,"699,664.77","9,965.22",0.00,0.00,0.00,0.00,2021-04-13,2021-04-19,2
20210406,AK,"691,449.94","18,180.05",0.00,0.00,0.00,0.00,2021-04-06,2021-04-12,2
20210330,AK,"668,538.92","41,091.07",0.00,0.00,0.00,0.00,2021-03-30,2021-04-05,2
20210323,AK,"668,538.92","41,091.07",0.00,0.00,0.00,0.00,2021-03-23,2021-03-29,2
20210316,AK,"668,538.92","41,091.07",0.00,0.00,0.00,0.00,2021-03-16,2021-03-22,2
20210309,AK,"668,538.92","41,091.07",0.00,0.00,0.00,0.00,2021-03-09,2021-03-15,2
20210302,AK,"675,872.05","33,757.94",0.00,0.00,0.00,0.00,2021-03-02,2021-03-08,2
20210223,AK,"598,074.69","111,555.31",0.00,0.00,0.00,0.00,2021-02-23,2021-03-01,2
20210216,AK,"598,074.69","111,555.31",0.00,0.00,0.00,0.00,2021-02-16,2021-02-22,2
20210209,AK,"598,074.69","111,555.31",0.00,0.00,0.00,0.00,2021-02-09,2021-02-15,2
20210202,AK,"595,921.33","113,708.67",0.00,0.00,0.00,0.00,2021-02-02,2021-02-08,2
20210126,AK,"684,455.13","25,174.87",0.00,0.00,0.00,0.00,2021-01-26,2021-02-01,2
20210119,AK,"684,455.13","25,174.87",0.00,0.00,0.00,0.00,2021-01-19,2021-01-25,2
20210112,AK,"684,455.13","25,174.87",0.00,0.00,0.00,0.00,2021-01-12,2021-01-18,2
20210105,AK,"690,049.92","19,580.07",0.00,0.00,0.00,0.00,2021-01-05,2021-01-11,2
20201229,AK,"690,049.92","19,580.07",0.00,0.00,0.00,0.00,2020-12-29,2021-01-04,2
20201222,AK,"690,049.92","19,580.07",0.00,0.00,0.00,0.00,2020-12-22,2020-12-28,2
20201215,AK,"689,487.16","20,142.84",0.00,0.00,0.00,0.00,2020-12-15,2020-12-21,2
20201208,AK,"689,487.16","20,142.84",0.00,0.00,0.00,0.00,2020-12-08,2020-12-14,2
20201201,AK,"460,520.82","249,109.17",0.00,0.00,0.00,0.00,2020-12-01,2020-12-07,2
20201124,AK,"460,520.82","249,109.17",0.00,0.00,0.00,0.00,2020-11-24,2020-11-30,2
20201117,AK,"460,520.82","249,109.17",0.00,0.00,0.00,0.00,2020-11-17,2020-11-23,2
20201110,AK,"460,520.82","248,086.54","1,022.62",0.00,0.00,0.00,2020-11-10,2020-11-16,2
20201103,AK,"460,520.82","248,086.54","1,022.62",0.00,0.00,0.00,2020-11-03,2020-11-09,2
20201027,AK,"459,860.51","248,746.85","1,022.62",0.00,0.00,0.00,2020-10-27,2020-11-02,2
20201020,AK,"455,121.05","253,486.32","1,022.62",0.00,0.00,0.00,2020-10-20,2020-10-26,2
20201013,AK,"455,121.05","253,486.32","1,022.62",0.00,0.00,0.00,2020-10-13,2020-10-19,2
20201006,AK,"455,121.05","253,486.32","1,022.62",0.00,0.00,0.00,2020-10-06,2020-10-12,2
20200929,AK,"449,998.26","258,679.29",952.44,0.00,0.00,0.00,2020-09-29,2020-10-05,2
20200922,AK,"439,911.30","259,119.60","10,599.09",0.00,0.00,0.00,2020-09-22,2020-09-28,2
20200915,AK,"439,911.30","259,119.60","10,599.09",0.00,0.00,0.00,2020-09-15,2020-09-21,2
20200908,AK,"436,066.39","262,964.51","10,599.09",0.00,0.00,0.00,2020-09-08,2020-09-14,2
20200901,AK,"411,853.89","287,177.00","10,599.09",0.00,0.00,0.00,2020-09-01,2020-09-07,2
20200825,AK,"473,820.54","226,162.80","9,646.65",0.00,0.00,0.00,2020-08-25,2020-08-31,2
20200818,AK,"480,061.53","229,568.46",0.00,0.00,0.00,0.00,2020-08-18,2020-08-24,2
20200811,AK,"480,061.53","229,568.46",0.00,0.00,0.00,0.00,2020-08-11,2020-08-17,2
20200804,AK,"480,061.53","229,568.46",0.00,0.00,0.00,0.00,2020-08-04,2020-08-10,2
20200728,AK,"659,583.89","50,046.10",0.00,0.00,0.00,0.00,2020-07-28,2020-08-03,2
20200721,AK,"659,583.89","50,046.10",0.00,0.00,0.00,0.00,2020-07-21,2020-07-27,2
20200714,AK,"659,583.89","50,046.10",0.00,0.00,0.00,0.00,2020-07-14,2020-07-20,2
20200707,AK,"658,248.96","51,381.04",0.00,0.00,0.00,0.00,2020-07-07,2020-07-13,2
20200630,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-06-30,2020-07-06,2
20200623,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-06-23,2020-06-29,2
20200616,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-06-16,2020-06-22,2
20200609,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-06-09,2020-06-15,2
20200602,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-06-02,2020-06-08,2
20200526,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-05-26,2020-06-01,2
20200519,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-05-19,2020-05-25,2
20200512,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-05-12,2020-05-18,2
20200505,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-05-05,2020-05-11,2
20200428,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-04-28,2020-05-04,2
20200421,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-04-21,2020-04-27,2
20200414,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-04-14,2020-04-20,2
20200407,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-04-07,2020-04-13,2
20200331,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-03-31,2020-04-06,2
20200324,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-03-24,2020-03-30,2
20200317,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-03-17,2020-03-23,2
20200310,AK,"709,629.99",0.00,0.00,0.00,0.00,0.00,2020-03-10,2020-03-16,2
20200303,AK,"638,798.54","70,831.45",0.00,0.00,0.00,0.00,2020-03-03,2020-03-09,2
20200225,AK,"638,798.54","70,831.45",0.00,0.00,0.00,0.00,2020-02-25,2020-03-02,2
20200218,AK,"369,268.04","340,361.96",0.00,0.00,0.00,0.00,2020-02-18,2020-02-24,2
20200211,AK,"299,953.52","409,676.47",0.00,0.00,0.00,0.00,2020-02-11,2020-02-17,2
20200204,AK,"299,953.52","409,676.47",0.00,0.00,0.00,0.00,2020-02-04,2020-02-10,2
20200128,AK,"299,953.52","409,676.47",0.00,0.00,0.00,0.00,2020-01-28,2020-02-03,2
