category,subcategory,title,director,release_date,release_date_raw,air_date_raw,worldwide_box_office_currency,worldwide_box_office,rotten_tomatoes,metacritic,cinema_score,distributor,original_game_publisher,budget_currency,budget_low,budget_high,domestic_box_office,subject,network
Theatrical releases,English,Super Mario Bros.,Rocky Morton and Annabel Jankel,1993-05-28,"May 28, 1993",NA,$,38912465,29,35,B+,Buena Vista Pictures Distribution,Nintendo,$,42000000,48000000,NA,NA,NA
Theatrical releases,English,Double Dragon,James Yukich,1994-11-04,"November 4, 1994",NA,$,4152699,12,40,F,Gramercy Pictures,Technōs Japan,$,7800000,7800000,NA,NA,NA
Theatrical releases,English,Street Fighter,Steven E. de Souza,1994-12-23,"December 23, 1994",NA,$,99423521,11,34,B-,Universal Pictures | Columbia TriStar Film Distributors International,Capcom,$,35000000,35000000,NA,NA,NA
Theatrical releases,English,Mortal Kombat,Paul W. S. Anderson,1995-08-18,"August 18, 1995",NA,$,124741822,47,60,A-,New Line Cinema,Midway Games,$,20000000,20000000,NA,NA,NA
Theatrical releases,English,Mortal Kombat Annihilation,John R. Leonetti,1997-11-21,"November 21, 1997",NA,$,51376861,4,11,C+,New Line Cinema,Midway Games,$,30000000,30000000,NA,NA,NA
Theatrical releases,English,Wing Commander,Chris Roberts,1999-03-12,"March 12, 1999",NA,$,11578059,10,21,D,20th Century Fox,Origin Systems,$,25000000,27000000,NA,NA,NA
Theatrical releases,English,Lara Croft: Tomb Raider,Simon West,2001-06-15,"June 15, 2001",NA,$,274703340,20,33,B,Paramount Pictures,Eidos,$,115000000,115000000,NA,NA,NA
Theatrical releases,English,Resident Evil,Paul W. S. Anderson,2002-03-15,"March 15, 2002",NA,$,102984862,36,33,B,Sony Pictures Releasing,Capcom,$,33000000,33000000,NA,NA,NA
Theatrical releases,English,Lara Croft: Tomb Raider – The Cradle of Life,Jan de Bont,2003-07-25,"July 25, 2003",NA,$,156505388,24,43,B-,Paramount Pictures,Eidos,$,95000000,95000000,NA,NA,NA
Theatrical releases,English,House of the Dead,Uwe Boll,2003-10-10,"October 10, 2003",NA,$,13818181,3,15,F,Artisan Entertainment,Sega,$,12000000,12000000,NA,NA,NA
Theatrical releases,English,Resident Evil: Apocalypse,Alexander Witt,2004-09-10,"September 10, 2004",NA,$,129342769,18,35,B,Sony Pictures Releasing,Capcom,$,45000000,45000000,NA,NA,NA
Theatrical releases,English,Alone in the Dark,Uwe Boll,2005-01-28,"January 28, 2005",NA,$,10442808,1,9,F,Lionsgate,Infogrames,$,20000000,20000000,NA,NA,NA
Theatrical releases,English,Doom,Andrzej Bartkowiak,2005-10-21,"October 21, 2005",NA,$,55987321,18,34,B-,Universal Pictures,id Software,$,60000000,70000000,NA,NA,NA
Theatrical releases,English,BloodRayne,Uwe Boll,2006-01-06,"January 6, 2006",NA,$,3650275,4,18,N/A,Boll KG Productions,Majesco Entertainment,$,25000000,25000000,NA,NA,NA
Theatrical releases,English,Silent Hill,Christophe Gans,2006-04-21,"April 21, 2006",NA,$,97607453,32,31,C,Sony Pictures Releasing,Konami,$,50000000,50000000,NA,NA,NA
Theatrical releases,English,DOA: Dead or Alive,Corey Yuen,2006-09-07,"September 7, 2006",NA,$,7516532,33,38,N/A,Dimension Films | Summit Entertainment,Tecmo,$,30000000,30000000,NA,NA,NA
Theatrical releases,English,Resident Evil: Extinction,Russell Mulcahy,2007-09-21,"September 21, 2007",NA,$,148412065,24,41,B-,Sony Pictures Releasing,Capcom,$,45000000,45000000,NA,NA,NA
Theatrical releases,English,Postal,Uwe Boll,2007-10-18,"October 18, 2007",NA,$,146741,9,22,N/A,Vivendi Entertainment,Ripcord Games,$,15000000,15000000,NA,NA,NA
Theatrical releases,English,Hitman,Xavier Gens,2007-11-21,"November 21, 2007",NA,$,101276318,16,35,B,20th Century Fox,Eidos,$,24000000,24000000,NA,NA,NA
Theatrical releases,English,In the Name of the King: A Dungeon Siege Tale,Uwe Boll,2008-01-11,"January 11, 2008",NA,$,13097915,4,15,N/A,20th Century Fox,Microsoft Studios,$,60000000,60000000,NA,NA,NA
Theatrical releases,English,Far Cry,Uwe Boll,2008-10-02,"October 2, 2008",NA,$,743634,NA,NA,N/A,20th Century Fox,Ubisoft,$,30000000,30000000,NA,NA,NA
Theatrical releases,English,Max Payne,John Moore,2008-10-17,"October 17, 2008",NA,$,85416905,16,31,C,20th Century Fox,Rockstar Games,$,35000000,35000000,NA,NA,NA
Theatrical releases,English,Street Fighter: The Legend of Chun-Li,Andrzej Bartkowiak,2009-02-27,"February 27, 2009",NA,$,12764201,3,17,N/A,20th Century Fox,Capcom,$,50000000,50000000,NA,NA,NA
Theatrical releases,English,Tekken,Dwight Little,2009-11-05,"November 5, 2009",NA,$,1697207,0,NA,N/A,Anchor Bay Entertainment,Bandai Namco Games,$,30000000,30000000,NA,NA,NA
Theatrical releases,English,Prince of Persia: The Sands of Time,Mike Newell,2010-05-28,"May 28, 2010",NA,$,336365676,37,50,B,Walt Disney Studios Motion Pictures,Ubisoft,$,150000000,200000000,NA,NA,NA
Theatrical releases,English,Resident Evil: Afterlife,Paul W. S. Anderson,2010-09-10,"September 10, 2010",NA,$,300228084,21,37,B-,Sony Pictures Releasing,Capcom,$,60000000,60000000,NA,NA,NA
Theatrical releases,English,Resident Evil: Retribution,Paul W. S. Anderson,2012-09-14,"September 14, 2012",NA,$,240004424,28,39,C+,Sony Pictures Releasing,Capcom,$,65000000,65000000,NA,NA,NA
Theatrical releases,English,Silent Hill: Revelation,M. J. Bassett,2012-10-26,"October 26, 2012",NA,$,52302796,8,16,C,Open Road Films,Konami,$,20000000,20000000,NA,NA,NA
Theatrical releases,English,Need for Speed,Scott Waugh,2014-03-14,"March 14, 2014",NA,$,203277636,23,39,B+,Walt Disney Studios Motion Pictures,Electronic Arts,$,66000000,66000000,NA,NA,NA
Theatrical releases,English,Hitman: Agent 47,Aleksander Bach,2015-08-21,"August 21, 2015",NA,$,82347656,8,28,B,20th Century Fox,Square Enix,$,35000000,35000000,NA,NA,NA
Theatrical releases,English,Warcraft,Duncan Jones,2016-06-10,"June 10, 2016",NA,$,439048914,29,32,B+,Universal Pictures,Blizzard Entertainment,$,160000000,160000000,NA,NA,NA
Theatrical releases,English,Assassin's Creed,Justin Kurzel,2016-12-21,"December 21, 2016",NA,$,240558621,19,36,B+,20th Century Fox,Ubisoft,$,125000000,125000000,NA,NA,NA
Theatrical releases,English,Resident Evil: The Final Chapter,Paul W. S. Anderson,2017-01-27,"January 27, 2017",NA,$,312257250,38,49,B,Sony Pictures Releasing,Capcom,$,40000000,40000000,NA,NA,NA
Theatrical releases,English,Tomb Raider,Roar Uthaug,2018-03-16,"March 16, 2018",NA,$,274650803,52,48,B,Warner Bros. Pictures,Square Enix,$,90000000,106000000,NA,NA,NA
Theatrical releases,English,Rampage,Brad Peyton,2018-04-13,"April 13, 2018",NA,$,428028233,51,45,A-,Warner Bros. Pictures,Warner Bros. Games,$,120000000,140000000,NA,NA,NA
Theatrical releases,English,Dead Trigger,Mike Cuff and Scott Windhauser,2019-05-03,"May 3, 2019",NA,$,151493,NA,NA,N/A,Saban Films,Madfinger Games,NA,NA,NA,NA,NA,NA
Theatrical releases,English,Pokémon Detective Pikachu,Rob Letterman,2019-05-10,"May 10, 2019",NA,$,433305346,68,53,A-,Warner Bros. Pictures,Nintendo | The Pokémon Company,$,150000000,150000000,NA,NA,NA
Theatrical releases,English,Sonic the Hedgehog,Jeff Fowler,2020-02-14,"February 14, 2020",NA,$,319715683,64,47,A,Paramount Pictures,Sega,$,85000000,90000000,NA,NA,NA
Theatrical releases,English,Monster Hunter,Paul W. S. Anderson,2020-12-18,"December 18, 2020",NA,$,42145959,44,47,N/A,Sony Pictures Releasing,Capcom,$,60000000,60000000,NA,NA,NA
Theatrical releases,English,Mortal Kombat,Simon McQuoid,2021-04-23,"April 23, 2021",NA,$,83601013,55,44,B+,Warner Bros. Pictures,Warner Bros. Games,$,55000000,55000000,NA,NA,NA
Theatrical releases,English,Werewolves Within,Josh Ruben,2021-06-25,"June 25, 2021",NA,$,937490,86,66,N/A,IFC Films,Ubisoft,$,6500000,6500000,NA,NA,NA
Theatrical releases,English,Resident Evil: Welcome to Raccoon City,Johannes Roberts,2021-11-24,"November 24, 2021",NA,$,41914915,30,44,C+,Sony Pictures Releasing,Capcom,$,25000000,25000000,NA,NA,NA
Theatrical releases,English,Uncharted,Ruben Fleischer,2022-02-18,"February 18, 2022",NA,$,401748820,41,45,B+,Sony Pictures Releasing,Sony Interactive Entertainment,$,120000000,120000000,NA,NA,NA
Theatrical releases,English,Sonic the Hedgehog 2,Jeff Fowler,2022-04-08,"April 8, 2022",NA,$,405421518,69,47,A,Paramount Pictures,Sega,$,90000000,110000000,NA,NA,NA
Theatrical releases,English,Five Nights at Freddy's,Emma Tammi,2023-10-27,"October 27, 2023",NA,$,297144130,33,33,A-,Universal Pictures,ScottGames,$,20000000,20000000,NA,NA,NA
Theatrical releases,English,Borderlands,Eli Roth,2024-08-09,"August 9, 2024",NA,$,32978510,10,26,D+,Lionsgate,2K Games,$,110000000,120000000,NA,NA,NA
Theatrical releases,English,Sonic the Hedgehog 3,Jeff Fowler,2024-12-20,"December 20, 2024",NA,$,489639902,86,56,A,Paramount Pictures,Sega,$,122000000,122000000,NA,NA,NA
Theatrical releases,English,A Minecraft Movie,Jared Hess,2025-04-04,"April 4, 2025",NA,$,957802316,47,45,B+,Warner Bros. Pictures,Mojang Studios,$,150000000,150000000,NA,NA,NA
Theatrical releases,English,Until Dawn,David F. Sandberg,2025-04-25,"April 25, 2025",NA,$,50174192,51,49,C+,Sony Pictures Releasing,Sony Interactive Entertainment,$,15000000,15000000,NA,NA,NA
Theatrical releases,English,Five Nights at Freddy's 2,Emma Tammi,2025-12-05,"December 5, 2025",NA,$,236367939,16,26,B,Universal Pictures,ScottGames,$,36000000,36000000,NA,NA,NA
