position,player,total,year,records,nation
1,Penev,344,1997,NA,Australia
1,Penev,344,1998,181,Australia
1,Penev,344,1999,126,Australia
1,Penev,344,2000,14,Australia
1,Penev,344,2001,5,Australia
1,Penev,344,2002,11,Australia
1,Penev,344,2003,2,Australia
1,Penev,344,2004,5,Australia
1,Penev,344,2005,NA,Australia
1,Penev,344,2006,NA,Australia
1,Penev,344,2007,NA,Australia
1,Penev,344,2008,NA,Australia
1,Penev,344,2009,NA,Australia
1,Penev,344,2010,NA,Australia
1,Penev,344,2011,NA,Australia
1,Penev,344,2012,NA,Australia
1,Penev,344,2013,NA,Australia
1,Penev,344,2014,NA,Australia
1,Penev,344,2015,NA,Australia
1,Penev,344,2016,NA,Australia
1,Penev,344,2017,NA,Australia
1,Penev,344,2018,NA,Australia
1,Penev,344,2019,NA,Australia
1,Penev,344,2020,NA,Australia
1,Penev,344,2021,NA,Australia
2,MR,275,1997,NA,Germany
2,MR,275,1998,NA,Germany
2,MR,275,1999,NA,Germany
2,MR,275,2000,NA,Germany
2,MR,275,2001,NA,Germany
2,MR,275,2002,NA,Germany
2,MR,275,2003,NA,Germany
2,MR,275,2004,NA,Germany
2,MR,275,2005,NA,Germany
2,MR,275,2006,NA,Germany
2,MR,275,2007,NA,Germany
2,MR,275,2008,NA,Germany
2,MR,275,2009,NA,Germany
2,MR,275,2010,NA,Germany
2,MR,275,2011,20,Germany
2,MR,275,2012,17,Germany
2,MR,275,2013,44,Germany
2,MR,275,2014,27,Germany
2,MR,275,2015,22,Germany
2,MR,275,2016,39,Germany
2,MR,275,2017,21,Germany
2,MR,275,2018,29,Germany
2,MR,275,2019,22,Germany
2,MR,275,2020,23,Germany
2,MR,275,2021,11,Germany
3,abney317,173,1997,NA,USA
3,abney317,173,1998,NA,USA
3,abney317,173,1999,NA,USA
3,abney317,173,2000,NA,USA
3,abney317,173,2001,NA,USA
3,abney317,173,2002,NA,USA
3,abney317,173,2003,NA,USA
3,abney317,173,2004,NA,USA
3,abney317,173,2005,NA,USA
3,abney317,173,2006,NA,USA
3,abney317,173,2007,NA,USA
3,abney317,173,2008,NA,USA
3,abney317,173,2009,NA,USA
3,abney317,173,2010,NA,USA
3,abney317,173,2011,NA,USA
3,abney317,173,2012,NA,USA
3,abney317,173,2013,NA,USA
3,abney317,173,2014,6,USA
3,abney317,173,2015,18,USA
3,abney317,173,2016,18,USA
3,abney317,173,2017,18,USA
3,abney317,173,2018,13,USA
3,abney317,173,2019,9,USA
3,abney317,173,2020,69,USA
3,abney317,173,2021,22,USA
4,Dan,160,1997,NA,USA
4,Dan,160,1998,NA,USA
4,Dan,160,1999,NA,USA
4,Dan,160,2000,NA,USA
4,Dan,160,2001,NA,USA
4,Dan,160,2002,NA,USA
4,Dan,160,2003,NA,USA
4,Dan,160,2004,NA,USA
4,Dan,160,2005,NA,USA
4,Dan,160,2006,NA,USA
4,Dan,160,2007,NA,USA
4,Dan,160,2008,NA,USA
4,Dan,160,2009,NA,USA
4,Dan,160,2010,NA,USA
4,Dan,160,2011,NA,USA
4,Dan,160,2012,NA,USA
4,Dan,160,2013,NA,USA
4,Dan,160,2014,6,USA
4,Dan,160,2015,11,USA
4,Dan,160,2016,24,USA
4,Dan,160,2017,16,USA
4,Dan,160,2018,18,USA
4,Dan,160,2019,17,USA
4,Dan,160,2020,54,USA
4,Dan,160,2021,14,USA
5,MJ,152,1997,NA,Netherlands
5,MJ,152,1998,NA,Netherlands
5,MJ,152,1999,NA,Netherlands
5,MJ,152,2000,NA,Netherlands
5,MJ,152,2001,NA,Netherlands
5,MJ,152,2002,NA,Netherlands
5,MJ,152,2003,42,Netherlands
5,MJ,152,2004,21,Netherlands
5,MJ,152,2005,22,Netherlands
5,MJ,152,2006,9,Netherlands
5,MJ,152,2007,2,Netherlands
5,MJ,152,2008,10,Netherlands
5,MJ,152,2009,5,Netherlands
5,MJ,152,2010,3,Netherlands
5,MJ,152,2011,15,Netherlands
5,MJ,152,2012,11,Netherlands
5,MJ,152,2013,11,Netherlands
5,MJ,152,2014,1,Netherlands
5,MJ,152,2015,NA,Netherlands
5,MJ,152,2016,NA,Netherlands
5,MJ,152,2017,NA,Netherlands
5,MJ,152,2018,NA,Netherlands
5,MJ,152,2019,NA,Netherlands
5,MJ,152,2020,NA,Netherlands
5,MJ,152,2021,NA,Netherlands
6,Booth,121,1997,41,USA
6,Booth,121,1998,54,USA
6,Booth,121,1999,19,USA
6,Booth,121,2000,2,USA
6,Booth,121,2001,2,USA
6,Booth,121,2002,1,USA
6,Booth,121,2003,2,USA
6,Booth,121,2004,NA,USA
6,Booth,121,2005,NA,USA
6,Booth,121,2006,NA,USA
6,Booth,121,2007,NA,USA
6,Booth,121,2008,NA,USA
6,Booth,121,2009,NA,USA
6,Booth,121,2010,NA,USA
6,Booth,121,2011,NA,USA
6,Booth,121,2012,NA,USA
6,Booth,121,2013,NA,USA
6,Booth,121,2014,NA,USA
6,Booth,121,2015,NA,USA
6,Booth,121,2016,NA,USA
6,Booth,121,2017,NA,USA
6,Booth,121,2018,NA,USA
6,Booth,121,2019,NA,USA
6,Booth,121,2020,NA,USA
6,Booth,121,2021,NA,USA
7,VAJ,112,1997,NA,Netherlands
7,VAJ,112,1998,NA,Netherlands
7,VAJ,112,1999,NA,Netherlands
7,VAJ,112,2000,NA,Netherlands
7,VAJ,112,2001,NA,Netherlands
7,VAJ,112,2002,NA,Netherlands
7,VAJ,112,2003,NA,Netherlands
7,VAJ,112,2004,NA,Netherlands
7,VAJ,112,2005,NA,Netherlands
7,VAJ,112,2006,4,Netherlands
7,VAJ,112,2007,9,Netherlands
7,VAJ,112,2008,3,Netherlands
7,VAJ,112,2009,5,Netherlands
7,VAJ,112,2010,6,Netherlands
7,VAJ,112,2011,7,Netherlands
7,VAJ,112,2012,24,Netherlands
7,VAJ,112,2013,12,Netherlands
7,VAJ,112,2014,5,Netherlands
7,VAJ,112,2015,3,Netherlands
7,VAJ,112,2016,2,Netherlands
7,VAJ,112,2017,1,Netherlands
7,VAJ,112,2018,2,Netherlands
7,VAJ,112,2019,NA,Netherlands
7,VAJ,112,2020,20,Netherlands
7,VAJ,112,2021,9,Netherlands
8,Zwartjes,77,1997,8,Netherlands
8,Zwartjes,77,1998,11,Netherlands
8,Zwartjes,77,1999,29,Netherlands
8,Zwartjes,77,2000,26,Netherlands
8,Zwartjes,77,2001,2,Netherlands
8,Zwartjes,77,2002,NA,Netherlands
8,Zwartjes,77,2003,1,Netherlands
8,Zwartjes,77,2004,NA,Netherlands
8,Zwartjes,77,2005,NA,Netherlands
8,Zwartjes,77,2006,NA,Netherlands
8,Zwartjes,77,2007,NA,Netherlands
8,Zwartjes,77,2008,NA,Netherlands
8,Zwartjes,77,2009,NA,Netherlands
8,Zwartjes,77,2010,NA,Netherlands
8,Zwartjes,77,2011,NA,Netherlands
8,Zwartjes,77,2012,NA,Netherlands
8,Zwartjes,77,2013,NA,Netherlands
8,Zwartjes,77,2014,NA,Netherlands
8,Zwartjes,77,2015,NA,Netherlands
8,Zwartjes,77,2016,NA,Netherlands
8,Zwartjes,77,2017,NA,Netherlands
8,Zwartjes,77,2018,NA,Netherlands
8,Zwartjes,77,2019,NA,Netherlands
8,Zwartjes,77,2020,NA,Netherlands
8,Zwartjes,77,2021,NA,Netherlands
9,Peter E,69,1997,4,Austria
9,Peter E,69,1998,34,Austria
9,Peter E,69,1999,31,Austria
9,Peter E,69,2000,NA,Austria
9,Peter E,69,2001,NA,Austria
9,Peter E,69,2002,NA,Austria
9,Peter E,69,2003,NA,Austria
9,Peter E,69,2004,NA,Austria
9,Peter E,69,2005,NA,Austria
9,Peter E,69,2006,NA,Austria
9,Peter E,69,2007,NA,Austria
9,Peter E,69,2008,NA,Austria
9,Peter E,69,2009,NA,Austria
9,Peter E,69,2010,NA,Austria
9,Peter E,69,2011,NA,Austria
9,Peter E,69,2012,NA,Austria
9,Peter E,69,2013,NA,Austria
9,Peter E,69,2014,NA,Austria
9,Peter E,69,2015,NA,Austria
9,Peter E,69,2016,NA,Austria
9,Peter E,69,2017,NA,Austria
9,Peter E,69,2018,NA,Austria
9,Peter E,69,2019,NA,Austria
9,Peter E,69,2020,NA,Austria
9,Peter E,69,2021,NA,Austria
10,Lacey,61,1997,NA,Ireland
10,Lacey,61,1998,NA,Ireland
10,Lacey,61,1999,NA,Ireland
10,Lacey,61,2000,NA,Ireland
10,Lacey,61,2001,3,Ireland
10,Lacey,61,2002,9,Ireland
10,Lacey,61,2003,17,Ireland
10,Lacey,61,2004,2,Ireland
10,Lacey,61,2005,6,Ireland
10,Lacey,61,2006,4,Ireland
10,Lacey,61,2007,NA,Ireland
10,Lacey,61,2008,1,Ireland
10,Lacey,61,2009,3,Ireland
10,Lacey,61,2010,NA,Ireland
10,Lacey,61,2011,2,Ireland
10,Lacey,61,2012,3,Ireland
10,Lacey,61,2013,2,Ireland
10,Lacey,61,2014,4,Ireland
10,Lacey,61,2015,2,Ireland
10,Lacey,61,2016,2,Ireland
10,Lacey,61,2017,NA,Ireland
10,Lacey,61,2018,1,Ireland
10,Lacey,61,2019,NA,Ireland
10,Lacey,61,2020,NA,Ireland
10,Lacey,61,2021,NA,Ireland
11,Myles,55,1997,NA,USA
11,Myles,55,1998,2,USA
11,Myles,55,1999,17,USA
11,Myles,55,2000,5,USA
11,Myles,55,2001,NA,USA
11,Myles,55,2002,NA,USA
11,Myles,55,2003,NA,USA
11,Myles,55,2004,14,USA
11,Myles,55,2005,6,USA
11,Myles,55,2006,2,USA
11,Myles,55,2007,NA,USA
11,Myles,55,2008,NA,USA
11,Myles,55,2009,3,USA
11,Myles,55,2010,1,USA
11,Myles,55,2011,1,USA
11,Myles,55,2012,1,USA
11,Myles,55,2013,2,USA
11,Myles,55,2014,1,USA
11,Myles,55,2015,NA,USA
11,Myles,55,2016,NA,USA
11,Myles,55,2017,NA,USA
11,Myles,55,2018,NA,USA
11,Myles,55,2019,NA,USA
11,Myles,55,2020,NA,USA
11,Myles,55,2021,NA,USA
12,Mike S,53,1997,NA,USA
12,Mike S,53,1998,3,USA
12,Mike S,53,1999,23,USA
12,Mike S,53,2000,27,USA
12,Mike S,53,2001,NA,USA
12,Mike S,53,2002,NA,USA
12,Mike S,53,2003,NA,USA
12,Mike S,53,2004,NA,USA
12,Mike S,53,2005,NA,USA
12,Mike S,53,2006,NA,USA
12,Mike S,53,2007,NA,USA
12,Mike S,53,2008,NA,USA
12,Mike S,53,2009,NA,USA
12,Mike S,53,2010,NA,USA
12,Mike S,53,2011,NA,USA
12,Mike S,53,2012,NA,USA
12,Mike S,53,2013,NA,USA
12,Mike S,53,2014,NA,USA
12,Mike S,53,2015,NA,USA
12,Mike S,53,2016,NA,USA
12,Mike S,53,2017,NA,USA
12,Mike S,53,2018,NA,USA
12,Mike S,53,2019,NA,USA
12,Mike S,53,2020,NA,USA
12,Mike S,53,2021,NA,USA
12,Karlo,53,1997,NA,Brazil
12,Karlo,53,1998,NA,Brazil
12,Karlo,53,1999,NA,Brazil
12,Karlo,53,2000,NA,Brazil
12,Karlo,53,2001,NA,Brazil
12,Karlo,53,2002,NA,Brazil
12,Karlo,53,2003,NA,Brazil
12,Karlo,53,2004,NA,Brazil
12,Karlo,53,2005,11,Brazil
12,Karlo,53,2006,25,Brazil
12,Karlo,53,2007,5,Brazil
12,Karlo,53,2008,2,Brazil
12,Karlo,53,2009,1,Brazil
12,Karlo,53,2010,7,Brazil
12,Karlo,53,2011,NA,Brazil
12,Karlo,53,2012,NA,Brazil
12,Karlo,53,2013,NA,Brazil
12,Karlo,53,2014,NA,Brazil
12,Karlo,53,2015,NA,Brazil
12,Karlo,53,2016,NA,Brazil
12,Karlo,53,2017,NA,Brazil
12,Karlo,53,2018,NA,Brazil
12,Karlo,53,2019,NA,Brazil
12,Karlo,53,2020,2,Brazil
12,Karlo,53,2021,NA,Brazil
14,Launspach,43,1997,43,USA
14,Launspach,43,1998,NA,USA
14,Launspach,43,1999,NA,USA
14,Launspach,43,2000,NA,USA
14,Launspach,43,2001,NA,USA
14,Launspach,43,2002,NA,USA
14,Launspach,43,2003,NA,USA
14,Launspach,43,2004,NA,USA
14,Launspach,43,2005,NA,USA
14,Launspach,43,2006,NA,USA
14,Launspach,43,2007,NA,USA
14,Launspach,43,2008,NA,USA
14,Launspach,43,2009,NA,USA
14,Launspach,43,2010,NA,USA
14,Launspach,43,2011,NA,USA
14,Launspach,43,2012,NA,USA
14,Launspach,43,2013,NA,USA
14,Launspach,43,2014,NA,USA
14,Launspach,43,2015,NA,USA
14,Launspach,43,2016,NA,USA
14,Launspach,43,2017,NA,USA
14,Launspach,43,2018,NA,USA
14,Launspach,43,2019,NA,USA
14,Launspach,43,2020,NA,USA
14,Launspach,43,2021,NA,USA
15,Jonathan,42,1997,9,Canada
15,Jonathan,42,1998,26,Canada
