entity,code,year,net_forest_conversion
Algeria,DZA,1990,-8800
Algeria,DZA,2000,33900
Algeria,DZA,2010,7600
Algeria,DZA,2015,-1400.0000000000005
Argentina,ARG,1990,-182600
Argentina,ARG,2000,-316400
Argentina,ARG,2010,-223400
Argentina,ARG,2015,-104800
Aruba,ABW,1990,0
Aruba,ABW,2000,0
Aruba,ABW,2010,0
Aruba,ABW,2015,0
Australia,AUS,1990,-206810.0000000001
Australia,AUS,2000,-226799.99999999994
Australia,AUS,2010,709680.0000000002
Austria,AUT,1990,6249.999999999999
Austria,AUT,2000,2510.0000000000005
Austria,AUT,2010,3600.0000000000005
Austria,AUT,2015,3590.000000000001
Azerbaijan,AZE,2010,9079.999999999998
Azerbaijan,AZE,2015,14159.999999999995
Bahrain,BHR,1990,10
Bahrain,BHR,2000,10
Bahrain,BHR,2010,20
Bahrain,BHR,2015,20
Bangladesh,BGD,1990,0
Bangladesh,BGD,2000,-3200
Bangladesh,BGD,2010,-990.000000000002
Bangladesh,BGD,2015,0
Belarus,BLR,2000,26110.000000000007
Belarus,BLR,2010,19900
Belarus,BLR,2015,26820
Belgium,BEL,2010,-110.0000000000001
Belgium,BEL,2015,0
Belize,BLZ,1990,-14070
Belize,BLZ,2000,-6790
Belize,BLZ,2010,-11710
Belize,BLZ,2015,-11160
Bhutan,BTN,1990,9930
Bhutan,BTN,2000,9930
Bhutan,BTN,2010,1980
Bhutan,BTN,2015,1980
Bolivia,BOL,1990,-270330
Bolivia,BOL,2000,-201540
Bolivia,BOL,2010,-211760
Bolivia,BOL,2015,-238690
Brazil,BRA,1990,-3780940
Brazil,BRA,2000,-3950790
Brazil,BRA,2010,-1539179.9999999995
Brazil,BRA,2015,-1453040
Bulgaria,BGR,1990,4800
Bulgaria,BGR,2000,36200
Bulgaria,BGR,2010,19200
Bulgaria,BGR,2015,12000
Burundi,BDI,1990,-8250
Burundi,BDI,2000,0
Burundi,BDI,2010,17140
Burundi,BDI,2015,0
Cameroon,CMR,1990,-90250
Cameroon,CMR,2000,-69700
Cameroon,CMR,2010,-56000
Cameroon,CMR,2015,-56000
Canada,CAN,1990,-47100
Canada,CAN,2000,-47980
Canada,CAN,2010,-41300
Canada,CAN,2015,-37520
Cape Verde,CPV,2000,300.00000000000034
Cape Verde,CPV,2010,300.00000000000034
Cape Verde,CPV,2015,300.00000000000017
Cayman Islands,CYM,1990,-20
Cayman Islands,CYM,2000,-20
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2015,0
Central African Republic,CAF,1990,-30000
Central African Republic,CAF,2000,-30000
Central African Republic,CAF,2010,-30000
Central African Republic,CAF,2015,-30000
Chile,CHL,1990,57100
Chile,CHL,2000,90820
Chile,CHL,2010,174160
Chile,CHL,2015,122920
China,CHN,1990,1986000
China,CHN,2000,2360980
China,CHN,2010,1936770
China,CHN,2015,1936790
Colombia,COL,1990,-222260
Colombia,COL,2000,-192770
Colombia,COL,2010,-134630
Colombia,COL,2015,-198550
Congo,COG,1990,-12000
Congo,COG,2000,-12000
Congo,COG,2010,-12000
Congo,COG,2015,-13800
Costa Rica,CRI,1990,-5020
Costa Rica,CRI,2000,1400
Costa Rica,CRI,2010,16370.000000000002
Costa Rica,CRI,2015,16370.000000000002
Croatia,HRV,2000,3500
Croatia,HRV,2010,400
Croatia,HRV,2015,3420.0000000000005
Cuba,CUB,1990,37700
Cuba,CUB,2000,49700
Cuba,CUB,2010,50400
Cuba,CUB,2015,11600
Denmark,DNK,1990,4019.9999999999995
Denmark,DNK,2000,1490
Denmark,DNK,2010,7640.000000000002
Denmark,DNK,2015,750.0000000000001
Djibouti,DJI,1990,0
Djibouti,DJI,2000,0
Djibouti,DJI,2010,0
Djibouti,DJI,2015,40.000000000000014
Dominican Republic,DOM,1990,37760.000000000015
Dominican Republic,DOM,2000,10070
Dominican Republic,DOM,2010,6110.000000000002
Ecuador,ECU,1990,-90170
Ecuador,ECU,2000,-70229.99999999999
Ecuador,ECU,2010,-41800
Ecuador,ECU,2015,-64269.99999999999
El Salvador,SLV,1990,-4500
El Salvador,SLV,2000,-4500
El Salvador,SLV,2010,-4500
El Salvador,SLV,2015,-4500
Equatorial Guinea,GNQ,2000,-8360
Equatorial Guinea,GNQ,2010,-8360
Equatorial Guinea,GNQ,2015,-8360
Estonia,EST,2000,9710
Estonia,EST,2010,17000
Estonia,EST,2015,3480.0000000000005
Ethiopia,ETH,2000,-73000
Ethiopia,ETH,2010,-73000
Ethiopia,ETH,2015,-73000
Falkland Islands,FLK,1990,0
Falkland Islands,FLK,2000,0
Falkland Islands,FLK,2010,0
Falkland Islands,FLK,2015,0
Faroe Islands,NA,1990,0
Faroe Islands,NA,2000,0
Faroe Islands,NA,2010,0
Faroe Islands,NA,2015,0
Finland,FIN,1990,57030
Finland,FIN,2000,-20360
Finland,FIN,2010,33400
French Guyana,NA,1990,-4560
French Guyana,NA,2000,-4290
French Guyana,NA,2010,-3300.0000000000005
French Guyana,NA,2015,-3430
Gabon,GAB,1990,-6110
Gabon,GAB,2000,-5060.000000000001
Gabon,GAB,2010,-11880
Gabon,GAB,2015,-11880
Georgia,GEO,2000,6180
Georgia,GEO,2010,0
Georgia,GEO,2015,0
Germany,DEU,1990,5400
Germany,DEU,2000,5500
Germany,DEU,2010,2000
