entity,code,year,commercial_crops,flooding_due_to_dams,natural_disturbances,pasture,selective_logging,fire,mining,other_infrastructure,roads,tree_plantations_including_palm,small_scale_clearing
Brazil,BRA,2001,280000,0,0,1520000,96000,26000,9000,9000,13000,44000,249000
Brazil,BRA,2002,415000,79000,35000,2568000,96000,114000,9000,13000,31000,44000,293000
Brazil,BRA,2003,550000,0,35000,2761000,149000,44000,0,9000,35000,26000,358000
Brazil,BRA,2004,747000,26000,22000,2564000,131000,79000,0,13000,57000,92000,415000
Brazil,BRA,2005,328000,17000,26000,2665000,140000,393000,0,13000,35000,52000,288000
Brazil,BRA,2006,188000,17000,26000,1861000,52000,79000,0,9000,17000,26000,306000
Brazil,BRA,2007,79000,9000,22000,1577000,96000,446000,9000,13000,13000,39000,310000
Brazil,BRA,2008,52000,0,17000,1345000,61000,70000,9000,17000,48000,17000,397000
Brazil,BRA,2009,57000,9000,31000,847000,87000,44000,0,9000,9000,35000,301000
Brazil,BRA,2010,100000,0,44000,616000,114000,537000,4000,9000,22000,9000,271000
Brazil,BRA,2011,52000,17000,87000,738000,44000,122000,0,0,9000,26000,271000
Brazil,BRA,2012,118000,17000,52000,546000,166000,70000,0,13000,31000,26000,232000
Brazil,BRA,2013,87000,0,13000,695000,131000,26000,35000,4000,17000,35000,284000
