year,events,subject,country,state,era
1492,Christopher Columbus makes his first voyage to the New World opening a vast new empire for plantation slavery.,Exploration and Discovery,The Bahamas,NA,1492-1600
1494,The first Africans arrive in Hispaniola with Christopher Columbus. They are free persons.,Africans in the New World,Dominican Republic,NA,1492-1600
1501,The Spanish king allows the introduction of enslaved Africans into Spain's American colonies.,Spanish Slavery,Spain,NA,1492-1600
1511,The first enslaved Africans arrive in Hispaniola.,Spanish Slavery,Dominican Republic,NA,1492-1600
1513,Thirty Africans accompany Vasco Nunez de Balboa on his trip to the Pacific Ocean.,Exploration and Discovery,Panama,NA,1492-1600
1517,Bishop Bartolome de Las Casas petitions Spain to allow the importation of twelve enslaved Africans for each household immigrating to America's Spanish colonies. De Las Casas later regrets his actions and becomes an opponent of slavery.,Spanish Slavery,Mexico,NA,1492-1600
1518,King Charles I of Spain grants the first licenses to import enslaved Africans to the Americas.,Spanish Slavery,Spain,NA,1492-1600
1518,"The first shipload of enslaved Africans directly from Africa arrives in the West Indies. Prior to this time, Africans were brought first to Europe.",Spanish Slavery,Dominican Republic,NA,1492-1600
1519,Hernan Cortez begins conquest of the Aztec Empire.,Colonial Conquest,Mexico,NA,1492-1600
1520s,"Enslaved Africans are used as laborers in Puerto Rico, Cuba and Mexico.",Spanish Slavery,Puerto Rico,NA,1492-1600
1522,African slaves stage a rebellion in Hispaniola. This is the first slave uprising in the New World.,Anti-Slavery Resistance,Dominican Republic,NA,1492-1600
1526,"Spanish colonists led by Lucas Vasquez de Ayllon build the community of San Miguel de Guadape in what is now Georgia. They bring along enslaved Africans, considered to be the first in the present-day United States. These Africans flee the colony, however, and make their homes with local Indians. After Ayllon's death, the remaining Spaniards relocate to Hispaniola.",Africans in the New World,United States,NA,1492-1600
1527-1539,"Esteban, a Moroccan-born Muslim slave, explores what is now the Southwestern United States.",Exploration and Discovery,United States,NA,1492-1600
1540,An African from Hernando de Soto's Expedition into the Lower Mississippi River valley decides to remain behind to make his home among the Native Americans there.,Africans in the New World,United States,NA,1492-1600
1540,Africans serve in the New Mexico Expeditions of Francisco Vasquez de Coronado and Hernando de Alarcon.,Exploration and Discovery,United States,NA,1492-1600
1542,The Spanish Crown abolishes Indian slavery.,Emancipation,Mexico,NA,1492-1600
1550,The first slaves directly from Africa arrive in the Brazilian city of Salvador.,Portuguese Slavery,Brazil,NA,1492-1600
1562,"An expedition to Hispaniola led by John Hawkins, the first English slave trader, sparks English interest in that activity. Hawkins' travels also call attention to Sierra Leone. Hawkins is knighted in 1588 for his service in England's victory over the Spanish Armada.",English Slavery,Great Britain,NA,1492-1600
1565,"African farmers and artisans accompany Pedro Menendez de Aviles on the expedition that establishes the community of San Agustin (St. Augustine, Florida).",Africans in the New World,United States,NA,1492-1600
