"","name","team","game_year","game_week","rush_att","rush_yds","rush_avg","rush_tds","rush_fumbles","rec","rec_yds","rec_avg","rec_tds","rec_fumbles","pass_att","pass_yds","pass_tds","int","sck","pass_fumbles","rate","position"
"1","Duce Staley","PHI",2000,1,26,201,7.7,1,0,4,61,15.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"2","Lamar Smith","MIA",2000,1,27,145,5.4,1,1,1,12,12,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"3","Tiki Barber","NYG",2000,1,13,144,11.1,2,0,3,25,8.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"4","Stephen Davis","WAS",2000,1,23,133,5.8,1,0,4,37,9.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"5","Edgerrin James","IND",2000,1,28,124,4.4,1,1,6,40,6.7,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"6","Priest Holmes","BAL",2000,1,27,119,4.4,0,0,4,32,8,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"7","Curtis Martin","NYJ",2000,1,30,110,3.7,1,0,6,34,5.7,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"8","Robert Smith","MIN",2000,1,14,109,7.8,0,0,2,3,1.5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"9","Tim Biakabutuka","CAR",2000,1,15,88,5.9,0,0,2,20,10,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"10","Cade McNown","CHI",2000,1,10,87,8.7,1,0,NA,NA,NA,NA,NA,41,290,2,0,2,0,102.7,"QB"
"11","Ricky Williams","NO",2000,1,20,84,4.2,0,2,4,29,7.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"12","Olandis Gary","DEN",2000,1,13,80,6.2,0,0,3,10,3.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"13","Ron Dayne","NYG",2000,1,23,78,3.4,1,0,1,-2,-2,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"14","Marshall Faulk","STL",2000,1,14,78,5.6,1,0,4,100,25,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"15","James Stewart","DET",2000,1,25,78,3.1,0,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"16","Jamal Anderson","ATL",2000,1,24,77,3.2,0,2,1,20,20,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"17","Robert Chancey","SD",2000,1,23,74,3.2,1,0,1,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"18","Stacey Mack","JAC",2000,1,23,74,3.2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"19","Daunte Culpepper","MIN",2000,1,13,73,5.6,3,1,NA,NA,NA,NA,NA,23,190,0,1,1,0,65.5,"QB"
"20","Errict Rhett","CLE",2000,1,14,64,4.6,0,0,5,13,2.6,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"21","Charlie Garner","SF",2000,1,15,62,4.1,0,1,3,45,15,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"22","James Allen","CHI",2000,1,9,60,6.7,0,0,1,17,17,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"23","Rob Johnson","BUF",2000,1,6,60,10,0,0,NA,NA,NA,NA,NA,18,107,1,0,5,0,87,"QB"
"24","Ricky Watters","SEA",2000,1,11,59,5.4,0,0,3,32,10.7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"25","Tony Richardson","KC",2000,1,13,58,4.5,0,0,2,24,12,1,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"26","Warrick Dunn","TB",2000,1,16,56,3.5,0,0,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"27","Mike Alstott","TB",2000,1,16,54,3.4,2,1,1,6,6,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"28","Tyrone Wheatley","OAK",2000,1,13,47,3.6,0,0,3,25,8.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"29","Chris Howard","JAC",2000,1,13,45,3.5,1,0,1,13,13,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"30","Antowain Smith","BUF",2000,1,17,42,2.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"31","Ahman Green","GB",2000,1,12,41,3.4,0,1,3,21,7,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"32","Brian Mitchell","PHI",2000,1,8,39,4.9,1,0,1,5,5,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"33","Eddie George","TEN",2000,1,17,37,2.2,1,0,6,44,7.3,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"34","Terrell Davis","DEN",2000,1,9,34,3.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"35","Troy Brown","NE",2000,1,2,33,16.5,0,0,7,70,10,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"36","Raghib Ismail","DAL",2000,1,2,33,16.5,0,0,3,36,12,0,0,NA,NA,NA,NA,NA,NA,NA,"WR/TE"
"37","Tim Couch","CLE",2000,1,2,32,16,0,0,NA,NA,NA,NA,NA,27,160,1,0,1,0,97.8,"QB"
"38","Richard Huntley","PIT",2000,1,7,31,4.4,0,0,2,12,6,0,0,NA,NA,NA,NA,NA,NA,NA,"RB"
"39","Drew Bledsoe","NE",2000,1,8,30,3.8,0,1,NA,NA,NA,NA,NA,39,216,1,0,6,0,89.3,"QB"
"40","Donovan McNabb","PHI",2000,1,5,29,5.8,1,0,NA,NA,NA,NA,NA,28,130,1,2,1,0,51.2,"QB"
"41","Stanley Pritchett","PHI",2000,1,6,29,4.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"42","Emmitt Smith","DAL",2000,1,7,29,4.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RB"
"43","Brian Griese","DEN",2000,1,4,28,7,1,0,NA,NA,NA,NA,NA,29,307,2,0,4,0,123.8,"QB"
