ParentCoFinal,Argentina,Australia,Bangladesh,Benin,Bhutan,Brazil,Bulgaria,Burkina Faso,Cameroon,Canada,China,Colombia,Cote D'ivoire,Cyprus,ECUADOR,EMPTY,France,Germany,Ghana,Hong Kong,India,Indonesia,Ireland,Italy,Japan,Kenya,Latvia,Luxembourg,Maldives,Mexico,Montenegro,NIGERIA,Netherlands,Nigeria,Philippines,Portugal,Rwanda,Slovenia,South Africa,Spain,Sri Lanka,Switzerland,Taiwan; Republic of China (ROC),Tanzania,Thailand,Tunisia,Turkey,Ukraine,United Arab Emirates,United Kingdom,United States of America,Vietnam,Grand Total
Grand Total,2668,3,16,4988,3500,4734,8,5818,8595,1,3459,856,53,24,12715,61835,15,281,578,3708,2066,13309,1,690,84,9494,2623,1,26,638,4642,47192,5067,80570,37016,1004,413,914,905,1991,3871,7501,120646,1263,369,40,178,4838,12,3,4314,10887,476423
Unbranded,1838,0,0,0,0,2112,8,0,342,0,0,0,0,0,11109,33648,0,280,0,646,515,6298,0,673,36,1948,2244,1,0,106,0,21238,0,29571,17502,1000,78,355,900,1713,1717,6492,120632,0,361,0,0,1618,0,3,3349,3661,271994
La Doo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13521,0,15221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28742
Barna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7205,0,6225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13430
The Coca-Cola Company,257,0,0,0,0,12,0,132,225,1,181,0,0,0,30,1707,0,0,0,434,62,74,0,0,15,112,4,0,0,80,1443,37,389,1884,2804,2,19,14,0,52,232,63,0,20,0,0,0,123,0,0,36,1288,11732
Assorted,0,0,0,0,3500,1745,0,0,0,0,0,856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6101
"Pure Water, Inc.",0,0,0,4988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5310
Nestlé,9,0,0,0,0,30,0,70,126,0,11,0,0,0,44,895,0,0,0,27,40,138,0,0,0,0,0,0,26,7,0,0,60,904,1755,0,0,2,0,14,197,10,0,0,0,0,174,21,0,0,29,262,4851
PepsiCo,27,0,0,0,0,11,0,0,0,0,14,0,0,0,118,1037,0,0,0,24,120,2,1,0,0,2,10,0,0,35,0,24,147,1051,123,0,0,5,0,4,0,3,0,0,1,0,0,111,0,0,104,388,3362
Unilever,7,0,0,0,0,3,0,0,12,0,1,0,0,0,144,234,0,0,0,12,8,81,0,0,0,12,1,0,0,1,0,253,13,790,1299,0,0,0,0,0,203,3,0,0,0,0,0,0,0,0,15,192,3284
Inconnu,0,0,0,0,0,0,0,2996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2996
Master Chef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1229,0,1259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2488
"OK Foods, Inc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1321,0,1069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397
Universal Robina Corporation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,2243
Philip Morris,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1635,0,0,0,4,1,25,0,0,0,0,0,0,0,0,0,0,270,6,90,0,0,62,0,0,0,44,0,0,0,0,0,45,0,0,47,0,2239
FrieslandCampina,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962,0,1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2147
Sweetco Foods Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865,0,975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840
Reckitt Benckiser,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,78,8,1565,2,0,0,12,0,0,9,0,0,0,0,0,0,0,0,0,0,3,1710
Sahakari Jal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538
Indofood,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2,0,654,0,0,0,0,0,0,0,0,0,0,0,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1443
Niger Biscuit Company Limited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438
Bakhresa Group,0,0,0,0,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,661,0,0,0,0,0,0,0,0,1346
Liwayway Holdings Company Limited,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,1173
