state,year,barrels,type
AK,2008,2067.69,On Premises
AK,2009,2263.65,On Premises
AK,2010,1929.1499999999999,On Premises
AK,2011,2251.02,On Premises
AK,2012,2312.43,On Premises
AK,2013,2155.6,On Premises
AK,2014,2114.9700000000003,On Premises
AK,2015,4511.4800000000005,On Premises
AK,2016,13315.93,On Premises
AK,2017,15974.099999999999,On Premises
AK,2018,30620.23,On Premises
AK,2019,32849.37,On Premises
AL,2008,723.53,On Premises
AL,2009,238.6,On Premises
AL,2010,161.24,On Premises
AL,2011,0,On Premises
AL,2012,46.5,On Premises
AL,2013,130.55,On Premises
AL,2014,226.25,On Premises
AL,2015,6109.99,On Premises
AL,2016,23810.78,On Premises
AL,2017,29160.56,On Premises
AL,2018,41718.659999999996,On Premises
AL,2019,47160.08,On Premises
AR,2008,1328.35,On Premises
AR,2009,1279.3400000000001,On Premises
AR,2010,1331.85,On Premises
AR,2011,1124.98,On Premises
AR,2012,1265.9299999999998,On Premises
AR,2013,558.14,On Premises
AR,2014,657.12,On Premises
AR,2015,1609.38,On Premises
AR,2016,6091.89,On Premises
AR,2017,13441.2,On Premises
AR,2018,25150.46,On Premises
AR,2019,16568.73,On Premises
AZ,2008,14857.81,On Premises
AZ,2009,15640.689999999999,On Premises
AZ,2010,16800.24,On Premises
AZ,2011,19897.83,On Premises
AZ,2012,19165.96,On Premises
AZ,2013,18763.52,On Premises
AZ,2014,17173,On Premises
AZ,2015,29869.1,On Premises
AZ,2016,41613.95,On Premises
AZ,2017,45424.11,On Premises
AZ,2018,47009.71,On Premises
AZ,2019,49699.26,On Premises
CA,2008,61172.74,On Premises
CA,2009,54504.99,On Premises
CA,2010,58276.38,On Premises
CA,2011,65069.700000000004,On Premises
CA,2012,64239.95,On Premises
CA,2013,60559.56,On Premises
CA,2014,65035.4,On Premises
CA,2015,124974.7,On Premises
CA,2016,201066.01,On Premises
CA,2017,293554.62,On Premises
CA,2018,359636.06,On Premises
CA,2019,399692.97,On Premises
CO,2008,48528.59,On Premises
CO,2009,49895.79,On Premises
CO,2010,50584.87,On Premises
CO,2011,60811.369999999995,On Premises
CO,2012,57966.729999999996,On Premises
CO,2013,60133.43,On Premises
CO,2014,72839.26,On Premises
CO,2015,121814.79000000001,On Premises
CO,2016,141312.55,On Premises
CO,2017,163026.9,On Premises
CO,2018,176577.49,On Premises
CO,2019,175934.31,On Premises
CT,2008,2205.67,On Premises
CT,2009,2075.57,On Premises
CT,2010,1988.3799999999999,On Premises
CT,2011,2530.8,On Premises
CT,2012,1876.0500000000002,On Premises
CT,2013,1770.05,On Premises
CT,2014,1447.6,On Premises
CT,2015,13218.19,On Premises
CT,2016,10705.61,On Premises
CT,2017,21767.05,On Premises
CT,2018,26871.86,On Premises
CT,2019,34422.9,On Premises
DC,2008,2957.74,On Premises
DC,2009,2948.61,On Premises
DC,2010,3574.26,On Premises
DC,2011,1676.54,On Premises
DC,2012,1572.75,On Premises
DC,2013,2250.9,On Premises
DC,2014,4504.299999999999,On Premises
DC,2015,7207.3099999999995,On Premises
DC,2016,8969.72,On Premises
DC,2017,11096.419999999998,On Premises
DC,2018,10027.41,On Premises
DC,2019,16347.97,On Premises
DE,2008,2005.33,On Premises
DE,2009,2205.38,On Premises
DE,2010,2308.99,On Premises
DE,2011,2541.38,On Premises
DE,2012,2718.28,On Premises
DE,2013,2868.28,On Premises
DE,2014,2771.7,On Premises
DE,2015,5865.02,On Premises
DE,2016,7647.56,On Premises
DE,2017,9254.17,On Premises
DE,2018,13816.8,On Premises
DE,2019,14478.8,On Premises
FL,2008,7078.610000000001,On Premises
FL,2009,6426.66,On Premises
FL,2010,7554.460000000001,On Premises
FL,2011,6761.68,On Premises
FL,2012,6817.799999999999,On Premises
FL,2013,6440.29,On Premises
FL,2014,6585.280000000001,On Premises
FL,2015,38265.32,On Premises
FL,2016,88092.72,On Premises
FL,2017,122617.24,On Premises
FL,2018,138723.04,On Premises
FL,2019,182784.12,On Premises
GA,2008,3751.97,On Premises
GA,2009,3038.61,On Premises
GA,2010,4165.6900000000005,On Premises
GA,2011,4248.35,On Premises
GA,2012,3480.3,On Premises
GA,2013,4647.37,On Premises
GA,2014,4432.32,On Premises
GA,2015,17920.739999999998,On Premises
GA,2016,30539.969999999998,On Premises
GA,2017,51488.76,On Premises
GA,2018,51856.22,On Premises
GA,2019,55631.8,On Premises
HI,2008,1875.2,On Premises
HI,2009,1578.85,On Premises
HI,2010,1680.25,On Premises
HI,2011,1886.65,On Premises
HI,2012,2084.0099999999998,On Premises
HI,2013,1972.63,On Premises
HI,2014,1380.6000000000001,On Premises
HI,2015,4131.2,On Premises
HI,2016,5623.03,On Premises
HI,2017,8503.95,On Premises
HI,2018,12037.939999999999,On Premises
HI,2019,11721.24,On Premises
IA,2008,6817.26,On Premises
IA,2009,6487.26,On Premises
IA,2010,6597.3099999999995,On Premises
IA,2011,6808.030000000001,On Premises
IA,2012,6515.51,On Premises
IA,2013,6003.1900000000005,On Premises
IA,2014,5676.54,On Premises
IA,2015,17866.34,On Premises
IA,2016,29975.6,On Premises
IA,2017,49090.14,On Premises
IA,2018,74918.83,On Premises
IA,2019,61429.37,On Premises
ID,2008,3385.1,On Premises
ID,2009,3195.88,On Premises
ID,2010,4089.04,On Premises
ID,2011,5305.86,On Premises
ID,2012,5376.69,On Premises
ID,2013,4675.48,On Premises
ID,2014,4573.66,On Premises
ID,2015,13809.09,On Premises
ID,2016,7812.7,On Premises
ID,2017,9438.59,On Premises
ID,2018,12906.99,On Premises
ID,2019,13178.42,On Premises
IL,2008,17941.55,On Premises
IL,2009,17090.05,On Premises
IL,2010,20051.7,On Premises
IL,2011,22028.03,On Premises
IL,2012,23229.73,On Premises
IL,2013,26271.03,On Premises
IL,2014,91311.09,On Premises
IL,2015,46217.44,On Premises
IL,2016,72776.5,On Premises
IL,2017,104165.94,On Premises
IL,2018,134257.55,On Premises
IL,2019,118482.59,On Premises
IN,2008,8775.27,On Premises
IN,2009,9190.01,On Premises
IN,2010,10589.68,On Premises
IN,2011,11063.82,On Premises
IN,2012,13120.19,On Premises
IN,2013,13119.349999999999,On Premises
IN,2014,16356.599999999999,On Premises
IN,2015,32880.57,On Premises
IN,2016,36829.47,On Premises
IN,2017,42795.43,On Premises
IN,2018,49318.85,On Premises
IN,2019,55688.14,On Premises
KS,2008,7386.889999999999,On Premises
KS,2009,6970.03,On Premises
KS,2010,7579.85,On Premises
KS,2011,8113.96,On Premises
KS,2012,7821.78,On Premises
KS,2013,7415.82,On Premises
KS,2014,7461.26,On Premises
KS,2015,6624.1,On Premises
KS,2016,9095.51,On Premises
KS,2017,11772.390000000001,On Premises
KS,2018,12510.22,On Premises
KS,2019,14480.41,On Premises
KY,2008,5205.78,On Premises
KY,2009,5672.58,On Premises
KY,2010,5289.92,On Premises
KY,2011,4597.34,On Premises
KY,2012,4949.539999999999,On Premises
KY,2013,6460.08,On Premises
KY,2014,6234.5199999999995,On Premises
KY,2015,7183.3499999999995,On Premises
KY,2016,16546.76,On Premises
KY,2017,27147.949999999997,On Premises
KY,2018,27648.33,On Premises
KY,2019,24404.79,On Premises
LA,2008,1421.57,On Premises
LA,2009,1513.57,On Premises
LA,2010,1775.2,On Premises
LA,2011,1535.77,On Premises
LA,2012,1606.1,On Premises
LA,2013,1723.51,On Premises
LA,2014,1579.1,On Premises
LA,2015,6238.54,On Premises
LA,2016,9478.39,On Premises
LA,2017,16448.690000000002,On Premises
LA,2018,24619.93,On Premises
LA,2019,55422.57,On Premises
MA,2008,10612.91,On Premises
MA,2009,11547.2,On Premises
MA,2010,12231.98,On Premises
MA,2011,10142.24,On Premises
MA,2012,10298.65,On Premises
MA,2013,12570.98,On Premises
MA,2014,10352.16,On Premises
MA,2015,18915.57,On Premises
MA,2016,78787.14,On Premises
MA,2017,85176.38,On Premises
MA,2018,57305.4,On Premises
MA,2019,81860.44,On Premises
MD,2008,6787.24,On Premises
MD,2009,7577.58,On Premises
MD,2010,7525.49,On Premises
MD,2011,7559.490000000001,On Premises
MD,2012,6958.280000000001,On Premises
MD,2013,7771.25,On Premises
MD,2014,7534.6500000000005,On Premises
MD,2015,17339.14,On Premises
MD,2016,23190.15,On Premises
MD,2017,28127.45,On Premises
MD,2018,30431.62,On Premises
MD,2019,33126.14,On Premises
ME,2008,5094.65,On Premises
ME,2009,5528.07,On Premises
ME,2010,6978.09,On Premises
ME,2011,6717.4400000000005,On Premises
ME,2012,7404.9,On Premises
ME,2013,7960.51,On Premises
ME,2014,7501.97,On Premises
ME,2015,14981.92,On Premises
ME,2016,27827.95,On Premises
ME,2017,36717.920000000006,On Premises
ME,2018,49649.08,On Premises
ME,2019,46942.61,On Premises
MI,2008,21484.83,On Premises
MI,2009,22590.989999999998,On Premises
MI,2010,23176.79,On Premises
MI,2011,23766.64,On Premises
MI,2012,25243.93,On Premises
MI,2013,28431.97,On Premises
MI,2014,31218.34,On Premises
MI,2015,55195.439999999995,On Premises
MI,2016,100487.69,On Premises
MI,2017,126317.83,On Premises
MI,2018,126231.72,On Premises
MI,2019,131484.72,On Premises
MN,2008,8568.380000000001,On Premises
MN,2009,7928.92,On Premises
MN,2010,8360.51,On Premises
MN,2011,9205.09,On Premises
MN,2012,11376.94,On Premises
MN,2013,11984.66,On Premises
MN,2014,12425.12,On Premises
MN,2015,35484.79,On Premises
MN,2016,50565.24,On Premises
MN,2017,61178.19,On Premises
MN,2018,85052.12,On Premises
MN,2019,96830.69,On Premises
MO,2008,14793.83,On Premises
MO,2009,13213.419999999998,On Premises
MO,2010,13289.380000000001,On Premises
MO,2011,14315.990000000002,On Premises
MO,2012,14047.279999999999,On Premises
MO,2013,12949.369999999999,On Premises
MO,2014,13379.380000000001,On Premises
MO,2015,18369.1,On Premises
MO,2016,27933.48,On Premises
MO,2017,28606.86,On Premises
MO,2018,31234.65,On Premises
MO,2019,34057.43,On Premises
MS,2008,NA,On Premises
MS,2009,5.81,On Premises
MS,2010,12.58,On Premises
MS,2011,3.23,On Premises
MS,2012,40.12,On Premises
MS,2013,0,On Premises
MS,2014,0,On Premises
MS,2015,6197.57,On Premises
MS,2016,6899.51,On Premises
MS,2017,8898.59,On Premises
MS,2018,10462.16,On Premises
MS,2019,11912.45,On Premises
MT,2008,1039.61,On Premises
MT,2009,1827.57,On Premises
MT,2010,2944.97,On Premises
MT,2011,3806.2999999999997,On Premises
MT,2012,4375.87,On Premises
MT,2013,4373.97,On Premises
MT,2014,5997.94,On Premises
MT,2015,25759.629999999997,On Premises
MT,2016,30906.36,On Premises
MT,2017,35410.18,On Premises
MT,2018,40821.299999999996,On Premises
MT,2019,48182.05,On Premises
NC,2008,14561.529999999999,On Premises
NC,2009,14406.8,On Premises
NC,2010,20184.07,On Premises
NC,2011,20768.59,On Premises
NC,2012,17604.53,On Premises
NC,2013,21871.66,On Premises
NC,2014,19005.47,On Premises
NC,2015,52073.41,On Premises
NC,2016,106408.5,On Premises
NC,2017,122669.87,On Premises
NC,2018,181068.92,On Premises
NC,2019,222608.55,On Premises
ND,2008,648.3299999999999,On Premises
ND,2009,626.62,On Premises
ND,2010,731.62,On Premises
ND,2011,772.39,On Premises
ND,2012,817.7,On Premises
ND,2013,1374.55,On Premises
ND,2014,1346.6299999999999,On Premises
ND,2015,2322.25,On Premises
ND,2016,2809.64,On Premises
ND,2017,5287.38,On Premises
ND,2018,6723.49,On Premises
ND,2019,10218.59,On Premises
NE,2008,3927.23,On Premises
NE,2009,5007.46,On Premises
NE,2010,5392.27,On Premises
NE,2011,6111.780000000001,On Premises
NE,2012,5596.83,On Premises
NE,2013,6392.8,On Premises
NE,2014,3651.12,On Premises
NE,2015,6340.13,On Premises
NE,2016,9731.87,On Premises
NE,2017,16999.38,On Premises
NE,2018,23984.61,On Premises
NE,2019,25822.41,On Premises
NH,2008,4543.38,On Premises
NH,2009,4645.59,On Premises
NH,2010,5272.03,On Premises
NH,2011,5912.51,On Premises
NH,2012,6262.36,On Premises
NH,2013,6077.87,On Premises
NH,2014,6006.92,On Premises
NH,2015,8634.11,On Premises
NH,2016,16905.67,On Premises
NH,2017,27295.210000000003,On Premises
NH,2018,38366.969999999994,On Premises
NH,2019,50049.94,On Premises
NJ,2008,4958.4,On Premises
NJ,2009,4944.87,On Premises
NJ,2010,5642.15,On Premises
NJ,2011,5500.47,On Premises
NJ,2012,5385.1,On Premises
NJ,2013,5535.97,On Premises
NJ,2014,5907.92,On Premises
NJ,2015,19453.22,On Premises
NJ,2016,35059.6,On Premises
NJ,2017,51339.57,On Premises
NJ,2018,59781.77,On Premises
NJ,2019,81325.78,On Premises
NM,2008,7263.2699999999995,On Premises
NM,2009,8925.99,On Premises
NM,2010,12544.54,On Premises
NM,2011,13349.8,On Premises
NM,2012,13875.29,On Premises
NM,2013,13652.7,On Premises
NM,2014,13396.75,On Premises
