data_type,tax_status,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year,tax_rate
Barrels Produced,Totals,2008,1,Production,16211480,15880125,16211480,15880125,$7/$18 per barrel
Barrels Produced,Taxable,2008,1,In bottles and cans,13222104,12824278,13222104,12824278,$7/$18 per barrel
Barrels Produced,Taxable,2008,1,In barrels and kegs,1371239,1357372,1371239,1357372,$7/$18 per barrel
Barrels Produced,Taxable,2008,1,"Tax Determined, Premises Use",7426,8419,7426,8419,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,1,Sub Total Taxable,14600769,14190069,14600769,14190069,$7/$18 per barrel
Barrels Produced,Tax Free,2008,1,For export,262985,268473,262985,268473,$7/$18 per barrel
Barrels Produced,Tax Free,2008,1,For vessels and aircraft,0,0,0,0,$7/$18 per barrel
Barrels Produced,Tax Free,2008,1,Consumed on brewery premises,708,885,708,885,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,1,Sub Total Tax-Free,263693,269358,263693,269358,$7/$18 per barrel
Barrels Produced,Totals,2008,1,Total Removals,14864462,14459427,14864462,14459427,$7/$18 per barrel
Barrels Produced,Totals,2008,1,Stocks On Hand end-of-month:,10230147,10614074,10230147,10614074,$7/$18 per barrel
Barrels Produced,Totals,2008,2,Production,15690494,15284087,31909489,31164212,$7/$18 per barrel
Barrels Produced,Taxable,2008,2,In bottles and cans,13051864,12209114,26279336,25033392,$7/$18 per barrel
Barrels Produced,Taxable,2008,2,In barrels and kegs,1250974,1197553,2622225,2554925,$7/$18 per barrel
Barrels Produced,Taxable,2008,2,"Tax Determined, Premises Use",7558,8090,15035,16509,$7/$18 per barrel
Barrels Produced,Sub Total Taxable,2008,2,Sub Total Taxable,14310396,13414757,28916596,27604826,$7/$18 per barrel
Barrels Produced,Tax Free,2008,2,For export,286593,266301,550005,534774,$7/$18 per barrel
Barrels Produced,Tax Free,2008,2,For vessels and aircraft,0,0,0,0,$7/$18 per barrel
Barrels Produced,Tax Free,2008,2,Consumed on brewery premises,671,732,1379,1617,$7/$18 per barrel
Barrels Produced,Sub Total Tax-Free,2008,2,Sub Total Tax-Free,287264,267033,551384,536391,$7/$18 per barrel
Barrels Produced,Totals,2008,2,Total Removals,14597660,13681790,29467980,28141217,$7/$18 per barrel
Barrels Produced,Totals,2008,2,Stocks On Hand end-of-month:,10497860,11277649,20745169,21891723,$7/$18 per barrel
Barrels Produced,Totals,2008,3,Production,17367476,17388588,49277784,48552848,$7/$18 per barrel
