data_type,material_type,year,month,type,month_current,month_prior_year,ytd_current,ytd_prior_year
Pounds of Materials Used,Grain Products,2008,1,Malt and malt products,374165152,365300134,374165152,365300134
Pounds of Materials Used,Grain Products,2008,1,Corn and corn products,57563519,41647092,57563519,41647092
Pounds of Materials Used,Grain Products,2008,1,Rice and rice products,72402143,81050102,72402143,81050102
Pounds of Materials Used,Grain Products,2008,1,Barley and barley products,3800844,2362162,3800844,2362162
Pounds of Materials Used,Grain Products,2008,1,Wheat and wheat products,1177186,1195381,1177186,1195381
Pounds of Materials Used,Total Grain products,2008,1,Total Grain products,509108844,491554871,509108844,491554871
Pounds of Materials Used,Non-Grain Products,2008,1,Sugar and syrups,78358212,83664091,78358212,83664091
Pounds of Materials Used,Non-Grain Products,2008,1,Hops (dry),4506546,2037754,4506546,2037754
Pounds of Materials Used,Non-Grain Products,2008,1,Hops (used as extracts),621912,411166,621912,411166
Pounds of Materials Used,Non-Grain Products,2008,1,Other,1291615,766735,1291615,766735
Pounds of Materials Used,Total Non-Grain products,2008,1,Total Non-Grain products,84778285,86879746,84778285,86879746
Pounds of Materials Used,Total Used,2008,1,Total Used,593887129,578434617,593887129,578434617
Pounds of Materials Used,Grain Products,2008,2,Malt and malt products,355687578,350035966,729852684,715336100
Pounds of Materials Used,Grain Products,2008,2,Corn and corn products,59513161,40939359,117076680,82586451
Pounds of Materials Used,Grain Products,2008,2,Rice and rice products,66061597,75004651,138927948,156054753
Pounds of Materials Used,Grain Products,2008,2,Barley and barley products,3236714,2573584,7038783,4935746
Pounds of Materials Used,Grain Products,2008,2,Wheat and wheat products,1240983,1074183,2418369,2269564
Pounds of Materials Used,Total Grain products,2008,2,Total Grain products,485740033,469627743,995314464,961182614
Pounds of Materials Used,Non-Grain Products,2008,2,Sugar and syrups,80188744,86331629,158764166,169995720
Pounds of Materials Used,Non-Grain Products,2008,2,Hops (dry),1815271,1974186,6321869,4011940
Pounds of Materials Used,Non-Grain Products,2008,2,Hops (used as extracts),476688,429884,1098600,841050
Pounds of Materials Used,Non-Grain Products,2008,2,Other,1599119,920726,2878735,2286283
Pounds of Materials Used,Total Non-Grain products,2008,2,Total Non-Grain products,84079822,89656425,169063370,177134993
Pounds of Materials Used,Total Used,2008,2,Total Used,569819855,559284168,1164377834,1138317607
Pounds of Materials Used,Grain Products,2008,3,Malt and malt products,399855819,390488998,1130370332,1105825098
Pounds of Materials Used,Grain Products,2008,3,Corn and corn products,60800221,39788598,177877027,122375049
Pounds of Materials Used,Grain Products,2008,3,Rice and rice products,72629666,75931310,211557614,231988315
Pounds of Materials Used,Grain Products,2008,3,Barley and barley products,6950276,7038834,13772668,11975919
Pounds of Materials Used,Grain Products,2008,3,Wheat and wheat products,1888250,1990328,4306619,4259892
Pounds of Materials Used,Total Grain products,2008,3,Total Grain products,542124232,515238068,1537884260,1476424273
Pounds of Materials Used,Non-Grain Products,2008,3,Sugar and syrups,78907213,106155787,237677672,276151507
Pounds of Materials Used,Non-Grain Products,2008,3,Hops (dry),6067167,5142701,12388955,9154665
Pounds of Materials Used,Non-Grain Products,2008,3,Hops (used as extracts),1195722,466493,2294322,1307543
Pounds of Materials Used,Non-Grain Products,2008,3,Other,2211210,1933946,4812634,4220229
Pounds of Materials Used,Total Non-Grain products,2008,3,Total Non-Grain products,88381312,113698927,257173583,290833944
Pounds of Materials Used,Total Used,2008,3,Total Used,630505544,628936995,1795057843,1767258217
Pounds of Materials Used,Grain Products,2008,4,Malt and malt products,388639443,379949657,1519006647,1485821533
Pounds of Materials Used,Grain Products,2008,4,Corn and corn products,61555980,37886557,239433482,160261606
Pounds of Materials Used,Grain Products,2008,4,Rice and rice products,73309991,72746559,284867880,304734874
Pounds of Materials Used,Grain Products,2008,4,Barley and barley products,3912088,2719882,17894247,14679712
Pounds of Materials Used,Grain Products,2008,4,Wheat and wheat products,1404733,1667115,5719101,5927728
Pounds of Materials Used,Total Grain products,2008,4,Total Grain products,528822235,494969770,2066921357,1971425453
Pounds of Materials Used,Non-Grain Products,2008,4,Sugar and syrups,81199989,106182588,318877766,382334033
Pounds of Materials Used,Non-Grain Products,2008,4,Hops (dry),6864440,5683151,19255517,14838047
Pounds of Materials Used,Non-Grain Products,2008,4,Hops (used as extracts),503072,474943,2797394,1782486
Pounds of Materials Used,Non-Grain Products,2008,4,Other,1332607,1104034,6239025,5324335
Pounds of Materials Used,Total Non-Grain products,2008,4,Total Non-Grain products,89900108,113444716,347169702,404278901
Pounds of Materials Used,Total Used,2008,4,Total Used,618722343,608414486,2414091059,2375704354
Pounds of Materials Used,Grain Products,2008,5,Malt and malt products,411307544,412720541,1930438974,1898542131
Pounds of Materials Used,Grain Products,2008,5,Corn and corn products,63945802,56962251,303379246,217223857
Pounds of Materials Used,Grain Products,2008,5,Rice and rice products,76219021,78247021,361086901,382981895
Pounds of Materials Used,Grain Products,2008,5,Barley and barley products,3660048,3889536,21681701,18590243
Pounds of Materials Used,Grain Products,2008,5,Wheat and wheat products,1697578,1678710,7434255,7606438
Pounds of Materials Used,Total Grain products,2008,5,Total Grain products,556829993,553498059,2624021077,2524944564
Pounds of Materials Used,Non-Grain Products,2008,5,Sugar and syrups,89946309,104150281,408825249,486484317
Pounds of Materials Used,Non-Grain Products,2008,5,Hops (dry),7470130,5988145,26756443,20826563
Pounds of Materials Used,Non-Grain Products,2008,5,Hops (used as extracts),545875,604542,3343269,2387028
Pounds of Materials Used,Non-Grain Products,2008,5,Other,1804156,1131684,8060369,6471795
Pounds of Materials Used,Total Non-Grain products,2008,5,Total Non-Grain products,99766470,111874652,446985330,516169703
Pounds of Materials Used,Total Used,2008,5,Total Used,656596463,665372711,3071006407,3041114267
Pounds of Materials Used,Grain Products,2008,6,Malt and malt products,415161326,413722338,2345883022,2312371605
Pounds of Materials Used,Grain Products,2008,6,Corn and corn products,65645480,45077699,369024726,262301556
Pounds of Materials Used,Grain Products,2008,6,Rice and rice products,71779022,77818376,432865923,460803031
Pounds of Materials Used,Grain Products,2008,6,Barley and barley products,7751285,8535911,29472924,27143077
Pounds of Materials Used,Grain Products,2008,6,Wheat and wheat products,2258532,2163899,9715595,9773137
Pounds of Materials Used,Total Grain products,2008,6,Total Grain products,562595645,547318223,3186962190,3072392406
Pounds of Materials Used,Non-Grain Products,2008,6,Sugar and syrups,81012422,98870581,489837657,585354888
Pounds of Materials Used,Non-Grain Products,2008,6,Hops (dry),7361941,5902384,34129897,26730394
Pounds of Materials Used,Non-Grain Products,2008,6,Hops (used as extracts),513130,563477,3856399,2950505
Pounds of Materials Used,Non-Grain Products,2008,6,Other,2446573,2771370,10514645,9233947
Pounds of Materials Used,Total Non-Grain products,2008,6,Total Non-Grain products,91334066,108107812,538338598,624269734
Pounds of Materials Used,Total Used,2008,6,Total Used,653929711,655426035,3725300788,3696662140
Pounds of Materials Used,Grain Products,2008,7,Malt and malt products,405393784,409012239,2751287643,2721383844
Pounds of Materials Used,Grain Products,2008,7,Corn and corn products,66406321,57107410,435431047,319408966
Pounds of Materials Used,Grain Products,2008,7,Rice and rice products,74945452,78702386,507811375,539505417
Pounds of Materials Used,Grain Products,2008,7,Barley and barley products,3395619,3024211,32868573,30167288
Pounds of Materials Used,Grain Products,2008,7,Wheat and wheat products,1371856,1134843,11089376,10907980
Pounds of Materials Used,Total Grain products,2008,7,Total Grain products,551513032,548981089,3738488014,3621373495
Pounds of Materials Used,Non-Grain Products,2008,7,Sugar and syrups,76728131,93425185,566565788,678780073
Pounds of Materials Used,Non-Grain Products,2008,7,Hops (dry),1759452,2418725,35889463,29149119
Pounds of Materials Used,Non-Grain Products,2008,7,Hops (used as extracts),508794,525473,4365193,3475978
Pounds of Materials Used,Non-Grain Products,2008,7,Other,1437970,1588517,11953015,10822464
Pounds of Materials Used,Total Non-Grain products,2008,7,Total Non-Grain products,80434347,97957900,618773459,722227634
Pounds of Materials Used,Total Used,2008,7,Total Used,631947379,646938989,4357261473,4343601129
Pounds of Materials Used,Grain Products,2008,8,Malt and malt products,389391266,398850607,3140885987,3120045337
Pounds of Materials Used,Grain Products,2008,8,Corn and corn products,64953210,54510910,500438007,373919876
Pounds of Materials Used,Grain Products,2008,8,Rice and rice products,70993476,78677206,579293027,618182623
Pounds of Materials Used,Grain Products,2008,8,Barley and barley products,3772040,3436929,36645726,33606254
Pounds of Materials Used,Grain Products,2008,8,Wheat and wheat products,1588068,1337607,12682009,12246048
Pounds of Materials Used,Total Grain products,2008,8,Total Grain products,530698060,536813259,4269944756,4158000138
Pounds of Materials Used,Non-Grain Products,2008,8,Sugar and syrups,83928121,88308910,650553659,767089445
Pounds of Materials Used,Non-Grain Products,2008,8,Hops (dry),5992025,5210547,41887018,34359034
Pounds of Materials Used,Non-Grain Products,2008,8,Hops (used as extracts),377424,506950,4742617,3982929
Pounds of Materials Used,Non-Grain Products,2008,8,Other,1664171,1747557,13838219,12589065
Pounds of Materials Used,Total Non-Grain products,2008,8,Total Non-Grain products,91961741,95773964,711021513,818020473
Pounds of Materials Used,Total Used,2008,8,Total Used,622659801,632587223,4980966269,4976020611
Pounds of Materials Used,Grain Products,2008,9,Malt and malt products,362587470,368839700,3502608010,3488929114
Pounds of Materials Used,Grain Products,2008,9,Corn and corn products,59787127,53367404,560107134,427287280
Pounds of Materials Used,Grain Products,2008,9,Rice and rice products,61739894,65977889,641591109,684163022
Pounds of Materials Used,Grain Products,2008,9,Barley and barley products,8282404,8753818,45375202,42708783
Pounds of Materials Used,Grain Products,2008,9,Wheat and wheat products,1840600,1783510,14529654,14033263
Pounds of Materials Used,Total Grain products,2008,9,Total Grain products,494237495,498722321,4764211109,4657121462
Pounds of Materials Used,Non-Grain Products,2008,9,Sugar and syrups,71982604,76379897,722598338,843473805
Pounds of Materials Used,Non-Grain Products,2008,9,Hops (dry),3788942,3718782,45657845,38086275
Pounds of Materials Used,Non-Grain Products,2008,9,Hops (used as extracts),337294,437701,5079911,4420630
