Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.17,-.30,-.05,-.39,-.13,-.01,-.82,-.50,-.30,-.15,-.11,-.04,.05,.66
1881,-.09,-.19,.00,-.37,.10,-.07,-.92,-.47,-.23,.10,.10,-.05,-.07,.59
1882,-.11,-.22,-.01,-.33,-.05,.01,-1.41,-.28,-.18,-.05,-.05,.01,.04,.62
1883,-.18,-.30,-.07,-.37,-.17,-.01,-.19,-.57,-.29,-.18,-.16,-.04,.07,.49
1884,-.29,-.44,-.15,-.62,-.15,-.14,-1.31,-.65,-.49,-.12,-.17,-.19,-.02,.64
1885,-.34,-.44,-.24,-.67,-.13,-.27,-1.51,-.69,-.48,-.06,-.20,-.33,-.15,.81
1886,-.32,-.44,-.20,-.58,-.20,-.21,-1.59,-.51,-.43,-.21,-.18,-.20,-.20,.58
1887,-.37,-.45,-.29,-.54,-.30,-.28,-1.77,-.51,-.32,-.29,-.31,-.27,-.26,.31
1888,-.17,-.24,-.12,-.43,.10,-.29,-1.31,-.43,-.27,.07,.13,-.31,-.22,.15
1889,-.11,-.18,-.04,-.30,.08,-.16,-.69,-.23,-.29,.02,.14,-.15,-.15,.44
1890,-.35,-.39,-.32,-.47,-.36,-.22,-1.15,-.57,-.28,-.26,-.47,-.17,-.27,.14
1891,-.22,-.26,-.19,-.43,-.07,-.21,-1.13,-.33,-.38,.01,-.16,-.18,-.23,-.16
1892,-.27,-.40,-.15,-.44,-.29,-.08,-1.16,-.65,-.18,-.32,-.26,.03,-.21,.08
1893,-.32,-.48,-.15,-.52,-.37,-.05,-.70,-.54,-.48,-.42,-.32,.07,-.20,-.05
1894,-.31,-.39,-.23,-.33,-.36,-.24,-.96,-.32,-.20,-.49,-.23,-.14,-.35,-.38
1895,-.23,-.31,-.16,-.41,-.09,-.26,-.70,-.53,-.28,-.14,-.03,-.19,-.32,-.59
1896,-.11,-.19,-.03,-.36,.10,-.15,-.90,-.38,-.23,.06,.14,-.15,-.13,.25
1897,-.11,-.16,-.05,-.36,.18,-.23,-.57,-.47,-.25,.15,.20,-.19,-.27,.40
1898,-.27,-.29,-.26,-.36,-.21,-.26,-1.16,-.25,-.24,-.17,-.26,-.27,-.21,.37
1899,-.18,-.21,-.15,-.25,-.12,-.18,-1.03,-.11,-.16,-.15,-.09,-.15,-.22,.57
1900,-.08,-.09,-.06,-.21,.18,-.30,-.54,-.17,-.16,.10,.25,-.28,-.29,.26
1901,-.16,-.12,-.18,-.17,-.04,-.30,-.41,-.11,-.15,-.05,-.02,-.27,-.33,.25
1902,-.28,-.33,-.22,-.53,-.03,-.35,-1.39,-.51,-.33,-.01,-.06,-.28,-.43,-.05
1903,-.37,-.38,-.36,-.47,-.28,-.38,-.27,-.43,-.56,-.22,-.33,-.35,-.40,-.50
1904,-.47,-.48,-.46,-.51,-.46,-.44,-.17,-.60,-.56,-.43,-.51,-.37,-.49,-1.33
1905,-.26,-.29,-.23,-.41,-.08,-.36,-.03,-.24,-.63,-.10,-.06,-.32,-.37,-.34
1906,-.22,-.23,-.21,-.26,-.19,-.23,-.26,-.07,-.40,-.20,-.19,-.20,-.22,-.72
1907,-.39,-.47,-.30,-.59,-.30,-.29,-.56,-.73,-.52,-.29,-.32,-.21,-.36,-1.21
1908,-.42,-.45,-.40,-.48,-.43,-.36,-.21,-.55,-.52,-.40,-.46,-.29,-.48,.67
1909,-.48,-.49,-.48,-.53,-.47,-.44,-.72,-.62,-.44,-.43,-.53,-.37,-.52,-.58
1910,-.43,-.43,-.43,-.42,-.48,-.38,-.56,-.24,-.50,-.46,-.50,-.33,-.45,.15
1911,-.45,-.42,-.47,-.42,-.44,-.48,-.27,-.42,-.48,-.42,-.46,-.44,-.52,.04
1912,-.37,-.46,-.26,-.60,-.20,-.37,-.50,-.79,-.51,-.27,-.12,-.36,-.29,-1.64
1913,-.34,-.42,-.26,-.44,-.27,-.35,-.47,-.33,-.52,-.37,-.15,-.28,-.40,-1.05
1914,-.15,-.19,-.11,-.25,-.06,-.18,-.33,-.16,-.29,-.09,-.02,-.15,-.18,-.37
1915,-.14,-.14,-.13,-.24,-.01,-.22,-.59,-.17,-.20,.00,-.02,-.15,-.23,-1.99
1916,-.36,-.42,-.31,-.37,-.44,-.23,-.47,-.54,-.25,-.48,-.41,-.23,-.17,-1.06
1917,-.46,-.57,-.36,-.51,-.63,-.19,-.81,-.50,-.45,-.67,-.59,-.23,-.09,.05
1918,-.30,-.39,-.20,-.41,-.33,-.14,-1.00,-.27,-.36,-.37,-.29,-.06,-.22,-.29
1919,-.28,-.35,-.20,-.44,-.20,-.22,-.69,-.56,-.31,-.22,-.17,-.14,-.32,.19
1920,-.27,-.30,-.24,-.26,-.25,-.32,-.01,-.21,-.36,-.36,-.13,-.19,-.48,-1.15
1921,-.19,-.11,-.27,.01,-.25,-.31,-.01,.17,-.10,-.28,-.21,-.23,-.38,-.85
1922,-.28,-.28,-.29,-.25,-.31,-.27,-.32,-.41,-.15,-.31,-.31,-.24,-.28,-.29
1923,-.26,-.22,-.31,-.16,-.29,-.34,.16,-.15,-.27,-.31,-.27,-.26,-.41,-.55
1924,-.27,-.18,-.35,-.14,-.25,-.43,.45,-.25,-.24,-.25,-.25,-.39,-.45,-.54
1925,-.22,-.14,-.30,-.05,-.23,-.37,-.10,.18,-.19,-.26,-.20,-.24,-.54,-.87
1926,-.11,.01,-.22,.02,.02,-.40,.55,.15,-.23,.01,.02,-.35,-.45,-.64
1927,-.22,-.13,-.29,-.14,-.15,-.38,.01,-.22,-.13,-.13,-.18,-.30,-.45,-1.39
1928,-.20,-.10,-.29,-.07,-.14,-.39,.70,-.18,-.23,-.13,-.16,-.28,-.48,-2.13
1929,-.36,-.33,-.38,-.38,-.27,-.45,.13,-.62,-.39,-.26,-.28,-.43,-.44,-1.09
1930,-.16,-.01,-.29,.04,-.10,-.42,.52,.04,-.11,-.08,-.12,-.33,-.46,-2.60
1931,-.09,.05,-.21,.00,.09,-.43,.55,-.04,-.14,.12,.06,-.42,-.40,-.42
1932,-.16,-.05,-.25,.03,-.15,-.35,.48,.19,-.21,-.18,-.13,-.21,-.53,-1.00
1933,-.28,-.25,-.32,-.24,-.27,-.34,-.17,-.47,-.13,-.27,-.28,-.22,-.48,-1.16
1934,-.12,.00,-.25,.17,-.24,-.26,.88,.31,-.13,-.24,-.24,-.15,-.38,-.58
1935,-.20,-.09,-.30,-.04,-.17,-.38,.34,-.04,-.16,-.15,-.20,-.30,-.41,-1.72
1936,-.14,-.03,-.26,-.03,-.12,-.30,.39,.11,-.25,-.04,-.20,-.26,-.32,-.04
1937,-.03,.12,-.17,.20,-.05,-.22,1.24,.03,-.03,.01,-.11,-.19,-.25,.35
1938,.00,.16,-.18,.39,-.22,-.10,1.50,.39,.03,-.17,-.27,-.06,-.11,-.87
1939,-.02,.09,-.13,.22,-.12,-.12,.56,.28,.08,-.11,-.13,-.04,-.18,-1.61
1940,.13,.18,.09,.11,.28,-.07,1.00,-.02,-.09,.28,.29,.03,-.20,-.06
1941,.19,.23,.17,.01,.49,-.05,.00,-.10,.08,.55,.44,.04,-.15,-.48
1942,.07,.13,.01,.13,.08,-.01,.72,-.07,.06,.12,.03,.06,-.05,-.91
1943,.09,.18,-.01,.37,-.08,.04,1.41,.28,.11,-.10,-.06,.07,.00,1.13
1944,.21,.27,.14,.38,.19,.05,1.17,.47,.10,.12,.26,.18,-.09,-.95
1945,.09,.11,.09,.11,.17,-.03,.63,-.03,.04,.11,.24,.03,.00,-1.79
1946,-.07,.03,-.17,.06,-.04,-.24,-.03,-.05,.17,-.02,-.07,-.22,-.24,-.19
1947,-.02,.08,-.13,.16,-.06,-.16,1.07,-.13,.05,-.02,-.09,-.19,-.08,-.23
1948,-.11,-.01,-.19,.13,-.18,-.24,.11,.31,.01,-.22,-.13,-.19,-.19,-1.39
1949,-.11,-.03,-.19,.11,-.19,-.23,.20,.17,.05,-.23,-.14,-.18,-.15,-1.99
1950,-.17,-.15,-.20,-.05,-.29,-.14,.19,-.31,.04,-.30,-.27,-.06,-.16,-.87
1951,-.07,.05,-.18,.08,-.06,-.23,.08,.01,.12,.00,-.12,-.22,-.16,-.70
1952,.01,.06,-.03,.11,.02,-.09,.27,-.10,.19,-.01,.05,-.10,-.02,-.51
1953,.08,.24,-.08,.35,.07,-.18,1.02,.35,.14,.08,.06,-.08,-.24,-1.11
1954,-.13,-.02,-.25,.07,-.21,-.22,.80,-.21,.01,-.14,-.29,-.18,-.20,-.82
1955,-.14,-.09,-.20,.04,-.34,-.06,-.25,-.11,.23,-.29,-.38,-.16,-.08,1.22
1956,-.19,-.23,-.16,-.20,-.33,.00,.01,-.48,-.08,-.29,-.38,-.14,.02,.76
1957,.05,.04,.06,.03,.08,.02,.09,.22,-.11,.06,.10,-.09,-.02,.49
1958,.06,.15,-.03,.08,.20,-.15,-.17,.14,.12,.26,.15,-.09,-.08,-.53
1959,.03,.12,-.06,.16,.07,-.16,.49,.18,.04,.07,.08,-.03,-.26,-.36
1960,-.03,.08,-.13,.09,.02,-.20,.33,-.07,.11,.06,-.03,-.10,-.07,-.75
1961,.06,.09,.03,.19,-.03,.05,-.15,.38,.18,-.07,.00,.14,-.17,.21
1962,.03,.13,-.06,.24,-.05,-.08,.44,.31,.14,-.04,-.05,.09,-.07,-.65
1963,.05,.14,-.03,.14,.12,-.12,-.16,.31,.13,.14,.10,-.10,-.17,-.03
1964,-.20,-.19,-.20,-.23,-.14,-.24,-.66,-.20,-.12,-.14,-.14,-.30,-.07,-.38
1965,-.11,-.14,-.07,-.18,-.03,-.13,-.28,-.24,-.12,-.08,.02,-.23,-.03,.00
1966,-.06,-.02,-.09,-.14,.08,-.15,-.76,-.19,.09,.16,-.01,-.24,-.14,.11
1967,-.02,.03,-.08,.12,-.14,-.01,.36,.26,-.05,-.11,-.17,-.09,-.02,.30
1968,-.08,-.07,-.09,-.11,-.07,-.08,-.33,-.02,-.09,-.02,-.11,-.14,.00,-.07
1969,.05,-.03,.14,-.29,.33,.02,-.04,-.61,-.17,.35,.32,.00,.13,-.14
1970,.03,-.04,.09,-.11,.07,.11,-.21,-.13,-.06,.07,.07,.11,.03,.31
1971,-.08,-.15,-.02,-.06,-.26,.13,-.08,.01,-.10,-.29,-.22,.03,.16,.44
1972,.01,-.17,.19,-.34,.16,.14,-.36,-.47,-.24,.06,.26,.16,-.02,.45
1973,.16,.09,.23,.11,.19,.18,.07,.27,.02,.08,.29,.22,.07,.34
1974,-.07,-.18,.03,-.14,-.20,.18,-.19,-.07,-.18,-.23,-.17,.21,-.09,.65
1975,-.01,-.05,.02,.12,-.24,.16,.10,.39,-.05,-.31,-.17,.13,.14,.29
1976,-.10,-.21,.01,-.26,-.11,.09,-.07,-.32,-.28,-.13,-.10,.10,.22,-.24
1977,.18,.12,.24,.13,.16,.25,.16,.24,.06,.10,.22,.22,.31,.28
1978,.07,.02,.11,-.04,.08,.16,-.16,.04,-.04,.10,.05,.21,.13,.04
1979,.16,.08,.25,-.03,.26,.23,-.60,.07,.09,.25,.27,.30,.33,-.20
1980,.26,.17,.35,.06,.31,.39,.26,.02,.02,.32,.29,.35,.37,.59
1981,.32,.37,.27,.48,.18,.36,1.10,.79,.08,.22,.15,.29,.38,.61
1982,.14,.05,.23,-.08,.27,.18,-.39,.10,-.08,.25,.29,.19,.32,-.11
1983,.31,.25,.38,.22,.43,.24,.19,.69,-.07,.29,.58,.21,.41,.05
1984,.16,.04,.28,.02,.19,.26,.37,.08,-.14,.07,.30,.16,.32,.51
1985,.12,.00,.24,-.03,.09,.30,.39,-.26,-.02,.04,.14,.30,.44,.04
1986,.18,.13,.23,.11,.23,.20,.01,.28,.03,.18,.28,.25,.25,-.10
1987,.32,.25,.41,.04,.59,.25,-.36,.13,.12,.55,.62,.32,.25,.00
1988,.39,.37,.41,.40,.38,.39,.60,.57,.24,.33,.43,.38,.20,.88
1989,.27,.27,.28,.41,.13,.34,.33,.69,.25,.07,.19,.36,.30,.36
1990,.45,.53,.37,.63,.37,.37,.59,.88,.48,.38,.36,.37,.37,.36
