Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,0,0.03,0.06,-0.02,-0.13,-0.25,-0.17,0.06,-0.05,-0.15,0,0.05,-0.05,,,-0.03,-0.12,-0.07
1881,-0.09,-0.06,0.09,0.1,0.08,-0.06,-0.08,-0.03,-0.05,-0.01,0,0.09,0,0,-0.03,0.09,-0.05,-0.02
1882,0.07,0.07,0.07,-0.02,-0.04,-0.15,-0.05,0.01,-0.05,0.03,-0.01,-0.07,-0.01,0,0.08,0,-0.06,-0.01
1883,-0.02,-0.08,-0.09,-0.07,-0.1,-0.02,-0.09,-0.05,-0.11,-0.06,-0.04,-0.06,-0.07,-0.07,-0.06,-0.09,-0.05,-0.07
1884,-0.09,-0.06,-0.1,-0.22,-0.32,-0.3,-0.22,-0.07,-0.11,-0.07,-0.11,-0.15,-0.15,-0.14,-0.07,-0.21,-0.19,-0.1
1885,-0.2,-0.23,-0.3,-0.36,-0.33,-0.43,-0.34,-0.23,-0.19,-0.13,-0.11,-0.09,-0.24,-0.25,-0.19,-0.33,-0.33,-0.14
1886,-0.14,-0.2,-0.17,-0.2,-0.15,-0.32,-0.22,-0.19,-0.15,-0.24,-0.15,-0.29,-0.2,-0.19,-0.15,-0.17,-0.24,-0.18
1887,-0.37,-0.44,-0.27,-0.31,-0.35,-0.28,-0.27,-0.17,-0.3,-0.22,-0.25,-0.23,-0.29,-0.29,-0.36,-0.31,-0.24,-0.26
1888,-0.2,-0.12,-0.21,-0.19,-0.29,-0.31,-0.2,-0.1,-0.04,0.06,0.07,0.15,-0.12,-0.15,-0.19,-0.23,-0.2,0.03
1889,0.08,0.03,0.13,0.03,0.02,-0.13,-0.07,-0.2,-0.17,-0.1,-0.06,-0.04,-0.04,-0.02,0.09,0.06,-0.13,-0.11
1890,-0.2,-0.32,-0.33,-0.34,-0.43,-0.33,-0.32,-0.39,-0.38,-0.39,-0.25,-0.16,-0.32,-0.31,-0.19,-0.37,-0.35,-0.34
1891,-0.21,-0.25,-0.2,-0.19,-0.17,-0.28,-0.23,-0.22,-0.23,-0.16,-0.1,-0.05,-0.19,-0.2,-0.21,-0.19,-0.24,-0.16
1892,-0.09,-0.05,-0.14,-0.21,-0.23,-0.38,-0.25,-0.21,-0.13,0,-0.03,-0.11,-0.15,-0.15,-0.06,-0.19,-0.28,-0.05
1893,-0.13,-0.17,-0.12,-0.24,-0.23,-0.32,-0.14,-0.17,-0.16,-0.09,-0.04,-0.06,-0.15,-0.16,-0.14,-0.19,-0.21,-0.1
