film,rotten_tomatoes,metacritic,cinema_score,critics_choice
Toy Story,100,95,A,NA
A Bug's Life,92,77,A,NA
Toy Story 2,100,88,A+,100
"Monsters, Inc.",96,79,A+,92
Finding Nemo,99,90,A+,97
The Incredibles,97,90,A+,88
Cars,74,73,A,89
Ratatouille,96,96,A,91
WALL-E,95,95,A,90
Up,98,88,A+,95
Toy Story 3,98,92,A,97
Cars 2,40,57,A-,67
Brave,78,69,A,81
Monsters University,80,65,A,79
Inside Out,98,94,A,93
The Good Dinosaur,76,66,A,75
Finding Dory,94,77,A,89
Cars 3,69,59,A,66
Coco,97,81,A+,89
Incredibles 2,93,80,A+,86
Toy Story 4,97,84,A,94
Onward,88,61,A-,79
Soul,96,83,NA,93
Luca,NA,NA,NA,NA
