year,month,service,departure_station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,comment_cancellations,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,comment_delays_at_departure,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,comment_delays_on_arrival,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late
2017,9,National,PARIS EST,METZ,85.1337792642,299,0,NA,15,11.55,0.752006688963,NA,17,13.7941176471,0.419843924192,NA,0.25,0,0.166666666667,0.416666666667,0.166666666667,0,6,24.0333333333,1,0
2017,9,National,REIMS,PARIS EST,47.064516129,218,1,NA,10,14.6533333333,1.26351766513,NA,23,13.5702898551,1.13755760369,NA,0.25,0.375,0.125,0.125,0.0625,0.0625,9,21.4981481481,1,0
2017,9,National,PARIS EST,STRASBOURG,116.234939759,333,1,NA,20,13.6941666667,1.13925702811,NA,19,21.5324561404,1.58639558233,NA,0.214285714286,0.214285714286,0.0714285714286,0.285714285714,0.214285714286,0,14,24.694047619,3,0
2017,9,National,PARIS LYON,AVIGNON TGV,161.089583333,481,1,NA,36,20.9884259259,1.40621527778,NA,61,26.5666666667,4.78854166667,NA,0.155172413793,0.120689655172,0.310344827586,0.344827586207,0.0344827586207,0.0344827586207,40,34.0475,21,5
2017,9,National,PARIS LYON,BELLEGARDE (AIN),164.452631579,190,0,NA,16,20.9635416667,1.72894736842,NA,38,23.151754386,6.00885964912,NA,0.166666666667,0.25,0.25,0.305555555556,0,0.0277777777778,26,28.4012820513,8,1
2017,9,National,PARIS LYON,BESANCON FRANCHE COMTE TGV,128.521052632,191,1,NA,18,19.9638888889,1.83877192982,NA,18,31.587962963,5.03368421053,NA,0.111111111111,0.111111111111,0.222222222222,0.5,0,0.0555555555556,15,35.7966666667,8,1
2017,9,National,CHAMBERY CHALLES LES EAUX,PARIS LYON,183.918269231,208,0,NA,49,12.5193877551,3.81690705128,NA,38,25.9214912281,6.4453525641,NA,0.0588235294118,0.352941176471,0.382352941176,0.176470588235,0.0294117647059,0,31,29.0774193548,11,1
2017,9,National,PARIS LYON,GRENOBLE,186.327102804,216,2,NA,24,20.4701388889,2.21168224299,NA,37,36.6216216216,6.57943925234,NA,0.108108108108,0.189189189189,0.27027027027,0.351351351351,0.0810810810811,0,24,49.6875,13,6
2017,9,National,LYON PART DIEU,PARIS LYON,121.283333333,661,1,NA,141,13.0839243499,3.89805555556,NA,122,21.3848360656,5.35356060606,NA,0.0490196078431,0.323529411765,0.294117647059,0.186274509804,0.127450980392,0.0196078431373,70,28.0764285714,20,3
2017,9,National,PARIS LYON,MACON LOCHE,97.4378109453,201,0,NA,23,18.115942029,2.14170812604,NA,26,25.6634615385,5.1447761194,NA,0,0.173913043478,0.391304347826,0.347826086957,0.0434782608696,0.0434782608696,16,33.8854166667,9,1
