marker_id,marker_no,title,subtitle,addl_subtitle,year_erected,erected_by,latitude_minus_s,longitude_minus_w,street_address,city_or_town,section_or_quarter,county_or_parish,state_or_prov,location,missing,link
28208,1,Hood’s Middle Tennessee Campaign and The Battle for Decatur,“A Hard Nut To Crack”,The Battle for Decatur,NA,City of Decatur,34.61417,-86.98337,NA,Decatur,NA,Morgan County,Alabama,"Marker is on Bank Street Northeast north of Church Street Northeast, on the right when traveling north.",NA,http://www.hmdb.org/m.asp?m=28208
28209,1,Decatur and The Civil War in North Alabama,“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.61419,-86.98344,NA,Decatur,NA,Morgan County,Alabama,"Marker is on Bank Street Northeast north of Church Street Northeast, on the left when traveling north.",NA,http://www.hmdb.org/m.asp?m=28209
28241,4,"“An Affair Most Important to Us” - The Federal Right, October 27-28, 1864",“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.6137,-86.98561,NA,Decatur,NA,Morgan County,Alabama,"Marker is at the intersection of Lafayette Street Northwest and Railroad Street, on the right when traveling west on Lafayette Street Northwest.",NA,http://www.hmdb.org/m.asp?m=28241
28243,5,Dancy-Polk House (circa 1829),“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.61461,-86.9851,NA,Decatur,NA,Morgan County,Alabama,"Marker is at the intersection of Church Street Northwest and Railroad Street Northwest, on the left when traveling east on Church Street Northwest.",NA,http://www.hmdb.org/m.asp?m=28243
28245,6,Burleson House (circa 1836),"""A Hard Nut to Crack""",The Battle For Decatur,NA,City of Decatur,34.61681,-86.9845,NA,Decatur,NA,Morgan County,Alabama,"Marker is at the intersection of Sycamore Street Northwest and Market Street Northwest, on the left when traveling north on Sycamore Street Northwest.",NA,http://www.hmdb.org/m.asp?m=28245
28262,7,Two Bridges Across The Tennessee River,“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.61488,-86.98368,NA,Decatur,NA,Morgan County,Alabama,"Marker is at the intersection of Wilson Street Northwest (U.S. 72) and Raiload Street, on the right when traveling west on Wilson Street Northwest.",NA,http://www.hmdb.org/m.asp?m=28262
28263,8,Confederate Leadership at Decatur - McCartney Hotel Site,“A Hard Nut To Crack”,The Battle For Decatur,NA,City of Decatur,34.61508,-86.98263,NA,Decatur,NA,Morgan County,Alabama,"Marker is at the intersection of Harborview Drive Northeast and Market Street Northwest, on the left when traveling north on Harborview Drive Northeast.",NA,http://www.hmdb.org/m.asp?m=28263
30570,2F3,Tennessee / Alabama,Lincoln County /,NA,NA,Tennessee Historical Commission,34.9908,-86.57141,3362 Huntsville Highway,Fisk,NA,Madison County,Alabama,"Marker is at the intersection of Huntsville Highway (U.S. 231/431) and Hunter Road, on the left when traveling north on Huntsville Highway.",NA,http://www.hmdb.org/m.asp?m=30570
36315,141-10,Ocfuskooche Tallauhassee,NA,NA,1956,Georgia Historical Commission,32.91276,-85.19377,NA,Lanett,NA,Chambers County,Alabama,"Marker is on State Line Road (County Route 212) 0.1 miles south of North State Line Road, on the right when traveling north.",NA,http://www.hmdb.org/m.asp?m=36315
39770,5,"Federal Road, 1805,",NA,NA,1932,"Daughters of the American Revolution, Francis Marion Chapter, Montgomery Ala.",32.17572,-86.36741,NA,Pintlala,NA,Montgomery County,Alabama,"Marker is at the intersection of Mobile Highway (U.S. 31) and Federal Road / West Old Hayneville Road (County Road 24), on the left when traveling north on Mobile Highway.",NA,http://www.hmdb.org/m.asp?m=39770
49176,None,Blountsville Court Square Timeline,NA,NA,2010,Alabama Tourism Department and Town of Blountsville,34.08157,-86.59122,NA,Blountsville,NA,Blount County,Alabama,"Marker is on Lee Street (County Road 26), on the right when traveling west.",NA,http://www.hmdb.org/m.asp?m=49176
49251,None,Town of Susan Moore,NA,NA,2010,Alabama Tourism Department and the Town of Susan Moore,34.08175,-86.42052,NA,Susan Moore,NA,Blount County,Alabama,"Marker is on Alabama Route 75, on the left when traveling north.",NA,http://www.hmdb.org/m.asp?m=49251
49656,None,"Pell City, Alabama",NA,NA,2010,Alabama Tourism Department and the City of Pell City,33.5873,-86.28612,NA,Pell City,NA,St. Clair County,Alabama,"Marker is at the intersection of 1st Avenue North and 19th Street North, on the right when traveling west on 1st Avenue North.",NA,http://www.hmdb.org/m.asp?m=49656
49659,None,Camp Winnataska,NA,NA,1997,Camp Winnataska Advisory Committee and the Alabama Historical Association,33.5419,-86.44213,NA,Eden,NA,St. Clair County,Alabama,"Marker is on Camp Winnataska Drive, on the right when traveling west.",NA,http://www.hmdb.org/m.asp?m=49659
49660,None,Historic Downtown Pell City,NA,NA,2003,Alabama Historical Association,33.58633,-86.28603,NA,Pell City,NA,St. Clair County,Alabama,"Marker is at the intersection of Cogswell Avenue (U.S. 78) and 19th Street, on the right when traveling west on Cogswell Avenue.",NA,http://www.hmdb.org/m.asp?m=49660
49666,None,A County Older Than The State,St. Clair County,NA,1957,NA,33.58603,-86.2869,NA,Pell City,NA,St. Clair County,Alabama,"Marker is at the intersection of Cogswell Avenue and 18th Street, on the right when traveling west on Cogswell Avenue.",NA,http://www.hmdb.org/m.asp?m=49666
49667,None,Pell City’s Historical Residential District,NA,NA,2003,Alabama Historical Association,33.58868,-86.28437,NA,Pell City,NA,St. Clair County,Alabama,"Marker is at the intersection of 2nd Avenue North and 21st Street North, on the right when traveling east on 2nd Avenue North.",NA,http://www.hmdb.org/m.asp?m=49667
50125,None,History of Locust Fork,NA,NA,2010,Alabama Tourism Department and the City of Locust Fork,33.90605,-86.6168,NA,Locust Fork,NA,Blount County,Alabama,"Marker is on Town Hall Road, on the left when traveling east.",NA,http://www.hmdb.org/m.asp?m=50125
50652,99,The Blues Trail: Mississippi to Alabama,NA,NA,2010,the Mississippi Blues Commission.,34.71505,-87.69523,617 Hwy 72 W,Tuscumbia,NA,Colbert County,Alabama,Marker is on U.S. 72.,NA,http://www.hmdb.org/m.asp?m=50652
50759,None,Town of Margaret,NA,NA,2010,Alabama Tourism Department and the Town of Margaret,33.68528,-86.47542,NA,Margaret,NA,St. Clair County,Alabama,"Marker is on Main Street, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=50759
50823,None,"Black Creek Park, Five Mile Creek Greenway Partnership and the Fultondale Coke Oven Park",NA,NA,2010,Alabama Tourism Department and the City of Fultondale,33.62157,-86.79908,NA,Fultondale,NA,Jefferson County,Alabama,"Marker is on Yarbrough Road, on the right when traveling east.",NA,http://www.hmdb.org/m.asp?m=50823
60909,1998,St. James C.M.E. Church,"Railroad Street Midway, Alabama",NA,NA,Bullock County Historical Society and Alabama Historical Association,32.07077,-85.5205,NA,Midway,NA,Bullock County,Alabama,"Marker is on Railroad Street, on the right when traveling west.",NA,http://www.hmdb.org/m.asp?m=60909
68503,Stop 3,Vicinity of Salt Works and Camp Anderson,“Salt Is Eminently Contraband”,Civil War Trail Battle for Mobile Bay,NA,Mobile Bay Convention and Visitors Bureau,30.30152,-87.73735,16780 River Road,Bon Secour,NA,Baldwin County,Alabama,"Marker is on River Road, 0.2 miles west of Bon Secour Highway, on the left when traveling west.",NA,http://www.hmdb.org/m.asp?m=68503
68815,Stop C1,The Battle of Mobile Bay,“A Deadly Rain of Shot and Shell”,"Civil War Trail, Battle for Mobile Bay",NA,Mobile Bay Convention and Visitors Bureau,30.22807,-88.02342,51 Highway 180 West,Gulf Shores,NA,Baldwin County,Alabama,Marker can be reached from Fort Morgan Road (State Highway 180) 1.7 miles west of Dune Drive.,NA,http://www.hmdb.org/m.asp?m=68815
69412,Stop C3,The Battle of Mobile Bay,“Damn the Torpedoes!”,"Civil War Trail, Battle for Mobile Bay",NA,Mobile Bay Convention and Visitors Bureau.,30.22816,-88.02338,51 Highway 180 West,Gulf Shores,NA,Baldwin County,Alabama,Marker can be reached from Fort Morgan Road (Alabama Route 180) 1.7 miles west of Dune Drive when traveling west.,NA,http://www.hmdb.org/m.asp?m=69412
69617,Stop C2,The Battle of Mobile Bay,"“Now I Am In The Humor, I Will Have It Out!”","Civil War Trail, Battle for Mobile Bay",NA,Mobile Bay Convention and Visitors Bureau,30.22813,-88.02339,51 Highway 180 West,Gulf Shores,NA,Baldwin County,Alabama,Marker can be reached from Fort Morgan Road (State Highway 180) 1.7 miles west of Dune Drive.,NA,http://www.hmdb.org/m.asp?m=69617
