issue,costume,character,speech,thought,narrative,depicted
97,Costume,Editor narration,0,0,0,0
97,Costume,Omnipresent narration,0,0,0,0
97,Costume,Professor X = Charles Xavier (no costume)*,0,0,0,0
97,Costume,Wolverine = Logan,7,0,0,10
97,Costume,Cyclops = Scott Summers,24,3,0,23
97,Costume,Marvel Girl/Phoenix = Jean Grey,0,0,0,0
97,Costume,Storm = Ororo Munroe,11,0,0,9
97,Costume,Colossus = Peter (Piotr) Rasputin,9,0,0,17
97,Costume,Nightcrawler = Kurt Wagner,10,0,0,17
97,Costume,Banshee = Sean Cassidy,0,0,0,5
97,Costume,Angel = Warren Worthington,0,0,0,0
97,Costume,Ariel/Sprite/Shadowcat = Kitty Pryde,0,0,0,0
97,Costume,Magneto = Erik Magnus*,0,0,0,0
97,Costume,Phoenix(2) = Rachel Summers,0,0,0,0
97,Costume,Rogue = Name Unknown,0,0,0,0
97,Costume,Mystique = Name Unknown*,0,0,0,0
97,Costume,Binary/Ms Marvel = Carol Danvers*,0,0,0,0
97,Costume,Longshot = (unknown real name),0,0,0,0
97,Costume,Dazzler = Alison Blaire,0,0,0,0
97,Costume,Psylocke = Elizabeth (Betsy) Braddock,0,0,0,0
97,Costume,Moira MacTaggert (scientist helper)*,0,0,0,0
97,Costume,Havok = Alex Summers,22,0,0,24
97,Costume,Jubilee = Jubilation Lee,0,0,0,0
97,Costume,Forge = Name Unknown*,0,0,0,0
97,Costume,Gambit = Name Unknown,0,0,0,0
97,Non-Costume,Editor narration,0,0,1,0
97,Non-Costume,Omnipresent narration,0,0,70,0
97,Non-Costume,Professor X = Charles Xavier (no costume)*,17,4,0,12
97,Non-Costume,Wolverine = Logan,0,0,0,0
97,Non-Costume,Cyclops = Scott Summers,10,0,0,7
97,Non-Costume,Marvel Girl/Phoenix = Jean Grey,8,0,0,13
97,Non-Costume,Storm = Ororo Munroe,7,6,0,11
97,Non-Costume,Colossus = Peter (Piotr) Rasputin,3,0,0,4
97,Non-Costume,Nightcrawler = Kurt Wagner,3,0,0,5
97,Non-Costume,Banshee = Sean Cassidy,0,0,0,0
97,Non-Costume,Angel = Warren Worthington,0,0,0,0
97,Non-Costume,Ariel/Sprite/Shadowcat = Kitty Pryde,0,0,0,0
97,Non-Costume,Magneto = Erik Magnus*,0,0,0,0
97,Non-Costume,Phoenix(2) = Rachel Summers,0,0,0,0
97,Non-Costume,Rogue = Name Unknown,0,0,0,0
97,Non-Costume,Mystique = Name Unknown*,0,0,0,0
97,Non-Costume,Binary/Ms Marvel = Carol Danvers*,0,0,0,0
97,Non-Costume,Longshot = (unknown real name),0,0,0,0
