series,issue,title,writer,artist,cover_artist,pass_bechdel,page_number,notes
Avengers,105,Head's up people! The Black Panther is back!!,Steve Englehart,NA,John Buscema,yes,19,NA
Avengers,106,A traitor stalks among us!,Steve Englehart,NA,NA,no,NA,NA
Avengers,107,The Grim Reaper is Back! --(and he's not alone!!),Steve Englehart,NA,NA,no,NA,NA
Avengers,108,Check -- and Mate!,Steve Englehart,NA,NA,no,NA,NA
Avengers,109,NA,Steve Englehart,Don Heck,John Buscema,no,NA,NA
Avengers,110,NA,Steve Englehart,NA,Don Heck,no,NA,NA
Avengers,111,NA,Steve Englehart,NA,NA,no,NA,NA
Avengers,112,Plus in this Ish: The end of an Avenger!,Steve Englehart,NA,Don Heck,yes,4,NA
Avengers,113,Your Young Men Shall Slay Visions!,Steve Englehart,NA,NA,no,NA,NA
Avengers,114,The Night of the Swordsman,Steve Englehart,NA,Ron Wilson,yes,10,NA
Avengers,115,They Lurk Below!,Steve Englehart,NA,Bob Brown,yes,13,NA
Avengers,116,It's Avengers vs. Defender-- to the Death!!,Steve Englehart,NA,NA,no,NA,NA
Avengers,117,You'll Never guess the identity of our mystery super-villain!,Steve Englehart,NA,NA,no,NA,NA
Avengers,118,This is it! Face to face with Loki and the dread Dormammu-- to the Death!,Steve Englehart,NA,Bob Brown,no,NA,NA
Avengers,119,He's back-- with a vengenance! The man who collects superheroes-- the way other men collect insects! -- In the clutches of the uncanny Collector!,Steve Englehart,NA,Ron Wilson,no,NA,NA
Avengers,120,Face to Face with the death dealing legion called-- Zodiac! All the action you can take and more!!,Steve Englehart,NA,Jim Starlin,no,NA,NA
Avengers,121,NA,Steve Englehart,NA,Ron Wilson,no,NA,NA
Avengers,122,The final battle!,Steve Englehart,NA,NA,no,NA,NA
Avengers,123,Special shock issue! The origin of Mantis!,Steve Englehart,NA,Ron Wilson,no,NA,NA
Avengers,124,The Marvel age of comics is back-- and how!! Suddenly… the stalker!,Steve Englehart,NA,"John Buscema, Ron Wilson",no,NA,NA
Avengers,125,Make way for the Marvel age of comics-- Phase two. They strike from space!,Steve Englehart,NA,Ron Wilson,no,NA,NA
Avengers,126,NA,Steve Englehart,NA,Bob Brown,yes,12,NA
Avengers,127,The Fantastic Four! The Inhumans! Take it from us… This one's got it all! Havoc in the hidden land!,Steve Englehart,NA,NA,yes,6,NA
Avengers,128,"Bewitched, Bothered -- and Dead!",Steve Englehart,NA,Sal Buscema,yes,5,NA
Avengers,129,NA,Steve Englehart,NA,Sal Buscema,no,NA,NA
Avengers,130,Titanium Man! Radioactive Man! The Crimson Dynamo! The Slasher! Need we say it? One of the greatest Battle issues ever!,Steve Englehart,NA,Sal Buscema,no,NA,NA
Avengers,131,They come from beyond the grave!  Vs. The legion of the unliving!,Steve Englehart,NA,Sal Buscema,no,NA,NA
Avengers,132,Electrifying announcement! One of the Avengers depicted on this cover will perish in this very issue! But.. Which one?,"Steve Englehart, Roy Thomas",NA,Sal Buscema,no,NA,NA
Avengers,133,Avengers assemble-- to learn the startling secret of the Hooded One!,Steve Englehart,NA,Sal Buscema,yes,1,NA
Avengers,134,Feturing the long-awaited origin of the Vision!,Steve Englehart,NA,Sal Buscema,yes,12,NA
Avengers,135,Journey thru time with Earth's Mightiest Heroes to learn the shattering secret of Mantis… Plus how the human torch became… the Vision!,Steve Englehart,NA,George Tuska,no,NA,NA
Avengers,136,It had to happen! This one you must not miss! Shattering special!! One Aveneger: Dead!,Steve Englehart,NA,Tom Surron,no,NA,NA
Avengers,137,"Once more, the order changeth!! Enter Moondragon… Yellowjacket… and the bluegeining Beast!",Steve Englehart,NA,George Tuska,no,NA,NA
Avengers,138,Stranger in a strange man!,Steve Englehart,NA,George Tuska,no,NA,NA
Avengers,139,Precription: Death!,Steve Englehart,NA,George Tuska,no,NA,NA
Avengers,140,Invasion of the 50-Foot Hero!,Steve Englehart,NA,George Tuska,no,NA,NA
Avengers,141,NA,Steve Englehart,NA,NA,yes,17,NA
Avengers,142,"No, Marvelite--Your eyes aren't deceiving you! It really is the Avengers vs. the wildest Western heroes of all!! Face it, friend -- this story you dare not miss!",Steve Englehart,NA,George Perez,no,NA,NA
