issue,location,context,notes
97,Space,Dream,NA
97,X-Mansion,Present,NA
97,Rio Diablo Research Facility,Present,NA
97,Kennedy International Airport,Present,NA
97,Undisclosed Villain Location,Present,NA
98,Rockefeller Centre,Present,NA
98,Boat in the Bahama Out Islands,Present,NA
98,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
98,X-Mansion,Present,NA
98,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
99,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
99,X-Mansion,Present,Cuts back and forth panel-by-panel from X-Mansion to Sentinel Space Station
99,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
99,X-Mansion,Present,NA
99,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
99,X-Mansion,Present,NA
99,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
99,X-Mansion,Present,NA
99,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
99,X-Mansion,Present,NA
99,Cape Canaveral,Present,NA
99,Space Ship (Starcore Eagle One) en route to Sentinel Space Station,Present,NA
99,Starcore One Space Research Station,Present,NA
99,Space Ship (Starcore Eagle One) en route to Sentinel Space Station,Present,NA
99,"Dal'roon, Ireland",Present,NA
99,Space Ship (Starcore Eagle One) en route to Sentinel Space Station,Present,NA
99,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
100,Sentinel Space Station (former SHIELD Orbital Platform),Present,NA
100,Space Ship (Starcore Eagle One) en route to Earth,Present,NA
101,Kennedy International Airport,Present,NA
101,Jamaica Bay,Present,NA
101,Kennedy International Airport,Present,NA
101,Flower Stand in NYC,Present,NA
101,Hospital in NYC,Present,NA
101,Ireland,Present,NA
101,"Car, enroute to the Cassidy Keep",Present,NA
101,"Cassidy Keep, Ireland",Present,NA
102,"Cassidy Keep, Ireland",Present,NA
102,"Harlem, NYC",Past,NA
102,Cairo,Past,NA
102,Sahara,Past,NA
102,Hospital in NYC,Present,NA
102,"Cassidy Keep, Ireland",Present,NA
103,"Cassidy Keep, Ireland",Present,NA
103,"Cassidy Keep, Ireland",Past,NA
103,"Cassidy Keep, Ireland",Present,NA
103,"Cassidy Keep, Ireland",Past,NA
103,"Cassidy Keep, Ireland",Present,NA
103,Undisclosed Villain Location,Present,NA
104,"Stornoway, Scotland",Present,NA
104,Hovercraft on the Northeast Coast of Scotland,Present,NA
104,"Moira McTaggart's Laboratory, Northeast Coast of Scotland",Present,NA
104,"Aircraft, enroute to Moira McTaggart's Laboratory",Present,NA
104,"Moira McTaggart's Laboratory, Northeast Coast of Scotland",Present,NA
104,"Moira McTaggart's Laboratory, Northeast Coast of Scotland",Past,flashback as character describes story in present
104,"Moira McTaggart's Laboratory, Northeast Coast of Scotland",Present,NA
104,"Aircraft, enroute to X-Mansion",Present,NA
104,Space,Present,NA
104,"Jean Grey's Apartment, Greenwich Village, NYC",Present,NA
105,"Private Airfield, Westchester, NY",Present,NA
105,"Moira McTaggart's Laboratory, Northeast Coast of Scotland",Past,flashback as character describes story in present
105,"Private Airfield, Westchester, NY",Present,NA
105,Space,Present,NA
105,Spaceship,Present,NA
105,"Jean Grey's Apartment, Greenwich Village, NYC",Present,NA
105,Washington Square Park,Present,NA
105,"Jean Grey's Apartment, Greenwich Village, NYC",Present,NA
105,"X-Men Hoverjet, en route to Jean Grey's Apartment",Present,NA
105,"Jean Grey's Apartment, Greenwich Village, NYC",Present,NA
106,"Jean Grey's Apartment, Greenwich Village, NYC",Present,A majority of this issue occurs in the past
106,X-Mansion,Past,NA
106,Danger Room,Past,NA
106,"Jean Grey's Apartment, Greenwich Village, NYC",Present,NA
107,Princess Lilandra's Home Planet,Present,"The location is described as ""a world with no name"". Henceforth, it shall be referred to as ""Princess Lilandra's Home Planet"""
