issue,cover_artist,narrative_captions,characters_visualized,characters_speaking,dialog_text
97,Dave Cockrum,Cyclops vs. Havok -- In a duel to the death! My Brother-- My Enemy!,"Cyclops
Havok
Colossus
Storm
Nightcrawler",Storm,"Storm: ""Stay Back, my fellow X-Men!""
Storm: ""This is one battle that Cyclops must fight alone!"""
98,Dave Cockrum,The Sentinels are Back! 'Nuff Said!,"Cyclops
Wolverine
Colossus
Storm
Nightcrawler
Sentinels (x2)",NA,NA
99,Dave Cockrum,NA,"Cyclops
Colossus
Banshee
Nightcrawler
Storm
Sentinels (x2)",Colossus,"Colossus: ""Even if we escape the energy-spheres of the Sentinels -- how can we survive in the vacuum of space?"""
100,Dave Cockrum,X-Man vs. X-Man in a battle to the death -- betrayed by Professor X!,"Cyclops
Jean Grey
Angel
Beast
Iceman
Colossus
Storm
Nightcrawler
Banshee
Wolverine
Professor Xavier",NA,NA
101,Dave Cockrum,In the mutant heroes' hour of maximum peril… Enter: The Phoenix!,"Cyclops
Jean Grey
Storm
Nightcrawler",NA,NA
102,Dave Cockrum,If Colossus should fall -- who shall stop the Juggernaut?,"Colossus
Nightcrawler
Storm
Juggernaut",NA,NA
103,Dave Cockrum,Death Siege!,"Storm
Banshee
Nightcrawler
Juggernaut
Black Tom Cassidy",NA,NA
104,Dave Cockrum,"It HAD to happen! The new X-Men against Magneto, Earth's most powerful super-villain!","Storm
Wolverine
Cyclops
Colossus
Nightcrawler
Magneto",NA,NA
105,Dave Cockrum,"Phoenix alone -- against the most feasome foe of all! The flame, the frenzy… and Firelord!","Jean Grey
Storm
Colossus
Nightcrawler
Firelord",NA,NA
106,Dave Cockrum,The Angel is back! And he's come to murder the new X-Men with their own leader's deadly eye blasts!,"Cyclops
Storm
Nightcrawler
Colossus
Angel",NA,NA
107,Dave Cockrum,Beginning! The incredible saga of -- the Starjammers! Will it be the end of the X-Men?!,"Cyclops
Colossus
Banshee
Storm
StarJammers(all of them)
Aliens from Lilandra's home planet",NA,NA
