datastore_row_id,condominium_id,condominium_name_th,building_name_th,province_code,province_name_th,district_code,district_name_th,subdistrict_code_source,subdistrict_name_th_source,land_office_branch_code,land_office_branch_name_th,floor_or_range_source,floor_value_has_thai_month_token,use_category_th,assessed_value_thb_per_sqm,duplicate_of_datastore_row_id,value_basis
116179,41905,แอลเอ คอนโดมิเนียม,-,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,2,False,ห้องชุดพักอาศัย/พื้นที่ระเบียง,99300,,official_statutory_assessment_rate_not_market_price
116180,41905,แอลเอ คอนโดมิเนียม,-,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,3,False,ห้องชุดพักอาศัย/พื้นที่ระเบียง,99900,,official_statutory_assessment_rate_not_market_price
116181,41905,แอลเอ คอนโดมิเนียม,-,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,4,False,ห้องชุดพักอาศัย/พื้นที่ระเบียง,100800,,official_statutory_assessment_rate_not_market_price
116182,41905,แอลเอ คอนโดมิเนียม,-,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,5,False,ห้องชุดพักอาศัย/พื้นที่ระเบียง,101900,,official_statutory_assessment_rate_not_market_price
116183,41905,แอลเอ คอนโดมิเนียม,-,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,6,False,ห้องชุดพักอาศัย/พื้นที่ระเบียง,103000,,official_statutory_assessment_rate_not_market_price
116184,41679,ยูโทเปีย กะรน,A1,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,2,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,96600,,official_statutory_assessment_rate_not_market_price
116185,41679,ยูโทเปีย กะรน,A1,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,3,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,97900,,official_statutory_assessment_rate_not_market_price
116186,41679,ยูโทเปีย กะรน,A1,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,4,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,99600,,official_statutory_assessment_rate_not_market_price
116187,41679,ยูโทเปีย กะรน,A1,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,5,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,101500,,official_statutory_assessment_rate_not_market_price
116188,41679,ยูโทเปีย กะรน,A1,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,6,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,103700,,official_statutory_assessment_rate_not_market_price
116189,41679,ยูโทเปีย กะรน,A2,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,2,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,96600,,official_statutory_assessment_rate_not_market_price
116190,41679,ยูโทเปีย กะรน,A2,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,3,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,97900,,official_statutory_assessment_rate_not_market_price
116191,41679,ยูโทเปีย กะรน,A2,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,4,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,99600,,official_statutory_assessment_rate_not_market_price
116192,41679,ยูโทเปีย กะรน,A2,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,5,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,101500,,official_statutory_assessment_rate_not_market_price
116193,41679,ยูโทเปีย กะรน,A2,83,ภูเก็ต,1,เมืองภูเก็ต,NULL,NULL,83000000,สำนักงานที่ดินจังหวัดภูเก็ต,6,False,ห้องชุดพักอาศัยตากอากาศ/พื้นที่ระเบียง,103700,,official_statutory_assessment_rate_not_market_price
