agency,count,ucode,state_code,type,class,tstart,tstop,short_name,name,location,longitude,latitude,error,parent,short_english_name,english_name,unicode_name,agency_type
RVSN,1528,RVSN,SU,O/LA,D,1960,1991 Dec,RVSN,Rakentiye Voiska Strategicheskogo Naznacheniye,Mosvka?,-,-,-,-,-,Strategic Rocket Forces,Ракетные войска стратегического назначения,state
UNKS,904,GUKOS,SU,O/LA,D,1986 Apr 24,1991,UNKS,Upravleniye Nachalnika Kosmicheskikh Sredstv,Moskva,-,-,-,MO,-,-,Управление начальника космических средств МО СССР,state
NASA,469,NASA,US,O/LA/LV/PL/S,C,1958 Oct  1,-,NASA,National Aeronautics and Space Administration,"Washington, D.C.",-,-,-,-,-,-,National Aeronautics and Space Administration,state
USAF,388,USAF,US,O/LA/S,D,1947 Sep 18,-,USAF,United States Air Force,"Washington, DC-Pentagon",-,-,-,-,-,-,United States Air Force,state
AE,258,AE,F,O/LA,B,1980 Mar 26,*,Arianespace,"Arianespace, Inc.","Paris-Evry, France",-,-,-,-,Arianespace,-,"Arianespace, Inc.",private
AFSC,247,AFSC,US,LA,D,1961 Apr  1,1992 Jul  1,AFSC,"US Air Force Systems Command, Los Angeles AFS","El Segundo, California",-,-,-,USAF,-,-,"US Air Force Systems Command, Los Angeles AFS",state
VKSR,200,GUKOS,RU,O/LA,D,1997 Jul,2001 Jun  1,VKS RVSN,"Voenno-Kosmicheskiye Sili (Military Space Forces), RVSN","Mosvka-Solnechnogorsk, Rossiya",-,-,-,RVSN,-,Russian Military Space Forces,Военно-космические силы РВСН,state
CALT,181,CALT,CN,LA/LV/PL/E,C,1957 Nov 11,-,CALT,Zhongguo yunzaihuojian jishu yanjiu yuan,Beijing-Nanyuan,-,-,-,CASC,CALT,Chinese Academy of Launch Vehicle Technology (CASC 1st Acad),中国运载火箭技术研究院,state
FKA,128,MOM,RU,O/LA,C,2004,2016 Jan  1,Roskosmos,Federal'noe kosmicheskoe agentstvo Rossii (Roskosmos),Moskva,-,-,-,-,-,Roskosmos,Федеральное космическое агентство (Роскосмос),state
SAST,105,SBA,CN,O/LA/LV/PL,B,1993,-,SAST,Shanghai hangtian jishu yanjiuyuan,Shanghai-Minghan,-,-,-,CASC,-,Shanghai Academy of Space Technology (CASC 8th Acad),上海航天技术研究院,state
ILSK,97,ILSK,RU,LA,B,1995,-,ILS-K,"International Launch Services, Khrunichev",Moskva,-,-,-,KHRU,-,-,"International Launch Services, Khrunichev",private
KVR,78,GUKOS,RU,O/LA,D,2001 Jun  1,2011 Dec  1,KVR,Kosmichesikiye voyska Rossii,Moskva-Solnechnogorsk,-,-,-,-,-,Russian Space Forces,Космические войска России,state
ULAL,70,ULAL,US,LA,B,2006 Dec,-,ULA/LMA,United Launch Alliance/Lockheed Martin Astronautics,"Denver-Centennial, Colorado",-,-,-,LM,-,-,United Launch Alliance/Lockheed Martin Astronautics,private
KHRU,67,KHRU,RU,O/LA/LV/PL/S,B,1994,1998,Khrunichev,"GKNPTs im. M.V. Khrunichev, Zavod Khrunichev",Moskva-Fili,-,-,-,-,-,Khrunichev State Research and Production Center,ГКНПЦ им. М.В.Хруничева,state
SPX,65,SPX,US,O/LA/LV/PL/S,B,2007 Aug,-,SpaceX,SpaceX,"Hawthorne, California",-,-,-,-,-,-,SpaceX,startup
ISRO,64,ISRO,IN,O/LA/LV/PL/E/S,C,1969,-,ISRO,Indian Space Research Organization,Bangalore,-,-,-,-,-,-,Indian Space Research Organization,state
MDSSC,62,MDSSC,US,LA,B,-,-,MDSSC,McDonnell Douglas Space Systems Corp. (MDSSC-HB),"Huntington Beach, California",-,-,-,MDC,-,McDonnell Douglas/HB,McDonnell Douglas Space Systems Corp. (MDSSC-HB),private
OSC,60,OSC,US,O/LA/LV,B,1986,1993,OSC-Fairfax,Orbital Sciences Corp.,"Fairfax, Virginia",-,-,-,-,-,-,Orbital Sciences Corp.,private
ULAB,58,ULAB,US,LA,B,2006 Dec,-,ULA/Boeing,United Launch Alliance/Boeing,"Denver-Centennial, Colorado",-,-,-,BOE,-,-,United Launch Alliance/Boeing,private
