ParkCode,ParkName,CategoryName,Order,Family,TaxonRecordStatus,SciName,CommonNames,Synonyms,ParkAccepted,Sensitive,RecordStatus,Occurrence,OccurrenceTags,Nativeness,NativenessTags,Abundance,NPSTags,ParkTags,References,Observations,Vouchers,ExternalLinks,TEStatus,StateStatus,OzoneSensitiveStatus,GRank,SRank
ACAD,Acadia National Park,Mammal,Artiodactyla,Cervidae,Active,Alces alces,Moose,,TRUE,FALSE,Approved,Present,NA,Native,NA,Rare,Resident,NA,11,1,0,NA,50,NA,NA,G5,ME: S5
ACAD,Acadia National Park,Mammal,Artiodactyla,Cervidae,Active,Odocoileus virginianus,"Northern White-tailed Deer, Virginia Deer, White-tailed Deer",,TRUE,FALSE,Approved,Present,NA,Native,NA,Abundant,NA,NA,20,0,0,NA,50,NA,NA,G5,ME: S5
ACAD,Acadia National Park,Mammal,Carnivora,Canidae,Active,Canis latrans,"Coyote, Eastern Coyote",,TRUE,FALSE,Approved,Present,NA,Non-native,NA,Common,NA,NA,8,1,0,NA,SC,NA,NA,G5,ME: S5
ACAD,Acadia National Park,Mammal,Carnivora,Canidae,Active,Canis lupus,"Eastern Timber Wolf, Gray Wolf, Timber Wolf",,TRUE,FALSE,Approved,Unconfirmed,NA,Native,NA,NA,NA,NA,2,0,0,NA,E,NA,NA,G5,ME: SH
ACAD,Acadia National Park,Mammal,Carnivora,Canidae,Active,Vulpes vulpes,"Black Fox, Cross Fox, Eastern Red Fox, Fox, Red Fox, Silver Fox",,TRUE,FALSE,Approved,Present,NA,Unknown,NA,Common,Breeder,NA,16,0,0,NA,NA,NA,NA,G5,ME: S5
ACAD,Acadia National Park,Mammal,Carnivora,Felidae,Active,Lynx canadensis,Canada Lynx,,TRUE,FALSE,Approved,Unconfirmed,NA,Native,NA,NA,NA,NA,1,0,0,NA,NA,ME: SC,NA,G5,ME: S2
ACAD,Acadia National Park,Mammal,Carnivora,Felidae,Active,Lynx rufus,"Bay Lynx, Bobcat, Red Lynx, Wild Cat",,TRUE,FALSE,Approved,Present,NA,Non-native,NA,NA,Vagrant,NA,7,0,0,NA,RT,NA,NA,G5,ME: S5
ACAD,Acadia National Park,Mammal,Carnivora,Mephitidae,Active,Mephitis mephitis,"Eastern Skunk, Polecat, Striped Skunk",,TRUE,FALSE,Approved,Not In Park,Historical,Native,NA,NA,NA,NA,10,0,0,NA,NA,NA,NA,G5,ME: S5
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Active,Lutra canadensis,"Otter, River Otter",,TRUE,FALSE,Approved,Present,NA,Native,NA,Common,Breeder,NA,10,0,0,NA,NA,NA,NA,NA,NA
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Active,Martes pennanti,"Blackcat, Fisher, Pekan",,TRUE,FALSE,Approved,Present,NA,Native,NA,Rare,NA,NA,5,0,0,NA,NA,NA,NA,NA,NA
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Active,Mustela,Weasel,,FALSE,FALSE,In Review,Unconfirmed,NA,Unknown,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,NA,NA
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Active,Mustela erminea,"Bonaparte Weasel, Bonaparte's Weasel, Ermine, Short-tailed Weasel",,TRUE,FALSE,Approved,Present,NA,Native,NA,Uncommon,NA,NA,7,1,0,NA,NA,NA,NA,GNR,NA
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Active,Mustela frenata,"Long-tailed Weasel, New York Weasel, Northern Long-tailed Weasel",,TRUE,FALSE,Approved,Present,NA,Native,NA,Uncommon,NA,NA,6,0,0,NA,NA,NA,NA,NA,NA
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Inactive,Mustela macrodon,"Ancient Sea Mink, Big Sea Mink, Sea Mink",,TRUE,FALSE,Approved,Unconfirmed,NA,Native,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA
ACAD,Acadia National Park,Mammal,Carnivora,Mustelidae,Active,Mustela vison,"American Mink, Mink",,TRUE,FALSE,Approved,Present,NA,Native,NA,Uncommon,NA,NA,14,1,0,NA,NA,NA,NA,NA,NA
ACAD,Acadia National Park,Mammal,Carnivora,Odobenidae,Active,Odobenus rosmarus,Walrus,,TRUE,FALSE,Approved,Unconfirmed,NA,Non-native,NA,NA,NA,NA,1,0,0,NA,50,NA,NA,G4,NA
ACAD,Acadia National Park,Mammal,Carnivora,Phocidae,Active,Halichoerus grypus,Gray Seal,,TRUE,FALSE,Approved,Unconfirmed,NA,Native,NA,NA,NA,NA,2,0,0,NA,NA,NA,NA,G5,ME: S1
ACAD,Acadia National Park,Mammal,Carnivora,Phocidae,Active,Phoca vitulina,"Common Seal, Hair Seal, Harbor Seal",,TRUE,FALSE,Approved,Unconfirmed,NA,Native,NA,NA,NA,NA,6,1,0,NA,NA,NA,NA,G5,ME: S5
ACAD,Acadia National Park,Mammal,Carnivora,Procyonidae,Active,Procyon lotor,"Common Raccoon, Raccoon",,TRUE,FALSE,Approved,Present,NA,Native,NA,Common,NA,NA,15,0,0,NA,NA,NA,NA,G5,ME: S5
