nature,animal_type,category,suburb,date_range,responsible_office,city
Animal,Dog,Fencing Issues,SUNNYBANK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,SUNNYBANK HILLS,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,SUNNYBANK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,SUNNYBANK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,CALAMVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,STRETTON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,ANNERLEY,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,FOREST LAKE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,HAWTHORNE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Defecating In Public,HAWTHORNE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,NA,CARINDALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,NA,PULLENVALE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,KALINGA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,WYNNUM,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,CHERMSIDE WEST,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,THE GAP,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,TINGALPA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,NA,RED HILL,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Other Animal,Fox,BURBANK,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On A Person,EAST BRISBANE,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Attack,Attack On An Animal,FITZGIBBON,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Cat Trapping,NA,MOOROOKA,1st-quarter-2016-17.csv,NA,Brisbane
Animal,Dog,Fencing Issues,INALA,1st-quarter-2016-17.csv,NA,Brisbane
