Animal Type,Complaint Type,Date Received,Suburb,Electoral Division
dog,Aggressive Animal,June 2020,Alice River,Division 1
dog,Noise,June 2020,Alice River,Division 1
dog,Noise,June 2020,Alice River,Division 1
dog,Private Impound,June 2020,Alice River,Division 1
dog,Wandering,June 2020,Alice River,Division 1
dog,Attack,June 2020,Black River,Division 1
dog,Enclosure,June 2020,Black River,Division 1
dog,Wandering,June 2020,Black River,Division 1
dog,Enclosure,June 2020,Bluewater,Division 1
dog,Enclosure,June 2020,Bluewater,Division 1
dog,Noise,June 2020,Bluewater Park,Division 1
dog,Noise,June 2020,Bohle Plains,Division 1
dog,Noise,June 2020,Bohle Plains,Division 1
dog,Noise,June 2020,Bohle Plains,Division 1
dog,Noise,June 2020,Bohle Plains,Division 1
cat,Private Impound,June 2020,Bohle Plains,Division 1
dog,Private Impound,June 2020,Bohle Plains,Division 1
dog,Aggressive Animal,June 2020,Deeragun,Division 1
dog,Aggressive Animal,June 2020,Deeragun,Division 1
dog,Aggressive Animal,June 2020,Deeragun,Division 1
dog,Attack,June 2020,Deeragun,Division 1
dog,Attack,June 2020,Deeragun,Division 1
dog,Enclosure,June 2020,Deeragun,Division 1
dog,Enclosure,June 2020,Deeragun,Division 1
dog,Noise,June 2020,Deeragun,Division 1
dog,Noise,June 2020,Deeragun,Division 1
dog,Noise,June 2020,Deeragun,Division 1
dog,Noise,June 2020,Deeragun,Division 1
dog,Noise,June 2020,Deeragun,Division 1
dog,Noise,June 2020,Deeragun,Division 1
cat,Private Impound,June 2020,Deeragun,Division 1
cat,Private Impound,June 2020,Deeragun,Division 1
cat,Private Impound,June 2020,Deeragun,Division 1
dog,Private Impound,June 2020,Deeragun,Division 1
dog,Private Impound,June 2020,Deeragun,Division 1
dog,Private Impound,June 2020,Deeragun,Division 1
dog,Private Impound,June 2020,Deeragun,Division 1
dog,Private Impound,June 2020,Deeragun,Division 1
dog,Private Impound,June 2020,Deeragun,Division 1
dog,Private Impound,June 2020,Deeragun,Division 1
dog,Wandering,June 2020,Deeragun,Division 1
dog,Wandering,June 2020,Rollingstone,Division 1
dog,Wandering,June 2020,Rollingstone,Division 1
dog,Noise,June 2020,Shaw,Division 1
dog,Wandering,June 2020,Shaw,Division 1
dog,Wandering,June 2020,Shaw,Division 1
dog,Noise,June 2020,Toolakea,Division 1
dog,Noise,June 2020,Toolakea,Division 1
dog,Enclosure,June 2020,Yabulu,Division 1
dog,Private Impound,June 2020,Yabulu,Division 1
dog,Private Impound,June 2020,Yabulu,Division 1
dog,Wandering,June 2020,Alligator Creek,Division 10
dog,Attack,June 2020,Cluden,Division 10
dog,Wandering,June 2020,Cluden,Division 10
dog,Wandering,June 2020,Cluden,Division 10
dog,Noise,June 2020,Idalia,Division 10
dog,Wandering,June 2020,Idalia,Division 10
dog,Wandering,June 2020,Idalia,Division 10
dog,Private Impound,June 2020,Murray,Division 10
dog,Enclosure,June 2020,Oonoonba,Division 10
dog,Enclosure,June 2020,Oonoonba,Division 10
dog,Noise,June 2020,Oonoonba,Division 10
dog,Noise,June 2020,Oonoonba,Division 10
dog,Noise,June 2020,Oonoonba,Division 10
dog,Noise,June 2020,Oonoonba,Division 10
dog,Noise,June 2020,Oonoonba,Division 10
dog,Aggressive Animal,June 2020,Railway Estate,Division 10
dog,Attack,June 2020,Railway Estate,Division 10
dog,Attack,June 2020,Railway Estate,Division 10
dog,Attack,June 2020,Railway Estate,Division 10
dog,Enclosure,June 2020,Railway Estate,Division 10
dog,Enclosure,June 2020,Railway Estate,Division 10
dog,Enclosure,June 2020,Railway Estate,Division 10
dog,Noise,June 2020,Railway Estate,Division 10
dog,Attack,June 2020,Reid River,Division 10
dog,Attack,June 2020,Stuart,Division 10
dog,Wandering,June 2020,Stuart,Division 10
dog,Wandering,June 2020,Stuart,Division 10
dog,Aggressive Animal,June 2020,Wulguru,Division 10
dog,Aggressive Animal,June 2020,Wulguru,Division 10
dog,Attack,June 2020,Wulguru,Division 10
dog,Attack,June 2020,Wulguru,Division 10
dog,Attack,June 2020,Wulguru,Division 10
dog,Enclosure,June 2020,Wulguru,Division 10
dog,Enclosure,June 2020,Wulguru,Division 10
dog,Enclosure,June 2020,Wulguru,Division 10
dog,Noise,June 2020,Wulguru,Division 10
dog,Noise,June 2020,Wulguru,Division 10
dog,Noise,June 2020,Wulguru,Division 10
cat,Private Impound,June 2020,Wulguru,Division 10
dog,Private Impound,June 2020,Wulguru,Division 10
dog,Private Impound,June 2020,Wulguru,Division 10
dog,Private Impound,June 2020,Wulguru,Division 10
dog,Private Impound,June 2020,Wulguru,Division 10
dog,Private Impound,June 2020,Wulguru,Division 10
dog,Private Impound,June 2020,Wulguru,Division 10
dog,Wandering,June 2020,Wulguru,Division 10
dog,Wandering,June 2020,Wulguru,Division 10
dog,Attack,June 2020,Black River,Division 2
