year,animal_type,outcome,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Total
1999,Dogs,Reclaimed,610,3140,205,1392,2329,516,7130,1,15323
1999,Dogs,Rehomed,1245,7525,526,5489,1105,480,4908,137,21415
1999,Dogs,Other,12,745,955,860,380,168,1001,6,4127
1999,Dogs,Euthanized,360,9221,9,9214,1701,599,5217,18,26339
1999,Cats,Reclaimed,111,201,22,206,157,31,884,0,1612
1999,Cats,Rehomed,1442,3913,269,3901,1055,752,3768,62,15162
1999,Cats,Other,0,447,0,386,46,124,1501,5,2509
1999,Cats,Euthanized,1007,8205,847,10554,3415,1056,6113,5,31202
1999,Horses,Reclaimed,0,0,1,0,2,1,87,0,91
1999,Horses,Rehomed,1,12,3,3,10,0,19,0,48
1999,Horses,Other,0,0,0,11,1,2,0,0,14
1999,Horses,Euthanized,0,8,0,1,0,0,4,0,13
1999,Livestock,Reclaimed,2,15,0,9,13,1,418,0,458
1999,Livestock,Rehomed,90,719,120,88,61,25,315,3,1421
1999,Livestock,Other,39,15,0,217,2,6,18,0,297
1999,Livestock,Euthanized,9,49,0,109,54,2,179,0,402
1999,Wildlife,Released,390,26,6,1461,175,66,4582,0,6706
1999,Wildlife,Other,173,597,32,0,446,127,2081,0,3456
1999,Wildlife,Euthanized,746,181,50,1305,861,75,1629,0,4847
1999,Other Animals,Reclaimed,31,50,5,0,16,5,2,0,109
1999,Other Animals,Rehomed,239,250,60,43,67,63,133,0,855
1999,Other Animals,Other,37,26,0,259,5,24,18,12,381
1999,Other Animals,Euthanized,86,987,10,318,103,18,297,1,1820
2000,Dogs,Reclaimed,1198,2969,912,1440,2651,570,5759,456,15955
2000,Dogs,Rehomed,501,6720,753,5124,1233,460,5390,755,20936
2000,Dogs,Other,5,1050,2,102,0,250,166,94,1669
2000,Dogs,Euthanized,269,7886,667,8538,1887,554,6003,107,25911
2000,Cats,Reclaimed,91,181,26,163,138,45,625,4,1273
2000,Cats,Rehomed,1367,3522,568,3858,1323,629,4146,406,15819
2000,Cats,Other,67,645,2,42,0,176,655,18,1605
2000,Cats,Euthanized,940,7161,987,10570,3728,1294,8133,88,32901
2000,Horses,Reclaimed,0,1,0,0,1,2,0,0,4
2000,Horses,Rehomed,1,4,0,21,3,0,4,15,48
2000,Horses,Other,1,3,0,0,0,2,0,3,9
2000,Horses,Euthanized,0,1,0,1,1,0,0,0,3
2000,Livestock,Reclaimed,6,0,0,2,20,0,25,2,55
2000,Livestock,Rehomed,113,318,0,237,53,71,257,26,1075
2000,Livestock,Other,2,72,0,0,0,9,10,5,98
2000,Livestock,Euthanized,11,79,0,141,80,5,36,8,360
2000,Wildlife,Released,481,287,0,852,0,109,2682,19,4430
2000,Wildlife,Other,502,95,0,0,506,125,723,37,1988
2000,Wildlife,Euthanized,423,700,0,1225,637,77,2739,28,5829
2000,Other Animals,Reclaimed,25,34,0,23,0,17,98,2,199
2000,Other Animals,Rehomed,276,131,0,750,338,36,176,28,1735
2000,Other Animals,Other,41,35,0,0,0,28,125,1,230
