ADM_name,ISO3,Date,Name,Type
Aruba,ABW,2010-01-01,New Year's Day,Public holiday
Aruba,ABW,2010-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2010-02-15,Carnival Monday,Public holiday
Aruba,ABW,2010-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2010-04-02,Good Friday,Public holiday
Aruba,ABW,2010-04-05,Easter Monday,Public holiday
Aruba,ABW,2010-04-27,King's Day,Public holiday
Aruba,ABW,2010-05-01,Labor Day,Public holiday
Aruba,ABW,2010-05-13,Ascension Day,Public holiday
Aruba,ABW,2010-12-25,Christmas Day,Public holiday
Aruba,ABW,2010-12-26,Boxing Day,Public holiday
Aruba,ABW,2011-01-01,New Year's Day,Public holiday
Aruba,ABW,2011-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2011-03-07,Carnival Monday,Public holiday
Aruba,ABW,2011-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2011-04-22,Good Friday,Public holiday
Aruba,ABW,2011-04-25,Easter Monday,Public holiday
Aruba,ABW,2011-04-27,King's Day,Public holiday
Aruba,ABW,2011-05-01,Labor Day,Public holiday
Aruba,ABW,2011-06-02,Ascension Day,Public holiday
Aruba,ABW,2011-12-25,Christmas Day,Public holiday
Aruba,ABW,2011-12-26,Boxing Day,Public holiday
Aruba,ABW,2012-01-01,New Year's Day,Public holiday
Aruba,ABW,2012-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2012-02-20,Carnival Monday,Public holiday
Aruba,ABW,2012-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2012-04-06,Good Friday,Public holiday
Aruba,ABW,2012-04-09,Easter Monday,Public holiday
Aruba,ABW,2012-04-27,King's Day,Public holiday
Aruba,ABW,2012-05-01,Labor Day,Public holiday
Aruba,ABW,2012-05-17,Ascension Day,Public holiday
Aruba,ABW,2012-12-25,Christmas Day,Public holiday
Aruba,ABW,2012-12-26,Boxing Day,Public holiday
Aruba,ABW,2013-01-01,New Year's Day,Public holiday
Aruba,ABW,2013-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2013-02-11,Carnival Monday,Public holiday
Aruba,ABW,2013-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2013-03-29,Good Friday,Public holiday
Aruba,ABW,2013-04-01,Easter Monday,Public holiday
Aruba,ABW,2013-04-27,King's Day,Public holiday
Aruba,ABW,2013-05-01,Labor Day,Public holiday
Aruba,ABW,2013-05-09,Ascension Day,Public holiday
Aruba,ABW,2013-12-25,Christmas Day,Public holiday
Aruba,ABW,2013-12-26,Boxing Day,Public holiday
Aruba,ABW,2014-01-01,New Year's Day,Public holiday
Aruba,ABW,2014-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2014-03-03,Carnival Monday,Public holiday
Aruba,ABW,2014-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2014-04-18,Good Friday,Public holiday
Aruba,ABW,2014-04-21,Easter Monday,Public holiday
Aruba,ABW,2014-04-27,King's Day,Public holiday
Aruba,ABW,2014-04-29,Ascension Day,Public holiday
Aruba,ABW,2014-05-01,Labor Day,Public holiday
Aruba,ABW,2014-12-25,Christmas Day,Public holiday
Aruba,ABW,2014-12-26,Boxing Day,Public holiday
Aruba,ABW,2015-01-01,New Year's Day,Public holiday
Aruba,ABW,2015-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2015-02-16,Carnival Monday,Public holiday
Aruba,ABW,2015-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2015-04-03,Good Friday,Public holiday
Aruba,ABW,2015-04-06,Easter Monday,Public holiday
Aruba,ABW,2015-04-27,King's Day,Public holiday
Aruba,ABW,2015-05-01,Labor Day,Public holiday
Aruba,ABW,2015-05-14,Ascension Day,Public holiday
Aruba,ABW,2015-12-25,Christmas Day,Public holiday
Aruba,ABW,2015-12-26,Boxing Day,Public holiday
Aruba,ABW,2016-01-01,New Year's Day,Public holiday
Aruba,ABW,2016-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2016-02-08,Carnival Monday,Public holiday
Aruba,ABW,2016-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2016-03-25,Good Friday,Public holiday
Aruba,ABW,2016-03-28,Easter Monday,Public holiday
Aruba,ABW,2016-04-27,King's Day,Public holiday
Aruba,ABW,2016-05-01,Labor Day,Public holiday
Aruba,ABW,2016-05-02,Day off for Labor Day,Public holiday
Aruba,ABW,2016-05-05,Ascension Day,Public holiday
Aruba,ABW,2016-12-25,Christmas Day,Public holiday
Aruba,ABW,2016-12-26,Boxing Day,Public holiday
Aruba,ABW,2017-01-01,New Year's Day,Public holiday
Aruba,ABW,2017-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2017-02-27,Carnival Monday,Public holiday
Aruba,ABW,2017-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2017-04-14,Good Friday,Public holiday
Aruba,ABW,2017-04-17,Easter Monday,Public holiday
Aruba,ABW,2017-04-27,King's Day,Public holiday
Aruba,ABW,2017-05-01,Labor Day,Public holiday
Aruba,ABW,2017-05-25,Ascension Day,Public holiday
Aruba,ABW,2017-12-25,Christmas Day,Public holiday
Aruba,ABW,2017-12-26,Boxing Day,Public holiday
Aruba,ABW,2018-01-01,New Year's Day,Public holiday
Aruba,ABW,2018-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2018-02-12,Carnival Monday,Public holiday
Aruba,ABW,2018-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2018-03-30,Good Friday,Public holiday
Aruba,ABW,2018-04-02,Easter Monday,Public holiday
Aruba,ABW,2018-04-27,King's Day,Public holiday
Aruba,ABW,2018-05-01,Labor Day,Public holiday
Aruba,ABW,2018-05-10,Ascension Day,Public holiday
Aruba,ABW,2018-12-25,Christmas Day,Public holiday
Aruba,ABW,2018-12-26,Boxing Day,Public holiday
Aruba,ABW,2019-01-01,New Year's Day,Public holiday
Aruba,ABW,2019-01-25,Betico Croes' Birthday,Public holiday
Aruba,ABW,2019-03-04,Carnival Monday,Public holiday
Aruba,ABW,2019-03-18,National Anthem and Flag Day,Public holiday
Aruba,ABW,2019-04-19,Good Friday,Public holiday
Aruba,ABW,2019-04-22,Easter Monday,Public holiday
Aruba,ABW,2019-04-27,King's Day,Public holiday
Aruba,ABW,2019-05-01,Labor Day,Public holiday
Aruba,ABW,2019-05-30,Ascension Day,Public holiday
Aruba,ABW,2019-12-25,Christmas Day,Public holiday
Aruba,ABW,2019-12-26,Boxing Day,Public holiday
Afghanistan,AFG,2014-12-13,Arba'een,Observance
Afghanistan,AFG,2015-12-02,Arba'een,Observance
Afghanistan,AFG,2016-11-20,Arba'een,Observance
Philippines,PHL,2018-11-02,Additional Special Non-Working Day,Special holiday
Afghanistan,AFG,2017-11-09,Arba'een,Observance
Afghanistan,AFG,2018-10-30,Arba'een,Observance
Afghanistan,AFG,2010-02-25,Mawlid,Public holiday
Afghanistan,AFG,2010-02-26,Mawlid,Public holiday
Afghanistan,AFG,2010-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2010-05-01,Labour Day,Public holiday
Afghanistan,AFG,2010-08-10,Ramadan starts,Public holiday
Afghanistan,AFG,2010-08-11,Ramadan starts,Public holiday
Afghanistan,AFG,2010-09-09,Eid al-Fitr,Public holiday
Afghanistan,AFG,2010-09-10,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2010-09-11,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2010-09-12,Eid al-Fitr Holiday,Public holiday
Afghanistan,AFG,2010-11-14,Day of Arafat,Public holiday
Afghanistan,AFG,2010-11-15,Day of Arafat,Public holiday
Afghanistan,AFG,2010-12-16,Ashura,Public holiday
Afghanistan,AFG,2010-12-17,Ashura,Public holiday
Afghanistan,AFG,2011-02-14,Mawlid,Public holiday
Afghanistan,AFG,2011-02-15,Mawlid,Public holiday
Afghanistan,AFG,2011-03-21,Nowruz,Public holiday
Afghanistan,AFG,2011-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2011-05-01,Labour Day,Public holiday
Afghanistan,AFG,2011-07-31,Ramadan starts,Public holiday
Afghanistan,AFG,2011-08-01,Ramadan starts,Public holiday
Afghanistan,AFG,2011-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2011-08-29,Eid al-Fitr,Public holiday
Afghanistan,AFG,2011-08-30,Eid al-Fitr,Public holiday
Afghanistan,AFG,2011-08-31,Eid al-Fitr,Public holiday
Afghanistan,AFG,2011-09-01,Eid al-Fitr,Public holiday
Afghanistan,AFG,2011-11-04,Day of Arafat,Public holiday
Afghanistan,AFG,2011-11-05,Day of Arafat,Public holiday
Afghanistan,AFG,2011-12-05,Ashura,Public holiday
Afghanistan,AFG,2011-12-06,Ashura,Public holiday
Afghanistan,AFG,2012-02-03,Mawlid,Public holiday
Afghanistan,AFG,2012-02-04,Mawlid,Public holiday
Afghanistan,AFG,2012-03-21,Nowruz,Public holiday
Afghanistan,AFG,2012-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2012-05-01,Labour Day,Public holiday
Afghanistan,AFG,2012-07-19,Ramadan starts,Public holiday
Afghanistan,AFG,2012-07-20,Ramadan starts,Public holiday
Afghanistan,AFG,2012-08-18,eid al-fitr,Public holiday
Afghanistan,AFG,2012-08-19,eid al-fitr,Public holiday
Afghanistan,AFG,2012-08-19,Independence Day (National Day),Public holiday
Afghanistan,AFG,2012-08-20,eid al-fitr,Public holiday
Afghanistan,AFG,2012-08-21,eid al-fitr,Public holiday
Afghanistan,AFG,2012-10-24,Day of Arafat,Public holiday
Afghanistan,AFG,2012-10-25,Day of Arafat,Public holiday
Afghanistan,AFG,2012-11-23,Ashura,Public holiday
Afghanistan,AFG,2012-11-24,Ashura,Public holiday
Afghanistan,AFG,2013-01-23,Mawlid,Public holiday
Afghanistan,AFG,2013-01-24,Mawlid,Public holiday
Afghanistan,AFG,2013-03-21,Nowruz,Public holiday
Afghanistan,AFG,2013-04-28,Afghan Victory Day,Public holiday
Afghanistan,AFG,2013-05-01,Labour Day,Public holiday
Afghanistan,AFG,2013-07-08,Ramadan starts,Public holiday
Afghanistan,AFG,2013-07-09,Ramadan starts,Public holiday
