year,gnis_id,geometry,metadata,number_of_records,parkname,region,state,unit_code,unit_name,unit_type,visitors
1904,1163670,POLYGON,NA,1,Crater Lake,PW,OR,CRLA,Crater Lake National Park,National Park,1500
1941,1531834,MULTIPOLYGON,NA,1,Lake Roosevelt,PW,WA,LARO,Lake Roosevelt National Recreation Area,National Recreation Area,0
1961,2055170,MULTIPOLYGON,NA,1,Lewis and Clark,PW,WA,LEWI,Lewis and Clark National Historical Park,National Historical Park,69000
1935,1530459,MULTIPOLYGON,NA,1,Olympic,PW,WA,OLYM,Olympic National Park,National Park,2200
1982,277263,POLYGON,NA,1,Santa Monica Mountains,PW,CA,SAMO,Santa Monica Mountains National Recreation Area,National Recreation Area,468144
1919,578853,MULTIPOLYGON,NA,1,NA,NE,ME,ACAD,Acadia National Park,National Park,64000
1969,1329499,MULTIPOLYGON,NA,1,NA,IM,TX,AMIS,Amistad National Recreation Area,National Recreation Area,448000
1967,589056,POLYGON,NA,1,NA,NE,MD,ASIS,Assateague Island National Seashore,National Seashore,738700
1944,1377082,POLYGON,NA,1,NA,IM,TX,BIBE,Big Bend National Park,National Park,1409
1989,302659,POLYGON,NA,1,NA,SE,FL,BICY,Big Cypress National Preserve,National Preserve,81157
1988,1309762,MULTIPOLYGON,NA,1,NA,SE,TN,BISO,Big South Fork National River and Recreation Area,National River and Recreation Area,613011
1941,1009494,MULTIPOLYGON,NA,1,NA,NT,NC,BLRI,Blue Ridge Parkway,Parkway,895874
1993,1877617,POLYGON,NA,1,NA,NE,WV,BLUE,Bluestone National Scenic River,National Scenic River,51848
1955,982628,MULTIPOLYGON,NA,1,NA,SE,NC,CAHA,Cape Hatteras National Seashore,National Seashore,264500
1976,1000889,POLYGON,NA,1,NA,SE,NC,CALO,Cape Lookout National Seashore,National Seashore,21000
1980,1688073,POLYGON,NA,1,NA,SE,GA,CHAT,Chattahoochee River National Recreation Area,National Recreation Area,345956
1934,330990,MULTIPOLYGON,NA,1,NA,SE,GA,CHCH,Chickamauga and Chattanooga National Military Park,National Military Park,44261
1951,583731,MULTIPOLYGON,NA,1,NA,NC,DC,CHOH,Chesapeake and Ohio Canal National Historical Park,National Historical Park,32512
1925,1986829,MULTIPOLYGON,NA,1,NA,PW,ID,CRMO,Craters of the Moon National Monument,National Monument,3349
1976,325829,MULTIPOLYGON,NA,1,NA,SE,GA,CUIS,Cumberland Island National Seashore,National Seashore,17800
1969,1193711,POLYGON,NA,1,NA,NE,PA,DEWA,Delaware Water Gap National Recreation Area,National Recreation Area,666300
1988,1888913,MULTIPOLYGON,NA,1,NA,IM,NM,ELMA,El Malpais National Monument,National Monument,23546
1948,293666,POLYGON,NA,1,NA,SE,FL,EVER,Everglades National Park,National Park,7482
1967,970121,MULTIPOLYGON,NA,1,NA,NE,NY,FIIS,Fire Island National Seashore,National Seashore,417300
1941,985324,POLYGON,NA,1,NA,SE,NC,FORA,Fort Raleigh National Historic Site,National Historic Site,79049
1993,1741168,POLYGON,NA,1,NA,NE,WV,GARI,Gauley River National Recreation Area,National Recreation Area,195314
1931,1018241,MULTIPOLYGON,NA,1,NA,SE,NC,GRSM,Great Smoky Mountains National Park,National Park,154000
1941,1177725,MULTIPOLYGON,NA,1,NA,NE,PA,INDE,Independence National Historical Park,National Historical Park,2862
1940,1616980,POLYGON,NA,1,NA,MW,MI,ISRO,Isle Royale National Park,National Park,2962
1971,1384770,POLYGON,NA,1,NA,IM,TX,LAMR,Lake Meredith National Recreation Area,National Recreation Area,1159600
1979,1888940,MULTIPOLYGON,NA,1,NA,NE,MA,LOWE,Lowell National Historical Park,National Historical Park,92839
2011,1888944,POLYGON,NA,1,NA,MW,MN,MISS,Mississippi National River and Recreation Area,National River and Recreation Area,99398
2004,2733411,MULTIPOLYGON,NA,1,NA,MW,SD,MNRR,Missouri National Recreation River,National Recreation River,48149
1968,394735,MULTIPOLYGON,NA,1,NA,PW,WA,NEPE,Nez Perce National Historical Park,National Historical Park,32800
1984,1877618,POLYGON,NA,1,NA,NE,VA,NERI,New River Gorge National River,National River,231295
1987,1309684,POLYGON,NA,1,NA,SE,TN,OBRI,Obed Wild and Scenic River,Wild and Scenic River,6722
1971,277109,POLYGON,NA,1,NA,PW,CA,REDW,Redwood National Park,National Park,34500
1985,2766087,POLYGON,NA,1,NA,IM,TX,RIGR,Rio Grande Wild and Scenic River,Wild and Scenic River,702
1973,530563,MULTIPOLYGON,NA,1,NA,NC,DC,ROCR,Rock Creek Park,Park,559000
1979,1879024,MULTIPOLYGON,NA,1,NA,SE,PR,SAJU,San Juan National Historic Site,National Historic Site,1458778
1936,1488805,MULTIPOLYGON,NA,1,NA,NE,VA,SHEN,Shenandoah National Park,National Park,694098
1934,1270094,MULTIPOLYGON,NA,1,NA,SE,MS,SHIL,Shiloh National Battlefield,National Battlefield,50000
1976,638101,MULTIPOLYGON,NA,1,NA,MW,MI,SLBE,Sleeping Bear Dunes National Lakeshore,National Lakeshore,696600
1989,1877509,POLYGON,NA,1,NA,NE,PA,STEA,Steamtown National Historic Site,National Historic Site,101761
1934,1888964,MULTIPOLYGON,NA,1,NA,SE,TN,STRI,Stones River National Battlefield,National Battlefield,1614
