year,state,pop
1900,AL,1830000
1901,AL,1907000
1902,AL,1935000
1903,AL,1957000
1904,AL,1978000
1905,AL,2012000
1906,AL,2045000
1907,AL,2058000
1908,AL,2070000
1909,AL,2108000
1910,AL,2150000
1911,AL,2185000
1912,AL,2217000
1913,AL,2279000
1914,AL,2336000
1915,AL,2345000
1916,AL,2359000
1917,AL,2361000
1918,AL,2343000
1919,AL,2337000
1920,AL,2359000
1921,AL,2402000
1922,AL,2434000
1923,AL,2464000
1924,AL,2501000
1925,AL,2534000
1926,AL,2567000
1927,AL,2609000
1928,AL,2640000
1929,AL,2644000
1930,AL,2647000
1931,AL,2649000
1932,AL,2653000
1933,AL,2661000
1934,AL,2685000
1935,AL,2719000
1936,AL,2743000
1937,AL,2762000
1938,AL,2787000
1939,AL,2814000
1940,AL,2845000
1941,AL,2902000
1942,AL,2941000
1943,AL,2902000
1944,AL,2802000
1945,AL,2775000
1946,AL,2911000
1947,AL,2942000
1948,AL,2969000
1949,AL,3000000
1950,AL,3058000
1951,AL,3059000
1952,AL,3068000
1953,AL,3053000
1954,AL,3014000
1955,AL,3050000
1956,AL,3071000
1957,AL,3109000
1958,AL,3163000
1959,AL,3204000
1960,AL,3274000
1961,AL,3316000
1962,AL,3323000
1963,AL,3358000
1964,AL,3395000
1965,AL,3443000
1966,AL,3464000
1967,AL,3458000
1968,AL,3446000
1969,AL,3440000
1970,AL,3444354
1971,AL,3497076
1972,AL,3539400
1973,AL,3579780
1974,AL,3626499
1975,AL,3678814
1976,AL,3735139
1977,AL,3780403
1978,AL,3831836
1979,AL,3866248
1980,AL,3900368
1981,AL,3918531
1982,AL,3925266
1983,AL,3934102
1984,AL,3951820
1985,AL,3972523
1986,AL,3991569
1987,AL,4015264
1988,AL,4023844
1989,AL,4030222
1990,AL,4048508
1991,AL,4091025
1992,AL,4139269
1993,AL,4193114
1994,AL,4232965
1995,AL,4262731
1996,AL,4290403
1997,AL,4320281
1998,AL,4351037
1999,AL,4369862
2000,AL,4452173
2001,AL,4467634
2002,AL,4480089
2003,AL,4503491
2004,AL,4530729
2005,AL,4569805
2006,AL,4628981
2007,AL,4672840
2008,AL,4718206
2009,AL,4757938
2010,AL,4785822
2011,AL,4801695
2012,AL,4817484
2013,AL,4833996
2014,AL,4849377
2015,AL,4858979
1900,AK,NA
1901,AK,NA
1902,AK,NA
1903,AK,NA
1904,AK,NA
1905,AK,NA
1906,AK,NA
1907,AK,NA
1908,AK,NA
1909,AK,NA
1910,AK,NA
1911,AK,NA
1912,AK,NA
1913,AK,NA
1914,AK,NA
1915,AK,NA
1916,AK,NA
1917,AK,NA
1918,AK,NA
1919,AK,NA
1920,AK,NA
1921,AK,NA
1922,AK,NA
1923,AK,NA
1924,AK,NA
1925,AK,NA
1926,AK,NA
1927,AK,NA
1928,AK,NA
1929,AK,NA
1930,AK,NA
1931,AK,NA
1932,AK,NA
1933,AK,NA
1934,AK,NA
1935,AK,NA
1936,AK,NA
1937,AK,NA
1938,AK,NA
1939,AK,NA
1940,AK,NA
1941,AK,NA
1942,AK,NA
1943,AK,NA
1944,AK,NA
1945,AK,NA
1946,AK,NA
1947,AK,NA
1948,AK,NA
1949,AK,NA
1950,AK,135000
1951,AK,158000
1952,AK,189000
1953,AK,205000
1954,AK,215000
1955,AK,222000
1956,AK,224000
1957,AK,231000
1958,AK,224000
1959,AK,224000
1960,AK,229000
1961,AK,238000
1962,AK,246000
1963,AK,256000
1964,AK,263000
1965,AK,271000
1966,AK,271000
1967,AK,278000
1968,AK,285000
1969,AK,296000
1970,AK,302583
1971,AK,315510
1972,AK,324464
1973,AK,330543
1974,AK,341063
1975,AK,376170
1976,AK,400969
1977,AK,403436
1978,AK,404766
1979,AK,402753
1980,AK,405315
1981,AK,418491
1982,AK,449606
1983,AK,488417
1984,AK,513702
1985,AK,532495
1986,AK,544268
1987,AK,539309
1988,AK,541983
1989,AK,547159
1990,AK,553120
1991,AK,569273
1992,AK,587073
1993,AK,596993
1994,AK,600624
1995,AK,601345
1996,AK,604918
1997,AK,608846
1998,AK,615205
1999,AK,619500
2000,AK,627963
2001,AK,633714
2002,AK,642337
2003,AK,648414
2004,AK,659286
2005,AK,666946
2006,AK,675302
2007,AK,680300
2008,AK,687455
2009,AK,698895
2010,AK,713856
2011,AK,722572
2012,AK,731081
2013,AK,737259
2014,AK,736732
