song,artist,date,weeks_at_number_one,non_consecutive,rating_1,rating_2,rating_3,overall_rating,divisiveness,label,parent_label,cdr_genre,cdr_style,discogs_genre,discogs_style,artist_structure,featured_artists,multiple_lead_vocalists,group_named_after_non_lead_singer,talent_contestant,posthumous,artist_place_of_origin,front_person_age,artist_male,artist_white,artist_black,songwriters,songwriters_w_o_interpolation_sample_credits,songwriter_male,songwriter_white,artist_is_a_songwriter,artist_is_only_songwriter,producers,producer_male,producer_white,artist_is_a_producer,artist_is_only_producer,songwriter_is_a_producer,time_signature,keys,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,acousticness,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,accordion,banjo,bongos,clarinet,cowbell,falsetto_vocal,flute_piccolo,handclaps_snaps,harmonica,human_whistling,kazoo,mandolin,pedal_lap_steel,ocarina,saxophone,sitar,trumpet,ukulele,violin,sound_effects,song_structure,rap_verse_in_a_non_rap_song,length_sec,instrumental,instrumental_length_sec,intro_length_sec,vocal_introduction,free_time_vocal_introduction,fade_out,live,cover,sample,interpolation,inspired_by_a_different_song,lyrics,lyrical_topic,lyrical_narrative,spoken_word,explicit,foreign_language,written_for_a_play,featured_in_a_then_contemporary_play,written_for_a_film,featured_in_a_then_contemporary_film,written_for_a_t_v_show,featured_in_a_then_contemporary_t_v_show,associated_with_dance,topped_the_charts_by_multiple_artist,double_a_side,eurovision_entry,u_s_artwork
Poor Little Fool,Ricky Nelson,1958-08-04T00:00:00Z,2,0,4,5,3,4,1.3333333333333333,Imperial,Imperial,Pop;Rock,Acoustic Rock,Rock,Rock & Roll,1,NA,0,0,NA,0,United States,18,1,1,0,Sharon Sheeley,Sharon Sheeley,0,1,0,0,Jimmie Haskell;Ozzie Nelson;Ricky Nelson,1,1,1,0,0,4/4,C,C,155,33,54,80,-12,67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,A2,0,154,0,12,12,0,0,0,0,0,0,0,0,I used to play around with hearts.That hastened at my call.But when I met that little girl.I knew that I would fall.Poor little fool oh yeah.I was a fool uh huh.Oh oh poor little fool.I was a fool oh yeah.She played around and teased me.With her carefree devil eyes.She'd hold me close and kiss me.But her heart was full of lies.Poor little fool oh yeah.I was a fool uh huh.Oh oh poor little fool.I was a fool oh yeah.She told me how she cared for me.And that we'd never part.And so for the very first time.I gave away my heart.Poor little fool oh yeah.I was a fool uh huh.Oh oh poor little fool.I was a fool oh yeah.The next day she was gone.And I knew she'd lied to me.She left me with a broken heart.And won her victory.Poor little fool oh yeah.I was a fool uh huh.Oh oh poor little fool.I was a fool oh yeah.Well I'd played this game with other hearts.But I never thought I'd see.The day that someone else would play.Love's foolish game with me.Poor little fool oh yeah.I was a fool uh huh.Oh oh poor little fool.I was a fool oh yeah.Poor little fool oh yeah.I was a fool uh huh.Oh oh poor little fool.Poor little fool.,Lost Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Nel Blu Dipinto Di Blu,Domenico Modugno,1958-08-18T00:00:00Z,5,1,7,7,5,6.333333333333333,1.3333333333333333,Decca,Decca,Pop,Vocal,"Pop;Folk, World, & Country",Vocal;Canzone Napoletana;Ballad,1,NA,0,0,NA,0,Italy,30,1,1,0,Franco Migliacci;Domenico Modugno;Mitchell Parish,Franco Migliacci;Domenico Modugno;Mitchell Parish,1,1,1,0,Unknown,NA,NA,NA,NA,0,Free;6/8;4/4,Bb,Bb,130,6,55,48,-17,98,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,E1,0,219,0,11,40,1,1,0,0,0,0,0,0,NA,Flying;Dreaming,0,0,0,1,0,NA,0,NA,0,NA,0,0,NA,1,Cannot Locate
Little Star,The Elegants,1958-08-25T00:00:00Z,1,0,5,6,6,5.666666666666667,0.6666666666666666,Apt,ABC,Rock,Rock & Roll,Rock,Rock & Roll;Doo Wop,0,NA,0,0,NA,0,United States,17,1,1,0,Vito Picone;Arthur Venosa,Vito Picone;Arthur Venosa,1,1,1,1,Unknown,NA,NA,NA,NA,0,Free;4/4,A,A,73,40,41,70,-13,87,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,D3,0,163,0,0,10,1,1,0,0,0,0,1,1,Where are you little star.Where are you.Twinkle twinkle little star.How I wonder where you are.Wish I may wish I might.Make this wish come true tonight.Searched all over for a love.You're the one I'm thinking of.Twinkle twinkle little star.How I wonder where you are.High above the clouds somewhere.Send me down a love to share.Oh there you are.High above.Oh oh God.Send me a love.Oh there you are.Lighting up the sky.I need a love.Oh me oh me oh my.Twinkle twinkle little star.How I wonder where you are.Wish I may wish I might.Make this wish come true tonight.There you are little star.,Longing for Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
It's All in the Game,Tommy Edwards,1958-09-29T00:00:00Z,6,0,3,3,7,4.333333333333333,2.6666666666666665,MGM,MGM,Pop,Vocal,Rock;Pop,Ballad;Doo Wop,1,NA,0,0,NA,0,United States,35,1,0,1,Carl Sigman;Charles G. Dawes,Carl Sigman;Charles G. Dawes,1,1,0,0,Harry Myerson,1,1,0,0,0,3/4,Eb,Eb,71,15,33,61,-18,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,D1,0,156,0,0,3,0,0,0,0,0,0,1,1,Many a tear have to fall.But it's all in the game.All in the wonderful game.That we know as love.You have words with him.And your future's looking dim.But these things.Your hearts can rise above.Once in a while he will call.But it's all in the game.Soon he'll be there at your side.With a sweet bouquet.And he'll kiss your lips.And caress your waiting fingertips.And your hearts will fly.Away.Soon he'll be there at your side.With a sweet bouquet.Then he'll kiss your lips.And caress your waiting fingertips.And your hearts will fly.Away.,Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
It's Only Make Believe,Conway Twitty,1958-11-10T00:00:00Z,2,1,7,8,9,8,1.3333333333333333,MGM,MGM,Pop,Vocal,Rock,Rock & Roll;Pop Rock,1,NA,0,0,NA,0,United States,25,1,1,0,Jack Nance;Conway Twitty,Jack Nance;Conway Twitty,1,1,1,0,Jim Vienneau,1,1,0,0,0,Free;6/8,B,B,127,43,44,36,-10,86,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,A3,0,134,0,0,24,1,1,0,0,0,0,0,0,People see us everywhere.They think you really care.But myself I can't deceive.I know it's only make believe.My one and only prayer.Is that someday you'll care.My hopes my dreams come true.My one and only you.No one will ever know.How much I love you so.My only prayer will be.Someday you'll care for me.But it's only make believe.My hopes my dreams come true.My life I'd give for you.My heart a wedding ring.My all my everything.My heart I can't control.You rule my very soul.My only prayer will be.Someday you'll care for me.But it's only make believe.My one and only prayer.Is that someday you'll care.My hopes my dreams come true.My one and only you.No one will ever know.How much I love you so.My prayers my hopes my schemes.You are my every dream.But it's only make believe.,Lost Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Tom Dooley,The Kingston Trio,1958-11-17T00:00:00Z,1,0,5,5,2,4,2,Capitol,EMI,Folk/Country,Folk,"Folk, World, & Country",Folk,0,NA,0,0,NA,0,United States,24.333333333333332,1,1,0,Alan Lomax;Frank Warner,Alan Lomax;Frank Warner,1,1,0,0,Voyle Gilmore,1,1,0,0,0,4/4,E,E,126,14,63,52,-15,83,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,C2,0,185,0,7,31,1,0,0,0,1,0,0,1,Throughout history there have been many songs written about the eternal triangle. This next one tells the story of Mister Grayson a beautiful woman and a condemned man named Tom Dooley. When the sun rises tomorrow Tom Dooley must hang.Hang down your head Tom Dooley.Hang down your head and cry.Hang down your head Tom Dooley.Poor boy you're bound to die.I met her on the mountain.There I took her life.Met her on the mountain.Stabbed her with my knife.Hang down your head Tom Dooley.Hang down your head and cry.Hang down your head Tom Dooley.Poor boy you're bound to die.This time tomorrow.Reckon where I'll be.Hadn't a been for Grayson.I'd a been in Tennessee.Well now boy.Hang down your head Tom Dooley.Hang down your head and cry.Hang down your head Tom Dooley.Poor boy you're bound to die.Hang down your head and try Tom Dooley.Hang down your head and cry.Hang down your head and try Tom Dooley.Poor boy you're bound to die.This time tomorrow.Reckon where I'll be.Down in some lonesome valley.Hanging from a white oak tree.Hang down your head Tom Dooley.Hang down your head and cry.Hang down your head Tom Dooley.Poor boy you're bound to die.Well now boy.Hang down your head Tom Dooley.Hang down your head and cry.Hang down your head Tom Dooley.Poor boy you're bound to die.Poor boy you're bound to die.Poor boy you're bound to die.Poor boy you're bound to die.,Murder;Death,1,1,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
To Know Him is to Love Him,The Teddy Bears,1958-12-01T00:00:00Z,3,0,8,8,8,8,0,Dore,Dore,Pop,Vocal,Pop,Vocal;Ballad,0,NA,0,0,NA,0,United States,18,2,1,0,Phil Spector,Phil Spector,1,1,1,1,Phil Spector,1,1,1,1,1,12/8,D;F,Multiple Keys,175,20,32,35,-16,89,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,D1,0,142,0,8,8,0,0,1,0,0,0,0,0,To know know know him.Is to love love love him.Just to see him smile.Makes my life worthwhile.To know know know him.Is to love love love him.And I do.And I do and I.And I do and I.And I do and I.And I do and I.I'd be good to him.I'd bring love to him.Everyone says there'll come a day.When I'll walk along side of him.Yes yes to know him.Is to love love love him.And I do.And I do and I.And I do and I.And I do and I.And I do and I.Why can't he see.How blind can he be.Someday he will see that he.Was meant for me.Oh oh yes.To know know know him.Is to love love love him.Just to see him smile.Makes my life worthwhile.To know know know him.Is to love love love him.And I do.And I do and I.And I do and I.And I do and I.And I do and I.,Longing for Love,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
The Chipmunk Song,The Chipmunks,1958-12-22T00:00:00Z,4,0,1,5,2,2.6666666666666665,2.6666666666666665,Liberty,Liberty,Pop,Novelty;Holiday,Pop;Children's,Novelty,0,NA,0,0,NA,0,United States,39,1,0,0,Ross Bagdasarian Sr.,Ross Bagdasarian Sr.,1,0,1,1,Ross Bagdasarian Sr.,1,0,1,1,1,3/4,Ab;Bb&%,Ab,153,37,61,78,-12,71,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,A2,0,141,0,28,19,0,0,1,0,0,0,0,0,Alright you Chipmunks Ready to sing your song.I'd say we are.Yeah Lets sing it now.Okay Simon.Okay.Okay Theodore.Okay.Okay Alvin Alvin Alvin.Okay.Christmas Christmas time is near.Time for toys and time for cheer.We've been good but we can't last.Hurry Christmas hurry fast.Want a plane that loops the loop.Me I want a Hula-Hoop.We can hardly stand the wait.Please Christmas don't be late.Ok Fellas Get ready.That was very good Simon.Naturally.Very Good Theodore.He He He He.Uh Alvin You were a little flat.Watch it Alvin Alvin Alvin.Okay.Want a plane that loops the loop.I still want a Hula-Hoop.We can hardly stand the wait.Please Christmas don't be late.We can hardly stand the wait.Please Christmas don't be late.,Christmas,0,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Smoke Gets in Your Eyes,The Platters,1959-01-19T00:00:00Z,3,0,9,9,8,8.666666666666666,0.6666666666666666,Mercury,Mercury,Pop,Vocal,Funk/Soul,Rhythm & Blues,0,NA,0,0,NA,0,United States,30,2,0,1,Otto Harbach;Jerome Kern,Otto Harbach;Jerome Kern,1,1,0,0,Buck Ram,1,1,0,0,0,4/4,Eb;B,Multiple Keys,113,27,32,26,-11,93,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,D1,0,158,0,16,8,0,0,0,0,1,0,0,1,They asked me how I knew.My true love was true.I of course replied.Something here inside.Cannot be denied.They said someday you'll find.All who love are blind.When your heart's on fire.You must realize.Smoke gets in your eyes.So I chaffed them and I gaily laughed.To think they could doubt my love.And yet today my love has flown away.I am without my love.Now laughing friends deride.Tears I cannot hide.So I smile and say.When a lovely flame dies.Smoke gets in your eyes.Smoke gets in your eyes.,Lost Love,0,0,0,0,1,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
Stagger Lee,Lloyd Price,1959-02-02T00:00:00Z,4,0,6,6,9,7,2,ABC-Paramount,ABC,Rock,Rhythm & Blues,Rock,Rock & Roll,1,NA,0,0,NA,0,United States,25,1,0,1,Lloyd Price;Harold Logan,Lloyd Price;Harold Logan,1,0,1,0,Don Costa,1,1,0,0,0,Free;4/4,Eb,Eb,71,62,36,79,-8,74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,A4,0,145,0,32,13,1,1,1,0,1,0,0,1,The night was clear.And the moon was yellow.And the leaves came tumbling down.I was standing on the corner.When I heard my bulldog bark.He was barking at the two men.Who were gambling in the dark.It was Stagger Lee and Billy.Two men who gambled late.Stagger Lee threw seven.Billy swore that he threw eight.Stagger Lee told Billy.I can't let you go with that.You have won all my money.And my brand new Stetson hat.Stagger Lee started off.Going down that railroad track.He said I can't get you Billy.But don't be here when I come back.Go on Stagger Lee.Stagger Lee went home.And he got his forty-four.Said I'm going to the bar room.Just to pay that debt I owe.Stagger Lee went to the bar room.And he stood across the bar room door.Said Now nobody move.And he pulled his forty-four.Stagger Lee cried Billy.Oh please don't take my life.I got three little children.And a very sickly wife.Stagger Lee shot Billy.Oh he shot that poor boy so bad.Till the bullet came through Billy.And it broke the bartender's glass.Now look out Stagg come on.,Murder;Death,1,0,0,0,0,NA,0,NA,0,NA,0,0,NA,0,Cannot Locate
