"name","img","category","country","role","description"
"Unsung hero","https://ichef.bbci.co.uk/news/300/cpsprodpb/F288/production/_115588026_100_women_2020_unsung.png","All","Worldwide","Making a difference","In an extraordinary year, when countless women around the world have made a sacrifice to help others, the first place on the list is left open to acknowledge their work and to remember those who have lost their lives while making a difference."
"Loza Abera Geinore","https://ichef.bbci.co.uk/news/300/cpsprodpb/15ABB/production/_115336788_loza_abera.jpg","Leadership","Ethiopia","Footballer","Loza Abera Geinore was born and raised in a small town in southern Ethiopia. She played for Hawassa City SC in the Ethiopian Women's Premier League for two seasons, during which time she became the club's top goalscorer.  "
"Houda Abouz","https://ichef.bbci.co.uk/news/300/cpsprodpb/147BF/production/_115330938_houda_abouz.jpg","Creativity","Morocco","Rapper","Houda Abouz, aka Khtek, is a Moroccan rapper known for her unique style and lyrical songs."
"Christina Adane","https://ichef.bbci.co.uk/news/300/cpsprodpb/4A81/production/_115337091_christina_adane_copy.jpg","Leadership","Netherlands","Campaigner","Christina was behind the UK petition for free school meals over the summer holidays, which footballer Marcus Rashford supported."
"Yvonne Aki-Sawyerr","https://ichef.bbci.co.uk/news/300/cpsprodpb/13F95/production/_115331818_yvonne_aki-sawyerr.jpg","Leadership","Sierra Leone","Mayor","Mayor Yvonne Aki-Sawyerr OBE is best known for her Transform Freetown plan, which targets 11 sectors – from tackling environmental degradation and climate change to helping create jobs in order to reduce youth unemployment. "
"Rina Akter","https://ichef.bbci.co.uk/news/300/cpsprodpb/9DDD/production/_115331404_rina_akter.jpg","Knowledge","Bangladesh","Former sex worker","During the pandemic, Rina and her team of helpers have served around 400 meals a week - including rice, vegetables, eggs and meat - to sex workers in Dhaka who have found themselves without clients, and are thus struggling to feed themselves. 
                        "
"Sarah Al-Amiri","https://ichef.bbci.co.uk/news/300/cpsprodpb/E2D9/production/_115337085_he_sarah_alamiri.jpg","Knowledge","UAE","Minister for Advanced Technologies","Her Excellency Sarah Al-Amiri is UAE Minister of State for Advanced Technologies and chairs the UAE Space Agency. She was previously science lead and deputy project manager for the Emirates Mars Mission. "
"Waad  al-Kateab","https://ichef.bbci.co.uk/news/300/cpsprodpb/11885/production/_115331817_waad_al-kateab.jpg","Creativity","Syria","Film-maker","Waad al-Kateab is a Syrian activist, journalist and award-winning film-maker who has received numerous accolades (including an Emmy) for her news reports in Aleppo. In 2020 her first feature, For Sama, won the Bafta award for best documentary, and was nominated for the Academy Award for best documentary feature. "
"Adriana Albini","https://ichef.bbci.co.uk/news/300/cpsprodpb/1612D/production/_115331409_adriana_albini.jpg","Knowledge","Italy","Pathologist","Adriana Albini is head of the vascular biology and angiogenesis laboratory of IRCCS MultiMedica, and of the MultiMedica Foundation; professor of general pathology at the University of Milan-Bicocca and a former visiting scientist at the US National Institutes of Health."
"Ubah Ali","https://ichef.bbci.co.uk/news/300/cpsprodpb/166A5/production/_115331819_ubah_ali.jpg","Leadership","Somaliland","FGM educator","Ubah Ali is a co-founder of Solace for Somaliland Girls, a foundation committed to eradicating all forms of female genital mutilation (FGM) across communities in Somaliland, through education and empowerment. "
