acc_id,acc_date,acc_state,acc_city,fix_port,source,bus_type,industry_sector,device_category,device_type,tradename_or_generic,manufacturer,num_injured,age_youngest,gender,acc_desc,injury_desc,report,category,mechanical,op_error,employee,notes
1005813,6/12/2010,OH,Cleveland,F,Ohio Dept. of Agriculture,Sports or recreation facility,recreation,inflatable,Inflatable slide,inflatable slide,Scherba Industries / Inflatable Images,9,,,"Inflatable slide tipped over while 7-9 patrons on top of it. The slide fell on a man standing next to it, causing several fractures to his back, and minor injuries to several children. The accident was caused by allowing too many patrons on the device and operating it in an usafe manner. &nbsp;The insurance company had solicited volunteers from their employees to staff the device in return for free tickets to the ball game.","The man who was crushed by the device died 9 days later of complications from his injuries. 2 children were transported to the ER, and 6 children were treated at the scene.",https://saferparksdata.org/sites/default/files/accident_reports/OH-2010-06-12.pdf,"Device tipped over, blew away, or collapsed",,1,,"http://www.cleveland.com/metro/index.ssf/2012/10/cleveland_indians_settle_wrong.html
href=""http://www.cleveland.com/metro/index.ssf/2012/10/cleveland_indians_settle_wrong.html"">http://www.cleveland.com/metro/index.ssf/2012/10/cleveland_indians_settle_wrong.html</a></div>"
1004032,6/12/2010,OH,Cleveland,P,United States Consumer Product Safety Commission,Sports or recreation facility,recreation,inflatable,Inflatable slide,inflatable slide,Scherba Industries / Inflatable Images,8,54,M,Two adult males were standing next to an inflatable slide when it tipped over on top of them. &nbsp;One man suffered a fractured vertebrae and died later from complications. The other sustained head and back injuries. &nbsp;Six children who were on the slide sustained minor injuries. &nbsp;The investigation revealed the slide tipped over because there were too many children on one side and the slide was not properly anchored. &nbsp;Volunteers were acting as attendants for the amusement device. &nbsp;There were 7-9 children on the slide when it fell over.,"1 - death from pulmonary embolism caused by blunt force trauma; 1 - head and back injuries; 6 children had cuts, bruises, back and ear pain.",https://saferparksdata.org/sites/default/files/accident_reports/CPSC-OH-2010-06-12.pdf,"Device tipped over, blew away, or collapsed",,1,,See also OH state record.
1007658,7/10/2010,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,water ride,Boat ride,boat ride,Arrow Dynamics,1,37,F,"Patron stated she slipped and fell while stepping into the boat, causing right hip and low back pain. Then made a late report stating torn meniscus in her knee.","Hip and low back pain, torn meniscus in knee",,Load/Unload: scrape or stumble,,,,
1007098,7/10/2010,CA,Carlsbad,F,California Division of Occupational Safety and Health,Water park,water park,float attraction,Lazy river,lazy river,California Pools,1,37,F,Patron claims strained back after her raft tipped. Husband reported the injury six months later.,Strained back,,"Fall: patron fell off inner tube, mat or board",,,,
1000094,7/29/2010,CO,Littleton,F,Colorado Division of Oil and Public Safety,Family entertainment center,recreation,challenge activity,Climbing wall,climbing wall,Spectrum Sports,1,,M,"Two patrons climbed to the top of the wall, counted to three and jumped of the wall in unison. The auto-belay failed for one patron.",Patron experienced a free fall that resulted in three broken bones in foot.,https://saferparksdata.org/sites/default/files/accident_reports/CO-2010-07-29.pdf,Fall: patron fell from device (participatory),1,,,
1005756,7/30/2010,WI,Wisconsin Dells,F,"Wisconsin Dept. of Commerce, Safety and Building Division",Amusement park,recreation,challenge activity,Freefall,freefall,,1,12,F,"Rider was released by the ride operator before the net was raised and airbag inflated, causing her to freefall 100 feet to the ground. According to a criminal complaint, the operator at the top of the ride was supposed to watch for an all-clear signal from the operator at the bottom who inflates the air bag that catches patrons more than 100 feet below. Investigators say the airbag meant to catch Marti was not inflated yet, and that the cage at the top of the ride was stopped before it reached the top. Carnell told investigators he didn't look for a signal at the bottom of the ride before he let Marti loose. He told investigators he &quot;totally blanked.&quot;","Med-flighted to hospital: skull fracture; multiple severe fractures to back and pelvise; lacerated spleen, liver, intestines",,Fall: ejection/fall from ride,,1,,"https://www.cbsnews.com/news/park-ride-victims-father-she-was-dead/, http://www.nhregister.com/news/article/Miracle-girl-survives-fall-from-Terminal-11612562.php, http://www.wkow.com/global/story.asp?s=13003233
href=""https://www.cbsnews.com/news/park-ride-victims-father-she-was-dead/"">https://www.cbsnews.com/news/park-ride-victims-father-she-was-dead/</a>, <a
href=""http://www.nhregister.com/news/article/Miracle-girl-survives-fall-from-Terminal-11612562.php"">http://www.nhregister.com/news/article/Miracle-girl-survives-fall-from-Terminal-11612562.php</a>, <a
href=""http://www.wkow.com/global/story.asp?s=13003233"">http://www.wkow.com/global/story.asp?s=13003233</a></div>"
1005757,8/5/2010,WI,Milwaukee,P,Media Report,Unknown,amusement ride,other attraction,Sky ride/ski lift,Sky Glider,"O.D. Hopkins Associates, Inc.",1,16,F,The ride stopped due to motor trouble. Ride was evacuated by fire department with a couple of high reaches. Evacuation took 2.5 hours.,One patron complained of back pain. EMTs determined back pain was due to sitting on the ride for 2.5 hours.,,Unscheduled stop,1,,,http://wisinfo.biz/ic/caspio/amusementpark.html
1000103,8/11/2010,CO,Morrison,F,Colorado Division of Oil and Public Safety,Zoo or museum,amusement ride,cars & track rides,Train/tram,steam train,,20,,,"A train layover was caused by approaching a curve at a high speed, 12-17 miles per hour. Normal train speeds are 3-4 miles per hour.",Numerous injuries to twenty passengers.,https://saferparksdata.org/sites/default/files/accident_reports/CO-2010-08-11.pdf,Derailment,,1,,
1003973,8/15/2010,WI,West Allis,P,United States Consumer Product Safety Commission,Carnival or rental,recreation,challenge activity,Human-powered ball,Zorb,Zorb,1,14,M,"14yo boy was injured during a walking water ball ride at the state fair. Upon entering the ride and beginning to walk, he lost his balance and fell on his right shoulder, tearing a ligament and breaking his collarbone near the joint. The victim 5'11&quot;, 240lbs. Due to his size/weight, occasionally his feet would make contact with the ground rather than floating on the water surface.","Dislocated shoulder, broken clavicle near AC joint, and torn ligament requiring surgery and extensive PT.",https://saferparksdata.org/sites/default/files/accident_reports/CPSC-WI-2010-08-15.pdf,Impact: hit something in participatory attraction,,,,
1004460,9/5/2010,ME,Old Orchard Beach,F,Maine Department of Public Safety,Carnival or rental,amusement ride,other attraction,Walk-through,fun house,,1,,,Child lost footing on the turntable on the floor of the funhouse and fell.,Injury description redacted.,,Fall: in climb or play area,,,,
1003972,11/1/2010,SC,Ladson,P,United States Consumer Product Safety Commission,Carnival or rental,amusement ride,spinning,Wheel w/spinning cars,Zipper,"Chance Manufacturing, Inc.",2,16,F,Patron was struck on the left side of her head while waiting in line for a ride. A trolley wheel from a neighboring ride (Zipper) flew off and struck her friend's shoulder before ricocheting into the victim's head.,Head injury requiring hospitalization; shoulder injury,,Impact: hit by loose piece of attraction,1,,,"CPSC requested the incident report from the state, but the SC Dept. of Labor did not respond."
1007003,1/1/2011,CA,Anaheim,F,California Division of Occupational Safety and Health,Amusement park,amusement ride,cars & track rides,Train/tram,monorail,In-house,1,36,F,"Patron stated she was walking quickly toward the ride when she felt a popping sensation in her left calf, then injured her left hand when she leaned against the side of the ride.","Calf injury, hand injury",,Load/Unload: scrape or stumble,,,,
1000400,1/1/2011,FL,ORANGE CITY,F,Florida Dept. of Agriculture,Family entertainment center,recreation,go-kart,Go-kart,go kart,,1,11,F,Eleven year old female patron stepped out of her kart to assist her brother in a second kart when her foot became pinched between the kart bumper and the railing.,Foot pain,,Entrapment or pinch-point,,,,
