name,category,cr,size,type,descriptive_tags,alignment,ac,initiative,hp,hp_number,speed,speed_base_number,str,dex,con,int,wis,cha,str_save,dex_save,con_save,int_save,wis_save,cha_save,skills,resistances,vulnerabilities,immunities,gear,senses,languages,full_text
Aboleth,Aboleth,10,Large,Aberration,NA,Lawful Evil,17,7,150 (20d10 + 40),150,"Speed 10 ft., Swim 40 ft.",10,21,9,15,18,15,18,5,3,6,8,6,4,"History +12, Perception +10",NA,NA,NA,NA,Darkvision 120 ft.; Passive Perception 20,Deep Speech; telepathy 120 ft.,"Aboleth
Large Aberration, Lawful Evil
AC 17		                   Initiative +7 (17)
HP 150 (20d10 + 40)
Speed 10 ft., Swim 40 ft.
MOD SAVE              MOD SAVE           MOD SAVE
Str 21 +5 +5         Dex 9 −1 +3           Con 15 +2 +6
Int 18 +4 +8         Wis 15 +2 +6          Cha 18 +4 +4
Skills History +12, Perception +10
Senses Darkvision 120 ft.; Passive Perception 20
Languages Deep Speech; telepathy 120 ft.
CR 10 (XP 5,900, or 7,200 in lair; PB +4)
Traits
Amphibious. The aboleth can breathe air and water.
Eldritch Restoration. If destroyed, the aboleth gains
a new body in 5d10 days, reviving with all its Hit
Points in the Far Realm or another location chosen
by the GM.
Legendary Resistance (3/Day, or 4/Day in Lair). If
the aboleth fails a saving throw, it can choose to suc-
ceed instead.
Mucus Cloud. While underwater, the aboleth is sur-
rounded by mucus. Constitution Saving Throw: DC 14,
each creature in a 5-foot Emanation originating from
the aboleth at the end of the aboleth’s turn. Failure: The
target is cursed. Until the curse ends, the target’s skin
becomes slimy, the target can breathe air and water,
and it can’t regain Hit Points unless it is underwater.
While the cursed creature is outside a body of water,
the creature takes 6 (1d12) Acid damage at the end of
every 10 minutes unless moisture is applied to its skin
before those minutes have passed.
Probing Telepathy. If a creature the aboleth can see
communicates telepathically with the aboleth, the abo-
leth learns the creature’s greatest desires.
Actions
Multiattack. The aboleth makes two Tentacle attacks
and uses either Consume Memories or Dominate Mind
if available.
Tentacle. Melee Attack Roll: +9, reach 15 ft. Hit: 12
(2d6 + 5) Bludgeoning damage. If the target is a Large
or smaller creature, it has the Grappled condition (es-
cape DC 14) from one of four tentacles.
Consume Memories. Intelligence Saving Throw: DC 16,
one creature within 30 feet that is Charmed or Grap-
pled by the aboleth. Failure: 10 (3d6) Psychic damage.
Success: Half damage. Failure or Success: The aboleth
gains the target’s memories if the target is a Humanoid
and is reduced to 0 Hit Points by this action.
Dominate Mind (2/Day). Wisdom Saving Throw: DC
16, one creature the aboleth can see within 30 feet.
Failure: The target has the Charmed condition until
the aboleth dies or is on a different plane of existence
from the target. While Charmed, the target acts as an
ally to the aboleth and is under its control while within
60 feet of it. In addition, the aboleth and the target
can communicate telepathically with each other over
any distance.
The target repeats the save whenever it takes damage
as well as after every 24 hours it spends at least 1 mile
away from the aboleth, ending the effect on itself on
a success.
Legendary Actions
Legendary Action Uses: 3 (4 in Lair). Immediately after
another creature’s turn, the aboleth can expend a use to
take one of the following actions. The aboleth regains all
expended uses at the start of each of its turns.
Lash. The aboleth makes one Tentacle attack.
Psychic Drain. If the aboleth has at least one creature
Charmed or Grappled, it uses Consume Memories and
regains 5 (1d10) Hit Points."
Air Elemental,Air Elemental,5,Large,Elemental,NA,Neutral,15,5,90 (12d10 + 24),90,"Speed 10 ft., Fly 90 ft. (hover)",10,14,20,14,6,10,6,2,5,2,-2,0,-2,NA,"Bludgeoning, Lightning, Piercing, Slashing",NA,"Poison, Thunder; Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",NA,Darkvision 60 ft.; Passive Perception 10,Primordial (Auran),"Air Elemental
Large Elemental, Neutral
AC 15		                      Initiative +5 (15)
HP 90 (12d10 + 24)
Speed 10 ft., Fly 90 ft. (hover)
MOD SAVE              MOD SAVE           MOD SAVE
Str 14 +2 +2          Dex 20 +5 +5         Con 14 +2 +2
Int 6 −2 −2           Wis 10 +0 +0         Cha 6 −2 −2
Resistances Bludgeoning, Lightning, Piercing, Slashing
Immunities Poison, Thunder; Exhaustion, Grappled,
Paralyzed, Petrified, Poisoned, Prone, Restrained,
Unconscious
Senses Darkvision 60 ft.; Passive Perception 10
Languages Primordial (Auran)
CR 5 (XP 1,800; PB +3)
Traits
Air Form. The elemental can enter a creature’s space
and stop there. It can move through a space as narrow
as 1 inch without expending extra movement to do so.
Actions
Multiattack. The elemental makes two Thunderous
Slam attacks.
Thunderous Slam. Melee Attack Roll: +8, reach 10 ft.
Hit: 14 (2d8 + 5) Thunder damage.
Whirlwind (Recharge 4–6). Strength Saving Throw: DC
13, one Medium or smaller creature in the elemental’s
space. Failure: 24 (4d10 + 2) Thunder damage, and the
target is pushed up to 20 feet straight away from the
elemental and has the Prone condition. Success: Half
damage only."
Animated Armor,Animated Objects,1,Medium,Construct,NA,Unaligned,18,2,33 (6d8 + 6),33,Speed 25 ft.,25,14,11,13,1,3,1,2,0,1,-5,-4,-5,NA,NA,NA,"Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",NA,Blindsight 60 ft.; Passive Perception 6,None,"Animated Armor
Medium Construct, Unaligned
AC 18		                     Initiative +2 (12)
HP 33 (6d8 + 6)
Speed 25 ft.
MOD SAVE              MOD SAVE          MOD SAVE
Str 14 +2 +2          Dex 11 +0 +0         Con 13 +1 +1
Int 1 −5 −5           Wis 3 −4 −4          Cha 1 −5 −5
Immunities Poison, Psychic; Charmed, Deafened,
Exhaustion, Frightened, Paralyzed, Petrified, Poisoned
Senses Blindsight 60 ft.; Passive Perception 6
Languages None
CR 1 (XP 200; PB +2)
Actions
Multiattack. The armor makes two Slam attacks.
Slam. Melee Attack Roll: +4, reach 5 ft. Hit: 5 (1d6 + 2)
Bludgeoning damage."
Animated Flying Sword,Animated Objects,0.25,Small,Construct,NA,Unaligned,17,4,14 (4d6),14,"Speed 5 ft., Fly 50 ft. (hover)",5,12,15,11,1,5,1,1,4,0,-5,-3,-5,NA,NA,NA,"Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",NA,Blindsight 60 ft.; Passive Perception 7,None,"Animated Flying Sword
Small Construct, Unaligned
AC 17		                      Initiative +4 (14)
HP 14 (4d6)
Speed 5 ft., Fly 50 ft. (hover)
MOD SAVE              MOD SAVE          MOD SAVE
Str 12 +1 +1          Dex 15 +2 +4         Con 11 +0 +0
Int 1 −5 −5           Wis 5 −3 −3          Cha 1 −5 −5
Immunities Poison, Psychic; Charmed, Deafened,
Exhaustion, Frightened, Paralyzed, Petrified, Poisoned
Senses Blindsight 60 ft.; Passive Perception 7
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Slash. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2)
Slashing damage."
Animated Rug of Smothering,Animated Objects,2,Large,Construct,NA,Unaligned,12,4,27 (5d10),27,Speed 10 ft.,10,17,14,10,1,3,1,3,2,0,-5,-4,-5,NA,NA,NA,"Poison, Psychic; Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned",NA,Blindsight 60 ft.; Passive Perception 6,None,"Animated Rug of Smothering
Large Construct, Unaligned
AC 12		                     Initiative +4 (14)
HP 27 (5d10)
Speed 10 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 17 +3 +3         Dex 14 +2 +2         Con 10 +0 +0
Int 1 −5 −5          Wis 3 −4 −4          Cha 1 −5 −5
Immunities Poison, Psychic; Charmed, Deafened,
Exhaustion, Frightened, Paralyzed, Petrified, Poisoned
Senses Blindsight 60 ft.; Passive Perception 6
Languages None
CR 2 (XP 450; PB +2)
Actions
Smother. Melee Attack Roll: +5, reach 5 ft. Hit: 10 (2d6
+ 3) Bludgeoning damage. If the target is a Medium or
smaller creature, the rug can give it the Grappled con-
dition (escape DC 13) instead of dealing damage. Until
the grapple ends, the target has the Blinded and Re-
strained conditions, is suffocating, and takes 10 (2d6 +
3) Bludgeoning damage at the start of each of its turns.
The rug can smother only one creature at a time.
While grappling the target, the rug can’t take this ac-
tion, the rug halves the damage it takes (round down),
and the target takes the same amount of damage."
Ankheg,Ankheg,2,Large,Monstrosity,NA,Unaligned,14,0,45 (6d10 + 12),45,"Speed 30 ft., Burrow 10 ft.",30,17,11,14,1,13,6,3,0,2,-5,1,-2,NA,NA,NA,NA,NA,"Darkvision 60 ft., Tremorsense 60 ft.; Passive Perception 11",None,"Ankheg
Large Monstrosity, Unaligned
AC 14		                     Initiative +0 (10)
HP 45 (6d10 + 12)
Speed 30 ft., Burrow 10 ft.
MOD SAVE             MOD SAVE           MOD SAVE
Str 17 +3 +3         Dex 11 +0 +0         Con 14 +2 +2
Int 1 −5 −5          Wis 13 +1 +1         Cha 6 −2 −2
Senses Darkvision 60 ft., Tremorsense 60 ft.;
Passive Perception 11
Languages None
CR 2 (XP 450; PB +2)
Traits
Tunneler. The ankheg can burrow through solid rock
at half its Burrow Speed and leaves a 10-foot-diameter
tunnel in its wake.
Actions
Bite. Melee Attack Roll: +5 (with Advantage if the target
is Grappled by the ankheg), reach 5 ft. Hit: 10 (2d6 + 3)
Slashing damage plus 3 (1d6) Acid damage. If the target
is a Large or smaller creature, it has the Grappled con-
dition (escape DC 13).
Acid Spray (Recharge 6). Dexterity Saving Throw: DC
12, each creature in a 30-foot-long, 5-foot-wide Line.
Failure: 14 (4d6) Acid damage. Success: Half damage."
Assassin,Assassin,8,Medium or Small,Humanoid,NA,Neutral,16,10,97 (15d8 + 30),97,Speed 30 ft.,30,11,18,14,16,11,10,0,7,2,6,0,0,"Acrobatics +7, Perception +6, Stealth +10",Poison,NA,NA,"Light Crossbow, Shortsword, Studded Leather Armor",Passive Perception 16,"Common, Thieves’ Cant","Assassin
Medium or Small Humanoid, Neutral
AC 16		                    Initiative +10 (20)
HP 97 (15d8 + 30)
Speed 30 ft.
MOD SAVE             MOD SAVE            MOD SAVE
Str 11 +0 +0           Dex 18 +4 +7       Con 14 +2 +2
Int 16 +3 +6           Wis 11 +0 +0       Cha 10 +0 +0
Skills Acrobatics +7, Perception +6, Stealth +10
Resistances Poison
Gear Light Crossbow, Shortsword, Studded Leather Armor
Senses Passive Perception 16
Languages Common, Thieves’ Cant
CR 8 (XP 3,900; PB +3)
Traits
Evasion. If the assassin is subjected to an effect that
allows it to make a Dexterity saving throw to take only
half damage, the assassin instead takes no damage if it
succeeds on the save and only half damage if it fails. It
can’t use this trait if it has the Incapacitated condition.
Actions
Multiattack. The assassin makes three attacks, using
Shortsword or Light Crossbow in any combination.
Shortsword. Melee Attack Roll: +7, reach 5 ft. Hit: 7
(1d6 + 4) Piercing damage plus 17 (5d6) Poison dam-
age, and the target has the Poisoned condition until the
start of the assassin’s next turn.
Light Crossbow. Ranged Attack Roll: +7, range
80/320 ft. Hit: 8 (1d8 + 4) Piercing damage plus 21
(6d6) Poison damage.
Bonus Actions
Cunning Action. The assassin takes the Dash, Disen-
gage, or Hide action."
Awakened Shrub,Awakened Plants,0,Small,Plant,NA,Neutral,9,-1,10 (3d6),10,Speed 20 ft.,20,3,8,11,10,10,6,-4,-1,0,0,0,-2,NA,Piercing,Fire,NA,NA,Passive Perception 10,Common plus one other language,"Awakened Shrub
Small Plant, Neutral
AC 9		                     Initiative −1 (9)
HP 10 (3d6)
Speed 20 ft.
MOD SAVE
Str 3 −4 −4
MOD SAVE
Dex 8 −1 −1
MOD SAVE
Con 11 +0 +0
Int 10 +0 +0          Wis 10 +0 +0        Cha 6 −2 −2
Vulnerabilities Fire
Resistances Piercing
Senses Passive Perception 10
Languages Common plus one other language
CR 0 (XP 10; PB +2)
Actions
Rake. Melee Attack Roll: +1, reach 5 ft. Hit: 1 Slash-
ing damage."
Awakened Tree,Awakened Plants,2,Huge,Plant,NA,Neutral,13,-2,59 (7d12 + 14),59,Speed 20 ft.,20,19,6,15,10,10,7,4,-2,2,0,0,-2,NA,"Bludgeoning, Piercing",Fire,NA,NA,Passive Perception 10,Common plus one other language,"Awakened Tree
Huge Plant, Neutral
AC 13		                   Initiative −2 (8)
HP 59 (7d12 + 14)
Speed 20 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 19 +4 +4          Dex 6 −2 −2         Con 15 +2 +2
Int 10 +0 +0          Wis 10 +0 +0        Cha 7 −2 −2
Vulnerabilities Fire
Resistances Bludgeoning, Piercing
Senses Passive Perception 10
Languages Common plus one other language
CR 2 (XP 450; PB +2)
Actions
Slam. Melee Attack Roll: +6, reach 10 ft. Hit: 14 (3d6
+ 4) Bludgeoning damage."
Axe Beak,Axe Beak,0.25,Large,Monstrosity,NA,Unaligned,11,1,19 (3d10 + 3),19,Speed 50 ft.,50,14,12,12,2,10,5,2,1,1,-4,0,-3,NA,NA,NA,NA,NA,Passive Perception 10,None,"Axe Beak
Large Monstrosity, Unaligned
AC 11		                   Initiative +1 (11)
HP 19 (3d10 + 3)
Speed 50 ft.
MOD SAVE             MOD SAVE          MOD SAVE
Str 14 +2 +2          Dex 12 +1 +1        Con 12 +1 +1
Int 2 −4 −4           Wis 10 +0 +0        Cha 5 −3 −3
Senses Passive Perception 10
Languages None
CR 1/4 (XP 50; PB +2)
Actions
Beak. Melee Attack Roll: +4, reach 5 ft. Hit: 6 (1d8 + 2)
Slashing damage."
