date,hour,vote_rank,bird_breed
2019-10-28,8,vote_1,Gibson's Albatross
2019-10-28,8,vote_2,Tūī
2019-10-28,8,vote_3,Kākā
2019-10-28,8,vote_4,Kākāpō
2019-10-28,8,vote_5,Little Spotted Kiwi
2019-10-28,8,vote_1,Spotted Shag
2019-10-28,8,vote_2,Fantail
2019-10-28,8,vote_3,Weka
2019-10-28,8,vote_4,NA
2019-10-28,8,vote_5,NA
2019-10-28,8,vote_1,Great Spotted Kiwi
2019-10-28,8,vote_2,Kea
2019-10-28,8,vote_3,Little Spotted Kiwi
2019-10-28,8,vote_4,Kākāpō
2019-10-28,8,vote_5,Kererū
2019-10-28,8,vote_1,Blue Duck
2019-10-28,8,vote_2,New Zealand Falcon
2019-10-28,8,vote_3,South Island Kōkako
2019-10-28,8,vote_4,Morepork
2019-10-28,8,vote_5,Australasian Gannet
2019-10-28,8,vote_1,Little Penguin
2019-10-28,8,vote_2,Rockhopper Penguin
2019-10-28,8,vote_3,Bittern
2019-10-28,8,vote_4,Black Robin
2019-10-28,8,vote_5,Morepork
2019-10-28,8,vote_1,North Island Brown Kiwi
2019-10-28,8,vote_2,Stitchbird
2019-10-28,8,vote_3,Kea
2019-10-28,8,vote_4,NA
2019-10-28,8,vote_5,NA
2019-10-28,8,vote_1,Banded Dotterel
2019-10-28,8,vote_2,Hutton's Shearwater
2019-10-28,8,vote_3,Antipodean Albatross
2019-10-28,8,vote_4,Whenua Hou Diving Petrel
2019-10-28,8,vote_5,Southern Brown Kiwi
2019-10-28,8,vote_1,Rockhopper Penguin
2019-10-28,8,vote_2,Wrybill
2019-10-28,8,vote_3,Great Spotted Kiwi
2019-10-28,8,vote_4,North Island Brown Kiwi
2019-10-28,8,vote_5,Tomtit
2019-10-28,8,vote_1,Kākāpō
2019-10-28,8,vote_2,Pūkeko
2019-10-28,8,vote_3,Fantail
2019-10-28,8,vote_4,Kākā
2019-10-28,8,vote_5,Morepork
2019-10-28,8,vote_1,Black Petrel
2019-10-28,8,vote_2,Blue Duck
2019-10-28,8,vote_3,South Island Kōkako
2019-10-28,8,vote_4,Great Spotted Kiwi
2019-10-28,8,vote_5,Kea
2019-10-28,8,vote_1,Kākāpō
2019-10-28,8,vote_2,Chatham Island Oystercatcher
2019-10-28,8,vote_3,Black Robin
2019-10-28,8,vote_4,New Zealand Dotterel
2019-10-28,8,vote_5,Blue Duck
2019-10-28,8,vote_1,Yellow-eyed penguin
2019-10-28,8,vote_2,Kākāpō
2019-10-28,8,vote_3,Kererū
2019-10-28,8,vote_4,Bellbird
2019-10-28,8,vote_5,Banded Dotterel
2019-10-28,9,vote_1,Chatham Island Mollymawk
2019-10-28,9,vote_2,Morepork
2019-10-28,9,vote_3,Yellow-eyed penguin
2019-10-28,9,vote_4,Chatham Island Oystercatcher
2019-10-28,9,vote_5,Welcome Swallow
2019-10-28,9,vote_1,Harrier
2019-10-28,9,vote_2,Barn Owl
2019-10-28,9,vote_3,Bittern
2019-10-28,9,vote_4,Morepork
2019-10-28,9,vote_5,New Zealand Falcon
2019-10-28,9,vote_1,Fairy Tern
2019-10-28,9,vote_2,Black Stilt
2019-10-28,9,vote_3,Bittern
2019-10-28,9,vote_4,New Zealand Dotterel
2019-10-28,9,vote_5,Little Spotted Kiwi
2019-10-28,9,vote_1,Harrier
2019-10-28,9,vote_2,Kererū
