observed,location_details,county,state,season,title,latitude,longitude,date,number,classification,geohash,temperature_high,temperature_mid,temperature_low,dew_point,humidity,cloud_cover,moon_phase,precip_intensity,precip_probability,precip_type,pressure,summary,uv_index,visibility,wind_bearing,wind_speed
"I was canoeing on the Sipsey river in Alabama. It was dusk as I was pulling out of the river and I was trying to hurry to get all my gear in the car before it got dark as it was about a 60 yard walk up this steep hill to where my car was. Just as I was flipping the canoe up to put on my shoulders I heard this very loud ""WHOOOOP, WHOOOP, WHOOOP, WHOOOP"", then a pause then three more whoops. I 've been in the woods enough to know it was not an owl or like any sound I've EVER heard in the woods or on a river. Too loud, too powerful. It felt like it came frome about a quarter to a half mile away. It scared the piss out of me. You've never seen a guy hustle a 75 lbs canoe on their shoulders and practically run up the hill. I didn't even tie it on properly until I got up to the highway. The weird part was I had been watching the Monster Quest series and the month before had come down the same river and thought ""This area looks just like that crap they show in the Pacific Northwest where those bogfoots are. Wonder if there were ever any bigfoots in Alabama?"" So I did an internet search and it surprised the crap out of me and found a whole freakin website about Alabama Bigfoots. Those sounds I heard sounded just like the whoops you have on this web site. Of course after watching those shows it could have been somebody doing that call blasting thing but I had emailed the Alabama Research people and they said they did not have anyone working that area at that time(AUG 2010). Over the last year I have had a few ""unusual"" moments in this area. No sightings but well, I'm short on time. The WHOOOPS were the important thing, scared the hell out of me.",,Winston County,Alabama,Summer,,,,,30680.0,Class B,,,,,,,,,,,,,,,,,
"Ed L. was salmon fishing with a companion in Prince William Sound. After anchoring off shore, his companion took a small boat up a river to check on the state of the salmon run. As the day wore on toward evening and he didn't come back at the expected time, Ed scanned upriver and across the adjacent land with binoculars. There he saw a sasquatch walking across the tundra, with long, smooth steps and with dark hair flowing from its shoulders, bouncing behind ""like a cape"" at every step. The sasquatch paid no attention to the boat (distance about 1,000').",East side of Prince William Sound,Valdez-Chitina-Whittier County,Alaska,Fall,,,,,1261.0,Class A,,,,,,,,,,,,,,,,,
"While attending U.R.I in the Fall of 1974,I would stay at my girlfriends mother's house on weekends because I only had a five day mealbook plan. It was Sunday evening about 10:00pm when I decided to head back to school on my ten speed bike. Very dark in the area because it being mostly wooded, country like setting but yet city. I was going down her street and noticed my front center pull brake needed to be adjusted. I stopped under a street light at the end of her street which is an intersection to adjust the brake. Directly in front of me was a small field that sloped down and away from me,pitch black background, tall grass and a few bushes being light by the street light. Typical New England, Oak, Maple and, Pine trees. As I was fixing my brake I began hearing very loud foot steps of a biped, comig from the field on the slope side,more like a crushing thud. I could hear the actual compression being placed, like someone dropping a heavy metal ball/rock on the ground.I looked up to see if I could see anything and just said to myself ""its nothing"", and went back to fixing my brake. I noticed it was getting closer and felt very apprehensive, the sound was coming in my direction. All of sudden this dog starts barking like crazy, I can hear the chain snap as it either tries to attack or getaway from something. I said to myself ""its time to go!"", as I started I turned left to head north, into a few pedals. From out of the darkness steps into the street light this white looking gorilla. The legs present themselves then the body as it comes to rest on its knuckles. Twenty maybe twenty five feet away, directly across the street from me perhads six feet tall maybe 400 pounds or more. Massive arms that went straight down on its knuckles, knees slight bent.The head is higher in the back connected to the neck all-in-one mass. The face dark, deep strong  but primate.The eyes are close together and set deep in the face. The nose and mouth are human like, it's nose is wide, around the mouth black hair that went down on each side.It looks up with its head and chest see me, eyeball to eyeball as I look back trying to see if this thing is real. Humanlike in appearance, the face is not like a primate but has a distinct animal presence (the eye are close together). I was never so scared in my life and knew had I stayed I don't think I would of survived the attack.The way it was positioned gave it an explosive start as it decides to chase me down the street. My heart was pounding out of my chest, my eyes had tears in them and with all my might I pedaled as it ran on two legs, then down on its knuckles then back up again. Perhaps for ten yards, I remember how its long hair on its arms moved with each reach,I thank god I was in first gear. A good five second chase and it was all over.It had stopped in the middle of the street just swaying back and forth, turned and just cleared this rock wall all in one motion from a grass sidewalk. At the top of hill I began riding in circles, I didn't know what to do, I could not comprehend the situation I was in. I knew one thing I was not riding back. I cut through her grandmother's yards and made it back to her house. Not trying to look crazy or anything they ask me what's wrong ? I told them what happened and agreed  that it was best to go back in the morning.","Great swamp area, Narragansett Indians",Washington County,Rhode Island,Fall,Report 6496: Bicycling student has night encounter,41.45,-71.5,1974-09-20,6496.0,Class A,drm5ucxrc0,78.17,73.42500000000001,68.68,65.72,0.86,0.86,0.16,0,0,,1020.61,Foggy until afternoon.,4,2.75,198,6.92
"Hello, My name is Doug and though I am very reluctant to post this story; I am going to do so anyways. The area that this happened  could not be a more unlikely area for a bigfoot occurance then or  especially now with all the development of the farmland in the last 25 years which has been extensive and at a phenominal rate. After reading many (if not every last report on this website) and coming across more that a few that have happened in improbable areas (bigfoot running down neighborhood streets and sightings/ vocalizations near condo areas), I decided there just might be some merit in submitting this for review. A skilled researcher might be able to shed some more light maybe. My friends parents owned a small somewhat defunct farm with (I'm guessing maybe 15-20 acres of land -not the best judge on that) They had 3 horses; 2 mares that were allowed out in the field areas; a stabled stallion, and a pony I believe. The barn was in dis-repair and part of the roof had collapsed years earlier. There was a large pond that was almost completely enclosed with an impenatrable thicket of briars ringing almost the whole cirmcuference of the pond, except for a small area that was kept open for access for the horses to water. Much of the property was overgrown with these same briars that tended to make big circular mounds here and there in the field. The house sat close to the road; the barn to the left and further behind. The extreme left side of their property was bordered by a small stream that edged along a small (100 ft x 30 ft) stand of very dense pine trees. These pines (species unknown) tend to have a very dense understory of almost horizontal dead, dry, branches due to years of growth an minimal sunlight. The lower end of this pine grove had a mowed lawn area (next door neighbors property who were also related to my friend family) You had to access the camping area through the neighbors propery as the overgrowth of briars and other weeds, brambles, trees made it impossible to get there directly for the E------- property. The pond in relation to the campsite was to the left if you were looking back up towards the road; with the stream running between. The dense pine grove then lay between you and the road; unless you skirted around it through the neigbors backyard. This is what happened. No sighting but a vocalization. We had gone down to the campsite had built a fire and been down there for about an hour. During this time we all felt uneasy even though we had been there before many times. This is a long time ago but to the best of my memory we had been joking; probably made something to eat over the fire but something felt really wrong this time. ""Wrong"" is the best word I can use to describe. I remember I felt like I couldn't just sit down by the fire and stay with the conversation though. From back in the pine grove was the occasional, deliberate braking of branches that were just a little too large (to the sophisticated human ear) and just had the sound of being ""up off the ground some ways"" This would start and stop. We would listen and comment on it. First we thought maybe the mares had gotten back into the woods, unusual but this later was confirmed not to be so because we found out the next day that they were stabled for the night. We then thought it might be some older boys who were trying to scare us into running. It would be quiet for awhile then there would be a sense of movement closer to where we were and then receeding. We shined a flashlight and ventured back alittle ways but saw or smelled nothing. The sounds began again this time definately agitated, insistent with a very permiable feeling. We started to get un-nerved  moved out into the neighbors backyard. The sound grew louder, with traceable movement and then this ear splitting scream cut right out into the night. One loud shriek louder than anything should have to be. It just cut right to the core of your soul. Like so many reports I've read on this website, it's virtually impossible to do it justice with a human description precisly because it sounded so inhuman. We just ran like hell back to the house, left everything behind. No sense of being followed at all. No visual sighting (I almost wish). No bad smells or odors. In terms of other reports this pales, I know. But this is what happened and I never forgot it. We knew what Sasquatch were at the time, but no one ever heard of sightings east of the Mississippi to the best of my memory then. We kind of joked that maybe that's what our unseen friend was. Years later when I read and saw the reports from the southern part of York County (report on file with your website.) did I ever give any serious thought.","I would rather not have exact location (listing the nearest road) to repect the privacy of the family that still owns the property. I have long since had a falling out with my friend at the time and don't feel he or they would like being approache about this. I like my own privacy respected; so I must accord others the same. The general area at that time was more open farmland with some large housing developements (in which I lived) within a mile. There were a good deal of homes scattered here and there and others in smaller developments. A very large animal like a Sasquatch could conceivably navigate (migrate) through an area like this at night using farmland as cover; but absolutely not stay very long in an area like that even then without revealing it's presense. I can give you more specific details on topography. Farmland opens up eventually much more to the north with a State Park (Gifford Pinchot) at the north end of the county. Southern end of York county where the  sightings occurred is a more likely area given in terms of what I've read of similar topography of other sighting then. Also much more rural and forested in the early ""70's.",York County,Pennsylvania,Summer,,,,,8000.0,Class B,,,,,,,,,,,,,,,,,
"It was May 1984. Two friends and I were up in the hills nw of Yamhill, OR, late in the evening, around 10:30 pm. We heard the scream, a VERY low, very long howl. Not a coyote, bear or cougar. Have heard all of them before. This was nothing like anything I have ever heard. I still remember thinking to myself ""How in the hell can something make such a low howl."" It scared us at first, but is sounded like it was far away, like maybe a mile or so. We were drinking a little beer, so after awhile we relaxed and forgot about it. It must have been about a half hour later when we heard it again. I swear that it had to be within 30 yards of us. Same loud, low howl, but MUCH closer. And it sounded pissed. I could feel the sound vibrations bouncing off the back of my neck. The hair stood up on the back of all of our necks. All of us turned white as hell, and our jaws dropped past our knees. The howl seemed to say ""GET OUT!"" Which is EXACTLY what we did. I just looked at the two other guys and said ""lets get the @#$ outta here "". We did not see anything, but felt the presence. I grew up within 10 miles of that spot. I had never heard that sound before, or since, EXCEPT on a television show that had a report of a bigfoot sighting. A guy in Idaho caught one on video (at least it looked like one), but when I saw the video, I heard that scream again. The guy taking the video threw the camera in the ditch, and hid. It was the SAME scream. ONLY other time that I have EVER heard it. It was EXACTLY the same scream. I saw this video on a news show, something like ""Real TV"" while in Fairfax, VA, in 1992 or 1993. I do not know EXACTLY what it is that we heard, but I know what I think it was. Bigfoot. That is my story, and I have two wittnesses to back me up.","Logging roads north west of Yamhill, OR, about 15 miles.",Yamhill County,Oregon,Spring,,,,,703.0,Class B,,,,,,,,,,,,,,,,,
"My two children and I were returning from Altus,  Oklahoma to Burns Flat, Oklahoma in the fall of 1973 when a very large black man-like creature crossed the highway moving from west to east. I was driving and my son (age 11) was sitting in the front seat beside me and my daughter (age 12) was sitting in the back seat leaning forward between the driver and passenger seat. It was a clear sunny day about 3 PM and there was a lull in the conversation. It was quiet in the car, we did not have the radio on and all three of us were happened to be looking straight ahead. I noticed a movement on the left side of the road and was amazed to see a what I percieved to be a very large black man-like creature rise from a squatting position and run across the two lane highway about 30 yards ahead. It ran across the highway, covering the distance in only three steps, I estimate the creature to have been at least 8 feet tall, it glanced briefly in the direction of the car and I instictively applied the brake so as not to hit it. It ran into the bar ditch on the east side of the road and ducked into some brush and large bushes between the ditch and the barbed wire fence. It had hair that looked rather silky as it ran, I remember seeing the hair move as it ran. The hair did not appear to be stiff like an animals hair but more soft and shiny. Both children saw it too and said ""What was that, mama?"" I said I didn't know, they wanted me to stop the car, but I was frightened that my children and I could be harmed by something I had never seen before in my life. I didn't tell anyone what I had seen and cautioned the children not to say anything either.","The creature crossed from one cattle pasture to another, it may have been leaving a pond on the east side of the highway.",Washita County,Oklahoma,Fall,Report 9765: Motorist and children have daylight sighting near Burns Flat.,35.3011,-99.1702,1973-09-28,9765.0,Class A,9y32z667yc,71.86,61.425,50.99,51.03,0.79,0.11,0.07,,,rain,1017.26,Partly cloudy starting in the afternoon.,7,10,259,8.41
"I was staying the night with a friends of mine. It was late at night we were watching TV waiting on his parents to come home. We heard a noise out front and I looked out the window in the door to the mobile home. A large face was looking in the window. The face had a very heavy brow with deepest eyes, the nose was wide and flat with flared nostrils. The lips were thick and rubbery looking with thick block like teeth. The hair was about one inch long on the face and it sweptback from the brow with a large lump standing up on the top of the head. The head sat on the shoulders with no sigh of a neck. It let out a scream and it pushed off from the door. My friend grabbed his 22 rifle and we went out the back door in time to see it step NOT JUMP but step over a 3 strand barb wire fence and run in a hunched over motion with it's arms swinging it's hands below it's knees. The next day we looked for tracks but found none. We did measured the distance from the ground to the window of the door (there was no front steps) 7'6"".","Vincent, Ohio (In theWayne National Forest)",Washington County,Ohio,Summer,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,39.38745,-81.67339,1971-08-01,4983.0,Class A,dpjbj6r280,,,,,,,,,,,,,,,,
"Well last year I was night fishing 9/2010 at Amawalk Reservior SOMERS NY about 30 minutes from PAWLINGS I was fishing with my buddy..the reservior was about 100ft into the lake before you got to water .....about 5am sun was coming out..when a 5 foot maybe 5 1/2 ft man  or Big Foot came out of the woods washed its face and drank some of the reservoir water..he looked like something out of the old school ""Planets of the Apes"" chimps..I said to my buddy ""you see that?""?he said yes ..Now on Animal Planet there showing a clip of a Big Foot that has been seen in these areas (Lower Hudson Valley)..So I'm puzzled to think what I saw was a Big Foot....so this my account of what I saw..and we didn't catch crap at night..anybody ever run into anything like this??... This was my post on www.westchesterfishing.com Low and be hold another member at the same reservior..Columbus day 2011..this is his post..Hey Guys, I put at Amawalk this summer and about the 5th time I took it out in early October.  I saw two upright walking chimp looking things walk out of the woods and crouch down and drink from the res, run back in to the woods and then do the same thing again.  When they came out the second time one of them threw it's arms in the air while squatting and then they ran back into the woods.   The second one went back slowly.  It seemed like they saw something in the water right in front of them.  That was right when the sun came up.  I haven't been back to my boat since.  I have no idea what they were and looked like two large chimps to me.  Maybe some guy who lives there has two monkeys or something?  I have no idea.  But I saw something that I can't explain, it has been eating away at me since.  When I saw the preview for that show I almost shat myself.  When Biggame posted here I didn't want to say that I saw something because I'm from Oregon and my hunting and logging part of the family thinks they know where they live but none of them have never ever seen them just have stories, just like everyone else in Oregon.  Then I saw what I saw in October and have been denying it to myself ever since.  I absolutely hope that someone owns two monkey's on the Amawalk. I have no reason to say something like this.  Before October I could have cared less if bigfoot existed, now I'm a bit curious.  I own a fishing rod company and have business to lose from people thinking I'm crazy for posting this on here.  This is a nothing to gain and allot to lose situation for me but, I had to say something when Biggame posted.  Let me be clear in saying that I saw something too.  I have no idea what they were and would need absolute proof that bigfoot existed before I would ever say thats what they were. So two seperate sightings same place different year..I BELIEVE!!!",Both sightings were on the North east corner of the reservoir..the lake was low..I saw it walk and stick its face in the water like a dog,Westchester County,New York,Fall,Report 31940: Fishermen and Law Enforcement Officer Report Three Class A Sightings in Same Area Within a Year near the town of Somers,41.29873,-73.73717,2010-09-01,31940.0,Class A,dr7dfn4nx3,92.24,80.81,69.38,67.34,0.68,0.05,0.76,0,0,,1016.8,Clear throughout the day.,8,6.922,219,1.01
"I grew up in Northwestern Nevada along the California border in the foothills of the Sierra's.  My father was a geologist who preferred working and camping in areas that were as sparsely populated as possible.  Between 1970 and 1983 I had a number of encounters in Nevada, California, and Washington states.  I plan to submit them individually in chronological sequence so that I can provide as much detail for researchers as possible. This first encounter occured in 1970 on Peavine Mountain Northwest of Reno, Nevada.  I was ten at the time and tagging along with my father, who was hunting deer.  We were on the Western side of the mountain, close to the California border.  We were between two ridges crossing a meadow on the Western face of the East ridge.  It was about 3:30 PM and the sun was beginning to drop behind the trees on the Western ridge.  There were no clouds and it was still very bright in the meadow, but the shallow draw between the two ridges was heavily shadowed. As my father and I neared the center of the meadow we heard an extended call coming from the West.  We had lived in Kansas until I was eight and the call reminded me of the World War II air raid siren they used for tornado alerts where we used to live.  It began low and relatively quiet and rose in both pitch and volume as it progressed.  It lasted for about fifteen to twenty seconds before rapidly dropping off.  After about ten seconds the call was repeated.  It seemed to me that it was coming from the draw a couple of hundred yards West and downhill from us.  Unlike the tornado siren I was familiar with, it had a mellow, rather than harsh, or mechanical, quality to it. As the second call ended I asked my father what was making the noise.  Annoyed, he told me that it was just the siren from a fire tower and picked up his pace.  That seemed reasonable, and I began looking around at the surrounding high ground for the tower when the call sounded a third time.  It seemed to be coming from the draw and seemed to be moving away from us. I caught up with my father and, being a curious ten-year old, asked him in rapid succession where the tower was and if he smelled any smoke.  He replied that it was on the other side of the far ridge and that they were just testing the siren.  I told him I thought the call was coming from the draw and at that point was told to shut up.  As the call sounded a fourth time, even further away, my father listened to it and then decided to call it a day.  We walked to the jeep and drove home without further incident.","The Western face of Peavine Mountain, Northwest of Reno Nevada.",Washoe County,Nevada,Fall,Report 5692: Father and son hear vocalizations on Peavine Mt,39.592,-119.975,1970-09-01,5692.0,Class B,9r49jzsb5g,,,,32.55,0.45,0,0.02,0,0,,1012.31,Clear throughout the day.,8,8.88,285,4.01
"heh i kinda feel a little dumb that im reporting this but its bothering me so here goes.. bout a month ago i was with a friend and her son, we were hanging out at a camp ground by Allamuchy state park, in Warren county NJ. i think the camp ground was part of Stephens state park either way it was on the Musconetcong river. it was late in the day and we were just walking on the trials by the river. we figured since her son was gonna stay with her folks that evening we would come back later and spend the night at the camp ground. we went home and got together some gear, just sleeping bags and sleeping pads. we stopped at a store got some hotdogs and rolls and a gallon of water then headed to the camp site. it was about 10pm when we got to the camp site and i think we took spot 19. it was close to the road one of the last spots before ya hit the road maybe 50 yards or so. we made a fire in the metal fire ring and just sat around till about 1am, there were maybe 5 or 6 sites that were camped that night one was taken by some boy scouts. at about 1am my friend got in her sleeping bag next to the fire, i was still up drinking hot chocolate and stareing into the fire, about 20min or so later i got into my bag next to her and was lieing on my side looking into the woods. i wasnt comfortable and i laid awake for a good hour or so just thinking and listening to the sounds of the woods and the river that was 100yards tops away from me. then i heard a sound like someone was lightly banging a fork or something against a plate. i thought maybe a bear was snooping around looking for a free meal, this is bear country and we have a very healthy black bear population, but maybe 30 seconds after i heard the metalic sound i heard someone or something bang a branch against a tree 4 or 5 times in a row, i thought that the bear maybe was getting a little to close to someones camp site. then i again heard banging against a tree but this time it was a bout 100yards into the woods and not near any camping area that i had seen in the daylight. then the tree banging came from the first spot as if answering the other position. the first tree banger was what seemed to be on or near the road by the middle of the camp ground. that kinda made my mind wander i was wondering what was going on..and who is up making all this noise. about 10minutes later i looked into the woods which were slightly iluminated by my dieing fire and i saw what looked like a bear looking into my camp about 20 feet away from behind a tree. i saw just the shadowy outline of it. i could see its head and shoulders slowly move out from behind the tree look in and then move back behind the tree. ive seen bears do this before in the day light but never this close. then i closed my eyes waited a few seconds and opened them just to make sure i wasnt seeing things. but this whatever it was had difined shoulders and a rounded kinda pointy on top head, it didnt have and ears like you would see on a bear, nor the flat head of a bear and if it was a bear its front arms wouldnt have given it the squared off shoulders that i was seeing in the silloette of this figure. i got kinda scared for a few moments and didnt move a at all. i thought for a second about jumping up and yelling at it but i didnt want so get it mad at me or scare it. i closed my eyes and tried my hardest just to fall asleep. i dozed off finally and was awoken by my friend who was yelling at me for not putting the bag of hotdogs in the car before going to sleep. we had in the bag a apple and a orange, rolls and a unopend pack of hotdogs, i tied the bag with a simple knot like you would tigh your shoes the night before, but when i got up the only thing left where the bag was, was the orange just sitting there on the ground. my friend said somthing along the lines of wow a bear came and stole our hotdogs. i kinda was wondering what was going on so i decided to have a look around where i saw the figure the night before, i remembered that the shadowy figure was hiding behind the tree and i could see a branch just above its head maybe a foot or so higher than the top of the figure. it was puzzleing because that branch must have been 8 or 9 feet off the ground and black bears where i come from dont stand that tall on there hind feet. i didnt try to tell her what i heard or saw the night before because she wouldnt have belived me anyway, but ive spend lots of time in the back country and woods hunting, fishing, rock climbing, and backpacking. i know what bears look like up close as well as from a distance. and this wasnt a bear and to tall for a person. i didnt smell anything but i think i was up wind anyway and we were burning wood in the fire and all i could really smell was the fire anyway. the thing that really bothers me is the tree banging its was allmost like something was comunicating with something else. it also bothers me that something waited until it was sure that i was asleep before coming into camp. in which case it woulda been 6 or 7 feet from where we were sleeping in order to open the bag and have a look in it, then disguard the orange and take the rest bag and all. it wouldve had to make some sound if it just tore the bag opened. i looked around before we left to see if i could find any tracks or anything but the ground is was just to hard, there was a few game trails but i didnt look very far or spend alot of time looking. i looked on the internet and found this sight and was surprized to see other sitings in new jersey.","the road is off us rt 80, i dont know the exit number just how to get there if im driving will try to find out the details.",Warren County,New Jersey,Fall,,,,,438.0,Class B,,,,,,,,,,,,,,,,,
