broad_field,major_field,field,year,n_phds
Life sciences,Agricultural sciences and natural resources,Agricultural economics,2008,111
Life sciences,Agricultural sciences and natural resources,Agricultural and horticultural plant breeding,2008,28
Life sciences,Agricultural sciences and natural resources,Agricultural animal breeding,2008,3
Life sciences,Agricultural sciences and natural resources,Agronomy and crop science,2008,68
Life sciences,Agricultural sciences and natural resources,Animal nutrition,2008,41
Life sciences,Agricultural sciences and natural resources,"Animal science, poultry or avian",2008,18
Life sciences,Agricultural sciences and natural resources,"Animal sciences, other",2008,77
Life sciences,Agricultural sciences and natural resources,Environmental science,2008,182
Life sciences,Agricultural sciences and natural resources,Fishing and fisheries sciences and management,2008,52
Life sciences,Agricultural sciences and natural resources,Food science,2008,96
Life sciences,Agricultural sciences and natural resources,"Food science and technology, other",2008,41
Life sciences,Agricultural sciences and natural resources,Forest sciences and biology,2008,32
Life sciences,Agricultural sciences and natural resources,"Forest management, forest resources management",2008,44
Life sciences,Agricultural sciences and natural resources,"Forestry, other",2008,17
Life sciences,Agricultural sciences and natural resources,Horticulture science,2008,50
Life sciences,Agricultural sciences and natural resources,Natural resource and environmental policy,2008,NA
Life sciences,Agricultural sciences and natural resources,Natural resources and conservation,2008,78
Life sciences,Agricultural sciences and natural resources,Natural resources and environmental economics (agricultural sciences),2008,NA
Life sciences,Agricultural sciences and natural resources,"Plant pathology and phytopathology, agricultural",2008,59
Life sciences,Agricultural sciences and natural resources,"Plant sciences, other",2008,39
Life sciences,Agricultural sciences and natural resources,"Soil chemistry, microbiology",2008,25
Life sciences,Agricultural sciences and natural resources,"Soil sciences, other",2008,67
Life sciences,Agricultural sciences and natural resources,"Wildlife, range management",2008,55
Life sciences,Agricultural sciences and natural resources,"Wood science, pulp and paper technology",2008,2
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, generala",2008,8
Life sciences,Agricultural sciences and natural resources,"Agricultural sciences and natural resources, otherb",2008,5
Life sciences,Biological and biomedical sciences,Anatomy,2008,25
Life sciences,Biological and biomedical sciences,Bacteriology,2008,22
Life sciences,Biological and biomedical sciences,Biochemistry (biological sciences),2008,899
Life sciences,Biological and biomedical sciences,Bioinformatics,2008,147
Life sciences,Biological and biomedical sciences,Biomedical sciences,2008,268
Life sciences,Biological and biomedical sciences,Biometrics and biostatistics,2008,122
Life sciences,Biological and biomedical sciences,Biophysics (biological sciences),2008,167
Life sciences,Biological and biomedical sciences,Biotechnology,2008,32
Life sciences,Biological and biomedical sciences,Botany and plant biology,2008,105
Life sciences,Biological and biomedical sciences,Cancer biology,2008,289
Life sciences,Biological and biomedical sciences,"Cell, cellular biology, and histology",2008,376
Life sciences,Biological and biomedical sciences,Computational biology,2008,NA
