current_up_to,region_id,iso3_code,total_members,deposits_ref,deposits_abstract,deposits_license,deposits_crossmark,deposits_updates,deposits_textmining,deposits_status_info,acknowledges_funding,deposits_funder_id,deposits_grant_id,deposits_orcid,deposits_orcid_for_authors,deposits_orcid_for_chairs,deposits_orcid_for_editors,deposits_orcid_for_translators,deposits_ror_id,deposits_ror_id_for_affiliations,deposits_ror_id_for_funders,deposits_ror_id_for_institutions
2026-04-30,EAS,AUS,251,69,188,76,13,8,65,0,15,15,0,157,157,1,24,0,27,27,2,1
2026-04-30,EAS,BRN,5,0,5,2,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0
2026-04-30,EAS,CHN,185,74,107,50,19,7,48,0,14,13,0,55,55,0,2,0,14,14,1,0
2026-04-30,EAS,FJI,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,0
2026-04-30,EAS,HKG,147,51,119,69,10,3,69,0,12,10,0,55,55,2,5,1,18,18,3,0
2026-04-30,EAS,IDN,4517,643,4425,3680,198,12,4375,0,106,92,0,2815,2814,0,15,0,166,166,3,0
2026-04-30,EAS,JPN,684,624,28,23,7,5,19,0,75,73,0,99,99,0,5,0,77,77,1,0
2026-04-30,EAS,KHM,14,5,13,6,0,0,7,0,0,0,0,11,11,0,0,0,2,2,0,0
2026-04-30,EAS,KOR,2618,1239,649,443,619,214,450,0,565,528,0,369,369,1,1,0,2,2,0,0
2026-04-30,EAS,LAO,5,4,5,3,1,1,3,0,0,0,0,4,4,0,1,1,1,1,0,0
2026-04-30,EAS,MAC,10,2,6,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
2026-04-30,EAS,MMR,3,2,3,1,0,0,1,0,0,0,0,2,2,0,0,0,1,1,0,0
2026-04-30,EAS,MNG,22,9,22,15,2,0,15,0,1,1,0,15,15,0,1,0,3,3,0,0
2026-04-30,EAS,MYS,191,58,162,88,4,1,98,0,18,17,0,106,106,0,5,0,24,22,4,1
2026-04-30,EAS,NZL,51,21,46,24,2,1,22,0,3,3,0,37,37,2,8,1,7,7,1,1
2026-04-30,EAS,PHL,176,50,159,64,11,0,69,0,4,2,0,98,97,1,4,0,36,36,4,0
2026-04-30,EAS,PNG,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,EAS,PYF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,EAS,SGP,66,26,55,36,10,3,33,0,8,7,0,42,41,0,4,0,6,6,4,0
2026-04-30,EAS,THA,105,62,97,73,4,1,77,0,6,4,0,66,66,0,2,0,7,7,4,0
2026-04-30,EAS,TLS,4,2,4,3,0,0,4,0,1,1,0,2,2,0,0,0,0,0,0,0
2026-04-30,EAS,TWN,35,15,20,9,5,2,9,0,3,3,0,15,15,0,0,0,2,2,0,0
2026-04-30,EAS,VNM,171,38,165,42,3,2,122,0,5,5,0,68,68,0,0,1,14,14,0,0
2026-04-30,EAS,WSM,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-04-30,ECS,ALB,19,10,17,10,0,0,10,0,1,0,0,8,8,0,1,1,4,4,1,0
2026-04-30,ECS,AND,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
2026-04-30,ECS,ARM,61,51,57,7,1,0,9,0,5,5,0,26,26,0,1,0,25,25,1,0
2026-04-30,ECS,AUT,74,17,55,23,2,0,24,0,1,3,0,46,46,2,8,0,5,4,1,0
2026-04-30,ECS,AZE,66,15,52,9,3,0,10,0,2,1,0,39,39,0,0,0,14,13,1,0
2026-04-30,ECS,BEL,63,21,48,24,1,0,21,0,9,8,0,41,40,0,10,0,11,11,0,1
2026-04-30,ECS,BGR,90,29,85,29,5,2,32,0,9,8,0,56,56,1,2,4,21,21,3,1
2026-04-30,ECS,BIH,88,23,83,44,2,0,51,0,4,4,0,48,48,0,2,0,24,24,0,0
2026-04-30,ECS,BLR,35,19,27,16,3,0,16,0,1,1,0,24,24,0,2,0,3,3,0,0
