season,show_number,episode,airdate,18_49_rating_share,viewers_in_millions,timeslot_et,dvr_18_49,dvr_viewers_millions,total_18_49,total_viewers_millions,weekrank,ref,share,nightlyrank,rating_share_households,rating_share
1,1,Auditions,"June 11, 2002",4.8,9.85,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,6.1 / 11
1,2,Hollywood Week,"June 12, 2002",5.2,11.24,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6.9 / 12
1,3,Top 30: Group 1,"June 18, 2002",5.2,10.3,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6.2 / 11
1,4,Top 30: Group 1 results,"June 19, 2002",4.7,9.47,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,5.8 / 10
1,5,Top 30: Group 2,"June 25, 2002",4.5,9.08,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,5.5 / 9
1,6,Top 30: Group 2 results,"June 26, 2002",4.2,8.53,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,5.3 / 9
1,7,Top 30: Group 3,"July 2, 2002",5.3,10.28,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,5.9 / 10
1,8,Top 30: Group 3 results,"July 3, 2002",N/A,7.5,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,4.4 / 8
1,9,Wildcard Show,"July 10, 2002",4.1,8.97,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,5.4 / 9
1,10,Top 10 Perform,"July 16, 2002",5.3,10.28,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,6.0 / 11
1,11,Top 10 Results,"July 17, 2002",4.8,9.39,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,5.5 / 9
1,12,Top 8 Finalists,"July 23, 2002",5.5,10.77,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,6.6 / 11
1,13,Top 8 Results,"July 24, 2002",4.4,9.13,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,5.7 / 10
1,14,Top 7 Finalists,"July 30, 2002",6.3,12.2,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,7.1 / 12
1,15,Top 7 Results,"July 31, 2002",5.0,10.2,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,6.2 / 10
1,16,Top 6 Finalists,"August 6, 2002",6.2,12.2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,7.0 / 12
1,17,Top 6 Results,"August 7, 2002",5.2,10.82,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,6.4 / 11
1,18,Top 5 Finalists,"August 13, 2002",6.2,12.67,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7.4 / 12
1,19,Top 5 Results,"August 14, 2002",5.7,12.05,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,6.9 / 11
1,20,Top 4 Finalists,"August 20, 2002",7.9,15.29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,8.8 / 14
1,21,Top 4 Results,"August 21, 2002",7.1,14.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8.0 / 13
1,22,Top 3 Finalists,"August 27, 2002",7.5,14.98,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8.7 / 14
1,23,Top 3 Results,"August 28, 2002",8.3,16.94,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9.7 / 16
1,24,Top 2 Finalists,"September 3, 2002",9.3,18.69,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10.5 / 16
1,25,Season 1 Finale,"September 4, 2002",10.7,22.77,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,12.6 / 21
2,1,"New York, Miami & Austin Auditions","January 21, 2003",12.4,26.5,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,2,Special: American Idol revisited,"January 21, 2003",11.3,23.6,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA
2,3,Pasadena & Detroit Auditions,"January 22, 2003",11.8,24.9,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
2,4,Atlanta & Nashville Auditions,"January 28, 2003",11.6,24.1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,5,Hollywood Week,"January 29, 2003",12.6,26,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,6,Top 32: Group 1,"February 4, 2003",9.7,20.1,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
2,7,Top 32: Group 1 results,"February 5, 2003",9.4,19.3,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA
2,8,Top 32: Group 2,"February 11, 2003",9.7,20,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
2,9,Top 32: Group 2 results,"February 12, 2003",9,18.7,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
2,10,Top 32: Group 3,"February 18, 2003",9.2,19.7,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
2,11,Top 32: Group 3 results,"February 19, 2003",7.4,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA
2,12,Special: Best of the Worst,"February 19, 2003",8.8,19.5,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA
2,13,Top 32: Group 4,"February 25, 2003",9.7,20,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
2,14,Top 32: Group 4 results,"February 26, 2003",8.7,17.1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
2,15,Wildcard Show,"March 4, 2003",8.5,18.7,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
2,16,Wildcard Results,"March 5, 2003",8.5,18,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,17,Top 12 Perform,"March 11, 2003",10.3,22,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,18,Top 12 Results,"March 12, 2003",8.7,18.3,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
2,19,Top 11 Perform,"March 18, 2003",10,21.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,20,Top 11 Results,"March 19, 2003",7.9,17.2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,21,Top 10 Perform,"March 25, 2003",9.4,19.8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2,22,Top 10 Results,"March 26, 2003",8.7,19,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,23,Top 9 Perform,"April 1, 2003",9.6,21.2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,24,Top 9 Results,"April 2, 2003",9.7,20.3,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,25,Top 8 Perform,"April 8, 2003",9.7,20.1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,26,Top 8 Results,"April 9, 2003",9.4,19.2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
2,27,Top 7 Perform,"April 15, 2003",8.8,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
2,28,Top 7 Results,"April 16, 2003",8.4,18.1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,29,Special: Halfway Home,"April 21, 2003",6.2,14.1,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA
2,30,Top 6 Perform,"April 22, 2003",9.6,20.6,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,31,Top 6 Results,"April 23, 2003",9.3,19.5,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA
2,32,Top 5 Perform,"April 29, 2003",9.7,20.4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,33,Top 5 Results,"April 30, 2003",9,20.2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
2,34,Top 4 Perform,"May 6, 2003",10.1,22.2,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,35,Top 4 Results,"May 7, 2003",10.4,22.7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,36,Top 3 Perform,"May 13, 2003",10.7,23.4,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA
2,37,Top 3 Results,"May 14, 2003",11.4,25.3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
2,38,Top 2 Special,"May 19, 2003",7.4,16.9,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA
