year,sample_size,wage,at_cap,union_wage,nonunion_wage,union_wage_premium_raw,union_wage_premium_adjusted,facet
1973,39774,3.963343381881714,0.0011102976277470589,4.61300802230835,3.754528045654297,0.22865189611911774,0.171743243932724,all wage and salary workers
1974,37966,4.258988380432129,0.001568906009197235,5.021363735198975,4.019071578979492,0.24938400089740753,0.17610858380794525,all wage and salary workers
1975,37812,4.622152328491211,0.002267337404191494,5.428929805755615,4.386672496795654,0.237596333026886,0.1858174055814743,all wage and salary workers
1976,37888,4.914101600646973,0.0029009832069277763,5.835836887359619,4.646127223968506,0.2560648024082184,0.19672206044197083,all wage and salary workers
1977,46591,5.235752582550049,0.0035580324474722147,6.375394344329834,4.874814033508301,0.3078230917453766,0.20887547731399536,all wage and salary workers
1978,44577,5.578953742980957,0.0038851818535476923,6.773647308349609,5.212551116943359,0.2994879484176636,0.20135292410850525,all wage and salary workers
1979,44234,6.357469081878662,0.0051955413073301315,7.313542366027832,6.029841899871826,0.21289123594760895,0.15126484632492065,all wage and salary workers
1980,55795,6.889625549316406,0.0069791534915566444,7.883334159851074,6.573331356048584,0.19929054379463196,0.14761333167552948,all wage and salary workers
1981,12543,6.965193271636963,0.0076753548346459866,8.568615913391113,6.514373779296875,0.31533992290496826,0.17284370958805084,all wage and salary workers
1983,149169,8.055480003356934,0.017245376482605934,9.885915756225586,7.593844890594482,0.30183273553848267,0.2095923274755478,all wage and salary workers
1984,150464,8.37218952178955,0.021514510735869408,10.263042449951172,7.929927349090576,0.29421645402908325,0.21666228771209717,all wage and salary workers
1985,153737,8.776283264160156,0.025563953444361687,10.761096000671387,8.338377952575684,0.2905502915382385,0.21357494592666626,all wage and salary workers
1986,159126,9.158391952514648,0.030427198857069016,11.175626754760742,8.723567008972168,0.2810845375061035,0.20381508767604828,all wage and salary workers
1987,155216,9.476058006286621,0.035401247441768646,11.623933792114258,9.027239799499512,0.2876509428024292,0.2027067244052887,all wage and salary workers
1988,147348,9.9277496337890625,0.042437512427568436,12.243874549865723,9.454827308654785,0.2949865758419037,0.1955251544713974,all wage and salary workers
1989,149694,10.3885498046875,0.005477210972458124,12.850597381591797,9.898460388183594,0.2982420325279236,0.2075762301683426,all wage and salary workers
1990,156497,10.846484184265137,0.00676283473148942,13.388322830200195,10.362754821777344,0.2919656038284302,0.20503690838813782,all wage and salary workers
1991,151634,11.288135528564453,0.008047043345868587,13.789689064025879,10.814329147338867,0.2751312553882599,0.19413414597511292,all wage and salary workers
1992,149317,11.592909812927246,0.008661060594022274,14.228829383850098,11.098503112792969,0.28204941749572754,0.19458939135074615,all wage and salary workers
1993,145219,11.961444854736328,0.009873447008430958,14.76737117767334,11.43539810180664,0.291373610496521,0.2072143852710724,all wage and salary workers
1994,169102,12.495595932006836,0.012466182000935078,15.223639488220215,11.992980003356934,0.269379198551178,0.23525315523147583,all wage and salary workers
1995,168610,12.797718048095703,0.013251555152237415,15.529267311096191,12.318017959594727,0.26069530844688416,0.22435413300991058,all wage and salary workers
1996,117448,13.1061429977417,0.014108509756624699,16.324918746948242,12.553934097290039,0.30038270354270935,0.21888595819473267,all wage and salary workers
1997,119552,13.606158256530762,0.016666829586029053,16.95714569091797,13.043376922607422,0.30005794763565063,0.21823841333389282,all wage and salary workers
1998,118889,14.217503547668457,0.0063381739892065525,17.434764862060547,13.689599990844727,0.27357739210128784,0.21360746026039124,all wage and salary workers
1999,114439,14.974885940551758,0.007446366362273693,18.238605499267578,14.43868637084961,0.26317623257637024,0.20871001482009888,all wage and salary workers
2000,112154,15.646393775939941,0.008523917756974697,18.626785278320313,15.16817569732666,0.22801750898361206,0.19152404367923737,all wage and salary workers
2001,117474,16.553234100341797,0.009967810474336147,19.45644187927246,16.088838577270508,0.2093130201101303,0.19148296117782593,all wage and salary workers
2002,127245,17.062339782714844,0.011248844675719738,20.136552810668945,16.580121994018555,0.21449968218803406,0.18965619802474976,all wage and salary workers
2003,121990,17.510738372802734,0.011997822672128677,20.770992279052734,17.005634307861328,0.22141826152801514,0.1913045048713684,all wage and salary workers
2004,120592,17.980926513671875,0.013197612017393112,21.633190155029297,17.43315887451172,0.2409219890832901,0.17955107986927032,all wage and salary workers
2005,122710,18.542238235473633,0.014551088213920593,22.047435760498047,18.023115158081055,0.22328662872314453,0.17633120715618134,all wage and salary workers
2006,122180,19.146053314208984,0.01633245311677456,22.57872200012207,18.652496337890625,0.2104933112859726,0.16878476738929749,all wage and salary workers
