country,food_category,consumption,co2_emmission
Argentina,Pork,10.51,37.2
Argentina,Poultry,38.660000000000004,41.53
Argentina,Beef,55.48,1712
Argentina,Lamb & Goat,1.56,54.63
Argentina,Fish,4.359999999999999,6.96
Argentina,Eggs,11.39,10.46
Argentina,Milk - inc. cheese,195.08,277.87
Argentina,Wheat and Wheat Products,103.11,19.66
Argentina,Rice,8.77,11.219999999999999
Argentina,Soybeans,0,0
Argentina,Nuts inc. Peanut Butter,0.49,0.8700000000000001
Australia,Pork,24.14,85.44000000000001
Australia,Poultry,46.120000000000005,49.54
Australia,Beef,33.86,1044.85
Australia,Lamb & Goat,9.870000000000001,345.65000000000003
Australia,Fish,17.69,28.25
Australia,Eggs,8.51,7.819999999999999
Australia,Milk - inc. cheese,234.49,334.01
Australia,Wheat and Wheat Products,70.46000000000001,13.44
Australia,Rice,11.03,14.12
Australia,Soybeans,0.19,0.09
Australia,Nuts inc. Peanut Butter,8.729999999999999,15.450000000000001
Albania,Pork,10.88,38.51
Albania,Poultry,13.229999999999999,14.209999999999999
Albania,Beef,22.5,694.3
Albania,Lamb & Goat,15.32,536.5
Albania,Fish,3.8499999999999996,6.1499999999999995
Albania,Eggs,12.450000000000001,11.44
Albania,Milk - inc. cheese,303.71999999999997,432.62
Albania,Wheat and Wheat Products,138.64,26.439999999999998
Albania,Rice,7.78,9.96
Albania,Soybeans,0,0
Albania,Nuts inc. Peanut Butter,4.359999999999999,7.72
Iceland,Pork,21.69,76.77
Iceland,Poultry,26.87,28.86
Iceland,Beef,13.360000000000001,412.26
Iceland,Lamb & Goat,21.12,739.62
Iceland,Fish,74.41000000000001,118.81
Iceland,Eggs,8.239999999999998,7.57
Iceland,Milk - inc. cheese,225.82000000000002,321.66
Iceland,Wheat and Wheat Products,72.92,13.91
Iceland,Rice,3.8899999999999997,4.98
Iceland,Soybeans,0.11,0.05
Iceland,Nuts inc. Peanut Butter,3.88,6.87
New Zealand,Pork,22.29,78.9
New Zealand,Poultry,34.98,37.58
New Zealand,Beef,22.49,693.99
New Zealand,Lamb & Goat,18.91,662.23
New Zealand,Fish,20.36,32.51
New Zealand,Eggs,9.91,9.1
New Zealand,Milk - inc. cheese,137.25,195.5
New Zealand,Wheat and Wheat Products,76.91000000000001,14.67
New Zealand,Rice,9.16,11.719999999999999
New Zealand,Soybeans,0.44,0.2
New Zealand,Nuts inc. Peanut Butter,8.219999999999999,14.55
USA,Pork,27.64,97.83
USA,Poultry,50.01,53.720000000000006
USA,Beef,36.24,1118.29
USA,Lamb & Goat,0.43000000000000005,15.06
USA,Fish,12.350000000000001,19.72
USA,Eggs,14.58,13.39
USA,Milk - inc. cheese,254.69,362.78
USA,Wheat and Wheat Products,80.43,15.34
USA,Rice,6.88,8.8
USA,Soybeans,0.04,0.02
USA,Nuts inc. Peanut Butter,7.859999999999999,13.91
Uruguay,Pork,16.84,59.61
Uruguay,Poultry,27.45,29.49
Uruguay,Beef,29.1,897.9599999999999
Uruguay,Lamb & Goat,8.229999999999999,288.21
Uruguay,Fish,6.53,10.43
Uruguay,Eggs,13.139999999999999,12.07
Uruguay,Milk - inc. cheese,210.54,299.89
Uruguay,Wheat and Wheat Products,109.31,20.85
Uruguay,Rice,11.5,14.719999999999999
Uruguay,Soybeans,0.01,0
Uruguay,Nuts inc. Peanut Butter,0.9500000000000001,1.6800000000000002
Luxembourg,Pork,43.58,154.25
Luxembourg,Poultry,21.37,22.959999999999997
Luxembourg,Beef,29.88,922.03
Luxembourg,Lamb & Goat,1.6700000000000002,58.48
Luxembourg,Fish,23.09,36.87
Luxembourg,Eggs,14.639999999999999,13.450000000000001
