response_id,pair_id,term1,term2,selected
5177,1,Very Good Chance,Remote Chance,Very Good Chance
5177,2,Almost No Chance,Realistic Possibility,Realistic Possibility
5177,3,Could Happen,Little Chance,Could Happen
5177,4,Chances are Slight,Improbable,Chances are Slight
5177,5,Probable,Unlikely,Probable
5177,6,Almost Certain,Highly Likely,Almost Certain
5177,7,Likely,About Even,Likely
5177,8,Better than Even,Might Happen,Better than Even
5177,9,May Happen,Highly Unlikely,May Happen
5177,10,Remote Chance,Very Good Chance,Very Good Chance
5176,1,Likely,Probable,Probable
5176,2,Unlikely,Better than Even,Better than Even
5176,3,Improbable,Highly Likely,Highly Likely
5176,4,Remote Chance,Little Chance,Little Chance
5176,5,Could Happen,Very Good Chance,Very Good Chance
5176,6,Chances are Slight,May Happen,May Happen
5176,7,About Even,Highly Unlikely,About Even
5176,8,Might Happen,Almost Certain,Almost Certain
5176,9,Almost No Chance,Will Happen,Will Happen
5176,10,Probable,Likely,Probable
5175,1,Almost No Chance,Little Chance,Little Chance
5175,2,Will Happen,Chances are Slight,Will Happen
5175,3,Probable,May Happen,Probable
5175,4,Highly Unlikely,Almost Certain,Almost Certain
5175,5,Better than Even,Unlikely,Better than Even
5175,6,About Even,Could Happen,About Even
5175,7,Likely,Remote Chance,Likely
5175,8,Realistic Possibility,Might Happen,Might Happen
5175,9,Very Good Chance,Highly Likely,Highly Likely
5175,10,Little Chance,Almost No Chance,Little Chance
5174,1,Probable,Chances are Slight,Probable
5174,2,Likely,Almost No Chance,Likely
5174,3,About Even,Highly Likely,Highly Likely
5174,4,Little Chance,Might Happen,Might Happen
5174,5,Unlikely,Remote Chance,Unlikely
5174,6,Improbable,Realistic Possibility,Realistic Possibility
5174,7,May Happen,Could Happen,Could Happen
5174,8,Almost Certain,Highly Unlikely,Almost Certain
5174,9,Very Good Chance,Will Happen,Will Happen
5174,10,Chances are Slight,Probable,Probable
5173,1,Almost No Chance,Better than Even,Better than Even
5173,2,May Happen,Highly Unlikely,May Happen
5173,3,Likely,Probable,Probable
5173,4,Might Happen,Improbable,Might Happen
5173,5,Could Happen,Remote Chance,Could Happen
5173,6,Will Happen,Realistic Possibility,Will Happen
5173,7,Highly Likely,About Even,Highly Likely
5173,8,Almost Certain,Unlikely,Almost Certain
5173,9,Very Good Chance,Little Chance,Very Good Chance
5173,10,Better than Even,Almost No Chance,Better than Even
5172,1,Very Good Chance,Little Chance,Very Good Chance
5172,2,Almost Certain,Unlikely,Almost Certain
5172,3,Probable,About Even,Probable
5172,4,Will Happen,Remote Chance,Will Happen
5172,5,Improbable,Could Happen,Could Happen
5172,6,Might Happen,May Happen,May Happen
5172,7,Likely,Better than Even,Likely
5172,8,Highly Likely,Highly Unlikely,Highly Likely
5172,9,Almost No Chance,Chances are Slight,Chances are Slight
5172,10,Little Chance,Very Good Chance,Very Good Chance
5171,1,Almost Certain,Might Happen,Almost Certain
5171,2,Little Chance,Very Good Chance,Very Good Chance
5171,3,Could Happen,Will Happen,Will Happen
