response_id,timestamp,age_band,english_background,education_level,country_of_residence
5177,2026-02,45-54,English is my first language,Bachelor,United States
5176,2026-02,25-34,English is my first language,Postgraduate,United States
5175,2026-02,NA,NA,NA,NA
5174,2026-02,25-34,English is my first language,Bachelor,Myanmar (Burma)
5173,2026-02,NA,NA,NA,NA
5172,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
5171,2026-02,75+,English is my first language,High school,Ireland
5170,2026-02,35-44,English is my first language,Postgraduate,United States
5169,2026-02,35-44,English is my first language,Postgraduate,United States
5168,2026-02,35-44,English is not my first language but I am fluent,High school,Canada
5167,2026-02,55-64,English is my first language,Postgraduate,United Kingdom
5166,2026-02,35-44,English is my first language,High school,United States
5165,2026-02,35-44,English is my first language,Postgraduate,United States
5164,2026-02,35-44,English is my first language,Bachelor,United States
5163,2026-02,35-44,English is my first language,Postgraduate,United States
5162,2026-02,65-74,English is my first language,Bachelor,United States
5161,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
5160,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,Norway
5159,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
5158,2026-02,55-64,English is my first language,High school,United Kingdom
5157,2026-02,35-44,English is my first language,Postgraduate,United States
5156,2026-02,45-54,English is not my first language but I am fluent,Postgraduate,Belgium
5155,2026-02,55-64,English is my first language,Postgraduate,United Kingdom
5154,2026-02,45-54,English is my first language,Postgraduate,NA
5153,2026-02,55-64,English is my first language,Bachelor,United Kingdom
5152,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
5151,2026-02,25-34,English is not my first language but I am fluent,Postgraduate,Italy
5150,2026-02,35-44,English is my first language,Postgraduate,United States
5149,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
5148,2026-02,35-44,English is my first language,Postgraduate,United Kingdom
5147,2026-02,25-34,English is my first language,Bachelor,United Kingdom
5146,2026-02,35-44,English is not my first language but I am fluent,Postgraduate,United Kingdom
5145,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
5144,2026-02,25-34,English is my first language,Postgraduate,United Kingdom
