taxonomic_name,common_name,cultivation,sunlight,water,preferred_ph_lower,preferred_ph_upper,nutrients,soil,season,temperature_class,temperature_germination,temperature_growing,days_germination,days_harvest,nutritional_info,energy,sensitivities,description,requirements
Pisum sativum,Pea,Legume,Full sun,Very High,6,7.5,Medium,Loamy,Annual,Half hardy,24,4-24,6,55-75,"A good source of vitamin K, manganese, and dietary fibre.",80,Drought intolerant,"The pea is the small spherical seed, or the seed-pod. Peas come in two varieties: shelling, and mangetout.","Require a sunny, nutrient-rich, moisture-retentive site."
Phaseolus coccineus,Beans (Runner),Legume,Full sun,Medium,6,6.8,Medium,Loamy and clay,Annual,Tender,26,16-30,7,65-85,"A good source of protein, thiamine, and riboflavin.",27,Drought intolerant,"Runner bean plants are more productive than green bean plants. The rough, flat, green pods need to be destrung and cut into smaller pieces before cooking.","Beans are a tender, warm-weather crop. They are perfectly suited to a sunny, and well-drained spot away from strong winds. They enjoy moist, and fertile soil."
Phaseolus vulgari,Beans (French),Legume,Full sun,Medium,6,7.5,Medium,Any well-drained and fertile,Annual,Tender,26,16-30,7,40-55,"A good source of protein, thiamine, and riboflavin.",27,Drought intolerant,"French beans are the unripe fruit, and protective pods of various cultivars of the common bean.","Beans are a tender, warm-weather crop. They are perfectly suited to a sunny, and well-drained spot away from strong winds. They enjoy moist, and fertile soil."
Vicia faba,Beans (Broad),Legume,Full sun/partial shade/full shade,Very Low,6,7,Medium,Any well-drained and fertile,Annual,Hardy,10,8-15,7,85-115,"A good source of vitamin-B6 (pyridoxine), thiamine (vitamin B-1), and riboflavin.",88,Drought intolerant,"Broad beans - also known as the fava bean - are large, broad pods with flat, edible seeds. The shells are not eaten.","Broad beans are a cool weather crop. They grow best in a sunny, and well drained spot away from strong winds. They enjoy moist, and fertile soil."
Brassica oleracea,Cabbage (Spring),Legume,Full sun,High,6,7.5,High,Sand/loam/clay,biennial,Hardy,26,7-30,4,55-85,"A very good source of manganese, dietary fibre, potassium, vitamin B1, folate and copper.",25,Particularly vulnerable to pests. Do not grow if soil is too acidic.,"Cabbages are a leafy green or purple biennial plant. They are grown as an annual vegetable crop for their dense-leaved heads. These can be eaten raw in salads, or cooked.","Cabbage is a cool-season crop best planted in early spring or mid to late summer. They grow best in partial-shade, in firm, fertile, and free-draining soil."
Brassica oleracea (Italica group),Broccoli,Brassica,Full sun/partial shade,Medium,6,7.5,High,Loamy and sandy,NA,Half hardy,30,7-30,4,55-85,"A good source of vitamin C, folate, dietary fibre, and potassium.",34,A cool weather crop best not grown over hot summer months. Broccoli are temperature sensitive with an ideal temperature range of 18 to 26 °C.,"Broccoli is a member of the cabbage family. The broccoli is the green or purple flowering head. It is normally cooked, but can be eaten raw.","Broccoli grow best in partial-shade, in firm, fertile, and free-draining soil. Avoid shallow, sandy soils, and exposed sites."
Brassica oleracea (Gemmifera group),Brussels Sprouts,Brassica,Full sun,Medium,6,7.5,High,Loamy,biennial,Hardy,26,7-30,4,180-,"A good source of dietary fibre, vitamin c, and folate.",35,Affected by a wide range of pests and diseases. Drought intolerant.,Brussels sprouts are a member of the cabbage family. They are grown for their edible buds. The leafy green vegetables look like miniature cabbages.,"Brussels sprouts are a cool-season crop. They grow best in partial-shade, in firm, fertile, and free-draining soil. Avoid shallow, sandy soils, and exposed sites."
Brassica oleracea (Botrytis group),Cauliflower,Brassica,Full sun,Medium,5.5,7.5,High,Any well-drained and fertile,NA,Hardy,26,15-20,5,55-110,"A good source of vitamin C, vitamin K, and folate.",31,Sensitive to temperatures over 25 °C.,"Cauliflower is a variety of common cabbage in which flowers have begun to form, but have stopped growing at the bud stage. Cauliflower is usually cooked, but can be eaten raw.","Cauliflower grow best in partial-shade, in firm, fertile, and free-draining soil. They enjoy deep, humus rich soil, with a good supply of water and high humidity."
Brassica oleracea (Acephala group),Kale,Brassica,Full sun,Low,6,7.5,High,Loamy,"biennial, grown as annual",Very hardy,26,15-20,4,65-75,"A good source of vitamin A, vitamin C, calcium, and potassium.",50,Heat intolerant,"Kale is a variety of the common cabbage, however it is considered closer to the wild cabbage. Kale is one of the strongest and most disease resistant vegetables. It can have green or purple leaves.",Kale tolerates cold weather better than most other brassicas and is relatively free of pests and diseases. It can be treated as a cut-and-come-again crop.
Brassica rapa (Rapa group),Turnip,Brassica,Full sun/partial shade,Medium,5.5,7.5,Medium,Loamy,"biennial, grown as annual",Very hardy,30,5-24,3,45-70,NA,NA,A cool weather crop best not grown over hot summer months.,Turnip is a root vegetable with white flesh. That can be eaten cooked or raw.,"Turnips grow best in cool, moisture retentive soils and should be kept well watered or the roots will be small and woody. They are biennials usually grown as annuals."
