TEAM ID,TEAM,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Abilene Christian,0.7,45,0.7,52,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
2,Akron,-0.9,179,-1.1,187,4,0,4,0,4,0,0,0,0,0,0,0,0.50%,0.00%
3,Alabama,-2.1,211,-2.9,220,10,5,5,0.5,5,3,2,0,0,0,0,2,48.40%,15.40%
4,Albany,-0.4,147,-0.3,138,3,0,3,0,3,0,0,0,0,0,0,0,0.00%,0.00%
6,American,-0.5,160,-0.4,150,3,0,3,0,3,0,0,0,0,0,0,0,0.20%,0.00%
8,Arizona,-1.7,206,-2.5,216,28,17,11,0.607,11,7,7,3,0,0,0,5,83.50%,36.10%
9,Arizona St.,-2,209,-1.9,206,5,1,4,0.2,4,1,0,0,0,0,0,0,9.40%,1.60%
10,Arkansas,4.3,11,3.5,16,18,11,7,0.611,7,6,3,2,0,0,0,0,17.40%,1.80%
11,Arkansas Pine Bluff,0,76,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
12,Auburn,0.6,53,1.4,30,11,7,4,0.636,4,4,1,1,1,0,0,1,35.50%,6.30%
13,Austin Peay,-0.1,91,-0.1,103,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
14,Baylor,0.9,41,-0.3,138,29,19,10,0.655,11,8,5,3,1,1,1,2,80.80%,33.20%
15,Belmont,-2.4,213,-1.9,206,6,0,6,0,6,0,0,0,0,0,0,0,6.40%,0.50%
16,Binghamton,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
17,Boise St.,-1.2,191,-1.5,198,3,0,3,0,3,0,0,0,0,0,0,0,2.00%,0.20%
18,Boston College,-0.4,147,-0.9,175,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
19,Boston University,-0.1,91,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
20,Bradley,0,76,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
22,Bucknell,-1.2,191,-1.2,192,4,0,4,0,4,0,0,0,0,0,0,0,1.90%,0.10%
23,Buffalo,-0.1,91,0,78,6,2,4,0.333,4,2,0,0,0,0,0,0,1.90%,0.10%
24,Butler,7,4,8.7,4,26,17,9,0.654,9,8,3,2,2,2,0,0,37.30%,5.70%
25,BYU,-3.4,225,-3,221,10,3,7,0.3,7,2,1,0,0,0,0,0,29.80%,5.30%
26,Cal Poly,-0.1,91,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
27,Cal St. Bakersfield,-0.2,118,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
28,Cal St. Fullerton,-0.3,137,-0.4,150,3,0,3,0,3,0,0,0,0,0,0,0,0.10%,0.00%
29,Cal St. Northridge,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
30,California,-1.4,199,-1.7,201,6,2,4,0.333,4,2,0,0,0,0,0,0,8.20%,1.00%
31,Chattanooga,-0.5,160,-0.8,172,3,0,3,0,3,0,0,0,0,0,0,0,0.30%,0.00%
32,Cincinnati,-3.6,228,-3.5,224,15,6,9,0.4,9,5,1,0,0,0,0,1,43.60%,11.60%
33,Clemson,-4.2,231,-3.5,224,8,2,6,0.25,6,1,1,0,0,0,0,0,22.30%,3.20%
34,Cleveland St.,0.4,63,0.6,54,3,1,2,0.333,2,1,0,0,0,0,0,0,1.20%,0.10%
35,Coastal Carolina,-0.1,91,0,78,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
36,Colgate,-0.9,179,-0.5,159,4,0,4,0,4,0,0,0,0,0,0,0,0.50%,0.00%
37,College of Charleston,-0.6,165,-0.8,172,2,0,2,0,2,0,0,0,0,0,0,0,0.70%,0.00%
38,Colorado,-1.5,200,-1.9,206,7,2,5,0.286,5,2,0,0,0,0,0,0,14.30%,1.90%
39,Colorado St.,-0.5,160,-1.4,195,4,1,3,0.25,3,1,0,0,0,0,0,0,2.60%,0.30%
40,Connecticut,8.6,2,10.6,1,29,23,6,0.793,9,5,4,4,4,3,3,1,71.10%,29.70%
42,Cornell,1.1,37,1.2,34,5,2,3,0.4,3,1,1,0,0,0,0,0,2.00%,0.10%
43,Creighton,0.7,45,0.9,41,17,9,8,0.529,8,6,2,1,0,0,0,0,28.70%,4.90%
44,Davidson,-0.9,179,0.3,68,9,3,6,0.333,6,1,1,1,0,0,0,0,11.20%,2.30%
45,Dayton,2.5,22,1.3,32,10,5,5,0.5,5,3,1,1,0,0,0,0,3.70%,0.10%
46,Delaware,-0.3,137,-0.4,150,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
47,Detroit,-0.1,91,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
48,Drake,-2.2,212,-2.3,214,3,0,3,0,3,0,0,0,0,0,0,0,9.20%,1.00%
49,Drexel,-0.1,91,0,78,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
50,Duke,2,24,0,78,46,34,12,0.739,14,12,9,6,3,2,2,11,97.50%,61.70%
51,East Tennessee St.,-0.4,147,-0.3,138,3,0,3,0,3,0,0,0,0,0,0,0,0.30%,0.00%
52,Eastern Kentucky,-0.2,118,-0.1,103,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
53,Eastern Washington,-0.5,160,-0.4,150,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
54,Fairleigh Dickinson,1,40,1,40,3,1,2,0.333,2,1,0,0,0,0,0,0,0.00%,0.00%
55,Florida,4.3,11,5.9,7,28,19,9,0.679,9,8,5,5,1,0,0,2,75.70%,31.20%
56,Florida Atlantic,3.3,17,3.4,18,5,4,1,0.8,1,1,1,1,1,0,0,0,3.10%,0.40%
57,Florida Gulf Coast,1.5,29,1.7,27,5,2,3,0.4,3,1,1,0,0,0,0,0,0.20%,0.00%
58,Florida St.,1.3,34,1.2,34,19,11,8,0.579,8,6,4,1,0,0,0,0,34.10%,4.60%
