YEAR,TEAM NO,TEAM,R64,R32,S16,E8,F4,FINALS
2024,1079,Akron,7.16%,2.18%,0.63%,0.22%,0.10%,0.04%
2024,1078,Alabama,87.11%,55.73%,13.55%,7.31%,2.89%,1.10%
2024,1077,Arizona,95.19%,81.05%,52.02%,22.26%,10.05%,4.06%
2024,1076,Auburn,90.17%,59.97%,15.93%,7.95%,3.64%,1.34%
2024,1075,Baylor,92.34%,71.07%,33.68%,12.15%,4.35%,1.83%
2024,1073,BYU,75.17%,21.70%,6.92%,1.64%,0.64%,0.32%
2024,1072,Clemson,51.46%,10.43%,3.16%,0.79%,0.30%,0.16%
2024,1071,Colgate,6.38%,1.89%,0.54%,0.20%,0.09%,0.04%
2024,1070,College of Charleston,11.57%,2.72%,0.68%,0.24%,0.10%,0.05%
2024,1069,Colorado,22.97%,3.66%,0.90%,0.35%,0.11%,0.05%
2024,1068,Colorado St.,17.70%,2.97%,0.69%,0.24%,0.11%,0.05%
2024,1067,Connecticut,98.41%,93.59%,80.22%,66.20%,50.27%,34.92%
2024,1066,Creighton,91.33%,65.66%,25.67%,8.37%,3.93%,1.69%
2024,1065,Dayton,44.37%,6.76%,1.82%,0.50%,0.18%,0.08%
2024,1064,Drake,56.54%,14.98%,4.20%,1.38%,0.40%,0.18%
2024,1063,Duke,91.15%,64.67%,18.84%,8.18%,3.86%,1.58%
2024,1062,Duquesne,24.05%,3.78%,1.02%,0.38%,0.11%,0.05%
2024,1061,Florida,75.35%,26.61%,7.38%,2.27%,0.64%,0.33%
2024,1060,Florida Atlantic,55.39%,14.61%,4.04%,1.15%,0.40%,0.17%
2024,1059,Gonzaga,79.53%,32.51%,7.66%,3.13%,1.13%,0.52%
2024,1058,Grambling St.,1.73%,0.83%,0.38%,0.18%,0.08%,0.03%
2024,1057,Grand Canyon,25.57%,3.80%,1.05%,0.39%,0.14%,0.05%
2024,1056,Houston,97.01%,85.69%,63.77%,42.54%,16.15%,9.27%
2024,1054,Illinois,92.25%,67.34%,29.49%,10.51%,3.94%,1.73%
2024,1053,Iowa St.,95.49%,84.92%,59.84%,30.25%,10.93%,4.78%
2024,1052,James Madison,32.44%,3.90%,1.06%,0.40%,0.15%,0.06%
2024,1051,Kansas,83.19%,44.78%,13.41%,6.22%,2.64%,0.91%
2024,1050,Kentucky,94.67%,78.16%,49.60%,22.01%,9.99%,3.48%
2024,1049,Long Beach St.,3.71%,1.39%,0.48%,0.19%,0.08%,0.03%
2024,1048,Longwood,2.11%,1.38%,0.40%,0.18%,0.08%,0.03%
2024,1047,Marquette,93.54%,73.10%,35.50%,12.70%,5.79%,1.96%
2024,1046,McNeese St.,18.94%,3.03%,0.69%,0.25%,0.11%,0.05%
2024,1045,Michigan St.,64.03%,15.94%,4.99%,1.49%,0.61%,0.21%
2024,1044,Mississippi St.,34.62%,3.94%,1.44%,0.41%,0.15%,0.07%
2024,1042,Morehead St.,7.15%,1.99%,0.56%,0.21%,0.09%,0.04%
2024,1041,Nebraska,49.51%,8.71%,2.28%,0.68%,0.25%,0.12%
2024,1040,Nevada,54.15%,11.21%,3.65%,1.06%,0.33%,0.16%
2024,1039,New Mexico,47.14%,7.64%,1.87%,0.51%,0.20%,0.10%
2024,1038,North Carolina,97.55%,88.07%,71.16%,45.40%,29.98%,12.10%
2024,1037,North Carolina St.,43.55%,6.24%,1.58%,0.49%,0.17%,0.07%
2024,1036,Northwestern,43.89%,6.25%,1.66%,0.50%,0.18%,0.08%
2024,1035,Oakland,4.14%,1.62%,0.49%,0.19%,0.08%,0.04%
2024,1034,Oregon,47.53%,8.23%,2.07%,0.55%,0.21%,0.10%
2024,1033,Purdue,97.08%,86.21%,66.25%,44.36%,21.64%,10.22%
2024,1032,Saint Mary's,73.05%,20.07%,6.09%,1.58%,0.62%,0.29%
2024,1031,Saint Peter's,4.32%,1.75%,0.49%,0.19%,0.08%,0.04%
2024,1030,Samford,15.29%,2.97%,0.69%,0.24%,0.10%,0.05%
2024,1029,San Diego St.,78.29%,27.30%,7.59%,2.39%,0.92%,0.48%
2024,1028,South Carolina,50.79%,9.33%,2.52%,0.69%,0.26%,0.14%
2024,1027,South Dakota St.,4.02%,1.46%,0.48%,0.19%,0.08%,0.04%
2024,1026,Stetson,1.50%,0.67%,0.33%,0.17%,0.07%,0.03%
2024,1025,TCU,57.15%,15.27%,4.35%,1.39%,0.48%,0.18%
2024,1024,Tennessee,94.33%,73.58%,48.28%,13.38%,6.47%,3.02%
2024,1023,Texas,80.43%,41.57%,12.16%,5.19%,1.41%,0.55%
2024,1022,Texas A&M,49.10%,8.31%,2.09%,0.56%,0.23%,0.11%
2024,1021,Texas Tech,55.03%,12.71%,3.74%,1.08%,0.38%,0.16%
2024,1020,UAB,20.97%,3.42%,0.77%,0.34%,0.11%,0.05%
2024,1019,Utah St.,41.13%,5.64%,1.54%,0.42%,0.16%,0.07%
2024,1018,Vermont,7.65%,2.44%,0.64%,0.23%,0.10%,0.05%
2024,1016,Wagner,1.53%,0.67%,0.35%,0.18%,0.07%,0.03%
2024,1015,Washington St.,42.63%,6.13%,1.56%,0.45%,0.17%,0.07%
2024,1014,Western Kentucky,5.33%,1.78%,0.51%,0.19%,0.08%,0.04%
2024,1013,Wisconsin,66.25%,16.27%,5.33%,1.50%,0.62%,0.27%
2024,1012,Yale,9.26%,2.46%,0.65%,0.24%,0.10%,0.05%
