spec_name,acc_genus,acc_species,palm_tribe,palm_subfamily,climbing,acaulescent,erect,stem_solitary,stem_armed,leaves_armed,max_stem_height_m,max_stem_dia_cm,understorey_canopy,max_leaf_number,max__blade__length_m,max__rachis__length_m,max__petiole_length_m,average_fruit_length_cm,min_fruit_length_cm,max_fruit_length_cm,average_fruit_width_cm,min_fruit_width_cm,max_fruit_width_cm,fruit_size_categorical,fruit_shape,fruit_color_description,main_fruit_colors,conspicuousness
Acanthophoenix crinita,Acanthophoenix,crinita,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,10,20,canopy,15,2.3,NA,NA,0.65,0.6,0.7,0.5,NA,NA,small,NA,black,black,cryptic
Acanthophoenix rousselii,Acanthophoenix,rousselii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,25,30,canopy,NA,3,NA,NA,2,NA,NA,0.8,NA,NA,small,ovoid,black,black,cryptic
Acanthophoenix rubra,Acanthophoenix,rubra,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,15,18,canopy,20,3.1,3,NA,1,NA,NA,0.7,NA,NA,small,ovoid,black,black,cryptic
Acoelorrhaphe wrightii,Acoelorrhaphe,wrightii,Trachycarpeae,Coryphoideae,climbing,acaulescent,non-erect,solitary,armed,non-armed,9.1,15,canopy,25,1.3,0.7,0.65,0.7,NA,NA,0.7,0.5,0.9,small,ovoid,orange-brown; becomming black,brown; black,cryptic
Acrocomia aculeata,Acrocomia,aculeata,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,12,50,canopy,30,3.5,2.5,NA,4.25,3.5,5,4.6,3.8,5.4,large,ovoid,yellowish green,green,cryptic
Acrocomia crispa,Acrocomia,crispa,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,18,35,canopy,15,3,NA,0.65,2.5,NA,NA,1.8,NA,NA,small,globose,yellow to orange,yellow; orange,conspicuous
Acrocomia emensis,Acrocomia,emensis,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,non-armed,non-armed,0,NA,understorey,NA,NA,NA,NA,2,NA,NA,2,NA,NA,small,NA,NA,NA,NA
Acrocomia glaucescens,Acrocomia,glaucescens,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrocomia hassleri,Acrocomia,hassleri,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,non-armed,non-armed,0,NA,understorey,6,0.9,0.54,0.51,2.25,1.5,3,2.25,1.5,3,small,NA,brown,brown,cryptic
Acrocomia intumescens,Acrocomia,intumescens,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,NA,NA,NA,NA,NA,NA,NA,4.6,3.8,5.4,4.6,3.8,5.4,large,NA,dull yellowish,yellow,cryptic
Acrocomia media,Acrocomia,media,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,15,30,canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ovoid,dull yellowish,yellow,cryptic
Acrocomia totai,Acrocomia,totai,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,NA,NA,NA,NA,NA,NA,NA,3,2.5,3.5,3,2.5,3.5,small,NA,yellow to orange,yellow; orange,conspicuous
Actinokentia divaricata,Actinokentia,divaricata,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,9,9,canopy,7,2.35,2.1,1.3,2.6,1.8,3.4,1.1,0.8,1.4,small,globose,red to dark purple,red; purple,conspicuous
Actinokentia huerlimannii,Actinokentia,huerlimannii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,9,36,canopy,10,1.2,NA,0.22,3,NA,NA,1.3,NA,NA,small,globose,NA,NA,NA
Actinorhytis calapparia,Actinorhytis,calapparia,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,40,30,canopy,13,4.76,4.3,0.51,10,NA,NA,5.5,5,6,large,ovoid,reddish,red,conspicuous
Adonidia maturbongsii,Adonidia,maturbongsii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,1,NA,NA,small,NA,bright orange to red,orange; red,conspicuous
Adonidia merrillii,Adonidia,merrillii,Areceae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,armed,armed,7,30,canopy,17,2.2,2,0.22,2.5,NA,NA,1.3,NA,NA,small,elongate,red,red,conspicuous
Aiphanes acanthophylla,Aiphanes,acanthophylla,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,NA,NA,non-armed,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,1.4,NA,NA,small,NA,bright red,red,conspicuous
Aiphanes acaulis,Aiphanes,acaulis,Cocoseae,Arecoideae,climbing,non-acaulescent,erect,non-solitary,armed,non-armed,0,NA,understorey,10,1.83,1.33,0.33,1,NA,NA,1,NA,NA,small,NA,from purple to vine red,purple; red,conspicuous
Aiphanes bicornis,Aiphanes,bicornis,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,0.5,2.5,understorey,13,0.54,0.54,NA,0.6,NA,NA,0.8,NA,NA,small,ovoid,red-orange,red; orange,conspicuous
Aiphanes buenaventurae,Aiphanes,buenaventurae,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,both,NA,non-armed,4,NA,understorey,8,0.22,0.78,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aiphanes chiribogensis,Aiphanes,chiribogensis,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,3,6,understorey,9,1.45,1,0.5,1.1,NA,NA,1.1,1,1.2,small,globose,red,red,conspicuous
Aiphanes deltoidea,Aiphanes,deltoidea,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,both,non-armed,non-armed,2,6,understorey,12,2.95,1.9,1.1,1.3,NA,NA,0.7,NA,NA,small,globose,yellow,yellow,conspicuous
Aiphanes duquei,Aiphanes,duquei,Cocoseae,Arecoideae,climbing,acaulescent,non-erect,non-solitary,non-armed,non-armed,5,5,understorey,9,1.35,1.1,0.28,1.05,0.9,1.2,NA,NA,NA,small,globose,red,red,conspicuous
