name,nickname,weight_class,url,profile_name,profile_nickname,status,place_of_birth,age,height,weight,octagon_debut,sig_strikes_landed,sig_strikes_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_defense,takedown_defense,knockdown_avg,average_fight_time,takedowns_attempted,fighting_style,reach,leg_reach,takedowns_landed,trains_at,wins,losses,draws,standing_count,standing_pct,clinch_count,clinch_percent,ground_count,ground_percent,ko_tko_win,ko_tko_percent,dec_wins,dec_percent,sub_wins,sub_percent
Danny Abbadi,The Assassin,Lightweight,https://www.ufc.com/athlete/danny-abbadi,Danny Abbadi,The Assassin,Not Fighting,"Orlando, United States",39,71,156,2006-06-24,59,155,3.29,4.41,0,0,0.58,0.78,0,8M 58S,NA,NA,NA,NA,NA,NA,2,2,0,42,0.71,14,0.24,3,0.05,0,0,0,0,0,0
Nariman Abbassov,NA,Lightweight,https://www.ufc.com/athlete/nariman-abbassov,Nariman Abbassov,NA,Active,Kazakhstan,29,NA,156,2026-06-24,45,225,3,5.67,0,0,0.46,0.67,0,15M 0S,2,NA,NA,NA,NA,NA,0,1,0,45,1,0,0,0,0,0,0,0,0,0,0
Tank Abbott,Tank,Heavyweight,https://www.ufc.com/athlete/tank-abbott,Tank Abbott,Tank,Not Fighting,"Huntington Beach, United States",NA,72,253,1995-07-14,19,63,1.35,3.55,1.07,0,0.38,0.67,0,2M 21S,3,NA,NA,NA,NA,NA,8,10,0,5,0.26,11,0.58,3,0.16,0,0,0,0,0,0
Hamdy Abdelwahab,The Hammer,Heavyweight,https://www.ufc.com/athlete/hamdy-abdelwahab,Hamdy Abdelwahab,The Hammer,Not Fighting,Egypt,32,74,265,2022-07-30,256,459,4.27,3.67,3.25,0,0.51,1,0.25,15M 0S,20,Wrestler,72,41,3,NA,7,1,0,141,0.55,15,0.06,100,0.39,5,0.71,2,0.29,0,0
Mansur Abdul-Malik,NA,Middleweight,https://www.ufc.com/athlete/mansur-abdul-malik,Mansur Abdul-Malik,NA,Active,"Pittsburgh, United States",28,74,185.5,2024-11-09,149,332,3.28,4.49,1.65,0.33,0.46,0.8300000000000001,0.33,7M 35S,12,Freestyle,79.5,43,NA,"Xtreme Couture - Las Vegas, NV",9,1,1,67,0.45,16,0.11,66,0.44,7,0.78,0,0,2,0.22
Tahir Abdullayev,Tank,Welterweight,https://www.ufc.com/athlete/tahir-abdullayev,Tahir Abdullayev,Tank,Active,Azerbaijan,29,70,170,2026-06-27,37,87,2.56,2.42,2.07,0,0.51,1,0,14M 28S,6,NA,NA,NA,NA,Team Alpha Male,20,3,0,14,0.38,4,0.11,19,0.51,10,0.53,2,0.11,7,0.37
Shamil Abdurakhimov,Abrek,Heavyweight,https://www.ufc.com/athlete/shamil-abdurakhimov,Shamil Abdurakhimov,Abrek,Not Fighting,"Dagestan Republic, Russia",41,75,263,2015-04-04,251,567,2.41,3.02,1.01,0.14,0.55,0.45,0.29,9M 27S,30,Grappler,76,41.5,5,Fighting Eagle,20,8,0,169,0.67,60,0.24,22,0.09,9,0.45,7,0.35000000000000003,4,0.2
Daichi Abe,NA,Welterweight,https://www.ufc.com/athlete/daichi-abe,Daichi Abe,NA,Not Fighting,Japan,31,69,170.5,2017-09-22,171,508,3.8,4.49,0.33,0,0.5700000000000001,NA,0.33,15M 0S,2,NA,71.5,42,1,NA,6,1,0,146,0.85,11,0.06,14,0.08,4,0.67,2,0.33,0,0
Papy Abedi,Makambo,Middleweight,https://www.ufc.com/athlete/papy-abedi,Papy Abedi,Makambo,Not Fighting,NA,44,71,184.5,2011-11-05,97,176,2.8,3.15,3.47,1.3,0.49,0.5,0,8M 39S,14,NA,74,NA,NA,NA,9,3,0,36,0.37,34,0.35000000000000003,27,0.28,5,0.56,2,0.22,2,0.22
Klidson Abreu,White Bear,Light Heavyweight,https://www.ufc.com/athlete/klidson-abreu,Klidson Abreu,White Bear,Not Fighting,"Manaus, Brazil",30,74,206,2019-02-23,96,236,2.05,2.9,0.64,0,0.56,0.8,0,11M 43S,10,Brazilian Jiu-Jitsu,74,40,NA,NA,15,4,0,86,0.9,10,0.1,0,0,4,0.27,1,0.07,10,0.67
