name,wins,losses,draws,nc,height,weight,reach,stance,dob,s_lp_m,str_acc,s_ap_m,str_def,td_avg,td_acc,td_def,sub_avg
Tom Aaron,5,3,0,0,NA,155 lbs.,NA,NA,"Jul 13, 1978",0,0%,0,0%,0,0%,0%,0
Danny Abbadi,4,6,0,0,"5' 11""",155 lbs.,NA,Orthodox,"Jul 03, 1983",3.29,38%,4.41,57%,0,0%,77%,0
Nariman Abbasov,28,4,0,0,"5' 8""",155 lbs.,"66""",Orthodox,"Feb 01, 1994",3,20%,5.67,46%,0,0%,66%,0
Darion Abbey,9,5,0,0,"6' 2""",265 lbs.,"80""",Orthodox,"Feb 25, 1993",8.44,50%,14.06,28%,0,0%,0%,0
David Abbott,10,15,0,0,"6' 0""",265 lbs.,NA,Switch,"Apr 26, 1965",1.35,30%,3.55,38%,1.07,33%,66%,0
Hamdy Abdelwahab,7,1,0,1,"6' 2""",265 lbs.,"72""",Southpaw,"Jan 22, 1993",4.27,55%,3.67,51%,3.25,65%,100%,0
Farida Abdueva,8,0,0,1,"5' 3""",115 lbs.,"66""",Orthodox,"May 15, 2004",5.41,57%,6.89,48%,0,0%,0%,0
Mansur Abdul-Malik,9,1,1,0,"6' 2""",185 lbs.,"80""",Orthodox,"Oct 07, 1997",3.28,44%,4.49,46%,1.65,41%,83%,0.3
Tahir Abdullayev,20,3,0,0,"5' 8""",170 lbs.,"73""",Orthodox,"Feb 02, 1997",2.56,42%,2.42,51%,2.07,33%,100%,0
Shamil Abdurakhimov,20,8,0,0,"6' 3""",235 lbs.,"76""",Orthodox,"Sep 02, 1981",2.41,44%,3.02,55%,1.01,23%,45%,0.1
Hiroyuki Abe,8,15,3,1,"5' 6""",145 lbs.,NA,Orthodox,"Feb 09, 1970",1.71,36%,3.11,63%,0,0%,33%,0
Daichi Abe,6,2,0,0,"5' 11""",170 lbs.,"71""",Orthodox,"Nov 27, 1991",3.8,33%,4.49,56%,0.33,50%,0%,0
Papy Abedi,10,4,0,0,"5' 11""",185 lbs.,NA,Southpaw,"Jun 30, 1978",2.8,55%,3.15,48%,3.47,57%,50%,1.3
Ricardo Abreu,5,1,0,0,"5' 11""",185 lbs.,NA,Orthodox,"Apr 27, 1984",3.79,31%,3.98,68%,2.13,42%,100%,0.7
Klidson Abreu,15,4,0,1,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992",2.05,40%,2.9,55%,0.64,20%,80%,0
Cyborg Abreu,0,0,0,0,NA,NA,NA,NA,"Dec 20, 1980",0,0%,0,0%,0,0%,0%,0
Daniel Acacio,30,18,0,0,"5' 8""",180 lbs.,NA,Orthodox,"Dec 27, 1977",3.52,36%,2.85,62%,0.33,20%,81%,0
John Adajar,6,2,0,0,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991",3.9,52%,6.28,44%,0,0%,0%,0
Scott Adams,8,1,0,0,"6' 0""",225 lbs.,NA,Southpaw,NA,0,0%,0,0%,0,0%,0%,0
Juan Adams,5,3,0,0,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992",7.09,55%,4.06,34%,0.91,66%,57%,0
Anthony Adams,8,2,0,0,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988",3.17,41%,5.93,44%,0,0%,0%,0
Zarrukh Adashev,4,4,0,0,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992",3.65,40%,3.04,64%,0,0%,100%,0.5
Israel Adesanya,24,6,0,0,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989",4.03,48%,3.22,55%,0.05,9%,76%,0.1
Sam Adkins,7,20,2,0,"6' 3""",225 lbs.,NA,Orthodox,"Apr 26, 1965",0,0%,0,0%,0,0%,0%,0
Mohamed Ado,5,1,0,0,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000",1.66,83%,0.33,75%,4.97,50%,50%,5
Nick Agallar,24,6,0,0,"5' 8""",155 lbs.,NA,Orthodox,"Jan 13, 1979",0.69,11%,4.56,42%,0,0%,0%,0
Mariya Agapova,10,5,0,0,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997",4.43,54%,3.62,52%,0.55,66%,45%,0.8
Kantharaj Agasa,12,3,0,0,NA,135 lbs.,NA,NA,"Feb 16, 1992",0,0%,0,0%,0,0%,0%,0
Marcelo Aguiar,2,3,1,0,"5' 10""",170 lbs.,NA,Orthodox,"Jan 20, 1969",0,0%,0,0%,0,0%,0%,0
Fabio Aguiar,17,1,0,0,"6' 0""",185 lbs.,NA,NA,"Feb 10, 1988",0,0%,0,0%,0,0%,0%,0
Edwin Aguilar,26,19,0,1,"5' 10""",185 lbs.,NA,NA,"Jan 01, 1972",0,0%,0,0%,0,0%,0%,0
Jessica Aguilar,20,8,0,0,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982",4.93,50%,7.19,53%,0.94,25%,50%,0.2
Kevin Aguilar,17,5,0,0,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988",3.96,40%,4.81,52%,0.16,16%,78%,0
Jesus Aguilar,12,4,0,0,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996",2.54,38%,2.29,61%,1.52,29%,45%,1.1
Christian Aguilera,14,8,0,0,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991",2.54,37%,4.04,48%,0,0%,60%,0
Nick Aguirre,7,2,0,0,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996",0.73,33%,2.89,45%,1.16,20%,33%,0.6
Agulali,13,2,0,0,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005",2.74,60%,2.19,59%,0,0%,100%,0
Ahejiang Ailinuer,17,3,0,0,"5' 9""",145 lbs.,"72""",Southpaw,"Sep 08, 1998",2.47,75%,0.53,57%,6,46%,100%,0
Mike Aina,14,6,1,1,"5' 9""",155 lbs.,NA,Orthodox,"Dec 25, 1980",2.87,33%,6.33,59%,0,0%,71%,0
Ashiek Ajim,6,2,0,0,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994",5,40%,11.25,25%,0,0%,0%,0
Hitomi Akano,18,10,0,0,"5' 4""",135 lbs.,NA,Southpaw,"Jul 27, 1974",0.59,45%,2.58,55%,0,0%,8%,0.5
Omari Akhmedov,21,6,1,0,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987",2.97,34%,2.84,55%,2.58,45%,65%,0.2
Yoshihiro Akiyama,14,6,0,2,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975",3.1,41%,3.62,57%,2.29,67%,92%,1
Rostem Akman,6,2,0,0,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991",1.8,25%,3.97,57%,1,40%,87%,0
Razak Al-Hassan,13,5,0,0,"6' 2""",205 lbs.,NA,Orthodox,"May 14, 1982",3.27,39%,3.14,60%,0.65,14%,57%,0
Abdul-Kareem Al-Selwady,16,4,0,0,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995",4.61,41%,3.43,60%,1.47,23%,54%,0
Mostapha Al-Turk,6,6,0,0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973",1.36,19%,3.61,53%,0,0%,0%,0
Herdem Alacabek,5,1,0,0,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991",3.84,65%,6.66,23%,2.06,50%,42%,0
Javi Alanis,0,4,0,0,"5' 6""",135 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
Alatengheili,17,10,2,0,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991",2.82,32%,5.12,57%,1.74,43%,75%,0
Amir Albazi,17,3,0,0,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993",2.47,33%,3.88,59%,1.18,25%,62%,0.4
Brett Albee,3,2,0,0,NA,225 lbs.,NA,NA,NA,0,0%,0,0%,0,0%,0%,0
