id,owner_qualification
0,Not informed / Not provided
5,Administrator / Manager
8,Board Member (Director)
9,Curator / Legal Guardian (Curator)
10,Director / Officer
11,Intervenor / Court-appointed Administrator
12,Executor / Estate Administrator
13,Liquidator
14,Mother
15,Father
16,President / Chair
17,Attorney-in-fact / Legal Representative (Power of Attorney)
18,Secretary
19,Condominium Manager / HOA Trustee
20,Consortium Company / Consortium Member Company
21,Affiliated Company
22,Partner / Shareholder
23,Capital Partner / Investing Partner
24,General Partner (Unlimited liability)
25,Limited Partner
26,Industrial Partner (Labor/Services Partner)
28,Managing Partner
29,Partner legally incapable or relatively incapable (except minor)
30,Minor Partner (assisted/represented)
31,Ostensible Partner (Managing partner in a silent partnership)
32,Notary Public
33,Treasurer
34,Sole Owner of an Individual Real Estate Company
35,Guardian (Tutor)
37,Corporate Partner domiciled abroad
38,Individual Partner residing abroad
39,Diplomat
40,Consul
41,Representative of an International Organization
42,Registry Officer
43,Responsible Person / Person in Charge
46,Minister of Foreign Affairs
47,Individual Partner residing in Brazil
48,Corporate Partner domiciled in Brazil
49,Managing Partner / Partner-Administrator
50,Entrepreneur / Business Owner
51,Candidate for Elective Political Office
52,Partner with Capital Contribution
53,Partner without Capital Contribution
54,Founder
55,General Partner residing abroad
56,Limited Partner (individual) residing abroad
57,Limited Partner (legal entity) domiciled abroad
58,Limited Partner legally incapable
59,Rural Producer / Farmer
60,Honorary Consul
61,Indigenous Responsible Person / Indigenous Representative
62,Representative of an Extraterritorial Institution
63,Treasury Quotas / Treasury Shares
64,Judicial Administrator (Court-appointed)
65,Beneficial Owner (individual) resident or domiciled in Brazil
66,Beneficial Owner (individual) resident or domiciled abroad
67,Beneficial Owner (individual) legally incapable or relatively incapable (except minor)
68,"Beneficial Owner (minor, assisted/represented)"
69,Ultimate Beneficial Owner (UBO)
70,Administrator resident or domiciled abroad
71,Board Member resident or domiciled abroad
72,Director/Officer resident or domiciled abroad
73,President/Chair resident or domiciled abroad
74,Managing Partner resident or domiciled abroad
75,Founder resident or domiciled abroad
78,Beneficial Owner (legal entity) domiciled in Brazil
79,Beneficial Owner (legal entity) domiciled abroad
