year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
1930,Uruguay,Montevideo,Group 1,France,Mexico,4,1,H,,France,Mexico,1930-07-13,Jul,Sunday
1930,Uruguay,Montevideo,Group 4,Belgium,United States,0,3,A,,United States,Belgium,1930-07-13,Jul,Sunday
1930,Uruguay,Montevideo,Group 2,Brazil,Yugoslavia,1,2,A,,Yugoslavia,Brazil,1930-07-14,Jul,Monday
1930,Uruguay,Montevideo,Group 3,Peru,Romania,1,3,A,,Romania,Peru,1930-07-14,Jul,Monday
1930,Uruguay,Montevideo,Group 1,Argentina,France,1,0,H,,Argentina,France,1930-07-15,Jul,Tuesday
1930,Uruguay,Montevideo,Group 1,Chile,Mexico,3,0,H,,Chile,Mexico,1930-07-16,Jul,Wednesday
1930,Uruguay,Montevideo,Group 2,Bolivia,Yugoslavia,0,4,A,,Yugoslavia,Bolivia,1930-07-17,Jul,Thursday
1930,Uruguay,Montevideo,Group 4,Paraguay,United States,0,3,A,,United States,Paraguay,1930-07-17,Jul,Thursday
1930,Uruguay,Montevideo,Group 3,Uruguay,Peru,1,0,H,,Uruguay,Peru,1930-07-18,Jul,Friday
1930,Uruguay,Montevideo,Group 1,Argentina,Mexico,6,3,H,,Argentina,Mexico,1930-07-19,Jul,Saturday
1930,Uruguay,Montevideo,Group 1,Chile,France,1,0,H,,Chile,France,1930-07-19,Jul,Saturday
1930,Uruguay,Montevideo,Group 4,Belgium,Paraguay,0,1,A,,Paraguay,Belgium,1930-07-20,Jul,Sunday
1930,Uruguay,Montevideo,Group 2,Bolivia,Brazil,0,4,A,,Brazil,Bolivia,1930-07-20,Jul,Sunday
1930,Uruguay,Montevideo,Group 3,Uruguay,Romania,4,0,H,,Uruguay,Romania,1930-07-21,Jul,Monday
1930,Uruguay,Montevideo,Group 1,Argentina,Chile,3,1,H,,Argentina,Chile,1930-07-22,Jul,Tuesday
1930,Uruguay,Montevideo,Semifinals,Argentina,United States,6,1,H,,Argentina,United States,1930-07-26,Jul,Saturday
1930,Uruguay,Montevideo,Semifinals,Uruguay,Yugoslavia,6,1,H,,Uruguay,Yugoslavia,1930-07-27,Jul,Sunday
1930,Uruguay,Montevideo,Final,Uruguay,Argentina,4,2,H,,Uruguay,Argentina,1930-07-30,Jul,Wednesday
1934,Italy,Bologna,Round of 16,Argentina,Sweden,2,3,A,,Sweden,Argentina,1934-05-27,May,Sunday
1934,Italy,Turin,Round of 16,Austria,France,3,2,H,Austria won in AET,Austria,France,1934-05-27,May,Sunday
1934,Italy,Florence,Round of 16,Belgium,Germany,2,5,A,,Germany,Belgium,1934-05-27,May,Sunday
1934,Italy,Genoa,Round of 16,Brazil,Spain,1,3,A,,Spain,Brazil,1934-05-27,May,Sunday
1934,Italy,Trieste,Round of 16,Czechoslovakia,Romania,2,1,H,,Czechoslovakia,Romania,1934-05-27,May,Sunday
1934,Italy,Naples,Round of 16,Egypt,Hungary,2,4,A,,Hungary,Egypt,1934-05-27,May,Sunday
