date,fuel,grade,formulation,price
1990-08-20,gasoline,regular,all,1.191
1990-08-20,gasoline,regular,conventional,1.191
1990-08-27,gasoline,regular,all,1.245
1990-08-27,gasoline,regular,conventional,1.245
1990-09-03,gasoline,regular,all,1.242
1990-09-03,gasoline,regular,conventional,1.242
1990-09-10,gasoline,regular,all,1.252
1990-09-10,gasoline,regular,conventional,1.252
1990-09-17,gasoline,regular,all,1.266
1990-09-17,gasoline,regular,conventional,1.266
1990-09-24,gasoline,regular,all,1.272
1990-09-24,gasoline,regular,conventional,1.272
1990-10-01,gasoline,regular,all,1.321
1990-10-01,gasoline,regular,conventional,1.321
1990-10-08,gasoline,regular,all,1.333
1990-10-08,gasoline,regular,conventional,1.333
1990-10-15,gasoline,regular,all,1.339
1990-10-15,gasoline,regular,conventional,1.339
1990-10-22,gasoline,regular,all,1.345
1990-10-22,gasoline,regular,conventional,1.345
1990-10-29,gasoline,regular,all,1.339
1990-10-29,gasoline,regular,conventional,1.339
1990-11-05,gasoline,regular,all,1.334
1990-11-05,gasoline,regular,conventional,1.334
1990-11-12,gasoline,regular,all,1.328
1990-11-12,gasoline,regular,conventional,1.328
1990-11-19,gasoline,regular,all,1.323
1990-11-19,gasoline,regular,conventional,1.323
1990-11-26,gasoline,regular,all,1.311
1990-11-26,gasoline,regular,conventional,1.311
1990-12-03,gasoline,regular,all,1.341
1990-12-03,gasoline,regular,conventional,1.341
1991-01-21,gasoline,regular,all,1.192
1991-01-21,gasoline,regular,conventional,1.192
1991-01-28,gasoline,regular,all,1.168
1991-01-28,gasoline,regular,conventional,1.168
1991-02-04,gasoline,regular,all,1.139
1991-02-04,gasoline,regular,conventional,1.139
1991-02-11,gasoline,regular,all,1.106
1991-02-11,gasoline,regular,conventional,1.106
1991-02-18,gasoline,regular,all,1.078
1991-02-18,gasoline,regular,conventional,1.078
1991-02-25,gasoline,regular,all,1.054
1991-02-25,gasoline,regular,conventional,1.054
1991-03-04,gasoline,regular,all,1.025
1991-03-04,gasoline,regular,conventional,1.025
1991-03-11,gasoline,regular,all,1.045
1991-03-11,gasoline,regular,conventional,1.045
1991-03-18,gasoline,regular,all,1.043
1991-03-18,gasoline,regular,conventional,1.043
1991-03-25,gasoline,regular,all,1.047
1991-03-25,gasoline,regular,conventional,1.047
1991-04-01,gasoline,regular,all,1.052
1991-04-01,gasoline,regular,conventional,1.052
1991-04-08,gasoline,regular,all,1.066
1991-04-08,gasoline,regular,conventional,1.066
1991-04-15,gasoline,regular,all,1.069
1991-04-15,gasoline,regular,conventional,1.069
1991-04-22,gasoline,regular,all,1.09
1991-04-22,gasoline,regular,conventional,1.09
1991-04-29,gasoline,regular,all,1.104
1991-04-29,gasoline,regular,conventional,1.104
1991-05-06,gasoline,regular,all,1.113
1991-05-06,gasoline,regular,conventional,1.113
1991-05-13,gasoline,regular,all,1.121
1991-05-13,gasoline,regular,conventional,1.121
1991-05-20,gasoline,regular,all,1.129
1991-05-20,gasoline,regular,conventional,1.129
1991-05-27,gasoline,regular,all,1.14
1991-05-27,gasoline,regular,conventional,1.14
1991-06-03,gasoline,regular,all,1.138
1991-06-03,gasoline,regular,conventional,1.138
1991-06-10,gasoline,regular,all,1.135
1991-06-10,gasoline,regular,conventional,1.135
1991-06-17,gasoline,regular,all,1.126
1991-06-17,gasoline,regular,conventional,1.126
1991-06-24,gasoline,regular,all,1.114
1991-06-24,gasoline,regular,conventional,1.114
1991-07-01,gasoline,regular,all,1.104
1991-07-01,gasoline,regular,conventional,1.104
1991-07-08,gasoline,regular,all,1.098
1991-07-08,gasoline,regular,conventional,1.098
1991-07-15,gasoline,regular,all,1.094
1991-07-15,gasoline,regular,conventional,1.094
1991-07-22,gasoline,regular,all,1.091
1991-07-22,gasoline,regular,conventional,1.091
1991-07-29,gasoline,regular,all,1.091
1991-07-29,gasoline,regular,conventional,1.091
1991-08-05,gasoline,regular,all,1.099
1991-08-05,gasoline,regular,conventional,1.099
1991-08-12,gasoline,regular,all,1.112
1991-08-12,gasoline,regular,conventional,1.112
1991-08-19,gasoline,regular,all,1.124
1991-08-19,gasoline,regular,conventional,1.124
1991-08-26,gasoline,regular,all,1.124
1991-08-26,gasoline,regular,conventional,1.124
1991-09-02,gasoline,regular,all,1.127
1991-09-02,gasoline,regular,conventional,1.127
1991-09-09,gasoline,regular,all,1.12
1991-09-09,gasoline,regular,conventional,1.12
1991-09-16,gasoline,regular,all,1.11
1991-09-16,gasoline,regular,conventional,1.11
1991-09-23,gasoline,regular,all,1.097
1991-09-23,gasoline,regular,conventional,1.097
1991-09-30,gasoline,regular,all,1.092
1991-09-30,gasoline,regular,conventional,1.092
1991-10-07,gasoline,regular,all,1.089
1991-10-07,gasoline,regular,conventional,1.089
1991-10-14,gasoline,regular,all,1.084
1991-10-14,gasoline,regular,conventional,1.084
1991-10-21,gasoline,regular,all,1.088
1991-10-21,gasoline,regular,conventional,1.088
1991-10-28,gasoline,regular,all,1.091
1991-10-28,gasoline,regular,conventional,1.091
1991-11-04,gasoline,regular,all,1.091
1991-11-04,gasoline,regular,conventional,1.091
1991-11-11,gasoline,regular,all,1.102
1991-11-11,gasoline,regular,conventional,1.102
1991-11-18,gasoline,regular,all,1.104
1991-11-18,gasoline,regular,conventional,1.104
1991-11-25,gasoline,regular,all,1.099
1991-11-25,gasoline,regular,conventional,1.099
1991-12-02,gasoline,regular,all,1.099
1991-12-02,gasoline,regular,conventional,1.099
1991-12-09,gasoline,regular,all,1.091
1991-12-09,gasoline,regular,conventional,1.091
1991-12-16,gasoline,regular,all,1.075
1991-12-16,gasoline,regular,conventional,1.075
1991-12-23,gasoline,regular,all,1.063
1991-12-23,gasoline,regular,conventional,1.063
1991-12-30,gasoline,regular,all,1.053
1991-12-30,gasoline,regular,conventional,1.053
1992-01-06,gasoline,regular,all,1.042
1992-01-06,gasoline,regular,conventional,1.042
1992-01-13,gasoline,regular,all,1.026
1992-01-13,gasoline,regular,conventional,1.026
1992-01-20,gasoline,regular,all,1.014
1992-01-20,gasoline,regular,conventional,1.014
1992-01-27,gasoline,regular,all,1.006
1992-01-27,gasoline,regular,conventional,1.006
1992-02-03,gasoline,regular,all,0.995
1992-02-03,gasoline,regular,conventional,0.995
1992-02-10,gasoline,regular,all,1.004
1992-02-10,gasoline,regular,conventional,1.004
1992-02-17,gasoline,regular,all,1.011
1992-02-17,gasoline,regular,conventional,1.011
1992-02-24,gasoline,regular,all,1.014
1992-02-24,gasoline,regular,conventional,1.014
1992-03-02,gasoline,regular,all,1.012
1992-03-02,gasoline,regular,conventional,1.012
1992-03-09,gasoline,regular,all,1.013
1992-03-09,gasoline,regular,conventional,1.013
1992-03-16,gasoline,regular,all,1.01
1992-03-16,gasoline,regular,conventional,1.01
1992-03-23,gasoline,regular,all,1.015
1992-03-23,gasoline,regular,conventional,1.015
1992-03-30,gasoline,regular,all,1.013
1992-03-30,gasoline,regular,conventional,1.013
1992-04-06,gasoline,regular,all,1.026
1992-04-06,gasoline,regular,conventional,1.026
1992-04-13,gasoline,regular,all,1.051
1992-04-13,gasoline,regular,conventional,1.051
1992-04-20,gasoline,regular,all,1.058
1992-04-20,gasoline,regular,conventional,1.058
1992-04-27,gasoline,regular,all,1.072
1992-04-27,gasoline,regular,conventional,1.072
1992-05-04,gasoline,regular,all,1.089
1992-05-04,gasoline,regular,conventional,1.089
1992-05-11,gasoline,regular,all,1.102
1992-05-11,gasoline,regular,conventional,1.102
1992-05-18,gasoline,regular,all,1.118
1992-05-18,gasoline,regular,conventional,1.118
1992-05-25,gasoline,regular,all,1.12
1992-05-25,gasoline,regular,conventional,1.12
1992-06-01,gasoline,regular,all,1.128
1992-06-01,gasoline,regular,conventional,1.128
1992-06-08,gasoline,regular,all,1.143
1992-06-08,gasoline,regular,conventional,1.143
1992-06-15,gasoline,regular,all,1.151
1992-06-15,gasoline,regular,conventional,1.151
1992-06-22,gasoline,regular,all,1.153
1992-06-22,gasoline,regular,conventional,1.153
1992-06-29,gasoline,regular,all,1.149
1992-06-29,gasoline,regular,conventional,1.149
1992-07-06,gasoline,regular,all,1.147
1992-07-06,gasoline,regular,conventional,1.147
1992-07-13,gasoline,regular,all,1.139
1992-07-13,gasoline,regular,conventional,1.139
1992-07-20,gasoline,regular,all,1.132
1992-07-20,gasoline,regular,conventional,1.132
1992-07-27,gasoline,regular,all,1.128
1992-07-27,gasoline,regular,conventional,1.128
1992-08-03,gasoline,regular,all,1.126
1992-08-03,gasoline,regular,conventional,1.126
1992-08-10,gasoline,regular,all,1.123
1992-08-10,gasoline,regular,conventional,1.123
1992-08-17,gasoline,regular,all,1.116
1992-08-17,gasoline,regular,conventional,1.116
1992-08-24,gasoline,regular,all,1.123
1992-08-24,gasoline,regular,conventional,1.123
1992-08-31,gasoline,regular,all,1.121
1992-08-31,gasoline,regular,conventional,1.121
1992-09-07,gasoline,regular,all,1.121
1992-09-07,gasoline,regular,conventional,1.121
1992-09-14,gasoline,regular,all,1.124
1992-09-14,gasoline,regular,conventional,1.124
1992-09-21,gasoline,regular,all,1.123
1992-09-21,gasoline,regular,conventional,1.123
1992-09-28,gasoline,regular,all,1.118
1992-09-28,gasoline,regular,conventional,1.118
1992-10-05,gasoline,regular,all,1.115
1992-10-05,gasoline,regular,conventional,1.115
1992-10-12,gasoline,regular,all,1.115
