id,title,original_title,original_language,overview,release_date,popularity,vote_average,vote_count,adult,video,genre_ids
860159,Crush,Crush,en,"When an aspiring young artist is forced to join her high school track team, she uses it as an opportunity to pursue the girl she's been harboring a long-time crush on. But she soon finds herself falling for an unexpected teammate and discovers what real love feels like.",2022-04-29,321.755,7.5,120,False,False,"[35, 10749]"
719088,"Yes, No, or Maybe Half?",イエスかノーか半分か,ja,"Kunieda Kei is a popular, young TV announcer whose public and private personas are so different, they might be called extreme. On the outside, he is the picture of perfection, affectionately nicknamed ""The Prince,"" while on the inside he is constantly cursing at all of the incompetence around him. Of course, no one knows this secret of his.  One day, Kei meets animation artist Tsuzuki Ushio for a work assignment. While Kei is in ""inside mode,"" he later runs into Tsuzuki, who doesn't recognize him in his worn-out sweats and a facemask, but as compensation for injuring Tsuzuki's arm, Kei gets roped into helping out with his work.",2020-12-11,139.229,7.1,26,False,False,"[16, 18, 10749]"
632632,Given,映画 ギヴン,ja,"The film centers on the love relationship among the band's bassist Haruki Nakayama, drummer Akihiko Kaji, and Akihiko's roommate and ex-boyfriend Ugetsu Murata.",2020-08-22,110.14,8.4,318,False,False,"[16, 18, 10402, 10749]"
929477,Heart Shot,Heart Shot,en,Teenagers Nikki and Sam are in love and planning their future together — until Nikki's dangerous past returns to threaten everything.,2022-02-17,88.76,5.4,37,False,False,"[10749, 80]"
197158,Porno,Pornô!,pt,"Three tales of the erotic: Two young ladies experiment with lesbianism, a handsome and wealthy socialite makes a beautiful woman patiently wait to make love to him, and a gorgeous, but controlling and dominating blind woman makes a hunky stud her sexual hostage in her swanky mansion home.",1981-01-01,76.302,4.3,46,False,False,[18]
398818,Call Me by Your Name,Call Me by Your Name,en,"In 1980s Italy, a relationship begins between seventeen-year-old teenage Elio and the older adult man hired as his father's research assistant.",2017-09-01,85.425,8.2,10242,False,False,"[10749, 18]"
591273,Fear Street: 1994,Fear Street: 1994,en,"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",2021-07-02,81.828,6.8,1542,False,False,"[9648, 27]"
424694,Bohemian Rhapsody,Bohemian Rhapsody,en,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",2018-10-24,72.226,8.0,14668,False,False,"[10402, 18, 36]"
71672,Wrong Turn 4: Bloody Beginnings,Wrong Turn 4: Bloody Beginnings,en,"A group of friends take refuge in a deserted sanatorium after they are left stranded in a snowstorm. Later, the place becomes a death trap when man-eating cannibals surround them.",2011-10-17,63.968,5.7,814,False,False,"[27, 53]"
205596,The Imitation Game,The Imitation Game,en,"Based on the real life story of legendary cryptanalyst Alan Turing, the film portrays the nail-biting race against time by Turing and his brilliant team of code-breakers at Britain's top-secret Government Code and Cypher School at Bletchley Park, during the darkest days of World War II.",2014-11-14,71.857,8.0,14654,False,False,"[36, 18, 53, 10752]"
55846,Blitz,Blitz,en,A tough cop is dispatched to take down a serial killer who has been targeting police officers.,2011-05-20,52.788,6.1,1314,False,False,"[80, 28, 53]"
305470,Power Rangers,Power Rangers,en,"Saban's Power Rangers follows five ordinary teens who must become something extraordinary when they learn that their small town of Angel Grove — and the world — is on the verge of being obliterated by an alien threat. Chosen by destiny, our heroes quickly discover they are the only ones who can save the planet. But to do so, they will have to overcome their real-life issues and before it’s too late, band together as the Power Rangers.",2017-03-23,53.149,6.3,3862,False,False,"[878, 28, 12]"
879440,The Invisible Thread,Il filo invisibile,it,The teenage son of two fathers makes a documentary film about his parents but is surprised when a real-life plot twist occurs in his family.,2022-03-04,52.126,6.8,121,False,False,"[35, 18]"
370663,Below Her Mouth,Below Her Mouth,en,An unexpected affair quickly escalates into a heart-stopping reality for two women whose passionate connection changes their lives forever.,2017-02-10,58.775,6.8,960,False,False,"[18, 10749]"
600583,The Power of the Dog,The Power of the Dog,en,"A domineering but charismatic rancher wages a war of intimidation on his brother's new wife and her teen son, until long-hidden secrets come to light.",2021-11-17,49.598,6.8,1811,False,False,"[18, 37]"
9316,Ong Bak: Muay Thai Warrior,องค์บาก,th,"When the head of a statue sacred to a village is stolen, a young martial artist goes to the big city and finds himself taking on the underworld to retrieve it.",2003-01-21,51.995,7.1,1345,False,False,"[28, 53]"
3563,I Now Pronounce You Chuck & Larry,I Now Pronounce You Chuck & Larry,en,"Firefighters Chuck Ford and Larry Valentine are guy's guys, loyal to the core—which is why when widower Larry asks Chuck to pose as his gay lover so that he can get domestic partner benefits for his kids, his buddy agrees. However, things get dicey when a bureaucrat comes calling, and the boys are forced to present a picture of domestic bliss.",2007-07-12,63.963,6.0,1884,False,False,"[35, 10749]"
796849,Ride or Die,彼女,ja,"Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire.",2021-04-15,43.511,6.5,105,False,False,"[18, 10749, 53]"
766798,Parallel Mothers,Madres paralelas,es,"Two unmarried women who have become pregnant by accident and are about to give birth meet in a hospital room: Janis, middle-aged, unrepentant and happy; Ana, a teenager, remorseful and frightened.",2021-10-08,38.553,6.9,577,False,False,[18]
290098,The Handmaiden,아가씨,ko,"1930s Korea, in the period of Japanese occupation, a young woman is hired as a handmaiden to a Japanese heiress who lives a secluded life on a large countryside estate with her domineering uncle, but she's involved in something greater that will soon be revealed.",2016-06-01,49.521,8.3,2682,False,False,"[53, 18, 10749]"
11631,Mamma Mia!,Mamma Mia!,en,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",2008-07-02,44.276,7.0,5471,False,False,"[35, 10749]"
5336,"Salò, or the 120 Days of Sodom",Salò o le 120 giornate di Sodoma,it,"Four corrupted fascist libertines round up 9 teenage boys and girls and subject them to 120 days of sadistic physical, mental and sexual torture.",1975-11-22,51.102,6.5,1466,False,False,"[10752, 27, 18, 36]"
491418,Instant Family,Instant Family,en,"When Pete and Ellie decide to start a family, they stumble into the world of foster care adoption. They hope to take in one small child but when they meet three siblings, including a rebellious 15 year old girl, they find themselves speeding from zero to three kids overnight.",2018-11-13,36.64,7.6,2304,False,False,[35]
501738,Charlatan,Šarlatán,cs,"Born in the early 20th century, herbalist Jan Mikolasek became rich and famous after curing countless diseases with unorthodox means. A true emblem of Czechoslovakia before World War II, the healer became even more appreciated during the Nazi occupation and the communist regime. Each regime appreciates his skill and protects him. But how much will it cost him to maintain his status in a new political change?",2020-08-20,36.062,6.7,77,False,False,[18]
306819,The Danish Girl,The Danish Girl,en,"When Gerda Wegener asks her husband Einar to fill in as a portrait model, Einar discovers the person she's meant to be and begins living her life as Lili Elbe. Having realized her true self and with Gerda's love and support, Lili embarks on a groundbreaking journey as a transgender pioneer.",2015-01-01,30.336,7.6,5188,False,False,[18]
9603,Clueless,Clueless,en,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",1995-07-19,30.034,7.3,3493,False,False,"[35, 10749]"
448441,Sekaiichi Hatsukoi Movie,劇場版 世界一初恋 -横澤隆史の場合-,ja,"Yokozawa meets a man (Kirishima) and his life is turned around. Kirishima starts to blackmail and tease Yokozawa, but Kirishima might actually be trying to help him recover from an emotional period of his life in the process.",2014-03-15,35.311,6.5,19,False,False,"[16, 10749, 18]"
