occurrenceID,eventID,decimalLatitude,decimalLongitude,scientificName,eventDate,eventTime,timezone,coordinateUncertaintyInMeters,recordedBy,stateProvince
12832,525618,-28.5,153.1,Philoria loveridgei,2023-01-01,11:18:32,GMT+1100,10000,41480,New South Wales
12833,526341,-33.7,151.2,Heleioporus australiacus,2023-01-02,20:39:30,GMT+1100,10000,834983,New South Wales
12834,526673,-28.7,152.7,Mixophyes iteratus,2023-01-02,21:30:07,GMT+1100,10000,804177,New South Wales
12835,526673,-28.7,152.7,Mixophyes fasciolatus,2023-01-02,21:30:07,GMT+1100,10000,804177,New South Wales
12836,526673,-28.7,152.7,Litoria latopalmata,2023-01-02,21:30:07,GMT+1100,10000,804177,New South Wales
12837,527056,-30.4,152.8,Assa darlingtoni,2023-01-04,16:04:04,GMT+1100,10000,1818,New South Wales
12838,527058,-30.4,152.8,Assa darlingtoni,2023-01-04,15:04:40,GMT+1100,10000,1818,New South Wales
12839,528103,-30.4,153,Litoria nasuta,2023-01-06,20:25:39,GMT+1100,10000,813007,New South Wales
12840,528103,-30.4,153,Mixophyes iteratus,2023-01-06,20:25:39,GMT+1100,10000,813007,New South Wales
12841,528103,-30.4,153,Litoria gracilenta,2023-01-06,20:25:39,GMT+1100,10000,813007,New South Wales
12842,528111,-30.4,153,Litoria gracilenta,2023-01-06,20:31:34,GMT+1100,10000,813007,New South Wales
12843,528111,-30.4,153,Mixophyes iteratus,2023-01-06,20:31:34,GMT+1100,10000,813007,New South Wales
12844,529331,-33.1,151.3,Mixophyes australis,2023-01-09,02:59:01,GMT+1100,10000,803972,New South Wales
12845,529332,-33.1,151.3,Mixophyes australis,2023-01-09,02:51:30,GMT+1100,10000,803972,New South Wales
12846,529483,-30.3,153,Litoria phyllochroa,2023-01-08,21:31:07,GMT+1100,10000,8367,New South Wales
12847,529483,-30.3,153,Mixophyes iteratus,2023-01-08,21:31:07,GMT+1100,10000,8367,New South Wales
12848,529483,-30.3,153,Litoria barringtonensis,2023-01-08,21:31:07,GMT+1100,10000,8367,New South Wales
12849,529492,-30.3,153,Litoria phyllochroa,2023-01-06,21:45:07,GMT+1100,10000,8367,New South Wales
12850,529492,-30.3,153,Adelotus brevis,2023-01-06,21:45:07,GMT+1100,10000,8367,New South Wales
12851,529492,-30.3,153,Mixophyes iteratus,2023-01-06,21:45:07,GMT+1100,10000,8367,New South Wales
12852,529492,-30.3,153,Litoria barringtonensis,2023-01-06,21:45:07,GMT+1100,10000,8367,New South Wales
12853,529494,-30.3,153,Mixophyes iteratus,2023-01-06,21:38:14,GMT+1100,10000,8367,New South Wales
12854,529494,-30.3,153,Litoria barringtonensis,2023-01-06,21:38:14,GMT+1100,10000,8367,New South Wales
12855,529496,-30.3,153,Adelotus brevis,2023-01-06,21:26:48,GMT+1100,10000,8367,New South Wales
12856,529496,-30.3,153,Mixophyes iteratus,2023-01-06,21:26:48,GMT+1100,10000,8367,New South Wales
12857,529496,-30.3,153,Pseudophryne coriacea,2023-01-06,21:26:48,GMT+1100,10000,8367,New South Wales
12858,529496,-30.3,153,Litoria phyllochroa,2023-01-06,21:26:48,GMT+1100,10000,8367,New South Wales
12859,529693,-30.4,152.9,Mixophyes iteratus,2023-01-11,23:04:47,GMT+1100,10000,816654,New South Wales
12860,529693,-30.4,152.9,Adelotus brevis,2023-01-11,23:04:47,GMT+1100,10000,816654,New South Wales
12861,529693,-30.4,152.9,Litoria phyllochroa,2023-01-11,23:04:47,GMT+1100,10000,816654,New South Wales
12862,529694,-30.4,152.9,Mixophyes iteratus,2023-01-11,23:06:03,GMT+1100,10000,803972,New South Wales
12863,529694,-30.4,152.9,Adelotus brevis,2023-01-11,23:06:03,GMT+1100,10000,803972,New South Wales
