season,winner,runner_up,original_release,original_network,hosted_by,judges,no_of_episodes,finals_venue,mentor
1,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,NA,Kodak Theatre,NA
2,Ruben Studdard,Clay Aiken,"January 21 (2003-01-21) –May 21, 2003 (2003-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,NA,Gibson Amphitheatre,NA
3,Fantasia Barrino,Diana DeGarmo,"January 19 (2004-01-19) –May 26, 2004 (2004-05-26)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,NA,Kodak Theatre,NA
4,Carrie Underwood,Bo Bice,"January 18 (2005-01-18) –May 25, 2005 (2005-05-25)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,NA,Kodak Theatre,NA
5,Taylor Hicks,Katharine McPhee,"January 17 (2006-01-17) –May 24, 2006 (2006-05-24)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,NA,Kodak Theatre,NA
6,Jordin Sparks,Blake Lewis,"January 16 (2007-01-16) –May 23, 2007 (2007-05-23)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,NA,Kodak Theatre,NA
7,David Cook,David Archuleta,"January 15 (2008-01-15) –May 21, 2008 (2008-05-21)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Randy Jackson,NA,Nokia Theatre L.A. Live,NA
8,Kris Allen,Adam Lambert,"January 13 (2009-01-13) –May 20, 2009 (2009-05-20)",Fox,Ryan Seacrest,Paula Abdul; Simon Cowell; Kara Dio; Guardi; Randy Jackson,NA,Nokia Theatre L.A. Live,NA
9,Lee DeWyze,Crystal Bowersox,"January 12 (2010-01-12) –May 26, 2010 (2010-05-26)",Fox,Ryan Seacrest,Simon Cowell; Ellen De; Generes; Kara Dio; Guardi; Randy Jackson,NA,Nokia Theatre L.A. Live,NA
10,Scotty McCreery,Lauren Alaina,"January 19 (2011-01-19)[1] –May 25, 2011 (2011-05-25)",Fox,Ryan Seacrest,Randy Jackson; Jennifer Lopez; Steven Tyler,NA,Nokia Theatre L.A. Live,NA
11,Phillip Phillips,Jessica Sanchez,"January 18 (2012-01-18) –May 23, 2012 (2012-05-23)",Fox,Ryan Seacrest,Randy Jackson; Jennifer Lopez; Steven Tyler,NA,Nokia Theatre L.A. Live,NA
12,Candice Glover,Kree Harrison,"January 16 (2013-01-16) –May 16, 2013 (2013-05-16)",Fox,Ryan Seacrest,Randy Jackson; Mariah Carey; Nicki Minaj; Keith Urban,NA,Nokia Theatre L.A. Live,Jimmy Iovine
13,Caleb Johnson,Jena Irene,"January 15 (2014-01-15) –May 21, 2014 (2014-05-21)",Fox,Ryan Seacrest,Harry Connick Jr.Jennifer Lopez; Keith Urban,NA,Nokia Theatre L.A. Live,NA
14,Nick Fradiani,Clark Beckham,"January 7 (2015-01-07) –May 13, 2015 (2015-05-13)",Fox,Ryan Seacrest,Harry Connick Jr.Jennifer Lopez; Keith Urban,NA,Dolby Theatre,Scott Borchetta
15,Trent Harmon,La'Porsha Renae,"January 6 (2016-01-06) –April 7, 2016 (2016-04-07)",Fox,Ryan Seacrest,Harry Connick Jr.; Jennifer Lopez; Keith Urban,24,Dolby Theatre,NA
16,Maddie Poppe,Caleb Lee Hutchinson,"March 11 (2018-03-11) –May 21, 2018 (2018-05-21)",ABC,Ryan Seacrest,Katy Perry; Luke Bryan; Lionel Richie,19,NA,NA
17,Laine Hardy,Alejandro Aranda,"March 3 (2019-03-03) –May 19, 2019 (2019-05-19)",ABC,Ryan Seacrest,Katy Perry; Luke Bryan; Lionel Richie,19,NA,NA
18,Just Sam,Arthur Gunn,"February 16 (2020-02-16) –May 17, 2020 (2020-05-17)",ABC,Ryan Seacrest,Katy Perry; Luke Bryan; Lionel Richie,16,NA,NA
