Contestant,Birthday,Birthplace,Hometown,Description,Season
Kelly Clarkson,24-Apr-82,"Fort Worth, Texas","Burleson, Texas","She performed Aretha Franklin's version of ""Respectand Vanessa Williams' ""Save The Best For Lastin the Hollywood rounds.",1
Justin Guarini,28-Oct-78,"Columbus, Georgia","Doylestown, Pennsylvania","He performed  Oleta Adams' version of ""Get Herein the Hollywood rounds.",1
Nikki McKibbin,28-Sep-78,"Grand Prairie, Texas",NA,"She had previously been on Popstars and auditioned with Gloria Gaynor's ""I Will Surviveand Whitney Houston's ""One Moment in Time.She performed The Righteous Brothers' version of ""Unchained Melodyin the Hollywood rounds. McKibbin died on November 1, 2020, after suffering an aneurysm, making her the fourth American Idol finalist to die, following Leah LaBelle in 2018, Rickey Smith in 2016, and Michael Johns in 2014.",1
Tamyra Gray,26-Jul-79,"Takoma Park, Maryland","Atlanta, Georgia","She had appeared on TV commercials and worked with other artists before auditioning for Idol, and was crowned Miss Atlanta in 1998.  She performed Oleta Adams' version of ""Get Herein Hollywood.",1
R. J. Helton,17-May-81,"Pasadena, Texas","Cumming, Georgia","J. Helton (born May 17, 1981, in Pasadena, Texas, 21 years old at the time of the show) is from Cumming, Georgia, and auditioned in Atlanta with The Jackson 5's ""Never Can Say Goodbye"". He had made demo CDs before appearing on American Idol.",1
Christina Christian,21-Jun-81,"Brooklyn, New York",NA,".Christina Christian (born June 21, 1981, in Brooklyn, New York, 21 years old at the time of the show) and auditioned in Miami, Florida with Stevie Wonder's ""Isn't She Lovely? She performed Diana Ross' version of ""Ain't No Mountain High Enoughin Hollywood",1
Ryan Starr,21-Nov-82,"Sunland, California",NA,"Her audition song was Bill Withers' ""Lean On Me. She performed Bill Withers' ""Ain't No Sunshinein the Hollywood rounds.",1
AJ Gil,5-Jul-84,"San Diego, California","Tacoma, Washington",NA,1
Jim Verraros,8-Feb-83,"Chicago, Illinois",NA,"He grew up with Deaf parents and is fluent in ASL (American Sign Language). He performed Diana Ross' ""Ain't No Mountain High Enoughin Hollywood.",1
EJay Day,13-Sep-81,"Lawrenceville, Georgia",NA,"He auditioned in Atlanta with Oleta Adams' ""Get Here.""",1
Ruben Studdard,12-Sep-78,"Frankfurt, Germany","Birmingham, Alabama",NA,2
Clay Aiken,30-Nov-78,"Raleigh, North Carolina",NA,"He studied at the University of North Carolina at Charlotte, where he graduated with a degree in special education.",2
Kimberley Locke,3-Jan-78,"Hartsville, Tennessee","Nashville, Tennessee",NA,2
Joshua Gracin,18-Oct-80,"Westland, Michigan","Oceanside, California","He auditioned in Los Angeles with O-Town's ""All or Nothing"".",2
Trenyce,31-Mar-80,"Memphis, Tennessee","Bartlett, Tennessee","She turned down a record deal at 14 and she auditioned using her full name, LaShundra ""TrenyceCobbins.",2
Carmen Rasmusen,25-Mar-85,"Edmonton, Alberta","Bountiful, Utah",She did not make the semi-final initially but was brought back for the wild card show and put through to the final.,2
Kimberly Caldwell,25-Feb-82,"Katy, Texas",NA,NA,2
Rickey Smith,10-May-79,"Keene, Texas",NA,"He worked as a teacher before the show. Smith was killed in a car crash on May 6, 2016, making him the second American Idol finalist to die after seventh season finalist, Michael Johns.",2
Corey Clark,13-Jul-80,"San Bernardino, California",NA,"He was disqualified hours after the website The Smoking Gun revealed his misdemeanor charges of battery and resisting arrest on March 31, 2003.",2
Julia DeMato,7-Mar-79,"Danbury, Connecticut","Brookfield, Connecticut",NA,2
Charles Grigsby,15-Sep-78,"Oberlin, Ohio",NA,NA,2
Vanessa Olivarez,7-Apr-81,"Atlanta, Georgia","Atlanta, Georgia",NA,2
Fantasia Barrino,30-Jun-84,"High Point, North Carolina",NA,"Her audition songs were Lauryn Hill's ""Killing Me Softly with His Songand Tina Turner's ""Proud Mary"".  She has performed from a young age with her family who had released a CD.  She performed Aretha Franklin's ""Thinkin the Hollywood rounds. At 19 years, 10 months and 26 days, Barrino became the first teenage contestant to win American Idol.",3
Diana DeGarmo,16-Jun-87,"Birmingham, Alabama","Snellville, Georgia","She was on the show America's Most Talented Kid in 2002 as well as other TV shows.  She performed Ike & Tina Turner's ""A Fool in Lovein the Hollywood rounds. At 16 years, 7 months and 26 days, she was the youngest contestant reach into the finals until Thia Megia and Lauren Alaina made to the finals in the tenth season. She was also the youngest runner-up in the history of American Idol.",3
Jasmine Trias,3-Nov-86,"Mililani, Hawaii","Mililani, Hawaii","She is the first Asian American contestant in American Idol who made it to the final three, followed by Jessica Sanchez in the eleventh season.",3
LaToya London,29-Dec-78,"Oakland, California","Oakland, California",NA,3
George Huff,4-Nov-80,"Houston, Texas",NA,"He performed Luther Vandross' ""Here and Nowin the Hollywood rounds.",3
John Stevens,28-Jul-87,"Buffalo, New York",NA,"He performed Tony Bennett's ""I Left My Heart in San Franciscoin Hollywood. He was the youngest male contestant to reach into the finals until Daniel Seavey in the fourteenth season.",3
Jennifer Hudson,12-Sep-81,NA,NA,NA,3
Jon Peter Lewis,7-Nov-79,"Lincoln, Nebraska","Rexburg, Idaho","He was dubbed the 'pen salesman' by Simon Cowell.  He performed The Jackson 5's ""I Want You Back"".",3
Camile Velasco,1-Sep-85,"Makati, Philippines","Haiku, Maui",NA,3
Amy Adams,25-Jul-79,"Kansas City, Kansas","Bakersfield, California","She performed Jennifer Rush's ""The Power of Lovein Hollywood.",3
Matthew Rogers,16-Sep-78,"Rancho Cucamonga, California",NA,NA,3
Leah LaBelle,8-Sep-86,"Toronto, Canada",NA,"She auditioned with her birth name Leah Vladowski. Her family was originally from Bulgaria, and immigrated to the United States. She performed Diana Ross' ""Theme from Mahogany (Do You Know Where You're Going To)at the Hollywood rounds. In 2011, LaBelle signed to Epic Records. LaBelle was killed in a car crash alongside her boyfriend Rasual Butler on January 31, 2018, making her the third American Idol finalist to die, following Rickey Smith in 2016 and Michael Johns in 2014.",3
Carrie Underwood,10-Mar-83,"Muskogee, Oklahoma",NA,"Louis, Missouri with Bonnie Raitt's ""I Can't Make You Love Me"".  She performed Candi Staton's ""Young Hearts Run Freein Hollywood week but forgot part of the lyrics.",4
Bo Bice,1-Nov-75,"Huntsville, Alabama","Helena, Alabama","He performed The Box Tops's ""The Letter"", The Temptations' ""Get Readyfor the group round in the Hollywood week.  He wanted to introduce rock to American Idol.  Prior to Idol he performed professionally and released an album with his band Purge.",4
Vonzell Solomon,18-Mar-84,"Baxley, Georgia",NA,"She is proficient in the martial arts.  She performed Whitney Houston's ""How Will I Knowin the Hollywood round. She performed as a guest singer for Postmodern Jukebox.",4
Anthony Fedorov,4-May-85,"Yalta, Ukraine","Trevose, Pennsylvania","He had difficulty breathing when he was little and had a tracheotomy about which his doctor expressed concern that he might not be able to speak again.  He performed Diana Ross' ""When You Tell Me That You Love Meand reprised Jon Secada's ""Angelduring Hollywood week.",4
Scott Savol,30-Apr-76,"Cleveland, Ohio",NA,"He performed Four Tops's ""I Can't Help Myselfin the group round in Hollywood week.",4
