season,week,order,contestant,song,artist,song_theme,result
Season_01,20020618_top_30_group_1,1,Tamyra Gray,And I Am Telling You I'm Not Going,Jennifer Holliday,NA,Advanced (1st)
Season_01,20020618_top_30_group_1,2,Jim Verraros,When I Fall in Love,Doris Day,NA,Advanced (3rd)
Season_01,20020618_top_30_group_1,3,Adriel Herrera,I'll Be,Edwin McCain,NA,Eliminated
Season_01,20020618_top_30_group_1,4,Rodesia Eaves,Daydream Believer,The Monkees,NA,Eliminated
Season_01,20020618_top_30_group_1,5,Natalie Burge,Crazy,Patsy Cline,NA,Eliminated
Season_01,20020618_top_30_group_1,6,Brad Estrin,Just Once,James Ingram,NA,Eliminated
Season_01,20020618_top_30_group_1,7,Ryan Starr,The Frim-Fram Sauce,The King Cole Trio,NA,Advanced (2nd)
Season_01,20020618_top_30_group_1,8,Justinn Waddell,When a Man Loves a Woman,Percy Sledge,NA,Eliminated
Season_01,20020618_top_30_group_1,9,Kelli Glover,I Will Always Love You,Dolly Parton,NA,Wild Card
Season_01,20020618_top_30_group_1,10,Christopher Aaron,Still in Love,Brian McKnight,NA,Wild Card
Season_01,20020625_top_30_group_2,1,Alexis Lopez,I Will Survive,Gloria Gaynor,NA,Wild Card
Season_01,20020625_top_30_group_2,2,Gil Sinuet,Ribbon in the Sky,Stevie Wonder,NA,Eliminated
Season_01,20020625_top_30_group_2,3,Angela Peel,Run to You,Whitney Houston,NA,Wild Card
Season_01,20020625_top_30_group_2,4,AJ Gil,All or Nothing,O-Town,NA,Advanced (3rd)
Season_01,20020625_top_30_group_2,5,Tenia Taylor,Greatest Love of All,Whitney Houston,NA,Eliminated
Season_01,20020625_top_30_group_2,6,Alexandra Bachelier,Save the Best for Last,Vanessa Williams,NA,Eliminated
Season_01,20020625_top_30_group_2,7,Jazmin Lowery,You Put a Move on My Heart,Tamia,NA,Eliminated
Season_01,20020625_top_30_group_2,8,Jamar,Careless Whisper,George Michael,NA,Eliminated
Season_01,20020625_top_30_group_2,9,Kelly Clarkson,Respect,Aretha Franklin,NA,Advanced (2nd)
Season_01,20020625_top_30_group_2,10,Justin Guarini,Ribbon in the Sky,Stevie Wonder,NA,Advanced (1st)
Season_01,20020702_top_30_group_3,1,R. J. Helton,I'll Be There,The Jackson 5,NA,Wild Card
Season_01,20020702_top_30_group_3,2,Kristin Holt,Fallin',Alicia Keys,NA,Eliminated
Season_01,20020702_top_30_group_3,3,Mark Scott,My Girl,The Temptations,NA,Eliminated
Season_01,20020702_top_30_group_3,4,Nikki McKibbin,Total Eclipse of the Heart,Bonnie Tyler,NA,Advanced (2nd)
Season_01,20020702_top_30_group_3,5,Chris Badano,I Swear,John Michael Montgomery,NA,Eliminated
Season_01,20020702_top_30_group_3,6,Melanie Sanders,And I Am Telling You I'm Not Going,Jennifer Holliday,NA,Eliminated
Season_01,20020702_top_30_group_3,7,EJay Day,I'll Be,Edwin McCain,NA,Advanced (3rd)
Season_01,20020702_top_30_group_3,8,Tanesha Ross,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,NA,Eliminated
Season_01,20020702_top_30_group_3,9,Khaleef Chiles,My Cherie Amour,Stevie Wonder,NA,Eliminated
Season_01,20020702_top_30_group_3,10,Christina Christian,At Last,Etta James,NA,Advanced (1st)
Season_01,20020710_wildcard_show,1,Kelli Glover,How Am I Supposed to Live Without You,Laura Branigan,NA,Eliminated
Season_01,20020710_wildcard_show,2,Christopher Aaron,On Bended Knee,Boyz II Men,NA,Eliminated
Season_01,20020710_wildcard_show,3,Alexis Lopez,Saving All My Love for You,Whitney Houston,NA,Eliminated
Season_01,20020710_wildcard_show,4,R. J. Helton,Lately,Stevie Wonder,NA,Advanced
Season_01,20020710_wildcard_show,5,Angela Peel,As We Lay,Kelly Price,NA,Eliminated
Season_01,20020716_top_10_perform,1,Ryan Starr,If You Really Love Me,Stevie Wonder,NA,Safe
Season_01,20020716_top_10_perform,2,R. J. Helton,I Can't Help Myself (Sugar Pie Honey Bunch),The Four Tops,NA,Safe
Season_01,20020716_top_10_perform,3,Nikki McKibbin,Ben,Michael Jackson,NA,Bottom Three
Season_01,20020716_top_10_perform,4,EJay Day,My Girl,The Temptations,NA,Eliminated
Season_01,20020716_top_10_perform,5,Tamyra Gray,Touch Me in the Morning,Diana Ross,NA,Safe
Season_01,20020716_top_10_perform,6,Justin Guarini,For Once in My Life,Stevie Wonder,NA,Safe
Season_01,20020716_top_10_perform,7,Jim Verraros,Easy,Commodores,NA,Eliminated
Season_01,20020716_top_10_perform,8,Kelly Clarkson,You're All I Need to Get By,Marvin Gaye and Tammi Terrell,NA,Safe
Season_01,20020716_top_10_perform,9,AJ Gil,My Cherie Amour,Stevie Wonder,NA,Safe
Season_01,20020716_top_10_perform,10,Christina Christian,Ain't No Mountain High Enough,Marvin Gaye and Tammi Terrell,NA,Safe
Season_01,20020723_top_8_finalists,1,R. J. Helton,Under the Boardwalk,The Drifters,NA,Safe
Season_01,20020723_top_8_finalists,2,Tamyra Gray,A Fool in Love,Ike & Tina Turner,NA,Safe
Season_01,20020723_top_8_finalists,3,Nikki McKibbin,Piece of My Heart,Erma Franklin,NA,Safe
Season_01,20020723_top_8_finalists,4,AJ Gil,How Sweet It Is (To Be Loved by You),Marvin Gaye,NA,Eliminated
Season_01,20020723_top_8_finalists,5,Kelly Clarkson,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,NA,Safe
Season_01,20020723_top_8_finalists,6,Christina Christian,When a Man Loves a Woman,Percy Sledge,NA,Bottom Three
Season_01,20020723_top_8_finalists,7,Justin Guarini,Sunny,Bobby Hebb,NA,Safe
Season_01,20020723_top_8_finalists,8,Ryan Starr,You Really Got Me,The Kinks,NA,Bottom Two
Season_01,20020730_top_7_finalists,1,Nikki McKibbin,Heartbreaker,Pat Benatar,NA,Bottom Three
Season_01,20020730_top_7_finalists,2,Ryan Starr,Last Dance,Donna Summer,NA,Eliminated
Season_01,20020730_top_7_finalists,3,Christina Christian,Ain't No Sunshine,Bill Withers,NA,Safe
Season_01,20020730_top_7_finalists,4,Justin Guarini,Someday We'll All Be Free,Donny Hathaway,NA,Bottom Two
Season_01,20020730_top_7_finalists,5,Kelly Clarkson,Don't Play That Song (You Lied),Aretha Franklin,NA,Safe
Season_01,20020730_top_7_finalists,6,R. J. Helton,Superstition,Stevie Wonder,NA,Safe
Season_01,20020730_top_7_finalists,7,Tamyra Gray,If I Were Your Woman,Gladys Knight & the Pips,NA,Safe
Season_01,20020806_top_6_finalists,1,Tamyra Gray,Minnie the Moocher,Cab Calloway and His Orchestra,NA,Safe
Season_01,20020806_top_6_finalists,2,Justin Guarini,Route 66,Nat King Cole,NA,Safe
Season_01,20020806_top_6_finalists,3,Nikki McKibbin,Hard-Hearted Hannah,Paul Whiteman and His Orchestra,NA,Bottom Three
Season_01,20020806_top_6_finalists,4,Christina Christian,The Glory of Love,Benny Goodman,NA,Eliminated
Season_01,20020806_top_6_finalists,5,R. J. Helton,I Won't Dance,Fred Astaire and Ginger Rogers,NA,Bottom Two
Season_01,20020806_top_6_finalists,6,Kelly Clarkson,Stuff Like That There,The King Sisters,NA,Safe
Season_01,20020813_top_5_finalists,1,Kelly Clarkson,Walk On By,Dionne Warwick,NA,Safe
Season_01,20020813_top_5_finalists,2,R. J. Helton,Arthur's Theme (Best That You Can Do),Christopher Cross,NA,Eliminated
Season_01,20020813_top_5_finalists,3,Tamyra Gray,A House is Not a Home,Dionne Warwick,NA,Safe
Season_01,20020813_top_5_finalists,4,Justin Guarini,The Look of Love,Dusty Springfield,NA,Safe
Season_01,20020813_top_5_finalists,5,Nikki McKibbin,(There's) Always Something There to Remind Me,Lou Johnson,NA,Bottom Two
Season_01,20020820_top_4_finalists,1,Tamyra Gray,New Attitude,Patti LaBelle,First Song,Eliminated
Season_01,20020820_top_4_finalists,2,Nikki McKibbin,Mary Jane,Alanis Morissette,First Song,Bottom Two
Season_01,20020820_top_4_finalists,3,Kelly Clarkson,It's Raining Men,The Weather Girls,First Song,Safe
Season_01,20020820_top_4_finalists,4,Justin Guarini,Get Here,Oleta Adams,First Song,Safe
Season_01,20020820_top_4_finalists,5,Tamyra Gray,Feel the Fire,Stephanie Mills,Second Song,Eliminated
Season_01,20020820_top_4_finalists,6,Nikki McKibbin,I'm the Only One,Melissa Etheridge,Second Song,Bottom Two
Season_01,20020820_top_4_finalists,7,Kelly Clarkson,I Surrender,Celine Dion,Second Song,Safe
Season_01,20020820_top_4_finalists,8,Justin Guarini,P.Y.T. (Pretty Young Thing),Michael Jackson,Second Song,Safe
Season_01,20020827_top_3_finalists,1,Nikki McKibbin,Edge of Seventeen,Stevie Nicks,Contestant Choice,Third Place
Season_01,20020827_top_3_finalists,2,Justin Guarini,Let's Stay Together,Al Green,Contestant Choice,Safe
Season_01,20020827_top_3_finalists,3,Kelly Clarkson,Think Twice,Celine Dion,Contestant Choice,Safe
Season_01,20020827_top_3_finalists,4,Nikki McKibbin,Black Velvet,Alannah Myles,Judge Choice,Third Place
Season_01,20020827_top_3_finalists,5,Justin Guarini,Don't Let the Sun Go Down on Me,Elton John,Judge Choice,Safe
Season_01,20020827_top_3_finalists,6,Kelly Clarkson,Without You,Badfinger,Judge Choice,Safe
Season_01,20020903_top_2_finalists,1,Justin Guarini,Before Your Love,Kelly Clarkson,First Song,Runner-up
Season_01,20020903_top_2_finalists,2,Kelly Clarkson,A Moment Like This,Kelly Clarkson,First Song,Winner
Season_01,20020903_top_2_finalists,3,Justin Guarini,Get Here,Oleta Adams,Second Song,Runner-up
Season_01,20020903_top_2_finalists,4,Kelly Clarkson,Respect,Aretha Franklin,Second Song,Winner
Season_01,20020903_top_2_finalists,5,Justin Guarini,A Moment Like This,Kelly Clarkson,Third Song,Runner-up
Season_01,20020903_top_2_finalists,6,Kelly Clarkson,Before Your Love,Kelly Clarkson,Third Song,Winner
Season_02,20030204_top_32_group_1,1,Kimberly Caldwell,Come to My Window,Melissa Etheridge,NA,Wild Card (3rd)
Season_02,20030204_top_32_group_1,2,Patrick Fortson,Un-Break My Heart,Toni Braxton,NA,Eliminated
Season_02,20030204_top_32_group_1,3,J.D. Adams,All in Love Is Fair,Stevie Wonder,NA,Eliminated
Season_02,20030204_top_32_group_1,4,Trenyce,Love Sneakin' Up On You,Bonnie Raitt,NA,Wild Card
Season_02,20030204_top_32_group_1,5,Meosha Denton,How Do I Live,LeAnn Rimes,NA,Eliminated
Season_02,20030204_top_32_group_1,6,Bettis Richardson,Thank You,Boyz II Men,NA,Eliminated
Season_02,20030204_top_32_group_1,7,Charles Grigsby,Overjoyed,Stevie Wonder,NA,Advanced
Season_02,20030204_top_32_group_1,8,Julia DeMato,Son of a Preacher Man,Dusty Springfield,NA,Advanced
Season_02,20030211_top_32_group_2,1,Clay Aiken,Open Arms,Journey,NA,Wild Card (3rd)
Season_02,20030211_top_32_group_2,2,Candice Coleman,Piece of My Heart,Erma Franklin,NA,Eliminated
Season_02,20030211_top_32_group_2,3,Rebecca Bond,Caught Up in the Rapture,Anita Baker,NA,Eliminated
Season_02,20030211_top_32_group_2,4,Jacob John Smalley,Anytime,Brian McKnight,NA,Eliminated
Season_02,20030211_top_32_group_2,5,Hadas,You Light Up My Life,Kasey Cisyk,NA,Eliminated
Season_02,20030211_top_32_group_2,6,Ruben Studdard,Superstar,Delaney & Bonnie,NA,Advanced
Season_02,20030211_top_32_group_2,7,Kimberley Locke,Over the Rainbow,Judy Garland,NA,Advanced
Season_02,20030211_top_32_group_2,8,Jennifer Fuentes,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,NA,Eliminated
Season_02,20030218_top_32_group_3,1,Kimberly Kelsey,It's All Coming Back to Me Now,Pandora's Box,NA,Eliminated
Season_02,20030218_top_32_group_3,2,Jordan Segundo,For Your Love,Stevie Wonder,NA,Eliminated
Season_02,20030218_top_32_group_3,3,Vanessa Olivarez,Out Here On My Own,Irene Cara,NA,Advanced
Season_02,20030218_top_32_group_3,4,Rickey Smith,One Last Cry,Brian McKnight,NA,Advanced
Season_02,20030218_top_32_group_3,5,Samantha Cohen,Something He Can Feel,Aretha Franklin,NA,Eliminated
