season,place,gender,contestant,top_36,top_36_2,top_36_3,top_36_4,top_32,top_32_2,top_32_3,top_32_4,top_30,top_30_2,top_30_3,top_25,top_25_2,top_25_3,top_24,top_24_2,top_24_3,top_20,top_20_2,top_16,top_14,top_13,top_12,top_11,top_11_2,wildcard,comeback,top_10,top_9,top_9_2,top_8,top_8_2,top_7,top_7_2,top_6,top_6_2,top_5,top_5_2,top_4,top_4_2,top_3,finale
1,1,Female,Kelly Clarkson,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Safe (2nd),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Safe,NA,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Winner
1,2,Male,Justin Guarini,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Safe (1st),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Safe,NA,NA,Safe,NA,Bottom Two,NA,Safe,NA,Safe,NA,Safe,NA,Safe,Runner-Up
1,3,Female,Nikki McKibbin,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Safe (2nd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Bottom Three,NA,NA,Safe,NA,Bottom Three,NA,Bottom Three,NA,Bottom Two,NA,Bottom Two,NA,Eliminated,NA
1,4,Female,Tamyra Gray,NA,NA,NA,NA,NA,NA,NA,NA,Safe (1st),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Safe,NA,NA,Safe,NA,Safe,NA,Safe,NA,Safe,NA,Eliminated,NA,NA,NA
1,5,Male,R. J. Helton,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Wild Card,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,NA,Safe,NA,NA,Safe,NA,Safe,NA,Bottom Two,NA,Eliminated,NA,NA,NA,NA,NA
1,6,Female,Christina Christian,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Safe (1st),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Safe,NA,NA,Bottom Three,NA,Safe,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA
1,7,Female,Ryan Starr,NA,NA,NA,NA,NA,NA,NA,NA,Safe (2nd),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Safe,NA,NA,Bottom Two,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,Male,AJ Gil,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Safe (3rd),N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Safe,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9–10,Male,EJay Day,NA,NA,NA,NA,NA,NA,NA,NA,N/A,N/A,Safe (3rd),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9–10,Male,Jim Verraros,NA,NA,NA,NA,NA,NA,NA,NA,Safe (3rd),N/A,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N/A,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,11–14,Female,Alexis Lopez,NA,NA,NA,NA,NA,NA,NA,NA,N/A,Wild Card,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eliminated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
