season,audition_date_start,audition_date_end,audition_city,audition_venue,episodes,episode_air_date,callback_venue,callback_date_start,callback_date_end,tickets_to_hollywood,guest_judge
1,2002-04-20,2002-04-22,"Los Angeles, California",Westin Bonaventure Hotel,NA,11-Jun-02,NA,NA,NA,31,NA
1,2002-04-23,2002-04-25,"Seattle, Washington",Hyatt Regency Hotel,NA,11-Jun-02,NA,NA,NA,10,NA
1,2002-04-26,2002-04-28,"Chicago, Illinois",Congress Plaza Hotel,NA,11-Jun-02,NA,NA,NA,23,NA
1,2002-04-29,2002-05-01,"New York City, New York",Millenium Hilton Hotel,NA,11-Jun-02,NA,NA,NA,25,NA
1,2002-05-03,2002-05-05,"Atlanta, Georgia",AmericasMart/Callanwolde Fine Arts Center,NA,11-Jun-02,NA,2002-03-05,2002-03-05,15,NA
1,2002-05-05,2002-05-07,"Dallas, Texas",Wyndham Anatole Hotel,NA,11-Jun-02,NA,2002-05-07,2002-05-07,11,NA
1,2002-05-11,2002-05-11,"Miami, Florida",Fontainebleau Hilton,NA,11-Jun-02,NA,2002-05-11,2002-05-11,6,NA
2,2002-10-21,2002-10-21,"Detroit, Michigan",Atheneum Suites Hotel,NA,22-Jan-03,Atheneum Suites Hotel,2002-10-21,2002-10-21,22,NA
2,2002-10-24,2002-10-28,"New York, New York",Regent Wall Street Hotel,NA,21-Jan-03,Rhiga Royal Hotel,NA,NA,35,NA
2,2002-10-27,2002-10-27,"Atlanta, Georgia",AmericasMart,NA,28-Jan-03,Callanwolde Fine Arts Center,2002-10-27,2002-10-27,46,NA
2,2002-10-30,2002-10-30,"Nashville, Tennessee",Nashville Municipal Auditorium,NA,28-Jan-03,Wildhorse Saloon,2002-10-30,2002-10-30,30,NA
2,2002-11-02,2002-11-06,"Miami, Florida",Fontainebleau Hilton Hotel,NA,21-Jan-03,Fontainebleau Hilton Hotel,2002-02-06,2002-02-06,20,NA
2,2002-11-06,2002-11-10,"Austin, Texas",Doubletree Hotel,NA,21-Jan-03,Hyatt Regency,2002-06-10,2002-06-10,36,NA
2,2002-11-18,2002-11-20,"Los Angeles, California",Rose Bowl,NA,22-Jan-03,Renaissance Hollywood Hotel,NA,NA,45,NA
3,2003-08-03,2003-08-03,"Los Angeles, California",Rose Bowl,4,NA,Renaissance Hollywood Hotel,2003-08-03,2003-08-03,25,NA
3,2003-08-13,2003-08-13,"Houston, Texas",Minute Maid Park,3,NA,InterContinental Houston,2003-09-04,2003-09-05,13,NA
3,2003-08-20,2003-08-20,"Atlanta, Georgia",Georgia Dome,2,NA,Atlanta Convention Center at AmericasMart,2003-08-20,2003-08-20,24,NA
3,2003-08-25,2003-08-25,"New York City, New York",Jacob K. Javits Convention Center,1,NA,Waldorf-Astoria Hotel,2003-08-25,2003-08-25,29,NA
3,2003-09-22,2003-09-22,"San Francisco, California",Pac Bell Park,4,NA,Renaissance Parc 55 Hotel,2003-09-22,2003-09-22,10,NA
3,2003-09-30,2003-09-30,"Honolulu, Hawaii",Aloha Stadium,5,NA,Sheraton Waikiki Hotel,2003-10-04,2003-10-05,17,NA
4,2004-08-04,2004-08-04,"Cleveland, Ohio",Cleveland Browns Stadium,NA,1-Feb-05,Intercontinental Cleveland,2004-08-14,2004-08-15,32,NA
4,2004-08-08,2004-08-08,"St. Louis, Missouri",Edward Jones Dome,NA,19-Jan-05,Hilton St. Louis at the Ballpark,2004-08-08,2004-08-08,32,NA
4,2004-08-18,2004-08-18,"Washington, D.C.",Washington Convention Center,NA,18-Jan-05,Renaissance Hotel Ninth St.,2004-08-20,2004-08-21,42,NA
4,2004-08-26,2004-08-26,"Orlando, Florida",Orange County Convention Center,NA,1-Feb-05,"MGM Grand, Las Vegas",2004-08-26,2004-08-26,16,NA
4,2004-08-31,2004-08-31,"New Orleans, Louisiana",Louisiana Superdome,NA,25-Jan-05,The Roosevelt (Fairmont),2004-09-04,2004-09-05,16,NA
4,2004-09-12,2004-09-12,"Las Vegas, Nevada",Orleans Arena,NA,26-Jan-05,MGM Grand Conference Center,2004-09-15,2004-09-16,24,NA
4,2004-10-05,2004-10-05,"San Francisco, California",Cow Palace,NA,2-Feb-05,The Regency Center,2004-10-07,2004-10-08,32,NA
5,2005-08-18,2005-08-18,"San Francisco, California",Cow Palace,NA,25-Jan-06,Parc 55 Hotel,2005-08-18,2005-08-18,18,NA
