make,model,vehicle_year,chassis,extra,vehicle_class,origin_country,built_in,made_for,movie_title,movie_type,movie_year,movie_year_end,vehicle_url,movie_url
Suzuki,TM 250,NA,NA,Cruiser,Road,Japan,NA,NA,仮面ライダー X (Kamen Rider X),TV Series,1974,NA,https://www.imcdb.org/vehicle_1695196-Suzuki-TM-250.html,https://www.imcdb.org/movie_156678-Kamen-Raid%C3%A2-Ekkusu.html
Suzuki,TS,NA,NA,Shark Panther,All-Terrain Sports,Japan,NA,NA,Taiyô sentai Sanbarukan,TV Series,1981,1982,https://www.imcdb.org/vehicle_1406084-Suzuki-TS.html,https://www.imcdb.org/movie_81942-Taiy%C3%B4-sentai-Sanbarukan.html
Swallow,Doretti,1954,NA,NA,Convertible,United Kingdom,NA,Australia (1954+),The Pace That Kills,Short Movie,1959,NA,https://www.imcdb.org/vehicle_1750253-Swallow-Doretti-1954.html,https://www.imcdb.org/movie_1004523574-The-Pace-That-Kills.html
TAM,110 A5 4x4,NA,NA,'Slonce',Single-deck,Yugoslavia,NA,NA,Turneja,Movie,2008,NA,https://www.imcdb.org/vehicle_214223-TAM-110-A5-4x4.html,https://www.imcdb.org/movie_996982-Turneja.html
TAM,190 A11 T,1981,NA,Avtomontaža,Single-deck,Yugoslavia,NA,NA,Avtobus,Short Movie,1985,NA,https://www.imcdb.org/vehicle_767767-TAM-190-A11-T-1981.html,https://www.imcdb.org/movie_1004516168-Avtobus.html
TAM,unknown,NA,NA,NA,Single-deck,Yugoslavia,NA,NA,H-8...,Movie,1958,NA,https://www.imcdb.org/vehicle_241329-TAM.html,https://www.imcdb.org/movie_51693-H-8.html
TAM,unknown,NA,NA,NA,School,Yugoslavia,NA,NA,Afganistan - The last war bus (L'ultimo bus di guerra),Movie,1989,NA,https://www.imcdb.org/vehicle_1729170-TAM.html,https://www.imcdb.org/movie_94618-Afganistan-The-last-war-bus-%28L-ultimo-bus-di-guerra%29.html
Tata,1210 A,NA,NA,NA,Single-deck,India,NA,NA,Bombay to Goa,Movie,1972,NA,https://www.imcdb.org/vehicle_289967-Tata-1210-A.html,https://www.imcdb.org/movie_68305-Bombay-to-Goa.html
Tata,1613,NA,NA,NA,Simple truck,India,NA,NA,The Good Road,Movie,2013,NA,https://www.imcdb.org/vehicle_762633-Tata-1613.html,https://www.imcdb.org/movie_3037260-The-Good-Road.html
Tata,712,2011,NA,NA,Single-deck,India,NA,NA,കേശു ഈ വീടിന്റെ നാഥൻ (Keshu Ee Veedinte Nadhan),Movie,2021,NA,https://www.imcdb.org/vehicle_1623731-Tata-712-2011.html,https://www.imcdb.org/movie_11390864-Keshu-Ee-Veedinte-Nadhan.html
Tata,Nano,2009,NA,NA,Supermini,India,NA,NA,Gauthamante Radham,Movie,2020,NA,https://www.imcdb.org/vehicle_1349103-Tata-Nano-2009.html,https://www.imcdb.org/movie_11536072-Gauthamante-Radham.html
Tatra,148 S1,1972,NA,NA,Simple truck,Czechia,NA,NA,Kdo hledá zlaté dno,Movie,1974,NA,https://www.imcdb.org/vehicle_207017-Tatra-148-S1-1972.html,https://www.imcdb.org/movie_71716-Kdo-hled%C3%A1-zlat%C3%A9-dno.html
Tatra,603,1962,NA,NA,Proto / Concept,Czechia,NA,NA,Stastnou Cestu (Happy Journey),Short Movie,1962,NA,https://www.imcdb.org/vehicle_48726-Tatra-603-1962.html,https://www.imcdb.org/movie_1004514146-Stastnou-Cestu.html
Tatra,813 TP 6x6,1968,NA,NA,Simple truck,Czechia,NA,NA,Cursa,Movie,1978,NA,https://www.imcdb.org/vehicle_743443-Tatra-813-TP-6x6-1968.html,https://www.imcdb.org/movie_72838-Cursa.html
Tesla,Model 3,2019,NA,NA,Sedan,USA (United States of America),NA,Europe,Loulou,Movie made for TV,2023,NA,https://www.imcdb.org/vehicle_1865030-Tesla-Model-3-2019.html,https://www.imcdb.org/movie_21378358-Loulou.html
Tesla,Model S,2014,NA,NA,Hatchback,USA (United States of America),NA,NA,SHO: 借り物 Gold Tesla,Music Video,2024,NA,https://www.imcdb.org/vehicle_1883801-Tesla-Model-S-2014.html,https://www.imcdb.org/movie_1004524429-SHO--%E5%80%9F%E3%82%8A%E7%89%A9-Gold-Tesla.html
Tesla,Model S,2018,NA,75D,Hatchback,USA (United States of America),Netherlands,United Kingdom of Great Britain and Northern Ireland,The Tesla Car Thieves,Short Movie,2021,NA,https://www.imcdb.org/vehicle_1522240-Tesla-Model-S-2018.html,https://www.imcdb.org/movie_13914380-The-Tesla-Car-Thieves.html
Tesla,Roadster,2008,NA,NA,Convertible,USA (United States of America),NA,NA,Revenge of the Electric Car,Documentary,2011,NA,https://www.imcdb.org/vehicle_355991-Tesla-Roadster-2008.html,https://www.imcdb.org/movie_1413496-Revenge-of-the-Electric-Car.html
Thames,5cwt Van,1961,307E,'Supervan',Van / MPV,United Kingdom,Ireland,Republic of Ireland (1962+),A Map with Gaps,Short Movie,2006,NA,https://www.imcdb.org/vehicle_1136012-Thames-5cwt-Van-307E-1961.html,https://www.imcdb.org/movie_938724-A-Map-with-Gaps.html
Tidaholms Bruk,T6.0.55F,1929,NA,NA,Single-deck,Sweden,NA,NA,Mitt hjärtas Malmö,Documentary,2005,2008,https://www.imcdb.org/vehicle_259259-Tidaholms-Bruk-T6055F-1929.html,https://www.imcdb.org/movie_6907100-Mitt-hj%C3%A4rtas-Malm%C3%B6.html
Toyopet,Corona,1968,T40,Taxi,Sedan,Japan,NA,NA,オッドタクシー (Odd Taxi),Animation Series,2021,NA,https://www.imcdb.org/vehicle_1507210-Toyopet-Corona-T40-1968.html,https://www.imcdb.org/movie_14134550-Oddtaxi.html
Toyopet,Corona,1968,T40,Taxi,Sedan,Japan,NA,NA,映画 オッドタクシー イン・ザ・ウッズ (Eiga Odd Taxi: In the Woods),Animation Movie,2022,NA,https://www.imcdb.org/vehicle_1701681-Toyopet-Corona-T40-1968.html,https://www.imcdb.org/movie_16609250-Eiga-Odd-Taxi--In-the-Woods.html
Toyopet,Crown Deluxe,NA,NA,as 'Tiger Pioneer Sports',Sedan,Japan,NA,NA,黒の試走車 (The Black Test Car),Movie,1962,NA,https://www.imcdb.org/vehicle_302622-Toyopet-Crown-Deluxe.html,https://www.imcdb.org/movie_56158-Kuro-no-tesuto-kaa.html
Toyota,2000GT,1967,MF10,NA,Coupé,Japan,NA,NA,ヘアピン・サーカス (Hairpin Circus),Movie,1972,NA,https://www.imcdb.org/vehicle_1178414-Toyota-2000GT-MF10-1967.html,https://www.imcdb.org/movie_404092-Heapin-Sakasu.html
Toyota,2000GT,1968,MF10,NA,Coupé,Japan,NA,NA,真夜中のスーパーカー (The Midnight Supercar),Movie made for TV,2018,NA,https://www.imcdb.org/vehicle_1401244-Toyota-2000GT-MF10-1968.html,https://www.imcdb.org/movie_1004521472-Mayonaka-no-Super-Car.html
Toyota,86,2012,ZN6,GT,Coupé,Japan,NA,NA,MFゴースト (MF Ghost),Animation Series,2023,2026,https://www.imcdb.org/vehicle_1596695-Toyota-86-ZN6-2012.html,https://www.imcdb.org/movie_28299608-MF%E3%82%B4%E3%83%BC%E3%82%B9%E3%83%88.html
Toyota,Carina E,1997,T190,NA,Hatchback,Japan,United Kingdom,United Kingdom of Great Britain and Northern Ireland,Rocket Fuel,Short Movie,2025,NA,https://www.imcdb.org/vehicle_2059519-Toyota-Carina-E-T190-1997.html,https://www.imcdb.org/movie_37025704-Rocket-Fuel.html
Toyota,Carina II,1988,T170,NA,Sedan,Japan,NA,Europe,Munje: Opet! (Dudes: Again!),Movie,2023,NA,https://www.imcdb.org/vehicle_1870206-Toyota-Carina-II-T170-1988.html,https://www.imcdb.org/movie_22769974-Munje--Opet%21.html
Toyota,Celica,1971,RA20,ST,Coupé,Japan,NA,Canada,J'ai mon voyage! (I've Had It),Movie,1973,NA,https://www.imcdb.org/vehicle_1063490-Toyota-Celica-RA20-1971.html,https://www.imcdb.org/movie_70234-J-ai-mon-voyage%21.html
Toyota,Celica,1986,T160,GT,Coupé,Japan,NA,NA,The Motorist,Short Movie,2020,NA,https://www.imcdb.org/vehicle_1646117-Toyota-Celica-T160-1986.html,https://www.imcdb.org/movie_13008074-The-Motorist.html
Toyota,Coaster,1993,NA,Customised as Mercedes-Benz Sprinter 314,Single-deck,Japan,NA,Hong Kong (1932+),衝鋒車 (Two Thumbs Up),Movie,2015,NA,https://www.imcdb.org/vehicle_927575-Toyota-Coaster-1993.html,https://www.imcdb.org/movie_4533838-Chung-fung-che.html
Toyota,Coaster,1993,B40,NA,Van / MPV,Japan,NA,NA,那夜凌晨，我坐上了旺角開往大埔的紅VAN (The Midnight After),Movie,2014,NA,https://www.imcdb.org/vehicle_866837-Toyota-Coaster-B40-1993.html,https://www.imcdb.org/movie_3504824-Na-yeh-ling-san%2C-ngo-joa-seung-liu-Wong-Gok-hoi-wong-dai-bou-dik-hung-Van.html
Toyota,Corolla Levin,1985,AE86,NA,Coupé,Japan,NA,NA,かっとびブギ2 フラットアウト・ベイビー (Kattobi Boogie 2: Flat Out Baby),Movie made for TV,1993,NA,https://www.imcdb.org/vehicle_2110045-Toyota-Corolla-Levin-AE86-1985.html,https://www.imcdb.org/movie_1004526587-%E3%81%8B%E3%81%A3%E3%81%A8%E3%81%B3%E3%83%96%E3%82%AE2-%E3%83%95%E3%83%A9%E3%83%83%E3%83%88%E3%82%A2%E3%82%A6%E3%83%88%E3%83%BB%E3%83%99%E3%82%A4%E3%83%93%E3%83%BC.html
Toyota,Cressida,1981,X60,GL,Sedan,Japan,NA,NA,Magallanes,Movie,2015,NA,https://www.imcdb.org/vehicle_1023493-Toyota-Cressida-X60-1981.html,https://www.imcdb.org/movie_4072352-Magallanes.html
Toyota,Crown,1984,S120,NA,Sedan,Japan,NA,China (People's Republic of China),女人·TAXI·女人 (Woman-Taxi-Woman),Movie,1991,NA,https://www.imcdb.org/vehicle_1034207-Toyota-Crown-S120-1984.html,https://www.imcdb.org/movie_1371725-Nu-ren-Taxi-Nu-ren.html
Toyota,Crown Comfort,1996,XS10,Taxi,Sedan,Japan,NA,NA,ねこタクシー (Neko Taxi),TV Series,2010,NA,https://www.imcdb.org/vehicle_1485744-Toyota-Crown-Comfort-XS10-1996.html,https://www.imcdb.org/movie_1627012-Neko-Taxi.html
Toyota,Crown Comfort,1996,XS10,Taxi,Sedan,Japan,NA,NA,ねこタクシー (Neko Taxi the Movie),Movie,2010,NA,https://www.imcdb.org/vehicle_1494908-Toyota-Crown-Comfort-XS10-1996.html,https://www.imcdb.org/movie_1674191-Neko-takush%C3%AE.html
Toyota,Crown Van,1976,MS87V,NA,Wagon,Japan,NA,NA,Kamikaze takushî,Movie,1995,NA,https://www.imcdb.org/vehicle_1599567-Toyota-Crown-Van-MS87V-1976.html,https://www.imcdb.org/movie_113523-Kamikaze-takush%C3%AE.html
Toyota,Echo,2004,NCP13,NA,Hatchback,Japan,NA,Canada,Psych,TV Series,2006,2014,https://www.imcdb.org/vehicle_123174-Toyota-Echo-NCP13-2004.html,https://www.imcdb.org/movie_491738-Psych.html
Toyota,GR Corolla,2024,GZEA14,NA,Hatchback,Japan,NA,United States of America,Grip,Animation Series,2024,2025,https://www.imcdb.org/vehicle_1880766-Toyota-GR-Corolla-GZEA14-2024.html,https://www.imcdb.org/movie_31338382-Grip.html
Toyota,HiAce,1977,H20,NA,Van / MPV,Japan,NA,NA,หอ หึ หึ (Ghastly Dorm),Movie,1992,NA,https://www.imcdb.org/vehicle_2015787-Toyota-HiAce-H20-1977.html,https://www.imcdb.org/movie_1004525832-Hor-Hue-Hue.html
Toyota,Innova,2005,AN40,NA,Off-road / SUV,Indonesia,India,India (1947+),രാഷ്ട്രം (Rashtram),Movie,2006,NA,https://www.imcdb.org/vehicle_2055467-Toyota-Innova-AN40-2005.html,https://www.imcdb.org/movie_1102314-Rashtram.html
Toyota,Land Cruiser,1998,J105,NA,Off-road / SUV,Japan,NA,NA,Russell Coight's All Aussie Adventures,TV Series,2001,2018,https://www.imcdb.org/vehicle_662801-Toyota-Land-Cruiser-J105-1998.html,https://www.imcdb.org/movie_290111-Russell-Coight-s-All-Aussie-Adventures.html
Toyota,Land Cruiser Prado,1993,J78,NA,Off-road / SUV,Japan,NA,Japan,Kabul Express,Movie,2006,NA,https://www.imcdb.org/vehicle_264093-Toyota-Land-Cruiser-Prado-J78-1993.html,https://www.imcdb.org/movie_770214-Kabul-Express.html
Toyota,Mark II,1990,X81,Grande,Sedan,Japan,NA,NA,De Taxi van Palemu,TV Series,2006,NA,https://www.imcdb.org/vehicle_103029-Toyota-Mark-II-X81-1990.html,https://www.imcdb.org/movie_995597-De-Taxi-van-Palemu.html
Toyota,Previa,1991,TCR10,'2015 Tartan Prancer LE',Van / MPV,Japan,NA,United States of America,Vacation,Movie,2015,NA,https://www.imcdb.org/vehicle_823788-Toyota-Previa-TCR10-1991.html,https://www.imcdb.org/movie_1524930-Vacation.html
Toyota,Previa,1995,TCR20,DX All-Trac,Van / MPV,Japan,NA,Canada,Carpool,Movie,1996,NA,https://www.imcdb.org/vehicle_96072-Toyota-Previa-TCR20-1995.html,https://www.imcdb.org/movie_115836-Carpool.html
Toyota,Prius II,2006,NHW20,NA,Hatchback,Japan,NA,United States of America,Rideshare,Movie,2018,NA,https://www.imcdb.org/vehicle_1881698-Toyota-Prius-NHW20-2006.html,https://www.imcdb.org/movie_6499694-Rideshare.html
Toyota,Prius II,2007,NHW20,T-Spirit,Hatchback,Japan,NA,United Kingdom of Great Britain and Northern Ireland,The Ride,Short Movie,2023,NA,https://www.imcdb.org/vehicle_1956513-Toyota-Prius-NHW20-2007.html,https://www.imcdb.org/movie_26698112-The-Ride.html
Toyota,Prius III,2010,ZVW30,NA,Hatchback,Japan,NA,United States of America,Spree,Movie,2020,NA,https://www.imcdb.org/vehicle_1709566-Toyota-Prius-ZVW30-2010.html,https://www.imcdb.org/movie_11394332-Spree.html
Toyota,Prius III,2014,ZVW30,NA,Hatchback,Japan,NA,United States of America,DriverX,Movie,2017,NA,https://www.imcdb.org/vehicle_1211119-Toyota-Prius-ZVW30-2014.html,https://www.imcdb.org/movie_4952044-DriverX.html
Toyota,Quick Delivery 200,1999,U280,NA,Van / MPV,Japan,NA,NA,MIU404,TV Series,2020,NA,https://www.imcdb.org/vehicle_1527725-Toyota-Quick-Delivery-200-U280-1999.html,https://www.imcdb.org/movie_13068006-MIU404.html
Toyota,Sienna,2004,MCL20,CE,Van / MPV,USA (United States of America),NA,NA,Ca$h Cab,Non-fiction TV,2005,2017,https://www.imcdb.org/vehicle_45211-Toyota-Sienna-MCL20-2004.html,https://www.imcdb.org/movie_790825-Ca%24h-Cab.html
Toyota,Soarer,1983,MZ11,2.8 GT,Coupé,Japan,NA,NA,シャコタン・ブギ (Shakotan Boogie),Animation Series,1991,1992,https://www.imcdb.org/vehicle_1055996-Toyota-Soarer-MZ11-1983.html,https://www.imcdb.org/movie_14967040-Shakotan-bugi.html
Toyota,Soarer,1983,MZ11,2800GT,Coupé,Japan,NA,NA,シャコタン☆ブギ (Shakotan Boogie),Movie,1987,NA,https://www.imcdb.org/vehicle_1824312-Toyota-Soarer-MZ11-1983.html,https://www.imcdb.org/movie_37027810-Shakotan-Boogie.html
Toyota,Sprinter Trueno,1983,AE86,GT-APEX,Coupé,Japan,NA,NA,头文字D (Initial D),Movie,2005,NA,https://www.imcdb.org/vehicle_10906-Toyota-Sprinter-Trueno-AE86-1983.html,https://www.imcdb.org/movie_439630-%E5%A4%B4%E6%96%87%E5%AD%97D.html
Toyota,Sprinter Trueno,1983,AE86,GT-APEX,Coupé,Japan,NA,NA,頭文字 D (Initial D),Animation Series,1998,2014,https://www.imcdb.org/vehicle_82835-Toyota-Sprinter-Trueno-AE86-1983.html,https://www.imcdb.org/movie_385426-Inisharu-D.html
Toyota,Sprinter Trueno,1983,AE86,GT-APEX,Coupé,Japan,NA,NA,頭文字D Legend1 -覚醒- (New Initial D the Movie: Legend 1 - Awakening),Animation Movie,2014,NA,https://www.imcdb.org/vehicle_706904-Toyota-Sprinter-Trueno-AE86-1983.html,https://www.imcdb.org/movie_3971764-Shingekijouban-Inisharu-D--Legend-1-Kakusei.html
Toyota,Sprinter Trueno,1983,AE86,GT-APEX,Coupé,Japan,NA,NA,頭文字D Legend2 -闘走- (New Initial D the Movie: Legend 2 - Racer),Animation Movie,2015,NA,https://www.imcdb.org/vehicle_791645-Toyota-Sprinter-Trueno-AE86-1983.html,https://www.imcdb.org/movie_4971484-Shingekijouban-Inisharu-D--Legend-2-Tousou.html
Toyota,Sprinter Trueno,1983,AE86,GT-Apex,Coupé,Japan,NA,NA,頭文字D Legend3 -夢現- (New Initial D the Movie: Legend 3 - Dream),Animation Movie,2016,NA,https://www.imcdb.org/vehicle_871329-Toyota-Sprinter-Trueno-AE86-1983.html,https://www.imcdb.org/movie_5463088-Shingekijouban-Inisharu-D--Legend-3-Mugen.html
Toyota,Supra Mk.IV,NA,JZA80,Modified for Movie,Custom,Japan,NA,NA,ROX,TV Series,2011,2026,https://www.imcdb.org/vehicle_709066-Toyota-Supra-JZA80.html,https://www.imcdb.org/movie_2337285-ROX.html
Toyota,SW4,2015,AN150/160,'Predator',Off-road / SUV,Japan,Argentina,Argentina,4x4,Movie,2019,NA,https://www.imcdb.org/vehicle_1475378-Toyota-SW4-AN150-160-2015.html,https://www.imcdb.org/movie_8561690-4x4.html
Toyota,Tercel,1987,EL31,EZ,Hatchback,Japan,NA,United States of America,Hatchback,Movie,2019,NA,https://www.imcdb.org/vehicle_1310350-Toyota-Tercel-EL31-1987.html,https://www.imcdb.org/movie_5982922-Hatchback.html
Toyota,Vios,2010,NCP92,1.3 E,Sedan,Japan,Philippines,Philippines (1975+),Graceland,Movie,2012,NA,https://www.imcdb.org/vehicle_1377329-Toyota-Vios-NCP92-2010.html,https://www.imcdb.org/movie_2131523-Graceland.html
Trabant,601,1974,P601,NA,Sedan,East Germany (DDR),NA,NA,Trabant zu verkaufen,Movie made for TV,1981,NA,https://www.imcdb.org/vehicle_1233338-Trabant-601-P601-1974.html,https://www.imcdb.org/movie_1813723-Trabant-zu-verkaufen.html
Trabant,601,1982,P601,NA,Sedan,East Germany (DDR),NA,NA,Driving Me Crazy,Movie,1991,NA,https://www.imcdb.org/vehicle_325873-Trabant-601-P601-1982.html,https://www.imcdb.org/movie_104142-Driving-Me-Crazy.html
Trabant,601,1984,P601,'Schorsch',Sedan,East Germany (DDR),NA,NA,Go Trabi Go,Movie,1991,NA,https://www.imcdb.org/vehicle_41380-Trabant-601-P601-1984.html,https://www.imcdb.org/movie_101960-Go-Trabi-Go.html
Trabant,601 Universal,1981,P601K,NA,Wagon,East Germany (DDR),NA,NA,Everything Is Illuminated,Movie,2005,NA,https://www.imcdb.org/vehicle_302011-Trabant-601-Universal-P601K-1981.html,https://www.imcdb.org/movie_404030-Everything-Is-Illuminated.html
Trabant,601 Universal,1984,P601K,NA,Wagon,East Germany (DDR),NA,NA,Trabantem Hedvábnou stezkou,Documentary,2009,NA,https://www.imcdb.org/vehicle_785043-Trabant-601-Universal-P601K-1984.html,https://www.imcdb.org/movie_1592289-Trabantem-Hedv%C3%A1bnou-stezkou.html
Trabant,601 Universal,1986,P601K,'Transtrabant',Wagon,East Germany (DDR),NA,NA,Trabantem napříč Afrikou,Documentary,2011,NA,https://www.imcdb.org/vehicle_716545-Trabant-601-Universal-P601K-1986.html,https://www.imcdb.org/movie_1841898-Trabantem-nap%C5%99%C3%AD%C4%8D-Afrikou.html
Trabant,601 Universal,1989,P601K,'Transtrabant',Wagon,East Germany (DDR),NA,NA,Trabantem napříč Afrikou,Documentary,2011,NA,https://www.imcdb.org/vehicle_716549-Trabant-601-Universal-P601K-1989.html,https://www.imcdb.org/movie_1841898-Trabantem-nap%C5%99%C3%AD%C4%8D-Afrikou.html
Triking,Cyclecar,NA,NA,NA,Three-wheeler,United Kingdom,NA,NA,Aufs ganze,Movie made for TV,1989,NA,https://www.imcdb.org/vehicle_1790436-Triking-Cyclecar.html,https://www.imcdb.org/movie_96851-Aufs-ganze.html
Triumph,Bonneville,NA,NA,NA,Road,United Kingdom,NA,NA,Liebe durch die Autotür,Movie,1973,NA,https://www.imcdb.org/vehicle_610510-Triumph-Bonneville.html,https://www.imcdb.org/movie_68849-Liebe-durch-die-Autot%C3%BCr.html
Triumph,Herald 1200 Convertible,1966,NA,NA,Convertible,United Kingdom,NA,NA,Too Close for Comfort,Short Movie,1971,NA,https://www.imcdb.org/vehicle_828327-Triumph-Herald-1200-Convertible-1966.html,https://www.imcdb.org/movie_1869779-Too-Close-for-Comfort.html
