Character,Episode_order,Season,Episode,Season_Episode,F_count_RK,F_count_total,cum_rk_season,cum_total_season,cum_rk_overall,cum_total_overall,F_score,F_perc,Dating_flag,Coaching_flag,Imdb_rating
Roy Kent,1,1,1,S1_e1,2,13,2,13,2,13,0.15384615384615385,15.4,No,No,7.8
Roy Kent,2,1,2,S1_e2,2,8,4,21,4,21,0.25,25,No,No,8.1
Roy Kent,3,1,3,S1_e3,7,13,11,34,11,34,0.5384615384615384,53.8,No,No,8.5
Roy Kent,4,1,4,S1_e4,8,17,19,51,19,51,0.47058823529411764,47.1,No,No,8.2
Roy Kent,5,1,5,S1_e5,4,13,23,64,23,64,0.3076923076923077,30.8,No,No,8.9
Roy Kent,6,1,6,S1_e6,2,9,25,73,25,73,0.2222222222222222,22.2,No,No,8.5
Roy Kent,7,1,7,S1_e7,5,15,30,88,30,88,0.3333333333333333,33.3,No,No,9
Roy Kent,8,1,8,S1_e8,7,18,37,106,37,106,0.3888888888888889,38.9,Yes,No,8.7
Roy Kent,9,1,9,S1_e9,14,22,51,128,51,128,0.6363636363636364,63.6,Yes,No,8.6
Roy Kent,10,1,10,S1_e10,5,22,56,150,56,150,0.22727272727272727,22.7,Yes,No,9.1
Roy Kent,11,2,1,S2_e1,11,16,11,16,67,166,0.6875,68.8,Yes,No,7.6
Roy Kent,12,2,2,S2_e2,10,22,21,38,77,188,0.45454545454545453,45.5,Yes,No,8
Roy Kent,13,2,3,S2_e3,2,8,23,46,79,196,0.25,25,Yes,No,8.4
Roy Kent,14,2,4,S2_e4,2,6,25,52,81,202,0.3333333333333333,33.3,Yes,No,8.6
Roy Kent,15,2,5,S2_e5,23,32,48,84,104,234,0.71875,71.9,Yes,Yes,8.9
Roy Kent,16,2,6,S2_e6,12,18,60,102,116,252,0.6666666666666666,66.7,Yes,Yes,8.6
Roy Kent,17,2,7,S2_e7,6,15,66,117,122,267,0.4,40,Yes,Yes,7.7
Roy Kent,18,2,8,S2_e8,5,17,71,134,127,284,0.29411764705882354,29.4,Yes,Yes,9
Roy Kent,19,2,9,S2_e9,3,12,74,146,130,296,0.25,25,Yes,Yes,6.8
Roy Kent,20,2,10,S2_e10,4,13,78,159,134,309,0.3076923076923077,30.8,Yes,Yes,8.5
Roy Kent,21,2,11,S2_e11,5,12,83,171,139,321,0.4166666666666667,41.7,Yes,Yes,8.2
Roy Kent,22,2,12,S2_e12,23,44,106,215,162,365,0.5227272727272727,52.3,Yes,Yes,8.8
Roy Kent,23,3,1,S3_e1,6,17,6,17,168,382,0.35294117647058826,35.3,No,Yes,7.7
Roy Kent,24,3,2,S3_e2,16,31,22,48,184,413,0.5161290322580645,51.6,No,Yes,8.3
Roy Kent,25,3,3,S3_e3,10,25,32,73,194,438,0.4,40,No,Yes,7.9
Roy Kent,26,3,4,S3_e4,17,42,49,115,211,480,0.40476190476190477,40.5,No,Yes,8.2
Roy Kent,27,3,5,S3_e5,13,36,62,151,224,516,0.3611111111111111,36.1,No,Yes,7.1
Roy Kent,28,3,6,S3_e6,13,21,75,172,237,537,0.6190476190476191,61.9,No,Yes,9
Roy Kent,29,3,7,S3_e7,10,30,85,202,247,567,0.3333333333333333,33.3,No,Yes,8.3
Roy Kent,30,3,8,S3_e8,6,26,91,228,253,593,0.23076923076923078,23.1,No,Yes,6.6
Roy Kent,31,3,9,S3_e9,13,46,104,274,266,639,0.2826086956521739,28.3,No,Yes,8.5
Roy Kent,32,3,10,S3_e10,10,18,114,292,276,657,0.5555555555555556,55.6,No,Yes,8.5
Roy Kent,33,3,11,S3_e11,13,46,127,338,289,703,0.2826086956521739,28.3,No,Yes,9.3
Roy Kent,34,3,12,S3_e12,11,39,138,377,300,742,0.28205128205128205,28.2,No,Yes,9.4
